Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1079516,-,-,-,43.65,-79.38,-5,93,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,-8,0,0,0,0,-11,0,0,0,0,77.53,159.27,0.8669000267982483,1010.0,0.253,98.5,7.4
2014,1,1,1,30,-9,0,0,0,4,-11,0,0,0,0,81.02,154.92000000000002,0.8669000267982483,1010.0,0.249,100.4,6.9
2014,1,1,2,30,-9,0,0,0,4,-11,0,0,0,0,79.11,146.4,0.8669000267982483,1010.0,0.25,102.30000000000001,6.4
2014,1,1,3,30,-9,0,0,0,4,-12,0,0,0,0,78.2,136.2,0.8669000267982483,1010.0,0.256,104.9,5.800000000000001
2014,1,1,4,30,-9,0,0,0,4,-12,0,0,0,0,77.69,125.43,0.8669000267982483,1010.0,0.272,106.30000000000001,5.2
2014,1,1,5,30,-10,0,0,0,4,-12,0,0,0,0,83.3,114.62,0.8669000267982483,1010.0,0.296,109.2,4.6000000000000005
2014,1,1,6,30,-10,0,0,0,1,-12,0,0,0,0,82.0,104.09,0.8669000267982483,1010.0,0.324,111.80000000000001,4.1000000000000005
2014,1,1,7,30,-9,0,0,0,1,-12,0,0,0,0,74.66,94.14,0.8669000267982483,1010.0,0.355,114.2,3.6
2014,1,1,8,30,-8,35,316,63,4,-12,32,61,4,37,69.54,85.07000000000001,0.8669000267982483,1010.0,0.378,115.9,3.1
2014,1,1,9,30,-8,70,606,203,4,-12,76,287,0,139,72.11,77.31,0.8669000267982483,1010.0,0.397,116.10000000000001,2.8000000000000003
2014,1,1,10,30,-8,89,732,324,7,-11,128,204,0,194,73.82000000000001,71.33,0.8669000267982483,1010.0,0.429,118.80000000000001,2.6
2014,1,1,11,30,-8,103,774,397,8,-11,167,115,4,211,73.03,67.64,0.8669000267982483,1010.0,0.467,124.2,2.4000000000000004
2014,1,1,12,30,-8,108,777,416,7,-12,170,144,0,228,72.81,66.64,0.8669000267982483,1010.0,0.505,137.0,2.3000000000000003
2014,1,1,13,30,-8,104,744,377,7,-12,113,490,0,293,72.18,68.45,0.8669000267982483,1010.0,0.542,157.9,2.4000000000000004
2014,1,1,14,30,-8,92,659,286,8,-12,93,421,0,218,72.4,72.86,0.8669000267982483,1010.0,0.5700000000000001,180.5,2.7
2014,1,1,15,30,-9,67,482,156,4,-11,67,36,0,74,80.27,79.41,0.8669000267982483,1010.0,0.585,197.8,3.2
2014,1,1,16,30,-9,21,111,26,4,-11,12,0,4,12,81.9,87.60000000000001,0.8669000267982483,1010.0,0.583,209.8,3.9000000000000004
2014,1,1,17,30,-9,0,0,0,7,-11,0,0,0,0,82.22,96.96000000000001,0.8669000267982483,1010.0,0.5730000000000001,214.20000000000002,4.6000000000000005
2014,1,1,18,30,-9,0,0,0,7,-11,0,0,0,0,81.61,107.11,0.8669000267982483,1010.0,0.5680000000000001,216.4,5.2
2014,1,1,19,30,-9,0,0,0,7,-11,0,0,0,0,80.61,117.75,0.8669000267982483,1010.0,0.5710000000000001,219.0,5.5
2014,1,1,20,30,-10,0,0,0,7,-11,0,0,0,0,86.32000000000001,128.58,0.8669000267982483,1010.0,0.581,221.70000000000002,5.6000000000000005
2014,1,1,21,30,-10,0,0,0,7,-11,0,0,0,0,86.0,139.25,0.8669000267982483,1010.0,0.595,224.3,6.0
2014,1,1,22,30,-10,0,0,0,7,-11,0,0,0,0,86.66,149.1,0.8669000267982483,1010.0,0.606,225.10000000000002,6.5
2014,1,1,23,30,-10,0,0,0,7,-11,0,0,0,0,86.91,156.72,0.8669000267982483,1010.0,0.612,226.20000000000002,7.1000000000000005
2014,1,2,0,30,-10,0,0,0,7,-11,0,0,0,0,85.87,159.19,0.8669000267982483,1010.0,0.616,227.60000000000002,7.7
2014,1,2,1,30,-11,0,0,0,6,-12,0,0,0,0,90.42,154.9,0.8669000267982483,1010.0,0.617,229.3,8.200000000000001
2014,1,2,2,30,-12,0,0,0,7,-12,0,0,0,0,94.02,146.41,0.8669000267982483,1010.0,0.612,230.20000000000002,8.6
2014,1,2,3,30,-13,0,0,0,7,-13,0,0,0,0,97.41,136.23,0.8669000267982483,1010.0,0.605,230.4,8.700000000000001
2014,1,2,4,30,-13,0,0,0,7,-13,0,0,0,0,93.88,125.46000000000001,0.8669000267982483,1010.0,0.599,230.70000000000002,8.6
2014,1,2,5,30,-13,0,0,0,7,-14,0,0,0,0,91.96000000000001,114.65,0.8669000267982483,1010.0,0.595,231.60000000000002,8.6
2014,1,2,6,30,-13,0,0,0,7,-14,0,0,0,0,91.39,104.11,0.8669000267982483,1010.0,0.594,232.5,8.6
2014,1,2,7,30,-13,0,0,0,7,-14,0,0,0,0,91.77,94.15,0.8669000267982483,1010.0,0.589,232.5,8.5
2014,1,2,8,30,-13,42,118,52,7,-13,28,0,4,28,92.63,85.07000000000001,0.8669000267982483,1010.0,0.584,231.3,8.5
2014,1,2,9,30,-13,106,361,186,7,-13,34,0,0,34,93.4,77.29,0.8669000267982483,1010.0,0.577,229.9,8.5
2014,1,2,10,30,-13,147,485,303,7,-13,23,0,0,23,93.98,71.29,0.8669000267982483,1010.0,0.5630000000000001,227.4,8.4
2014,1,2,11,30,-13,171,542,378,7,-13,162,106,0,203,93.47,67.57000000000001,0.8669000267982483,1000.0,0.548,223.5,8.5
2014,1,2,12,30,-13,179,553,399,7,-14,171,121,0,219,91.97,66.55,0.8669000267982483,1000.0,0.532,218.8,8.700000000000001
2014,1,2,13,30,-14,167,531,363,7,-14,137,15,0,143,98.07000000000001,68.34,0.8669000267982483,1000.0,0.514,215.10000000000002,8.6
2014,1,2,14,30,-14,139,460,275,7,-14,112,21,0,118,97.48,72.73,0.8669000267982483,1000.0,0.493,212.5,8.4
2014,1,2,15,30,-14,91,314,150,7,-14,68,24,0,72,97.53,79.28,0.8669000267982483,1000.0,0.47300000000000003,209.10000000000002,8.3
2014,1,2,16,30,-14,21,51,23,7,-14,11,0,4,11,97.46000000000001,87.46000000000001,0.8669000267982483,1000.0,0.455,207.0,8.200000000000001
2014,1,2,17,30,-14,0,0,0,7,-14,0,0,0,0,97.31,96.82000000000001,0.8669000267982483,1000.0,0.438,207.5,8.0
2014,1,2,18,30,-14,0,0,0,7,-14,0,0,0,0,96.92,106.97,0.8669000267982483,1000.0,0.419,207.9,7.9
2014,1,2,19,30,-14,0,0,0,7,-14,0,0,0,0,95.89,117.61,0.8669000267982483,1000.0,0.399,206.70000000000002,7.7
2014,1,2,20,30,-14,0,0,0,7,-14,0,0,0,0,94.28,128.44,0.8669000267982483,1000.0,0.379,204.8,7.6000000000000005
2014,1,2,21,30,-14,0,0,0,7,-14,0,0,0,0,92.67,139.1,0.8669000267982483,1000.0,0.359,201.3,7.5
2014,1,2,22,30,-15,0,0,0,7,-15,0,0,0,0,98.92,148.96,0.8669000267982483,1000.0,0.333,197.3,7.300000000000001
2014,1,2,23,30,-15,0,0,0,7,-15,0,0,0,0,97.15,156.59,0.8669000267982483,1000.0,0.299,193.5,7.0
2014,1,3,0,30,-15,0,0,0,7,-15,0,0,0,0,94.79,159.1,0.8669000267982483,1000.0,0.255,188.4,6.7
2014,1,3,1,30,-16,0,0,0,4,-16,0,0,0,0,99.46000000000001,154.88,0.8669000267982483,1000.0,0.20800000000000002,183.5,6.4
2014,1,3,2,30,-17,0,0,0,4,-17,0,0,0,0,100.0,146.42000000000002,0.8669000267982483,1010.0,0.165,179.0,6.0
2014,1,3,3,30,-17,0,0,0,8,-17,0,0,0,0,99.72,136.25,0.8669000267982483,1010.0,0.131,174.4,5.800000000000001
2014,1,3,4,30,-18,0,0,0,7,-18,0,0,0,0,100.0,125.49000000000001,0.8669000267982483,1010.0,0.108,171.0,5.6000000000000005
2014,1,3,5,30,-18,0,0,0,8,-18,0,0,0,0,100.0,114.67,0.8669000267982483,1010.0,0.098,169.70000000000002,5.5
2014,1,3,6,30,-19,0,0,0,8,-19,0,0,0,0,100.0,104.13,0.8669000267982483,1010.0,0.096,168.8,5.2
2014,1,3,7,30,-19,0,0,0,4,-19,0,0,0,0,100.0,94.15,0.8669000267982483,1010.0,0.099,167.70000000000002,4.7
2014,1,3,8,30,-18,27,527,73,8,-18,27,527,4,73,97.29,85.06,0.8669000267982483,1010.0,0.108,165.60000000000002,4.2
2014,1,3,9,30,-17,51,779,223,4,-18,77,272,0,138,91.18,77.26,0.8669000267982483,1010.0,0.12,161.20000000000002,3.7
2014,1,3,10,30,-15,67,876,348,4,-17,99,457,0,246,79.38,71.23,0.8669000267982483,1010.0,0.135,155.3,3.3000000000000003
2014,1,3,11,30,-14,74,918,425,4,-17,115,512,0,311,74.36,67.49,0.8669000267982483,1010.0,0.157,144.5,3.0
2014,1,3,12,30,-13,76,924,445,4,-17,110,571,0,339,71.45,66.45,0.8669000267982483,1010.0,0.187,128.5,2.8000000000000003
2014,1,3,13,30,-13,73,894,405,4,-16,94,601,0,317,74.60000000000001,68.22,0.8669000267982483,1010.0,0.224,112.0,2.6
2014,1,3,14,30,-13,65,826,312,4,-16,83,510,0,235,77.17,72.60000000000001,0.8669000267982483,1010.0,0.262,97.0,2.5
2014,1,3,15,30,-13,48,684,177,4,-15,63,300,0,119,80.15,79.14,0.8669000267982483,1010.0,0.299,83.80000000000001,2.4000000000000004
2014,1,3,16,30,-13,19,325,34,4,-16,23,0,4,23,77.91,87.32000000000001,0.8669000267982483,1010.0,0.34,71.8,2.5
2014,1,3,17,30,-14,0,0,0,4,-16,0,0,0,0,82.84,96.67,0.8669000267982483,1010.0,0.386,60.800000000000004,2.8000000000000003
2014,1,3,18,30,-14,0,0,0,1,-16,0,0,0,0,83.87,106.83,0.8669000267982483,1010.0,0.437,51.7,3.1
2014,1,3,19,30,-13,0,0,0,4,-15,0,0,0,0,79.67,117.47,0.8669000267982483,1010.0,0.499,42.2,3.5
2014,1,3,20,30,-13,0,0,0,4,-15,0,0,0,0,83.51,128.3,0.8669000267982483,1010.0,0.5640000000000001,31.0,4.1000000000000005
2014,1,3,21,30,-12,0,0,0,4,-14,0,0,0,0,82.57000000000001,138.96,0.8669000267982483,1010.0,0.636,22.400000000000002,5.1000000000000005
2014,1,3,22,30,-10,0,0,0,4,-13,0,0,0,0,77.33,148.82,0.8669000267982483,1010.0,0.717,20.900000000000002,6.300000000000001
2014,1,3,23,30,-8,0,0,0,1,-11,0,0,0,0,73.68,156.45000000000002,0.8669000267982483,1010.0,0.781,25.3,7.4
2014,1,4,0,30,-7,0,0,0,4,-10,0,0,0,0,74.88,159.01,0.8669000267982483,1010.0,0.805,29.1,8.200000000000001
2014,1,4,1,30,-7,0,0,0,4,-10,0,0,0,0,77.7,154.84,0.8669000267982483,1010.0,0.798,30.3,8.700000000000001
2014,1,4,2,30,-6,0,0,0,7,-10,0,0,0,0,73.02,146.42000000000002,0.8669000267982483,1000.0,0.785,31.900000000000002,9.0
2014,1,4,3,30,-6,0,0,0,7,-9,0,0,0,0,74.25,136.26,0.8669000267982483,1000.0,0.753,33.0,9.1
2014,1,4,4,30,-6,0,0,0,7,-9,0,0,0,0,74.93,125.51,0.8669000267982483,1000.0,0.6940000000000001,32.1,9.200000000000001
2014,1,4,5,30,-6,0,0,0,4,-9,0,0,0,0,75.11,114.69,0.8669000267982483,1000.0,0.648,30.5,9.200000000000001
2014,1,4,6,30,-6,0,0,0,1,-9,0,0,0,0,75.86,104.14,0.8669000267982483,1000.0,0.64,28.8,9.3
2014,1,4,7,30,-5,0,0,0,4,-9,0,0,0,0,70.98,94.15,0.8669000267982483,1000.0,0.667,28.0,9.600000000000001
2014,1,4,8,30,-5,31,371,63,0,-9,31,371,0,63,73.0,85.04,0.8669000267982483,1000.0,0.7010000000000001,28.1,10.0
2014,1,4,9,30,-4,60,647,203,0,-8,60,647,0,203,71.15,77.23,0.8669000267982483,1000.0,0.729,29.400000000000002,10.4
