Date,Open,High,Low,Close,Volume,HML,PCT
2013-01-02,34.92,35.4,34.1,35.12,13767900.0,3.8123167155425137,0.5727376861397357
2013-01-03,35.0,35.0,34.16,34.83,16739300.0,2.4590163934426332,-0.4857142857142906
2013-01-04,34.62,34.89,34.25,34.3908,21372100.0,1.8686131386861329,-0.6620450606585753
2013-01-07,34.15,35.45,34.15,34.46,17897100.0,3.8067349926793685,0.9077598828696992
2013-01-08,34.29,34.64,33.36,33.71,17863300.0,3.836930455635495,-1.6914552347623166
2013-01-09,33.61,33.95,33.61,33.9,18800400.0,1.0116036893781715,0.8628384409401939
2013-01-10,33.66,34.0,33.33,34.0,15658100.0,2.0102010201020155,1.0101010101010204
2013-01-11,33.59,33.9,33.35,33.85,11191500.0,1.6491754122938445,0.7740398928252396
2013-01-14,34.01,34.25,33.8,34.09,11584900.0,1.3313609467455707,0.23522493384300325
2013-01-15,33.71,34.72,33.71,34.6,13040200.0,2.9961435775734144,2.6401661228122237
2013-01-16,34.47,35.54,34.45,35.54,16512700.0,3.1640058055152283,3.104148534957935
2013-01-17,35.75,36.7,35.75,36.42,14424800.0,2.6573426573426655,1.874125874125879
2013-01-18,36.43,37.32,36.04,37.32,17842200.0,3.5516093229744765,2.443041449354929
2013-01-22,36.98,37.25,35.93,36.42,15809700.0,3.6738101864737,-1.5143320713899278
2013-01-23,36.91,37.84,36.5,37.8,10981600.0,3.671232876712338,2.4112706583581702
2013-01-24,37.79,38.52,37.23,37.46,11327100.0,3.4649476228847877,-0.873246890711824
2013-01-25,37.52,37.84,36.64,37.6,8934600.0,3.2751091703056847,0.21321961620468627
2013-01-28,37.65,37.87,36.71,36.89,7140100.0,3.1599019340778987,-2.0185922974767543
2013-01-29,36.71,37.46,36.25,37.31,8838500.0,3.337931034482761,1.6344320348678874
2013-01-30,36.81,37.525,36.81,36.93,10841800.0,1.9424069546318832,0.325998370008143
2013-01-31,36.84,36.93,36.27,36.69,10720700.0,1.8196856906534231,-0.40716612377851696
2013-02-01,36.84,37.2,36.52,37.18,9527500.0,1.8619934282584878,0.9229098805645936
2013-02-04,36.64,37.3,36.55,37.28,6348000.0,2.051983584131327,1.746724890829696
2013-02-05,37.42,37.73,37.18,37.2,7284400.0,1.4792899408283946,-0.5879208979155501
2013-02-06,36.96,37.28,36.86,37.14,5738900.0,1.1394465545306611,0.48701298701298623
2013-02-07,37.57,37.57,35.8,36.42,9872500.0,4.9441340782123,-3.060952887942504
2013-02-08,36.37,36.42,35.825,36.25,13858700.0,1.6608513607815738,-0.3299422601044747
2013-02-11,36.13,36.18,35.75,35.85,6032100.0,1.202797202797202,-0.7749792416274595
2013-02-12,35.77,35.9,35.2,35.42,7473800.0,1.9886363636363515,-0.9784735812133112
2013-02-13,35.42,35.57,35.15,35.27,4859800.0,1.1948790896159367,-0.4234895539243325
2013-02-14,35.05,36.73,35.01,36.57,7570100.0,4.912882033704653,4.3366619115549305
2013-02-15,36.93,37.81,36.93,37.58,13296300.0,2.382886542106695,1.760086650419709
2013-02-19,37.54,38.33,37.11,38.19,8292700.0,3.287523578550253,1.7314864144912057
2013-02-20,38.16,39.13,37.61,38.61,8096400.0,4.04147833023133,1.1792452830188755
2013-02-21,38.49,39.025,38.19,38.78,7260900.0,2.186436239853367,0.7534424525850848
2013-02-22,38.79,38.85,38.14,38.46,4490400.0,1.8615626638699552,-0.850734725444698
2013-02-25,38.54,38.61,37.37,37.37,4665600.0,3.318169654803324,-3.035806953814223
2013-02-26,37.6,37.6,36.96,37.09,4463000.0,1.731601731601733,-1.356382978723399
2013-02-27,36.97,36.98,36.4,36.73,12238400.0,1.5934065934065889,-0.649175006762245
2013-02-28,36.66,37.14,36.5,36.92,10321000.0,1.7534246575342483,0.7092198581560424
2013-03-01,36.8,38.07,36.551,37.81,8929400.0,4.155837049601922,2.7445652173913184
2013-03-04,37.53,38.25,37.53,38.24,5420800.0,1.9184652278177425,1.8918198774313906
2013-03-05,38.45,38.57,37.29,37.51,6650400.0,3.4325556449450283,-2.44473342002602
2013-03-06,37.56,37.86,37.37,37.74,5489500.0,1.3112122023013166,0.4792332268370599
2013-03-07,37.65,38.01,37.44,37.49,4442500.0,1.5224358974358982,-0.42496679946878246
2013-03-08,37.64,37.65,37.16,37.34,4114500.0,1.3186221743810602,-0.7970244420828829
2013-03-11,37.25,38.15,37.08,37.67,4614400.0,2.8856526429341973,1.1275167785234945
2013-03-12,37.7,38.3,37.05,37.17,6523900.0,3.3738191632928474,-1.405835543766581
2013-03-13,37.2,37.5899,37.04,37.17,3710600.0,1.4846112311015145,-0.08064516129032563
2013-03-14,37.43,37.59,36.86,37.56,9859700.0,1.9804666304937708,0.34731498797756494
2013-03-15,37.44,38.54,37.28,38.5,12208300.0,3.3798283261802524,2.8311965811965876
2013-03-18,38.05,38.49,37.99,38.16,5178700.0,1.3161358252171624,0.28909329829172
2013-03-19,38.25,38.4,37.84,38.36,5108400.0,1.4799154334037925,0.28758169934640376
2013-03-20,38.5,39.19,38.41,39.06,7072900.0,2.0307211663629294,1.4545454545454604
2013-03-21,38.82,38.97,38.48,38.49,4736100.0,1.2733887733887788,-0.8500772797527004
2013-03-22,38.57,38.97,38.3,38.97,3323400.0,1.7493472584856444,1.0370754472387829
2013-03-25,39.12,39.52,38.93,39.32,6065000.0,1.5155407141022437,0.5112474437627885
2013-03-26,39.57,40.52,39.57,40.21,7249500.0,2.4008086934546444,1.6173869092747044
2013-03-27,40.22,40.29,39.66,40.15,4274800.0,1.5885022692889625,-0.17404276479363573
2013-03-28,40.26,40.8,39.775,40.78,7263400.0,2.5769956002514105,1.2916045702931027
2013-04-01,39.96,41.14,39.96,41.12,5740000.0,2.9529529529529523,2.9029029029028943
2013-04-02,41.22,41.22,40.52,40.71,5510700.0,1.7275419545903152,-1.2372634643376952
2013-04-03,40.75,41.45,40.35,40.57,4122100.0,2.726146220570016,-0.4417177914110422
2013-04-04,40.77,41.78,40.624,41.6,20687600.0,2.84560850728633,2.035810645082164
2013-04-05,41.31,41.5,41.09,41.31,14089800.0,0.9978096860549929,0.0
2013-04-08,41.27,41.87,41.07,41.77,16449200.0,1.9478938397857248,1.21153380179307
2013-04-09,41.96,43.56,41.8,42.55,8673900.0,4.210526315789486,1.4061010486177223
2013-04-10,42.65,43.77,42.5,43.62,7809200.0,2.988235294117654,2.2743259085580276
2013-04-11,43.42,43.705,43.11,43.2,6494100.0,1.380190211087912,-0.5066789497927197
2013-04-12,42.97,43.29,42.62,43.09,4199800.0,1.5720319099014588,0.27926460321155355
2013-04-15,42.87,43.03,41.41,41.44,7152500.0,3.9120985269258743,-3.3356659668766033
2013-04-16,41.67,42.53,41.13,42.45,6998000.0,3.403841478239724,1.8718502519798441
2013-04-17,42.14,42.43,41.42,42.24,5046200.0,2.4384355383872474,0.23730422401519086
2013-04-18,42.37,42.64,41.89,42.32,5009000.0,1.7904034375745999,-0.11800802454566241
2013-04-19,42.51,42.58,42.2,42.39,6493200.0,0.9004739336492783,-0.2822865208186249
2013-04-22,43.0,44.83,42.88,44.2,8531300.0,4.547574626865662,2.7906976744186114
2013-04-23,44.61,46.32,44.4,45.14,9378100.0,4.324324324324328,1.1880744227751652
2013-04-24,45.14,45.34,43.94,44.32,5541300.0,3.1861629494765724,-1.8165706690296861
2013-04-25,44.75,44.7899,43.76,44.24,5236900.0,2.3535191956124426,-1.1396648044692692
2013-04-26,44.95,46.31,44.75,45.84,10096800.0,3.486033519553078,1.9799777530589555
2013-04-29,45.83,45.93,45.05,45.23,6024700.0,1.953385127635966,-1.3091861226271033
2013-04-30,45.05,46.23,45.01,46.05,6798600.0,2.7105087758275914,2.219755826859046
2013-05-01,45.74,46.09,45.55,45.55,6398100.0,1.1855104281010018,-0.4153913423699275
2013-05-02,45.68,45.68,43.86,43.99,9649400.0,4.149566803465573,-3.699649737302972
2013-05-03,44.31,44.77,43.83,44.68,4641200.0,2.1446497832534903,0.83502595350936
2013-05-06,44.95,44.95,44.15,44.59,4085700.0,1.8120045300113348,-0.8008898776418228
2013-05-07,44.5,45.0,44.4201,44.91,3745600.0,1.3054900821925257,0.9213483146067338
2013-05-08,45.01,45.05,43.39,43.49,6973200.0,3.825766305600361,-3.3770273272606004
2013-05-09,43.34,44.45,43.25,44.24,5046900.0,2.774566473988446,2.0766035994462353
2013-05-10,44.21,45.01,44.2,45.01,4455800.0,1.832579185520351,1.809545351730371
2013-05-13,44.79,44.79,44.17,44.54,3738400.0,1.403667647724694,-0.5581603036392052
2013-05-14,44.09,45.52,44.09,45.35,5760300.0,3.243365842594692,2.857790882286228
2013-05-15,45.72,46.93,45.48,46.03,6702500.0,3.1882145998241054,0.6780402449693839
2013-05-16,46.06,46.9,46.01,46.21,4605300.0,1.9343620951966976,0.32566217976552014
2013-05-17,46.03,47.34,45.85,47.17,5244800.0,3.249727371864781,2.476645665870086
2013-05-20,47.12,47.14,46.0701,46.26,3537800.0,2.3223305354232013,-1.8251273344651942
2013-05-21,46.19,46.96,46.17,46.54,4708800.0,1.711067792939136,0.7577397705131013
2013-05-22,46.46,48.0,45.85,46.76,5203500.0,4.689203925845144,0.6457167455875961
2013-05-23,46.12,46.945,46.02,46.59,3306200.0,2.0099956540634443,1.0190806591500563
2013-05-24,46.25,46.48,45.3138,45.44,4511700.0,2.5736089226681416,-1.7513513513513563
2013-05-28,45.89,46.04,44.7,45.39,6181800.0,2.997762863534667,-1.0895619960775769
2013-05-29,44.89,45.18,43.79,43.88,6908400.0,3.1742406942224264,-2.2499443083091957
2013-05-30,44.07,45.12,44.07,44.55,4852200.0,2.3825731790333498,1.0891763104152412
2013-05-31,44.27,44.69,42.6825,42.69,9308800.0,4.703332747613191,-3.5690083578043943
2013-06-03,42.88,43.58,42.75,43.36,7176800.0,1.9415204678362534,1.1194029850746194
2013-06-04,43.42,44.47,43.38,43.63,4528400.0,2.5126786537574834,0.48364808843850954
2013-06-05,43.49,43.9,42.69,43.04,4801300.0,2.834387444366364,-1.03472062543114
2013-06-06,43.22,43.57,42.65,43.5,4261300.0,2.157092614302466,0.6478482184174019
2013-06-07,43.72,44.27,43.5,44.0,5463200.0,1.770114942528743,0.640439158279966
2013-06-10,44.33,44.33,43.22,43.92,4702700.0,2.5682554372975464,-0.9248815700428527
2013-06-11,43.31,44.05,43.05,43.59,3574800.0,2.3228803716608595,0.6465019625952462
2013-06-12,43.91,44.0,42.72,42.77,3742600.0,2.996254681647943,-2.596219539968102
2013-06-13,42.42,43.2,40.1,43.15,6096500.0,7.730673316708232,1.7208863743517135
2013-06-14,42.98,43.5,42.5,43.21,4078500.0,2.3529411764705883,0.5351326198231828
2013-06-17,43.4,43.5,42.68,43.01,3457700.0,1.9212746016869735,-0.8986175115207387
2013-06-18,42.97,43.56,42.63,43.54,3644900.0,2.1815622800844467,1.3265068652548295
2013-06-19,43.56,43.83,43.01,43.04,3663300.0,1.9065333643338764,-1.1937557392102918
2013-06-20,42.65,42.78,40.91,41.06,7474900.0,4.571009533121498,-3.728018757327072
2013-06-21,41.66,42.71,41.2,42.62,9825700.0,3.665048543689315,2.304368698991841
2013-06-24,42.07,42.395,41.32,41.89,6042400.0,2.6016456921587676,-0.42785833135250706
2013-06-25,42.15,42.77,41.61,42.63,4686900.0,2.7877913962989753,1.138790035587198
2013-06-26,43.1,43.61,43.025,43.38,4733700.0,1.359674607786173,0.6496519721577753
2013-06-27,43.56,43.98,42.735,43.13,5163900.0,2.9133029133029074,-0.98714416896235
2013-06-28,42.53,42.97,41.32,41.34,10753100.0,3.9932236205227456,-2.7980249235833474
2013-07-01,41.4,41.93,41.07,41.61,4588200.0,2.09398587776966,0.5072463768115962
2013-07-02,41.58,42.569,41.58,42.21,4365900.0,2.3785473785473887,1.5151515151515214
2013-07-03,41.88,42.31,41.61,42.23,2417500.0,1.682287911559728,0.835721107927398
2013-07-05,42.45,42.83,42.31,42.72,2743700.0,1.2290238714251855,0.6360424028268457
2013-07-08,42.9,43.69,42.82,43.68,3978300.0,2.031760859411484,1.8181818181818208
2013-07-09,44.0,44.23,43.25,43.32,3805700.0,2.265895953757218,-1.5454545454545447
2013-07-10,43.36,44.12,43.36,43.91,3080100.0,1.752767527675272,1.2684501845018383
2013-07-11,43.94,44.11,43.33,43.78,4061400.0,1.800138472190171,-0.36413290851159896
2013-07-12,43.93,45.11,43.8,45.05,5693900.0,2.9908675799086812,2.5495105850216198
2013-07-15,44.95,44.97,44.54,44.62,3265800.0,0.9654243376740004,-0.7341490545050176
2013-07-16,44.54,44.77,43.7,43.81,3714500.0,2.4485125858123578,-1.638976201167483
2013-07-17,43.97,44.15,43.74,43.96,3645400.0,0.9373571101966085,-0.022742779167609757
2013-07-18,43.96,44.56,43.81,44.32,3043700.0,1.711937913718329,0.8189262966333016
2013-07-19,44.49,44.91,44.12,44.52,4317900.0,1.7905711695376227,0.06743088334457437
2013-07-22,44.3,45.1,43.8,44.97,3810500.0,2.9680365296803752,1.512415349887137
2013-07-23,44.92,45.09,44.23,44.31,3535100.0,1.9443816414198658,-1.357969723953694
2013-07-24,44.28,44.37,43.39,43.64,3088100.0,2.2585849274026204,-1.4453477868112028
2013-07-25,43.41,44.43,43.35,44.24,4088500.0,2.491349480968854,1.9120018428933552
2013-07-26,45.01,45.12,44.17,44.79,4491100.0,2.150781073126547,-0.48878027105087507
2013-07-29,44.72,45.45,44.47,45.06,4326200.0,2.203732853609184,0.7602862254025121
2013-07-30,45.08,45.23,44.2,44.7,3619700.0,2.3303167420814344,-0.8429458740017646
2013-07-31,44.84,45.91,44.81,45.48,6020600.0,2.4548091943762422,1.4272970561998068
2013-08-01,45.14,45.9,45.04,45.25,3652400.0,1.909413854351686,0.24368630926007848
2013-08-02,45.11,45.42,44.81,45.32,3190700.0,1.3613032805177403,0.46552870760363746
2013-08-05,45.05,45.365,44.485,44.71,2953500.0,1.9781948971563508,-0.7547169811320673
2013-08-06,44.42,44.99,44.42,44.88,4980600.0,1.283205763169744,1.0355695632597948
2013-08-07,44.7,44.86,44.22,44.57,3299400.0,1.4473089099954786,-0.2908277404921757
2013-08-08,44.86,45.18,44.61,45.06,2892400.0,1.2777404169468736,0.44583147570219095
2013-08-09,44.9,45.0,44.47,44.71,3290800.0,1.1918147065437399,-0.4231625835189259
2013-08-12,44.71,45.2,44.39,45.04,3826400.0,1.824735300743416,0.7380899127711883
2013-08-13,45.12,45.18,44.68,44.93,2791800.0,1.1190689346463742,-0.4210992907801368
2013-08-14,44.85,45.23,44.45,44.58,2990500.0,1.7547806524184342,-0.6020066889632176
2013-08-15,44.6,44.62,43.1333,43.21,4363100.0,3.446756914031616,-3.1165919282511223
2013-08-16,42.94,43.14,42.42,43.0,6093300.0,1.6973125884016944,0.13972985561248782
2013-08-19,43.01,43.81,42.95,43.37,3326900.0,2.0023282887077984,0.8370146477563345
2013-08-20,43.29,43.48,42.85,42.97,2803000.0,1.4702450408401295,-0.7392007392007399
2013-08-21,42.82,42.88,42.25,42.31,4118800.0,1.4911242603550356,-1.1910322279308687
2013-08-22,42.4,43.1,42.29,42.92,4077700.0,1.915346417592817,1.22641509433963
2013-08-23,43.01,43.5,42.85,43.43,2738100.0,1.5169194865810935,0.9765170890490624
2013-08-26,43.43,43.74,43.19,43.45,3493400.0,1.2734429266033904,0.04605111673958813
2013-08-27,43.02,43.089,42.6,42.63,4473000.0,1.1478873239436553,-0.9065550906555104
2013-08-28,42.53,42.808,42.35,42.56,3009700.0,1.0814639905548957,0.07053844345168384
2013-08-29,42.32,43.09,42.26,42.62,2788900.0,1.9640321817321473,0.7088846880907305
2013-08-30,42.76,43.03,42.3,42.61,3170700.0,1.7257683215130117,-0.35079513564078246
2013-09-03,43.0,43.28,42.31,42.59,2925600.0,2.2926022216969955,-0.9534883720930153
2013-09-04,42.6,43.14,42.59,43.13,3190700.0,1.2913829537450037,1.2441314553990637
2013-09-05,43.03,43.66,43.0,43.51,3355500.0,1.5348837209302246,1.1155008133860025
2013-09-06,43.53,44.35,42.891,43.89,3992200.0,3.401646032967297,0.8270158511371455
2013-09-09,43.88,44.44,43.5,44.43,3287500.0,2.1609195402298798,1.2534184138559643
2013-09-10,44.58,44.815,44.1,44.78,4282300.0,1.6213151927437557,0.4486316733961482
2013-09-11,44.81,44.97,44.39,44.95,3441700.0,1.3066005857175,0.3124302611024337
2013-09-12,44.84,44.95,44.5,44.7,2597900.0,1.0112359550561862,-0.31222123104371224
2013-09-13,44.71,44.89,44.43,44.89,2273500.0,1.0353364843574182,0.402594497875195
2013-09-16,45.32,45.95,45.19,45.82,3531700.0,1.6817880061960726,1.1032656663724625
2013-09-17,45.92,47.695,45.86,47.6,7293800.0,4.001308329699086,3.658536585365853
2013-09-18,47.19,48.42,46.885,47.92,6689400.0,3.273968220113051,1.5469379105742829
2013-09-19,48.21,48.23,47.31,47.4,5326500.0,1.944620587613601,-1.6801493466085922
2013-09-20,47.44,48.0,47.33,47.84,10495300.0,1.4155926473695366,0.8431703204047338
2013-09-23,47.56,47.56,46.93,47.1,3179500.0,1.3424248881312648,-0.9671993271656872
2013-09-24,46.95,46.95,45.94,45.98,7162700.0,2.19851980844581,-2.0660276890308964
2013-09-25,46.09,46.16,45.02,45.33,4571900.0,2.532207907596609,-1.648947711000228
2013-09-26,45.33,45.6192,44.81,45.0,5033900.0,1.805846909172053,-0.7279947054930472
2013-09-27,44.87,44.9,44.015,44.33,6617300.0,2.010678177893895,-1.2034767104969895
2013-09-30,44.52,44.95,44.03,44.73,5818400.0,2.0894844424256225,0.4716981132075331
2013-10-01,44.81,45.8975,44.81,45.8,4159700.0,2.426913635349249,2.2093282749386183
2013-10-02,45.34,45.97,45.12,45.95,4056800.0,1.8838652482269538,1.3453903837670917
2013-10-03,45.6,46.3399,45.1,46.01,7020800.0,2.7492239467849195,0.8991228070175364
2013-10-04,46.18,46.88,46.0,46.8,4141400.0,1.913043478260875,1.3425725422260664
2013-10-07,46.12,46.98,46.09,46.09,4703700.0,1.9310045563028713,-0.06504770164786218
2013-10-08,46.29,46.32,44.39,44.52,7091500.0,4.347826086956521,-3.8237200259235173
2013-10-09,44.72,45.31,44.32,44.81,5113000.0,2.2337545126353833,0.2012522361359647
2013-10-10,45.1,45.68,44.51,45.68,3967500.0,2.6286227813974428,1.2860310421285992
2013-10-11,45.7,45.7,44.955,45.65,2985700.0,1.6572127683238895,-0.10940919037200057
2013-10-14,45.21,46.45,45.07,46.33,3377300.0,3.0619037053472433,2.4773280247732745
2013-10-15,46.05,46.38,45.75,46.08,3533300.0,1.3770491803278744,0.06514657980456273
2013-10-16,46.31,47.27,46.203,47.06,4399900.0,2.3093738501828884,1.6195206218959188
2013-10-17,46.95,48.32,46.95,48.17,7242400.0,2.917997870074542,2.598509052183171
2013-10-18,48.38,48.95,47.769,48.33,9212900.0,2.472314681069322,-0.10334849111203856
2013-10-21,48.08,48.55,47.76,48.35,4713200.0,1.6541038525963132,0.5615640599001729
2013-10-22,48.39,49.31,48.11,49.0,6937500.0,2.49428393265434,1.2605910312047932
2013-10-23,48.76,48.86,48.28,48.33,4130300.0,1.2013256006627968,-0.8818703855619354
2013-10-24,48.63,48.9799,47.74,47.93,5077900.0,2.597193129451191,-1.439440674480779
2013-10-25,49.1,49.83,48.56,49.3,6956800.0,2.6153212520593,0.4073319755600728
2013-10-28,49.13,49.97,48.97,49.42,5555000.0,2.042066571370227,0.5902707103602669
2013-10-29,49.48,50.2,49.48,49.79,5022900.0,1.4551333872271746,0.6265157639450329
2013-10-30,49.57,49.57,48.72,48.8,4011600.0,1.7446633825944202,-1.5533588864232462
2013-10-31,48.68,49.0,48.44,48.45,4563700.0,1.1560693641618545,-0.4724732949876682
2013-11-01,48.64,49.325,48.5,48.96,3866900.0,1.7010309278350573,0.6578947368421059
2013-11-04,49.19,49.19,48.0,48.76,4095600.0,2.4791666666666616,-0.8741614149217316
2013-11-05,48.59,48.76,48.025,48.17,4095400.0,1.530452889120249,-0.8643753858818721
2013-11-06,48.5,48.74,48.0,48.05,4308100.0,1.541666666666671,-0.9278350515463977
2013-11-07,48.17,48.36,47.18,47.24,4444900.0,2.501059771089444,-1.9306622379074105
2013-11-08,47.13,48.1,46.83,48.03,5190900.0,2.711936792654288,1.9096117122851655
2013-11-11,48.23,48.67,48.19,48.57,2282900.0,0.9960572732932226,0.7049554219365611
2013-11-12,48.45,48.48,47.275,47.48,5351100.0,2.5489159175039626,-2.002063983488144
2013-11-13,47.36,47.93,47.29,47.85,3745100.0,1.3533516599703965,1.0346283783783825
2013-11-14,47.99,48.47,47.688,48.04,3411800.0,1.6398255326287459,0.1041883725776144
2013-11-15,48.03,48.75,48.0,48.44,6257100.0,1.5625,0.8536331459504405
