Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,11.25,11.75,11.25,11.75,10100.0,4.444444444444445,4.444444444444445
1990-01-03,11.63,11.63,11.25,11.63,12300.0,3.3777777777777844,0.0
1990-01-04,11.38,11.38,11.13,11.25,2800.0,2.2461814914645104,-1.142355008787353
1990-01-05,11.25,11.5,11.0,11.5,17800.0,4.545454545454546,2.2222222222222223
1990-01-08,11.5,11.5,11.5,11.5,800.0,0.0,0.0
1990-01-09,11.5,11.5,11.25,11.25,5600.0,2.2222222222222223,-2.1739130434782608
1990-01-10,11.13,11.13,10.63,11.0,10200.0,4.703668861712136,-1.1680143755615524
1990-01-11,11.13,11.5,11.13,11.38,4400.0,3.324348607367468,2.2461814914645104
1990-01-12,11.13,11.13,10.88,11.0,3400.0,2.2977941176470584,-1.1680143755615524
1990-01-15,11.0,11.0,10.75,10.75,2200.0,2.3255813953488373,-2.272727272727273
1990-01-16,11.0,11.0,10.75,10.75,0.0,2.3255813953488373,-2.272727272727273
1990-01-17,10.75,10.88,10.75,10.88,3000.0,1.2093023255814026,1.2093023255814026
1990-01-18,10.88,11.13,10.88,11.0,10700.0,2.2977941176470584,1.102941176470581
1990-01-19,11.0,11.0,11.0,11.0,800.0,0.0,0.0
1990-01-22,10.75,10.75,10.75,10.75,1500.0,0.0,0.0
1990-01-23,10.63,10.63,10.5,10.63,1400.0,1.2380952380952457,0.0
1990-01-24,10.62,10.62,10.5,10.62,0.0,1.1428571428571355,0.0
1990-01-25,10.5,10.5,9.38,9.38,13100.0,11.940298507462677,-10.666666666666659
1990-01-26,9.38,9.38,9.0,9.0,23800.0,4.22222222222223,-4.051172707889133
1990-01-29,9.0,9.0,8.5,8.5,6400.0,5.88235294117647,-5.555555555555555
1990-01-30,8.5,8.63,8.25,8.38,7400.0,4.606060606060615,-1.4117647058823437
1990-01-31,8.5,9.25,8.5,9.13,8700.0,8.823529411764707,7.411764705882362
1990-02-01,9.0,9.0,9.0,9.0,3800.0,0.0,0.0
1990-02-02,9.0,9.13,9.0,9.13,3600.0,1.444444444444453,1.444444444444453
1990-02-05,9.25,9.75,9.25,9.75,2800.0,5.405405405405405,5.405405405405405
1990-02-06,9.88,10.13,9.88,10.13,3900.0,2.5303643724696356,2.5303643724696356
1990-02-07,10.25,10.25,10.25,10.25,400.0,0.0,0.0
1990-02-08,10.0,10.0,10.0,10.0,500.0,0.0,0.0
1990-02-09,10.0,10.0,9.63,9.75,6200.0,3.842159916926264,-2.5
1990-02-12,9.75,10.25,9.75,9.75,1700.0,5.128205128205128,0.0
1990-02-13,9.75,10.0,9.63,9.63,3600.0,3.842159916926264,-1.2307692307692228
1990-02-14,9.63,9.88,9.25,9.25,3100.0,6.810810810810819,-3.946002076843206
1990-02-15,9.25,9.63,9.13,9.63,2300.0,5.476451259583789,4.108108108108117
1990-02-16,9.63,9.88,9.5,9.5,900.0,4.000000000000008,-1.3499480789200495
1990-02-20,9.62,9.88,9.5,9.5,0.0,4.000000000000008,-1.2474012474012393
1990-02-21,9.5,9.5,9.13,9.5,7100.0,4.052573932091995,0.0
1990-02-22,9.25,9.25,9.0,9.0,3900.0,2.7777777777777777,-2.7027027027027026
1990-02-23,8.88,8.88,8.88,8.88,200.0,0.0,0.0
1990-02-26,8.88,8.88,8.5,8.63,1200.0,4.470588235294127,-2.815315315315315
