Date,Open,High,Low,Close,Volume,HML,PCT
2001-07-19,15.1,15.29,15.0,15.17,34994300.0,1.9333333333333276,0.4635761589403992
2001-07-20,15.05,15.05,14.8,15.01,9238500.0,1.689189189189189,-0.2657807308970161
2001-07-23,15.0,15.01,14.55,15.0,7501000.0,3.1615120274914026,0.0
2001-07-24,14.95,14.97,14.7,14.86,3537300.0,1.8367346938775602,-0.6020066889632099
2001-07-25,14.7,14.95,14.65,14.95,4208100.0,2.047781569965863,1.7006802721088436
2001-07-26,14.95,14.99,14.5,14.5,6335300.0,3.379310344827588,-3.010033444816049
2001-07-27,14.51,14.59,14.5,14.51,3524000.0,0.6206896551724128,0.0
2001-07-30,14.5,14.78,14.5,14.7,3654300.0,1.9310344827586163,1.3793103448275814
2001-07-31,14.71,15.01,14.6,14.96,1429000.0,2.808219178082193,1.699524133242692
2001-08-01,15.0,15.5,14.9,15.5,2087900.0,4.02684563758389,3.3333333333333335
2001-08-02,15.4,15.5,15.1,15.4,1717400.0,2.6490066225165587,0.0
2001-08-03,15.4,15.4,14.98,15.15,983600.0,2.8037383177570088,-1.6233766233766231
2001-08-06,15.15,15.22,15.02,15.1,777400.0,1.3315579227696475,-0.3300330033003347
2001-08-07,15.1,15.55,15.1,15.5,788900.0,2.980132450331133,2.6490066225165587
2001-08-08,15.4,15.6,15.0,15.0,2190300.0,3.9999999999999973,-2.5974025974025996
2001-08-09,15.05,15.5,15.0,15.5,928000.0,3.3333333333333335,2.9900332225913573
2001-08-10,15.4,15.4,15.12,15.19,703300.0,1.8518518518518594,-1.363636363636369
2001-08-13,15.15,15.34,14.9,15.01,1770400.0,2.9530201342281845,-0.9240924092409277
2001-08-14,15.05,15.06,14.65,14.7,1000800.0,2.79863481228669,-2.3255813953488467
2001-08-15,14.75,14.9,14.7,14.79,530900.0,1.3605442176870821,0.2711864406779603
2001-08-16,14.78,14.78,14.05,14.05,1522700.0,5.195729537366538,-4.939106901217853
2001-08-17,14.06,14.8,13.9,14.52,2342400.0,6.4748201438848945,3.2716927453769493
2001-08-20,14.52,14.52,14.52,14.52,1434900.0,0.0,0.0
2001-08-21,15.25,15.6,15.01,15.46,1038200.0,3.9307128580946022,1.3770491803278744
2001-08-22,15.32,15.39,14.78,15.34,829000.0,4.12719891745603,0.13054830287205987
2001-08-23,15.45,15.45,15.25,15.25,470000.0,1.3114754098360608,-1.294498381877018
2001-08-24,15.25,15.48,15.0,15.4,689000.0,3.200000000000003,0.9836065573770515
2001-08-27,15.48,15.65,15.4,15.48,827700.0,1.6233766233766231,0.0
2001-08-28,15.42,15.58,15.25,15.36,736900.0,2.163934426229509,-0.389105058365762
2001-08-29,15.29,15.31,15.0,15.01,397400.0,2.06666666666667,-1.8312622629169353
2001-08-30,15.04,15.04,14.85,14.95,640100.0,1.279461279461276,-0.5984042553191481
2001-08-31,15.0,15.1,14.9,14.9,3337900.0,1.342281879194626,-0.6666666666666643
2001-09-04,15.0,15.65,15.0,15.38,1068600.0,4.333333333333336,2.5333333333333385
2001-09-05,15.38,15.38,14.9,14.91,1053200.0,3.2214765100671174,-3.0559167750325136
2001-09-06,14.75,15.01,14.4,14.5,1384500.0,4.236111111111107,-1.694915254237288
2001-09-07,14.45,14.64,14.35,14.52,1408500.0,2.0209059233449542,0.4844290657439466
2001-09-10,14.58,15.16,14.55,15.15,622100.0,4.192439862542951,3.909465020576133
2001-09-17,15.14,15.14,14.47,14.6,1934300.0,4.630269523151346,-3.5667107001321066
2001-09-18,14.6,15.0,14.35,14.55,902800.0,4.529616724738679,-0.34246575342465024
2001-09-19,14.69,14.69,13.72,13.95,2415400.0,7.069970845481041,-5.037440435670526
2001-09-20,13.9,13.9,12.84,12.95,3498900.0,8.255451713395642,-6.834532374100727
2001-09-21,13.0,13.0,12.16,12.75,2051800.0,6.907894736842104,-1.9230769230769231
2001-09-24,13.28,13.28,12.95,13.2,1964200.0,2.548262548262549,-0.6024096385542175
2001-09-25,13.2,13.2,13.2,13.2,1827300.0,0.0,0.0
