Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,33.0,33.13,32.75,33.13,194100.0,1.160305343511458,0.3939393939394017
1990-01-03,33.0,33.13,32.75,33.0,510500.0,1.160305343511458,0.0
1990-01-04,33.0,33.0,32.0,32.5,312100.0,3.125,-1.5151515151515151
1990-01-05,32.25,32.38,31.63,31.75,201500.0,2.3711666139740863,-1.550387596899225
1990-01-08,31.5,31.88,31.38,31.63,155200.0,1.5933715742511154,0.4126984126984095
1990-01-09,31.63,31.88,31.38,31.5,190000.0,1.5933715742511154,-0.41100221308883655
1990-01-10,31.25,31.75,31.25,31.63,462300.0,1.6,1.2159999999999969
1990-01-11,31.88,32.13,31.75,31.88,398300.0,1.1968503937007955,0.0
1990-01-12,31.75,31.75,31.13,31.25,151800.0,1.9916479280436912,-1.574803149606299
1990-01-15,31.13,31.25,31.13,31.25,119100.0,0.38548024413749116,0.38548024413749116
1990-01-16,31.13,31.38,31.0,31.38,169800.0,1.2258064516129,0.8030838419530999
1990-01-17,31.38,31.63,31.13,31.25,351200.0,1.6061676839061998,-0.4142766093052868
1990-01-18,31.0,31.13,30.63,30.88,274200.0,1.632386549134835,-0.3870967741935516
1990-01-19,31.0,31.25,30.88,31.25,260800.0,1.1981865284974125,0.8064516129032258
1990-01-22,31.25,31.25,30.88,30.88,236800.0,1.1981865284974125,-1.184000000000003
1990-01-23,30.88,31.13,30.63,31.13,173800.0,1.632386549134835,0.8095854922279794
1990-01-24,30.63,30.88,30.38,30.63,271100.0,1.6458196181698488,0.0
1990-01-25,30.75,30.88,30.38,30.5,215600.0,1.6458196181698488,-0.8130081300813009
1990-01-26,30.5,30.75,30.25,30.75,261300.0,1.6528925619834711,0.819672131147541
1990-01-29,30.75,30.88,30.38,30.63,182900.0,1.6458196181698488,-0.3902439024390276
1990-01-30,30.63,30.75,30.38,30.63,141700.0,1.2179065174456913,0.0
1990-01-31,30.63,31.0,30.63,30.88,166400.0,1.2079660463597814,0.8161932745674175
1990-02-01,30.88,31.13,30.88,30.88,151500.0,0.8095854922279794,0.0
1990-02-02,30.88,31.13,30.75,31.0,1047000.0,1.235772357723574,0.3886010362694333
1990-02-05,30.25,30.25,30.0,30.13,1127600.0,0.8333333333333334,-0.39669421487603634
1990-02-06,30.0,30.13,29.75,29.88,708800.0,1.2773109243697445,-0.4000000000000033
1990-02-07,29.75,30.13,29.63,30.13,183200.0,1.6874789065136686,1.2773109243697445
1990-02-08,30.0,30.5,30.0,30.25,220700.0,1.6666666666666667,0.8333333333333334
1990-02-09,30.38,30.5,30.25,30.25,93600.0,0.8264462809917356,-0.4279131007241574
1990-02-12,30.25,30.5,30.25,30.38,84400.0,0.8264462809917356,0.4297520661156992
1990-02-13,30.5,30.5,30.25,30.5,166700.0,0.8264462809917356,0.0
1990-02-14,30.5,30.5,30.25,30.38,256500.0,0.8264462809917356,-0.393442622950823
1990-02-15,30.25,30.5,30.13,30.38,188700.0,1.2280119482243645,0.4297520661156992
1990-02-16,30.5,30.5,30.25,30.25,385500.0,0.8264462809917356,-0.819672131147541
1990-02-20,30.0,30.13,29.63,29.75,179100.0,1.6874789065136686,-0.8333333333333334
1990-02-21,29.63,29.88,29.38,29.75,235400.0,1.7018379850238259,0.4049949375632838
1990-02-22,29.63,30.13,29.63,29.88,195400.0,1.6874789065136686,0.8437394532568343
1990-02-23,29.75,30.13,29.75,29.88,162200.0,1.2773109243697445,0.43697478991596306
1990-02-26,29.75,30.0,29.75,30.0,513300.0,0.8403361344537815,0.8403361344537815
1990-02-27,29.88,30.25,29.88,30.13,489900.0,1.238286479250338,0.8366800535475234
1990-02-28,30.13,30.5,30.13,30.5,364600.0,1.2280119482243645,1.2280119482243645
1990-03-01,30.38,30.63,30.38,30.5,369300.0,0.8229098090849244,0.394996708360767
1990-03-02,30.38,30.63,30.38,30.63,502300.0,0.8229098090849244,0.8229098090849244
1990-03-05,30.5,30.63,30.38,30.38,273500.0,0.8229098090849244,-0.393442622950823
1990-03-06,30.38,30.75,30.38,30.63,117600.0,1.2179065174456913,0.8229098090849244
1990-03-07,30.63,30.75,30.38,30.38,240600.0,1.2179065174456913,-0.8161932745674175
1990-03-08,30.5,30.63,30.38,30.63,107400.0,0.8229098090849244,0.42622950819671807
1990-03-09,30.5,30.63,30.38,30.5,104200.0,0.8229098090849244,0.0
1990-03-12,30.5,30.63,30.38,30.5,212100.0,0.8229098090849244,0.0
1990-03-13,30.5,30.63,30.38,30.63,132600.0,0.8229098090849244,0.42622950819671807
1990-03-14,30.63,30.63,30.38,30.5,294500.0,0.8229098090849244,-0.4244205027750539
1990-03-15,30.5,30.63,30.38,30.63,197400.0,0.8229098090849244,0.42622950819671807
1990-03-16,30.75,30.75,30.5,30.75,506300.0,0.819672131147541,0.0
1990-03-19,30.5,30.75,30.38,30.63,166500.0,1.2179065174456913,0.42622950819671807
1990-03-20,30.5,30.63,30.38,30.5,246900.0,0.8229098090849244,0.0
1990-03-21,30.5,30.63,30.38,30.5,295000.0,0.8229098090849244,0.0
1990-03-22,30.38,30.5,30.13,30.38,384000.0,1.2280119482243645,0.0
1990-03-23,30.38,30.5,30.25,30.5,853900.0,0.8264462809917356,0.394996708360767
1990-03-26,30.5,30.63,30.5,30.5,149000.0,0.42622950819671807,0.0
1990-03-27,30.38,30.5,30.38,30.5,496000.0,0.394996708360767,0.394996708360767
1990-03-28,30.38,30.5,30.13,30.25,451000.0,1.2280119482243645,-0.4279131007241574
1990-03-29,30.13,30.25,30.0,30.25,116400.0,0.8333333333333334,0.39827414537006633
1990-03-30,30.25,30.38,30.13,30.38,437300.0,0.829737802854298,0.4297520661156992
1990-04-02,30.13,30.38,30.13,30.25,338300.0,0.829737802854298,0.39827414537006633
1990-04-03,30.25,30.38,30.13,30.25,164500.0,0.829737802854298,0.0
1990-04-04,30.38,30.5,30.13,30.38,277000.0,1.2280119482243645,0.0
1990-04-05,30.25,30.38,30.13,30.13,135500.0,0.829737802854298,-0.39669421487603634
1990-04-06,30.25,30.25,30.0,30.25,92300.0,0.8333333333333334,0.0
1990-04-09,30.13,30.25,30.0,30.13,304700.0,0.8333333333333334,0.0
1990-04-10,30.0,30.13,29.88,30.0,226800.0,0.8366800535475234,0.0
1990-04-11,30.13,30.13,29.88,30.13,139900.0,0.8366800535475234,0.0
1990-04-12,30.0,30.13,29.88,30.13,274800.0,0.8366800535475234,0.43333333333333
1990-04-16,30.13,30.13,29.88,30.0,349600.0,0.8366800535475234,-0.4314636574842317
1990-04-17,29.88,30.0,29.88,29.88,426200.0,0.4016064257028146,0.0
1990-04-18,29.88,30.0,29.75,29.88,1154500.0,0.8403361344537815,0.0
1990-04-19,29.75,30.0,29.63,29.88,671400.0,1.248734390820118,0.43697478991596306
1990-04-20,29.88,30.0,29.5,29.88,1351000.0,1.694915254237288,0.0
1990-04-23,29.75,29.88,29.5,29.5,821400.0,1.2881355932203358,-0.8403361344537815
1990-04-24,29.5,29.63,29.25,29.38,111500.0,1.2991452991452956,-0.40677966101695257
1990-04-25,29.38,29.5,29.25,29.25,200100.0,0.8547008547008548,-0.4424778761061913
1990-04-26,29.38,29.5,29.25,29.38,180800.0,0.8547008547008548,0.0
1990-04-27,29.38,29.5,29.25,29.25,193100.0,0.8547008547008548,-0.4424778761061913
1990-04-30,29.25,29.38,29.13,29.13,623000.0,0.8582217645039478,-0.41025641025641363
1990-05-01,29.25,29.38,29.13,29.13,154300.0,0.8582217645039478,-0.41025641025641363
1990-05-02,29.13,29.38,29.13,29.38,445200.0,0.8582217645039478,0.8582217645039478
1990-05-03,29.25,29.38,29.0,29.25,499500.0,1.3103448275862035,0.0
1990-05-04,28.88,29.0,28.75,28.88,930000.0,0.8695652173913043,0.0
1990-05-07,28.63,28.88,28.5,28.75,1264600.0,1.3333333333333297,0.41914076143905343
1990-05-08,28.75,29.0,28.63,29.0,407700.0,1.2923506811037409,0.8695652173913043
1990-05-09,28.88,29.13,28.88,29.13,290500.0,0.8656509695290859,0.8656509695290859
1990-05-10,29.13,29.38,29.13,29.38,175700.0,0.8582217645039478,0.8582217645039478
1990-05-11,29.63,30.0,29.5,29.75,331600.0,1.694915254237288,0.4049949375632838
1990-05-14,29.88,30.25,29.75,30.13,363600.0,1.680672268907563,0.8366800535475234
