Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,17.87,17.87,17.62,17.62,64373.0,1.4188422247446084,-1.3989927252378287
1990-01-03,17.75,17.75,17.12,17.25,202613.0,3.679906542056069,-2.8169014084507045
1990-01-04,17.25,17.38,16.75,16.88,199680.0,3.7611940298507403,-2.1449275362318896
1990-01-05,16.88,17.12,16.88,16.88,57280.0,1.4218009478673106,0.0
1990-01-08,17.25,17.38,16.88,17.12,127040.0,2.962085308056872,-0.7536231884057913
1990-01-09,17.0,17.25,17.0,17.0,79680.0,1.4705882352941175,0.0
1990-01-10,16.88,17.0,16.0,16.37,234080.0,6.25,-3.021327014217998
1990-01-11,16.25,17.12,16.25,17.0,204000.0,5.35384615384616,4.615384615384616
1990-01-12,16.88,16.88,16.5,16.5,195360.0,2.303030303030297,-2.251184834123217
1990-01-15,16.5,16.75,16.37,16.5,161600.0,2.3213194868662126,0.0
1990-01-16,16.25,16.25,15.75,16.0,249600.0,3.1746031746031744,-1.5384615384615385
1990-01-17,16.0,16.25,15.75,15.88,213653.0,3.1746031746031744,-0.7499999999999951
1990-01-18,15.62,16.0,15.5,15.88,147253.0,3.225806451612903,1.6645326504481535
1990-01-19,16.0,17.0,15.88,16.75,282453.0,7.0528967254408,4.6875
1990-01-22,16.88,17.38,16.75,16.75,240160.0,3.7611940298507403,-0.7701421800947809
1990-01-23,17.12,17.25,16.5,16.5,197440.0,4.545454545454546,-3.621495327102809
1990-01-24,16.37,16.37,15.5,16.25,288480.0,5.612903225806458,-0.7330482590103908
1990-01-25,16.37,16.63,16.0,16.0,118560.0,3.937499999999994,-2.2602321319486927
1990-01-26,16.0,16.25,15.75,15.75,150933.0,3.1746031746031744,-1.5625
1990-01-29,15.88,16.0,15.75,15.75,61760.0,1.5873015873015872,-0.8186397984886697
1990-01-30,15.75,15.88,15.25,15.25,127200.0,4.131147540983612,-3.1746031746031744
1990-01-31,15.37,16.13,15.37,15.88,193973.0,4.944697462589459,3.3181522446324117
1990-02-01,15.88,16.0,15.75,15.75,109973.0,1.5873015873015872,-0.8186397984886697
1990-02-02,15.75,16.25,15.75,15.88,150453.0,3.1746031746031744,0.8253968253968303
1990-02-05,15.75,15.88,15.62,15.62,161280.0,1.6645326504481535,-0.8253968253968303
1990-02-06,15.75,15.75,15.37,15.37,205653.0,2.472348731294735,-2.412698412698418
1990-02-07,15.5,15.75,15.37,15.62,172373.0,2.472348731294735,0.7741935483870918
1990-02-08,15.62,16.13,15.62,16.0,189280.0,3.2650448143405875,2.4327784891165223
1990-02-09,16.0,16.13,15.75,15.75,68373.0,2.4126984126984063,-1.5625
1990-02-12,15.62,16.13,15.62,16.0,106080.0,3.2650448143405875,2.4327784891165223
1990-02-13,16.0,16.13,15.75,15.75,29813.0,2.4126984126984063,-1.5625
1990-02-14,15.88,15.88,15.75,15.75,113760.0,0.8253968253968303,-0.8186397984886697
1990-02-15,15.75,15.88,15.62,15.62,72000.0,1.6645326504481535,-0.8253968253968303
1990-02-16,15.88,15.88,15.62,15.62,82133.0,1.6645326504481535,-1.6372795969773395
1990-02-20,15.37,15.37,15.0,15.37,206560.0,2.4666666666666615,0.0
1990-02-21,15.13,15.75,15.13,15.75,227360.0,4.097818902842031,4.097818902842031
1990-02-22,15.62,15.88,15.5,15.5,112533.0,2.4516129032258114,-0.7682458386683689
1990-02-23,15.37,15.5,15.25,15.25,123040.0,1.639344262295082,-0.7807417046193834
1990-02-26,15.25,15.25,14.87,14.87,172853.0,2.555480833893751,-2.4918032786885296
1990-02-27,14.87,14.87,14.5,14.5,132213.0,2.551724137931029,-2.4882313382649577
1990-02-28,14.63,15.13,14.63,15.0,309333.0,3.4176349965823647,2.5290498974709448
1990-03-01,15.37,15.37,15.13,15.13,121280.0,1.5862524785194874,-1.5614834092387668
1990-03-02,15.37,15.37,15.0,15.0,57013.0,2.4666666666666615,-2.407286922576443
1990-03-05,15.13,15.13,14.87,15.0,85813.0,1.748486886348363,-0.8592200925313996
1990-03-06,15.25,15.25,14.87,15.0,62560.0,2.555480833893751,-1.639344262295082
1990-03-07,14.87,14.87,14.75,14.87,547733.0,0.8135593220338929,0.0
1990-03-08,14.87,14.87,14.5,14.75,131040.0,2.551724137931029,-0.8069939475453882
1990-03-09,14.63,15.0,14.63,14.87,91413.0,2.5290498974709448,1.6404647983595244
1990-03-12,14.75,14.87,14.75,14.87,61653.0,0.8135593220338929,0.8135593220338929
