Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,17.38,17.88,17.25,17.75,239500.0,3.6521739130434723,2.1288837744534006
1990-01-03,18.0,18.63,18.0,18.38,608100.0,3.4999999999999947,2.111111111111106
1990-01-04,18.38,18.5,18.25,18.38,455200.0,1.36986301369863,0.0
1990-01-05,18.38,18.5,18.0,18.13,201600.0,2.7777777777777777,-1.3601741022850924
1990-01-08,18.13,18.25,17.75,18.13,515200.0,2.8169014084507045,0.0
1990-01-09,17.75,17.75,17.38,17.5,1279300.0,2.1288837744534006,-1.4084507042253522
1990-01-10,17.38,17.38,16.75,17.0,535000.0,3.7611940298507403,-2.18642117376294
1990-01-11,17.0,17.25,16.75,16.75,329200.0,2.9850746268656714,-1.4705882352941175
1990-01-12,16.75,17.0,16.13,16.75,536600.0,5.393676379417242,0.0
1990-01-15,16.75,16.75,16.25,16.38,100600.0,3.076923076923077,-2.208955223880603
1990-01-16,16.38,16.63,16.25,16.5,97000.0,2.3384615384615324,0.7326007326007388
1990-01-17,16.5,16.75,16.5,16.63,312900.0,1.5151515151515151,0.7878787878787818
1990-01-18,16.63,16.63,16.38,16.38,139600.0,1.5262515262515264,-1.503307276007216
1990-01-19,16.38,16.5,16.38,16.38,93700.0,0.7326007326007388,0.0
1990-01-22,16.38,16.5,15.63,15.75,178500.0,5.566218809980801,-3.84615384615384
1990-01-23,15.75,16.0,14.88,15.0,269800.0,7.526881720430103,-4.761904761904762
1990-01-24,14.88,14.88,14.5,14.75,128100.0,2.620689655172419,-0.8736559139784997
1990-01-25,14.75,14.75,13.75,13.88,570800.0,7.2727272727272725,-5.898305084745757
1990-01-26,13.88,14.38,12.25,13.88,1393100.0,17.38775510204082,0.0
1990-01-29,13.75,13.75,13.13,13.5,695500.0,4.722010662604716,-1.8181818181818181
1990-01-30,13.5,13.75,13.25,13.63,709400.0,3.7735849056603774,0.9629629629629688
1990-01-31,13.63,13.88,13.63,13.63,131500.0,1.834189288334556,0.0
1990-02-01,13.63,13.88,13.5,13.75,655100.0,2.8148148148148207,0.8804108584005812
1990-02-02,13.75,14.88,13.63,14.75,279500.0,9.170946441672779,7.2727272727272725
1990-02-05,14.75,15.63,14.63,15.63,185500.0,6.835269993164729,5.96610169491526
1990-02-06,15.5,15.5,15.13,15.5,117600.0,2.445472571050887,0.0
1990-02-07,15.5,15.5,15.13,15.13,146200.0,2.445472571050887,-2.387096774193543
1990-02-08,15.13,15.5,15.13,15.25,125200.0,2.445472571050887,0.7931262392597437
1990-02-09,15.25,15.25,14.63,14.88,167000.0,4.237867395762128,-2.426229508196716
1990-02-12,14.88,15.0,14.63,14.88,132500.0,2.5290498974709448,0.0
1990-02-13,14.88,14.88,14.25,14.38,455400.0,4.421052631578952,-3.3602150537634405
1990-02-14,14.38,14.38,13.75,14.0,161000.0,4.581818181818187,-2.6425591098748313
1990-02-15,14.0,14.13,13.88,14.13,50000.0,1.8011527377521614,0.9285714285714342
1990-02-16,14.13,14.38,13.88,14.25,113600.0,3.602305475504323,0.8492569002123087
1990-02-20,14.25,14.63,14.13,14.5,57400.0,3.5385704175513095,1.7543859649122806
