Date,Open,High,Low,Close,Volume,HML,PCT
1993-06-03,29.75,30.0,29.0,29.38,28301500.0,3.4482758620689653,-1.2436974789916
1993-06-04,29.13,29.38,28.63,28.63,6322200.0,2.619629758994062,-1.7164435290078957
1993-06-07,28.25,28.5,28.0,28.13,5021900.0,1.7857142857142856,-0.4247787610619504
1993-06-08,28.13,28.25,27.63,27.75,3487300.0,2.243937748823746,-1.3508709562744365
1993-06-09,27.88,28.5,27.88,28.25,2021600.0,2.2238163558106203,1.3271162123385976
1993-06-10,28.13,28.25,27.88,28.0,1302700.0,1.3271162123385976,-0.4621400639886207
1993-06-11,28.0,28.38,28.0,28.0,1320800.0,1.3571428571428537,0.0
1993-06-14,28.13,28.25,27.75,27.75,903100.0,1.8018018018018018,-1.3508709562744365
1993-06-15,28.0,28.0,27.75,27.88,1128800.0,0.9009009009009009,-0.42857142857143216
1993-06-16,27.88,28.0,27.75,28.0,1195800.0,0.9009009009009009,0.43041606886657463
1993-06-17,28.0,28.25,27.88,28.0,1063400.0,1.3271162123385976,0.0
1993-06-18,28.0,28.0,27.63,27.63,1064300.0,1.3391241404270757,-1.321428571428575
1993-06-21,27.63,27.63,27.13,27.38,1050500.0,1.8429782528566165,-0.9048136083966704
1993-06-22,27.38,27.75,27.38,27.75,796800.0,1.351351351351355,1.351351351351355
1993-06-23,27.75,28.0,27.63,27.63,974000.0,1.3391241404270757,-0.432432432432436
1993-06-24,27.63,28.13,27.25,28.13,1652600.0,3.2293577981651342,1.8096272167933407
1993-06-25,28.5,28.63,28.13,28.5,1234000.0,1.7774617845716318,0.0
1993-06-28,28.38,29.0,28.38,29.0,1261300.0,2.1846370683580023,2.1846370683580023
1993-06-29,28.88,29.0,28.25,28.75,595400.0,2.6548672566371683,-0.45013850415512124
1993-06-30,29.0,29.25,28.88,29.0,1276900.0,1.2811634349030507,0.0
1993-07-01,29.38,29.5,28.63,29.5,1428900.0,3.0387705204331157,0.40844111640572156
1993-07-02,28.88,28.88,28.63,28.75,538600.0,0.8732099196646874,-0.45013850415512124
1993-07-06,28.88,29.13,28.63,28.63,618800.0,1.7464198393293748,-0.8656509695290859
1993-07-07,28.5,28.75,28.38,28.5,833600.0,1.3037350246652608,0.0
1993-07-08,28.63,29.0,28.5,28.88,794300.0,1.7543859649122806,0.8732099196646874
1993-07-09,29.13,29.25,28.5,28.5,865600.0,2.631578947368421,-2.162718846549945
