Date,Open,High,Low,Close,Volume,HML,PCT
1996-02-28,9.0,9.5,8.5,9.13,762900.0,11.76470588235294,1.444444444444453
1996-02-29,9.25,9.25,9.0,9.25,113300.0,2.7777777777777777,0.0
1996-03-01,9.25,9.5,9.13,9.25,139800.0,4.052573932091995,0.0
1996-03-04,9.13,9.25,9.0,9.0,211300.0,2.7777777777777777,-1.4238773274917937
1996-03-05,9.0,9.13,8.75,9.13,296800.0,4.342857142857151,1.444444444444453
1996-03-06,8.75,9.13,8.75,8.75,88900.0,4.342857142857151,0.0
1996-03-07,9.0,9.0,8.75,8.87,31300.0,2.857142857142857,-1.444444444444453
1996-03-08,9.0,9.0,8.38,8.38,44400.0,7.3985680190930685,-6.88888888888888
1996-03-11,8.38,8.62,8.38,8.62,41100.0,2.863961813842463,2.863961813842463
1996-03-12,8.62,8.62,8.38,8.62,25700.0,2.863961813842463,0.0
1996-03-13,8.62,8.75,8.38,8.38,39100.0,4.41527446300715,-2.784222737819008
1996-03-14,8.75,8.75,8.38,8.38,26300.0,4.41527446300715,-4.22857142857142
1996-03-15,8.75,8.75,8.38,8.75,50800.0,4.41527446300715,0.0
1996-03-18,8.75,8.75,8.38,8.38,34400.0,4.41527446300715,-4.22857142857142
1996-03-19,8.5,8.75,8.38,8.38,29100.0,4.41527446300715,-1.4117647058823437
1996-03-20,8.38,8.75,8.38,8.38,11700.0,4.41527446300715,0.0
1996-03-21,8.38,8.75,8.38,8.38,12400.0,4.41527446300715,0.0
1996-03-22,8.62,8.75,8.38,8.38,17900.0,4.41527446300715,-2.784222737819008
1996-03-25,8.38,8.75,8.38,8.38,28100.0,4.41527446300715,0.0
1996-03-26,8.38,8.75,8.38,8.5,18900.0,4.41527446300715,1.4319809069212315
1996-03-27,8.38,8.75,8.38,8.75,9800.0,4.41527446300715,4.41527446300715
1996-03-28,8.38,8.75,8.38,8.75,11700.0,4.41527446300715,4.41527446300715
1996-03-29,8.75,8.75,8.38,8.38,9200.0,4.41527446300715,-4.22857142857142
1996-04-01,9.25,9.5,9.125,9.25,44500.0,4.10958904109589,0.0
1996-04-02,9.0,9.0,8.62,8.75,131300.0,4.408352668213467,-2.7777777777777777
1996-04-03,9.0,9.0,8.75,9.0,30100.0,2.857142857142857,0.0
1996-04-04,9.125,9.25,9.0,9.0,32700.0,2.7777777777777777,-1.36986301369863
1996-04-08,9.0,9.0,8.375,8.375,18200.0,7.462686567164178,-6.944444444444445
1996-04-09,8.94,8.94,8.75,8.75,86200.0,2.171428571428566,-2.1252796420581603
1996-04-10,8.75,8.88,8.75,8.88,111300.0,1.4857142857142946,1.4857142857142946
1996-04-11,8.375,8.625,8.375,8.625,13600.0,2.9850746268656714,2.9850746268656714
1996-04-12,8.625,8.625,8.375,8.625,19000.0,2.9850746268656714,0.0
1996-04-15,8.75,8.75,8.375,8.75,18200.0,4.477611940298507,0.0
1996-04-16,8.94,8.94,8.75,8.88,63600.0,2.171428571428566,-0.6711409395973011
1996-04-17,8.75,8.88,8.62,8.62,45200.0,3.0162412993039625,-1.4857142857142946
1996-04-18,8.75,8.75,8.375,8.375,33500.0,4.477611940298507,-4.285714285714286
1996-04-19,8.5,8.75,8.375,8.375,11900.0,4.477611940298507,-1.4705882352941175
1996-04-22,8.625,8.75,8.375,8.375,29300.0,4.477611940298507,-2.898550724637681
1996-04-23,8.62,8.88,8.62,8.62,24900.0,3.0162412993039625,0.0
1996-04-24,8.62,8.88,8.62,8.62,12700.0,3.0162412993039625,0.0
1996-04-25,8.375,8.75,8.375,8.375,47200.0,4.477611940298507,0.0
1996-04-26,8.375,8.75,8.375,8.5,23200.0,4.477611940298507,1.4925373134328357
1996-04-29,8.75,8.75,8.375,8.375,125400.0,4.477611940298507,-4.285714285714286
1996-04-30,8.88,9.25,8.75,8.88,37700.0,5.714285714285714,0.0
1996-05-01,8.75,9.0,8.375,8.625,9800.0,7.462686567164178,-1.4285714285714286
1996-05-02,9.0,9.0,8.625,8.75,7200.0,4.3478260869565215,-2.7777777777777777
1996-05-03,9.0,9.0,8.75,9.0,6900.0,2.857142857142857,0.0
1996-05-06,9.25,9.88,9.0,9.5,60000.0,9.777777777777787,2.7027027027027026
1996-05-07,9.75,10.12,9.5,10.12,54700.0,6.526315789473676,3.7948717948717867
1996-05-08,8.875,8.9375,8.875,8.875,69400.0,0.7042253521126761,0.0
1996-05-09,8.9375,8.9375,8.75,8.75,193000.0,2.142857142857143,-2.097902097902098
1996-05-10,8.75,8.875,8.75,8.875,46300.0,1.4285714285714286,1.4285714285714286
1996-05-13,10.88,11.12,10.75,10.75,34300.0,3.441860465116272,-1.1948529411764777
1996-05-14,11.12,11.12,10.62,10.75,32100.0,4.708097928436912,-3.327338129496396
1996-05-15,8.9375,8.9375,8.75,8.75,57000.0,2.142857142857143,-2.097902097902098
1996-05-16,8.9375,8.9375,8.75,8.875,29800.0,2.142857142857143,-0.6993006993006993
1996-05-17,8.75,8.875,8.625,8.625,66100.0,2.898550724637681,-1.4285714285714286
1996-05-20,10.0,10.0,9.5,9.5,20300.0,5.263157894736842,-5.0
1996-05-21,9.88,9.88,9.5,9.88,32000.0,4.000000000000008,0.0
1996-05-22,8.875,8.875,8.625,8.75,137100.0,2.898550724637681,-1.4084507042253522
1996-05-23,8.625,8.875,8.625,8.625,9400.0,2.898550724637681,0.0
1996-05-24,8.625,8.875,8.625,8.625,33100.0,2.898550724637681,0.0
1996-05-28,10.38,10.38,10.0,10.06,36300.0,3.8000000000000074,-3.082851637764935
1996-05-29,8.625,8.875,8.625,8.875,28700.0,2.898550724637681,2.898550724637681
1996-05-30,8.875,9.25,8.75,8.875,10300.0,5.714285714285714,0.0
1996-05-31,9.88,10.38,9.88,10.38,12300.0,5.060728744939271,5.060728744939271
1996-06-03,9.25,9.25,8.875,9.25,13800.0,4.225352112676056,0.0
1996-06-04,10.25,10.25,9.88,9.88,15300.0,3.744939271255052,-3.6097560975609677
1996-06-05,9.88,10.25,9.88,10.12,25400.0,3.744939271255052,2.429149797570834
1996-06-06,9.25,9.875,9.0,9.5,22800.0,9.722222222222223,2.7027027027027026
1996-06-07,9.75,10.125,9.5,10.125,42600.0,6.578947368421052,3.8461538461538463
1996-06-10,11.125,11.125,10.75,10.75,11100.0,3.488372093023256,-3.3707865168539324
1996-06-11,10.12,10.12,9.88,9.94,10400.0,2.429149797570834,-1.7786561264822107
1996-06-12,9.88,10.0,9.88,9.88,10900.0,1.214574898785417,0.0
1996-06-13,10.875,11.125,10.75,10.75,11000.0,3.488372093023256,-1.1494252873563218
1996-06-14,11.125,11.125,10.625,10.75,18500.0,4.705882352941177,-3.3707865168539324
1996-06-17,10.25,10.5,9.5,10.125,5200.0,10.526315789473683,-1.2195121951219512
1996-06-18,10.12,10.12,9.62,9.62,78500.0,5.197505197505198,-4.940711462450594
1996-06-19,10.0,10.0,9.38,9.5,159800.0,6.609808102345408,-5.0
1996-06-20,10.0,10.0,9.5,9.5,84000.0,5.263157894736842,-5.0
1996-06-21,9.875,9.875,9.5,9.875,75500.0,3.9473684210526314,0.0
1996-06-24,10.25,10.375,10.0,10.0,43000.0,3.75,-2.4390243902439024
1996-06-25,8.88,9.25,8.88,8.88,82300.0,4.166666666666657,0.0
1996-06-26,8.88,9.12,8.88,8.88,35500.0,2.702702702702685,0.0
1996-06-27,8.75,9.12,8.62,8.62,18200.0,5.80046403712297,-1.4857142857142946
1996-06-28,10.375,10.375,10.0,10.0625,26800.0,3.75,-3.0120481927710845
1996-07-01,9.875,10.375,9.875,10.375,354900.0,5.063291139240507,5.063291139240507
1996-07-02,9.0,9.0,8.62,8.62,6000.0,4.408352668213467,-4.22222222222223
1996-07-03,9.875,10.375,9.875,9.875,19300.0,5.063291139240507,0.0
1996-07-05,9.875,10.25,9.875,9.875,11400.0,3.79746835443038,0.0
1996-07-08,8.25,8.5,7.88,7.88,25600.0,7.868020304568529,-4.484848484848486
1996-07-09,8.38,8.38,7.5,7.62,147700.0,11.733333333333345,-9.069212410501201
1996-07-10,7.88,7.88,7.12,7.38,45500.0,10.674157303370784,-6.345177664974619
1996-07-11,10.125,10.125,9.875,9.9375,56100.0,2.5316455696202533,-1.8518518518518516
1996-07-12,9.875,10.0,9.875,9.875,68000.0,1.2658227848101267,0.0
1996-07-15,6.5,6.5,6.25,6.25,9900.0,4.0,-3.8461538461538463
1996-07-16,6.5,6.62,6.25,6.31,50200.0,5.920000000000002,-2.923076923076929
1996-07-17,9.875,10.125,9.875,10.125,8700.0,2.5316455696202533,2.5316455696202533
1996-07-18,10.125,10.125,9.625,9.625,18000.0,5.194805194805195,-4.938271604938271
1996-07-19,10.0,10.0,9.375,9.5,38500.0,6.666666666666667,-5.0
1996-07-22,6.38,6.38,6.0,6.0,31600.0,6.333333333333331,-5.9561128526645755
1996-07-23,6.38,6.38,6.0,6.38,33900.0,6.333333333333331,0.0
1996-07-24,9.125,9.375,9.0,9.125,11400.0,4.166666666666666,0.0
