Date,Open,High,Low,Close,Volume,HML,PCT
2009-08-06,16.5,16.91,15.56,16.18,24197800.0,8.676092544987144,-1.9393939393939412
2009-08-07,16.15,16.76,16.03,16.43,2454300.0,4.553961322520276,1.733746130030967
2009-08-10,16.63,16.63,15.61,15.97,2421000.0,6.534272901985903,-3.9687312086590403
2009-08-11,15.98,16.0,15.5,15.67,2305400.0,3.225806451612903,-1.939924906132669
2009-08-12,16.15,16.2,15.66,16.0,1451300.0,3.44827586206896,-0.928792569659434
2009-08-13,16.0,16.72,16.0,16.55,1150600.0,4.499999999999993,3.4375000000000044
2009-08-14,16.5,17.0,16.25,16.6,637800.0,4.615384615384616,0.6060606060606146
2009-08-17,16.27,16.37,16.2,16.22,254400.0,1.0493827160493934,-0.30731407498463864
2009-08-18,16.48,17.2,16.35,17.07,1446700.0,5.198776758409773,3.5800970873786397
2009-08-19,16.84,17.94,16.8,17.89,2070800.0,6.785714285714289,6.2351543942992915
2009-08-20,17.95,17.95,17.29,17.76,1882100.0,3.817235396182766,-1.0584958217270068
2009-08-21,17.79,17.97,17.58,17.82,863600.0,2.2184300341296965,0.16863406408095077
2009-08-24,17.52,17.85,17.3,17.5,1021600.0,3.179190751445091,-0.11415525114155008
2009-08-25,17.65,17.9,17.55,17.85,530800.0,1.9943019943019822,1.1331444759206961
2009-08-26,17.69,17.85,17.15,17.85,708600.0,4.0816326530612415,0.9044657998869425
2009-08-27,17.85,18.21,17.55,18.16,1161100.0,3.760683760683761,1.7366946778711412
2009-08-28,18.1,19.0,18.0,18.47,1295000.0,5.555555555555555,2.04419889502761
2009-08-31,18.35,18.4,17.81,18.2,1004800.0,3.312745648512071,-0.8174386920981042
2009-09-01,18.25,18.44,16.94,17.85,1383500.0,8.854781582054308,-2.1917808219178005
2009-09-02,17.76,18.25,17.48,17.68,1293400.0,4.40503432494279,-0.45045045045046084
2009-09-03,17.97,17.97,17.0,17.45,3657700.0,5.7058823529411695,-2.8937117417918734
2009-09-04,17.75,17.9989,17.49,17.76,1158600.0,2.909662664379649,0.05633802816902289
2009-09-08,17.76,17.93,17.45,17.7,574900.0,2.750716332378226,-0.3378378378378506
2009-09-09,17.85,17.85,17.22,17.26,551200.0,3.658536585365869,-3.305322128851539
2009-09-10,17.01,17.46,16.95,17.05,415200.0,3.008849557522133,0.23515579071134124
2009-09-11,17.0,17.33,16.54,16.88,620300.0,4.7762998790810105,-0.7058823529411823
2009-09-14,16.64,16.8999,16.31,16.65,1614500.0,3.616799509503373,0.06009615384614189
2009-09-15,17.25,17.35,16.63,17.18,1986900.0,4.329524954900797,-0.40579710144927705
2009-09-16,17.4,17.75,17.11,17.58,2021100.0,3.7405026300409148,1.0344827586206882
2009-09-17,17.66,17.9,16.53,16.64,1446400.0,8.287961282516621,-5.7757644394110965
2009-09-18,16.57,17.02,16.18,16.2,899900.0,5.191594561186649,-2.232951116475564
2009-09-21,16.28,16.63,15.87,16.61,553000.0,4.788909892879646,2.0270270270270165
2009-09-22,16.96,17.37,16.82,17.25,1114100.0,3.269916765755058,1.7099056603773533
2009-09-23,17.62,17.79,17.3,17.4,530300.0,2.832369942196523,-1.248581157775269
2009-09-24,17.33,17.8488,16.75,17.49,778800.0,6.560000000000003,0.9232544720138498
2009-09-25,17.48,17.48,17.1,17.13,468500.0,2.222222222222216,-2.002288329519459
2009-09-28,17.32,17.85,17.03,17.65,233600.0,4.815032295948328,1.9053117782909832
2009-09-29,17.55,17.84,16.95,17.03,356700.0,5.250737463126847,-2.96296296296296
2009-09-30,17.0,17.33,16.96,17.07,512600.0,2.1816037735848908,0.41176470588235464
2009-10-01,17.0,17.09,16.21,16.31,660500.0,5.428747686613195,-4.0588235294117725
2009-10-02,16.2,16.36,15.9002,16.09,629600.0,2.891787524685221,-0.6790123456790089
2009-10-05,16.1,16.53,16.0,16.49,188900.0,3.312500000000007,2.4223602484471862
2009-10-06,16.74,17.1993,16.44,16.47,469400.0,4.618613138686129,-1.612903225806449
2009-10-07,16.57,16.61,15.92,16.13,291700.0,4.3341708542713535,-2.6554013277006714
2009-10-08,16.11,16.18,15.94,16.01,557300.0,1.5056461731493114,-0.6207324643078701
2009-10-09,15.98,16.45,15.94,16.25,870500.0,3.1994981179422823,1.6896120150187706
2009-10-12,16.22,16.45,16.04,16.34,1288800.0,2.5561097256857868,0.7398273736128298
2009-10-13,16.19,16.67,16.15,16.53,557300.0,3.219814241486088,2.100061766522544
2009-10-14,16.84,17.0,16.54,16.86,695500.0,2.7811366384522422,0.11876484560569818
2009-10-15,17.4,17.95,17.1,17.16,2092000.0,4.970760233918116,-1.3793103448275774
2009-10-16,17.23,17.23,16.21,16.43,1263800.0,6.292412091301662,-4.643064422518867
2009-10-19,16.46,16.64,16.06,16.24,2142900.0,3.611457036114582,-1.3365735115431494
2009-10-20,16.34,16.73,16.27,16.53,489000.0,2.827289489858641,1.1627906976744264
2009-10-21,16.37,16.91,16.11,16.49,233800.0,4.965859714463071,0.7330482590103692
2009-10-22,16.33,16.33,15.61,16.28,983400.0,4.612427930813574,-0.30618493570114613
2009-10-23,16.13,16.41,15.92,16.05,1134100.0,3.077889447236182,-0.4959702417854823
2009-10-26,15.91,16.12,15.81,15.84,162400.0,1.9607843137254932,-0.43997485857951146
2009-10-27,15.95,15.988,15.26,15.45,328800.0,4.77064220183486,-3.1347962382445145
2009-10-28,15.5,15.5,14.89,14.93,622000.0,4.096709200805906,-3.6774193548387117
2009-10-29,14.95,15.2,14.7184,15.04,1183300.0,3.2720947929122626,0.6020066889632099
