Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,34.63,35.0,34.38,34.88,1433667.0,1.8033740546829478,0.721917412647993
1990-01-03,35.25,35.25,34.5,35.25,1492733.0,2.1739130434782608,0.0
1990-01-04,35.0,35.13,34.5,34.88,1638633.0,1.8260869565217466,-0.34285714285713553
1990-01-05,34.63,35.13,34.5,34.5,887567.0,1.8260869565217466,-0.37539705457696376
1990-01-08,34.25,34.38,34.0,34.25,942633.0,1.117647058823537,0.0
1990-01-09,34.25,34.25,33.25,33.5,1051500.0,3.007518796992481,-2.18978102189781
1990-01-10,33.5,33.63,33.0,33.25,1301267.0,1.909090909090917,-0.7462686567164178
1990-01-11,33.63,33.88,33.25,33.75,1065333.0,1.8947368421052708,0.35682426404994777
1990-01-12,32.88,33.63,32.88,33.0,1899333.0,2.281021897810219,0.3649635036496272
1990-01-15,33.25,33.25,32.13,32.75,1212133.0,3.485838779956419,-1.5037593984962405
1990-01-16,32.38,32.88,32.25,32.38,1638067.0,1.9534883720930312,0.0
1990-01-17,32.38,32.63,31.63,31.75,1693233.0,3.161555485298778,-1.9456454601606006
1990-01-18,31.38,31.88,31.25,31.75,1586533.0,2.015999999999997,1.1790949649458287
1990-01-19,32.0,32.25,31.63,31.63,1232133.0,1.9601644008852388,-1.156250000000003
1990-01-22,31.88,32.0,30.5,30.5,1271433.0,4.918032786885246,-4.3287327478042625
1990-01-23,31.0,31.13,30.63,30.88,1313833.0,1.632386549134835,-0.3870967741935516
1990-01-24,30.0,30.88,29.75,30.63,1695867.0,3.7983193277310887,2.0999999999999965
1990-01-25,30.63,31.0,29.63,29.88,1881733.0,4.6236922038474555,-2.4485798237022527
1990-01-26,30.0,30.25,29.38,29.88,1396767.0,2.96119809394146,-0.4000000000000033
1990-01-29,29.88,30.5,29.5,30.0,669700.0,3.389830508474576,0.4016064257028146
1990-01-30,29.88,30.0,29.13,29.63,1133533.0,2.986611740473742,-0.8366800535475234
1990-01-31,29.5,29.75,29.38,29.75,883467.0,1.2593601089176345,0.847457627118644
1990-02-01,29.88,30.38,29.75,30.0,2026833.0,2.1176470588235263,0.4016064257028146
1990-02-02,30.0,30.5,30.0,30.13,608000.0,1.6666666666666667,0.43333333333333
1990-02-05,30.13,30.38,30.0,30.13,825533.0,1.2666666666666633,0.0
1990-02-06,30.0,30.13,29.13,29.25,1335400.0,3.4328870580157913,-2.5
1990-02-07,29.0,30.13,28.63,30.0,1307300.0,5.239259517988124,3.4482758620689653
