Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,62.12,62.62,61.62,62.62,71200.0,1.6228497241155468,0.8048937540244688
1990-01-03,62.75,62.88,61.62,62.0,260100.0,2.0447906523855974,-1.1952191235059761
1990-01-04,62.0,62.0,61.38,61.5,200900.0,1.010101010101006,-0.8064516129032258
1990-01-05,61.75,62.0,61.38,61.38,72700.0,1.010101010101006,-0.5991902834008056
1990-01-08,61.12,61.75,61.0,61.75,57800.0,1.2295081967213115,1.0307591623036692
1990-01-09,61.88,62.25,61.38,61.38,100000.0,1.4173998044965745,-0.8080155138978667
1990-01-10,61.38,61.88,60.0,60.5,121100.0,3.1333333333333373,-1.4336917562724056
1990-01-11,61.0,61.25,60.75,61.25,37100.0,0.823045267489712,0.4098360655737705
1990-01-12,61.12,61.12,60.12,60.25,60600.0,1.6633399866932803,-1.4234293193717238
1990-01-15,59.75,59.75,59.0,59.38,186000.0,1.2711864406779663,-0.6192468619246819
1990-01-16,58.75,59.38,58.62,59.12,109000.0,1.296485841009903,0.6297872340425489
1990-01-17,59.12,60.0,58.88,59.75,68800.0,1.9021739130434738,1.0656292286874198
1990-01-18,59.5,59.75,59.0,59.0,197700.0,1.2711864406779663,-0.8403361344537815
1990-01-19,59.25,59.5,58.62,59.12,270100.0,1.5011941316956716,-0.21940928270042628
1990-01-22,59.25,59.5,58.5,58.75,144000.0,1.7094017094017095,-0.8438818565400843
1990-01-23,58.75,59.25,58.38,58.62,207400.0,1.4902363823227087,-0.2212765957446852
1990-01-24,57.25,58.38,57.25,57.88,115800.0,1.9737991266375592,1.1004366812227118
1990-01-25,58.12,58.38,57.5,57.5,90300.0,1.5304347826087001,-1.0667584308327556
1990-01-26,57.12,57.25,55.75,56.25,349900.0,2.690582959641256,-1.5231092436974747
1990-01-29,56.5,56.75,55.75,56.38,263700.0,1.7937219730941705,-0.21238938053096892
1990-01-30,56.75,56.88,56.0,56.12,312400.0,1.571428571428576,-1.110132158590313
1990-01-31,56.38,57.25,56.38,57.25,290500.0,1.5431003902092895,1.5431003902092895
1990-02-01,57.5,57.5,56.88,57.38,158100.0,1.0900140646976044,-0.2086956521739086
1990-02-02,57.25,58.5,57.25,58.5,81700.0,2.1834061135371177,2.1834061135371177
1990-02-05,59.0,59.0,58.0,58.0,73800.0,1.7241379310344827,-1.694915254237288
1990-02-06,57.75,58.0,57.62,57.88,76500.0,0.6594932315168389,0.22510822510822953
1990-02-07,57.75,59.25,57.75,58.75,92500.0,2.5974025974025974,1.7316017316017316
1990-02-08,58.75,59.88,58.62,59.25,83400.0,2.1494370522006228,0.851063829787234
1990-02-09,59.62,59.75,59.38,59.62,81800.0,0.6231054227012419,0.0
1990-02-12,59.75,59.75,59.25,59.25,60500.0,0.8438818565400843,-0.8368200836820083
1990-02-13,58.75,60.38,58.75,60.38,186100.0,2.7744680851063874,2.7744680851063874
1990-02-14,60.38,60.75,60.12,60.75,123000.0,1.0479041916167708,0.6127856906260308
1990-02-15,60.75,60.75,60.5,60.62,131400.0,0.4132231404958678,-0.2139917695473293
1990-02-16,60.5,60.5,59.75,59.88,129200.0,1.2552301255230125,-1.0247933884297478
1990-02-20,59.5,59.75,59.12,59.5,94100.0,1.0656292286874198,0.0
1990-02-21,59.0,59.62,58.75,59.62,121700.0,1.4808510638297827,1.0508474576271143
1990-02-22,59.38,60.0,59.38,59.5,56900.0,1.044122600202084,0.2020882452003999
1990-02-23,59.38,59.38,58.62,59.12,71200.0,1.296485841009903,-0.4378578646008843
1990-02-26,58.5,59.25,58.38,59.12,103400.0,1.4902363823227087,1.0598290598290554
1990-02-27,59.12,59.62,59.0,59.38,58200.0,1.0508474576271143,0.43978349120433885
1990-02-28,59.25,59.5,59.12,59.5,80700.0,0.6427604871447946,0.42194092827004215
1990-03-01,59.25,59.38,58.75,58.75,270600.0,1.072340425531919,-0.8438818565400843
1990-03-02,58.75,59.62,58.75,59.25,215100.0,1.4808510638297827,0.851063829787234
1990-03-05,58.75,59.38,58.75,58.75,112200.0,1.072340425531919,0.0
1990-03-06,58.75,59.38,58.75,59.38,46800.0,1.072340425531919,1.072340425531919
1990-03-07,59.75,60.88,59.75,59.75,95700.0,1.891213389121343,0.0
1990-03-08,59.88,61.25,59.75,61.25,116500.0,2.510460251046025,2.287909151636602
1990-03-09,60.88,61.0,60.25,60.25,61300.0,1.2448132780082988,-1.0348226018396889
1990-03-12,60.0,60.75,59.88,60.75,55100.0,1.4529058116232423,1.25
1990-03-13,60.38,60.38,59.88,60.12,138900.0,0.83500334001336,-0.43060616098046556
1990-03-14,60.25,60.25,59.75,59.75,83700.0,0.8368200836820083,-0.8298755186721992
1990-03-15,59.75,60.75,59.75,60.62,44600.0,1.6736401673640167,1.4560669456066904
1990-03-16,60.38,60.5,59.88,59.88,101900.0,1.035404141616562,-0.8280887711162637
1990-03-19,59.88,60.88,59.75,60.88,43900.0,1.891213389121343,1.67000668002672
1990-03-20,60.88,61.25,60.75,61.12,70800.0,0.823045267489712,0.3942181340341571
1990-03-21,61.0,62.0,61.0,61.25,102100.0,1.639344262295082,0.4098360655737705
1990-03-22,60.88,61.25,59.25,59.5,128600.0,3.375527426160337,-2.266754270696456
1990-03-23,59.75,60.12,59.75,60.0,52500.0,0.6192468619246819,0.41841004184100417
1990-03-26,60.12,60.25,59.88,59.88,26800.0,0.6179024716098822,-0.3992015968063787
1990-03-27,60.0,60.0,59.5,60.0,47100.0,0.8403361344537815,0.0
1990-03-28,59.75,60.0,59.38,59.75,39100.0,1.044122600202084,0.0
1990-03-29,59.62,60.25,59.5,60.12,44700.0,1.2605042016806722,0.8386447500838645
1990-03-30,60.25,60.5,59.75,60.5,54400.0,1.2552301255230125,0.4149377593360996
1990-04-02,60.25,60.25,59.62,59.88,61000.0,1.0566923851056735,-0.6141078838174232
1990-04-03,59.88,60.5,59.75,60.38,48000.0,1.2552301255230125,0.83500334001336
1990-04-04,60.38,60.5,59.38,59.38,54000.0,1.8861569552037678,-1.6561775422325273
1990-04-05,59.75,60.25,59.25,60.0,42600.0,1.6877637130801686,0.41841004184100417
1990-04-06,60.12,60.12,59.5,59.88,25900.0,1.0420168067226847,-0.3992015968063787
1990-04-09,60.0,60.25,59.62,59.62,33700.0,1.0566923851056735,-0.6333333333333375
1990-04-10,59.25,59.5,59.25,59.5,72200.0,0.42194092827004215,0.42194092827004215
1990-04-11,59.25,59.75,59.0,59.5,46600.0,1.2711864406779663,0.42194092827004215
1990-04-12,59.88,60.38,59.88,59.88,32000.0,0.83500334001336,0.0
1990-04-16,60.0,60.88,60.0,60.75,102900.0,1.466666666666671,1.25
1990-04-17,60.75,60.88,60.5,60.88,51200.0,0.6280991735537232,0.2139917695473293
