Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,43.0,43.5,43.0,43.5,22000.0,1.1627906976744187,1.1627906976744187
1990-01-03,44.0,45.0,43.88,44.75,49067.0,2.55241567912488,1.7045454545454544
1990-01-04,45.0,46.0,45.0,45.75,39267.0,2.2222222222222223,1.6666666666666667
1990-01-05,45.87,47.5,45.87,47.0,124667.0,3.553520819707876,2.463483758447793
1990-01-08,47.25,47.63,47.12,47.12,38067.0,1.0823429541596035,-0.27513227513228056
1990-01-09,47.0,47.5,46.75,47.25,53267.0,1.6042780748663104,0.5319148936170213
1990-01-10,47.38,47.75,46.5,47.0,51400.0,2.6881720430107525,-0.8020261713803345
1990-01-11,47.25,47.75,47.25,47.75,33867.0,1.0582010582010581,1.0582010582010581
1990-01-12,47.63,47.75,46.5,46.5,62867.0,2.6881720430107525,-2.3724543355028396
1990-01-15,46.25,46.37,45.62,45.75,24667.0,1.6440157825515125,-1.0810810810810811
1990-01-16,30.25,30.5,30.0,30.38,14000.0,1.6666666666666667,0.4297520661156992
1990-01-17,30.63,30.63,30.38,30.38,16900.0,0.8229098090849244,-0.8161932745674175
1990-01-18,30.5,30.5,30.25,30.25,5300.0,0.8264462809917356,-0.819672131147541
1990-01-19,30.5,30.63,30.25,30.38,63500.0,1.2561983471074347,-0.393442622950823
1990-01-22,30.38,30.38,30.0,30.0,11100.0,1.2666666666666633,-1.2508229098090817
1990-01-23,29.75,29.87,29.13,29.75,23800.0,2.5403364229316923,0.0
1990-01-24,29.25,29.37,28.75,28.88,25900.0,2.1565217391304383,-1.2649572649572682
1990-01-25,29.0,29.25,29.0,29.0,12700.0,0.8620689655172413,0.0
1990-01-26,29.13,29.13,28.63,28.75,25000.0,1.7464198393293748,-1.3044970820459973
1990-01-29,28.5,28.63,27.75,28.0,101000.0,3.171171171171168,-1.7543859649122806
1990-01-30,27.75,27.75,26.5,27.0,52100.0,4.716981132075472,-2.7027027027027026
1990-01-31,26.88,27.62,26.63,27.62,85500.0,3.717611716109658,2.7529761904761982
1990-02-01,27.75,27.87,27.37,27.62,22400.0,1.826817683595177,-0.4684684684684649
1990-02-02,27.62,27.75,27.5,27.62,69700.0,0.9090909090909091,0.0
1990-02-05,27.62,27.75,27.5,27.75,25000.0,0.9090909090909091,0.4706734250543049
1990-02-06,27.75,28.12,27.75,27.87,11200.0,1.3333333333333368,0.432432432432436
1990-02-07,27.87,28.38,27.87,28.38,8800.0,1.8299246501614568,1.8299246501614568
1990-02-08,28.63,28.75,28.25,28.25,11700.0,1.7699115044247788,-1.3272790778903214
1990-02-09,28.5,29.62,28.5,29.62,16200.0,3.9298245614035126,3.9298245614035126
1990-02-12,29.62,29.62,29.25,29.37,20900.0,1.2649572649572682,-0.8440243079000674
1990-02-13,29.25,29.37,29.0,29.13,9200.0,1.2758620689655207,-0.41025641025641363
1990-02-14,29.25,29.75,29.25,29.62,81200.0,1.7094017094017095,1.2649572649572682
1990-02-15,29.87,29.87,29.25,29.37,74800.0,2.119658119658123,-1.6739203213927016
1990-02-16,29.25,29.37,28.75,28.75,13200.0,2.1565217391304383,-1.7094017094017095
1990-02-20,28.75,28.75,24.25,25.62,454700.0,18.556701030927837,-10.886956521739128
1990-02-21,25.0,26.13,25.0,25.88,129500.0,4.519999999999996,3.519999999999996
1990-02-22,26.0,26.88,26.0,26.75,89800.0,3.384615384615381,2.8846153846153846
1990-02-23,26.75,26.75,26.25,26.5,12400.0,1.9047619047619049,-0.9345794392523363
