Date,Open,High,Low,Close,Volume,HML,PCT
2017-07-05,40.8,40.82,37.25,37.25,5883326.0,9.583892617449665,-8.700980392156858
2017-07-06,38.09,38.09,36.52,37.01,5088097.0,4.2990142387732755,-2.8353898661066035
2017-07-07,38.14,38.59,36.12,37.91,6014535.0,6.8383167220376695,-0.6030414263240796
2017-07-10,37.63,38.17,36.8,37.23,4721508.0,3.7228260869565344,-1.0629816635663185
2017-07-11,37.31,37.78,36.89,37.35,2791176.0,2.412577934399568,0.10720986330742198
2017-07-12,37.77,37.99,37.25,37.37,3260591.0,1.986577181208059,-1.0590415673815345
2017-07-13,37.45,37.65,36.69,36.84,3860643.0,2.6165167620605096,-1.6288384512683562
2017-07-14,37.0,37.495,36.91,37.35,2872910.0,1.58493633161745,0.9459459459459498
2017-07-17,37.71,38.37,37.64,37.64,3917588.0,1.9394261424016919,-0.18562715460090237
2017-07-18,37.52,37.78,36.73,36.75,3198593.0,2.858698611489258,-2.0522388059701573
2017-07-19,36.59,37.09,36.36,36.54,4230853.0,2.0077007700770184,-0.13664935774803022
2017-07-20,36.59,36.9,34.86,34.97,6397004.0,5.851979345955248,-4.4274391910358135
2017-07-21,34.73,34.88,33.44,34.12,7737292.0,4.306220095693795,-1.7564065649294542
2017-07-24,34.26,34.46,33.88,34.36,2850884.0,1.7119244391971613,0.2918855808523101
2017-07-25,34.81,35.28,34.77,35.25,2871897.0,1.466781708369278,1.264004596380344
2017-07-26,35.58,36.18,35.22,36.05,3826003.0,2.7257240204429327,1.3209668353007278
2017-07-27,35.97,37.04,35.7,36.16,4593651.0,3.7535014005602134,0.5282179594106137
2017-07-28,34.85,37.5,34.2257,37.1,4261445.0,9.566787531007389,6.456241032998565
2017-07-31,37.14,37.17,36.43,36.89,3318805.0,2.0312928904748886,-0.6731287022078621
2017-08-01,35.42,35.54,35.06,35.23,2955189.0,1.3690815744438016,-0.5364201016375065
2017-08-02,35.36,35.55,35.035,35.35,3405697.0,1.4699586128157573,-0.028280542986419716
2017-08-03,35.26,35.51,35.07,35.31,3181029.0,1.2546335899629248,0.14180374361884363
2017-08-04,35.42,35.54,35.06,35.23,3110626.0,1.3690815744438016,-0.5364201016375065
2017-08-07,35.1,35.27,34.4,34.56,2054097.0,2.529069767441874,-1.5384615384615359
2017-08-08,34.75,35.47,34.6442,34.94,2155678.0,2.383660179770354,0.5467625899280509
2017-08-09,34.79,35.29,34.76,35.02,2252626.0,1.5247410817031104,0.6611095142282379
2017-08-10,35.01,35.29,34.57,34.7,1971691.0,2.082730691350879,-0.885461296772337
2017-08-11,34.51,34.89,34.28,34.29,1185973.0,1.7794632438739773,-0.6374963778614862
2017-08-14,34.51,34.54,34.135,34.26,1927835.0,1.186465504614036,-0.7244277021153289
2017-08-15,34.03,34.42,34.03,34.31,2153221.0,1.1460476050543655,0.8228034087569825
2017-08-16,34.37,34.51,33.76,33.83,1367515.0,2.221563981042654,-1.5711376200174547
2017-08-17,33.79,34.09,32.75,32.8,2200268.0,4.091603053435125,-2.929860905593377
2017-08-18,32.74,33.13,32.4301,32.77,3179783.0,2.1581802091267046,0.09163103237630157
2017-08-21,32.77,32.99,32.46,32.54,2340815.0,1.6327788046826899,-0.7018614586512174
2017-08-22,32.62,32.945,32.43,32.69,1872479.0,1.5880357693493699,0.21459227467811245
2017-08-23,32.51,33.24,32.51,33.04,1565407.0,2.24546293448171,1.630267609966168
2017-08-24,33.09,33.09,32.54,32.82,1781949.0,1.690227412415502,-0.8159564823209522
2017-08-25,32.88,33.41,32.8701,33.26,2035870.0,1.6425261864125629,1.1557177615571637
2017-08-28,33.27,33.4,32.82,33.25,2510523.0,1.7672151127361313,-0.0601142170123328
2017-08-29,33.1,33.81,33.1,33.75,2192874.0,2.1450151057401836,1.9637462235649505
2017-08-30,33.6,33.73,33.2376,33.51,1637279.0,1.481454738007547,-0.267857142857153
