Date,Open,High,Low,Close,Volume,HML,PCT
1999-10-01,14.0,14.25,14.0,14.13,3162400.0,1.7857142857142856,0.9285714285714342
1999-10-04,14.0,14.13,14.0,14.06,533400.0,0.9285714285714342,0.42857142857143216
1999-10-05,14.06,14.19,14.0,14.19,270600.0,1.3571428571428537,0.9246088193456544
1999-10-06,14.13,14.88,14.13,14.88,205400.0,5.307855626326964,5.307855626326964
1999-10-07,14.88,14.88,14.06,14.13,214200.0,5.832147937411097,-5.040322580645161
1999-10-08,14.19,14.19,14.06,14.06,65600.0,0.9246088193456544,-0.916138125440444
1999-10-11,14.06,14.13,14.0,14.06,77500.0,0.9285714285714342,0.0
1999-10-12,14.06,14.13,14.0,14.13,49200.0,0.9285714285714342,0.4978662873399735
1999-10-13,14.13,14.38,14.0,14.06,49900.0,2.7142857142857197,-0.4953998584571853
1999-10-14,14.0,14.06,13.25,13.63,430900.0,6.113207547169815,-2.6428571428571375
1999-10-15,13.13,13.19,12.69,13.06,158200.0,3.940110323089047,-0.5331302361005352
1999-10-18,13.0,13.0,12.5,12.81,83800.0,4.0,-1.4615384615384577
1999-10-19,12.75,13.25,12.75,13.25,58200.0,3.9215686274509802,3.9215686274509802
1999-10-20,13.38,13.5,13.13,13.13,62600.0,2.8179741051028118,-1.8684603886397606
1999-10-21,13.13,13.44,13.0,13.44,98200.0,3.384615384615381,2.3610053313023514
1999-10-22,13.38,13.56,13.31,13.5,191200.0,1.8782870022539442,0.8968609865470792
1999-10-25,13.44,13.94,13.44,13.94,153100.0,3.7202380952380953,3.7202380952380953
1999-10-26,13.81,14.13,13.81,14.0,65600.0,2.3171614771904436,1.375814627081821
1999-10-27,14.0,14.19,14.0,14.06,100900.0,1.3571428571428537,0.42857142857143216
1999-10-28,14.19,14.5,14.13,14.13,255300.0,2.6185421089879632,-0.4228329809725069
1999-10-29,14.13,15.25,14.13,15.25,123200.0,7.926397735314927,7.926397735314927
1999-11-01,15.0,15.0,14.63,14.75,41800.0,2.5290498974709448,-1.6666666666666667
1999-11-02,14.75,14.88,14.31,14.75,66600.0,3.9832285115304003,0.0
1999-11-03,14.69,14.88,14.69,14.75,18500.0,1.2933968686181163,0.40844111640572156
1999-11-04,14.88,15.13,14.5,14.94,72100.0,4.344827586206902,0.40322580645160433
1999-11-05,15.0,15.88,14.88,15.75,122900.0,6.720430107526881,5.0
1999-11-08,15.88,17.38,15.81,16.63,240000.0,9.930423782416183,4.722921914357671
1999-11-09,16.75,16.75,16.13,16.13,42400.0,3.843769373837576,-3.701492537313439
1999-11-10,16.0,16.13,15.81,16.06,59900.0,2.0240354206198514,0.374999999999992
1999-11-11,16.06,16.25,16.06,16.13,20000.0,1.1830635118306432,0.4358655043586569
1999-11-12,16.25,18.5,16.25,18.0,248500.0,13.846153846153847,10.76923076923077
1999-11-15,18.19,18.19,17.5,17.69,99200.0,3.94285714285715,-2.7487630566245187
1999-11-16,17.69,17.69,17.38,17.44,95300.0,1.7836593785961006,-1.4132278123233466
1999-11-17,17.69,18.25,17.25,17.5,107900.0,5.797101449275362,-1.0740531373657505
1999-11-18,17.5,17.5,17.25,17.25,67500.0,1.4492753623188406,-1.4285714285714286
1999-11-19,17.25,17.75,17.19,17.63,31200.0,3.257707969749847,2.202898550724632
1999-11-22,17.56,17.88,17.56,17.81,36500.0,1.8223234624145803,1.4236902050113898
1999-11-23,17.81,19.38,17.81,19.13,65500.0,8.815272318921956,7.41156653565413
1999-11-24,19.0,19.0,18.38,18.56,53800.0,3.373231773667035,-2.3157894736842173
1999-11-26,18.5,18.5,18.38,18.44,2600.0,0.6528835690968499,-0.3243243243243174
1999-11-29,18.38,18.38,17.88,18.13,20200.0,2.796420581655481,-1.3601741022850924
1999-11-30,18.19,18.5,18.19,18.38,38100.0,1.7042330951071945,1.0445299615173047
1999-12-01,18.38,18.63,18.25,18.56,43800.0,2.0821917808219124,0.9793253536452652
1999-12-02,18.56,19.0,18.56,19.0,33200.0,2.370689655172421,2.370689655172421
1999-12-03,19.13,19.38,19.06,19.19,62000.0,1.6789087093389312,0.313643491897555
1999-12-06,19.19,19.19,18.25,18.38,38200.0,5.150684931506857,-4.220948410630548
1999-12-07,18.5,19.0,18.44,18.63,112500.0,3.036876355748366,0.7027027027026973
1999-12-08,18.5,18.5,18.0,18.19,27700.0,2.7777777777777777,-1.6756756756756686
1999-12-09,18.25,18.38,18.13,18.25,15500.0,1.3789299503585217,0.0
1999-12-10,18.13,18.13,17.63,17.63,22400.0,2.836074872376631,-2.7578599007170435
1999-12-13,17.75,18.0,17.44,17.44,44500.0,3.2110091743119193,-1.7464788732394294
1999-12-14,17.25,17.25,17.06,17.13,19400.0,1.113716295427909,-0.6956521739130492
1999-12-15,17.13,17.13,16.88,17.13,11100.0,1.481042654028436,0.0
1999-12-16,17.06,17.25,16.81,16.81,90700.0,2.617489589530049,-1.4654161781946073
1999-12-17,16.69,17.25,16.69,17.12,37300.0,3.3553025763930417,2.5763930497303753
1999-12-20,17.0,17.0,16.81,16.94,31300.0,1.1302795954788893,-0.3529411764705807
1999-12-21,16.94,17.06,16.88,17.0,11800.0,1.0663507109004722,0.35419126328216477
1999-12-22,17.13,17.38,17.13,17.19,6300.0,1.4594279042615295,0.35026269702278034
1999-12-23,17.19,17.25,17.0,17.13,3700.0,1.4705882352941175,-0.34904013961606906
1999-12-27,17.06,17.13,17.06,17.13,2400.0,0.41031652989449174,0.41031652989449174
1999-12-28,17.06,17.63,17.06,17.38,65600.0,3.341148886283706,1.8757327080890993
1999-12-29,17.44,17.44,17.13,17.25,9600.0,1.8096906012843101,-1.0894495412844107
1999-12-30,17.13,17.38,17.13,17.31,5100.0,1.4594279042615295,1.0507880910682996
1999-12-31,17.25,17.38,17.19,17.19,13000.0,1.1052937754508303,-0.34782608695651435
2000-01-03,17.44,17.5,16.62,16.62,64600.0,5.294825511432003,-4.701834862385322
2000-01-04,16.63,16.63,15.63,15.88,81900.0,6.397952655150341,-4.509921828021637
2000-01-05,15.63,15.63,15.0,15.31,38100.0,4.2000000000000055,-2.0473448496481144
2000-01-06,15.75,16.25,15.75,16.0,41200.0,3.1746031746031744,1.5873015873015872
2000-01-07,15.88,16.25,15.75,15.88,34700.0,3.1746031746031744,0.0
2000-01-10,16.5,16.5,16.0,16.0,94200.0,3.125,-3.0303030303030303
2000-01-11,16.13,16.88,16.0,16.44,39700.0,5.499999999999994,1.921884686918799
2000-01-12,16.5,17.13,16.5,17.13,25100.0,3.818181818181812,3.818181818181812
2000-01-13,17.25,17.5,16.88,16.94,62000.0,3.672985781990527,-1.797101449275355
2000-01-14,17.0,17.75,16.88,17.5,183100.0,5.154028436018963,2.941176470588235
2000-01-18,17.75,18.25,17.75,18.0,77300.0,2.8169014084507045,1.4084507042253522
2000-01-19,18.0,18.38,17.94,18.25,34500.0,2.452619843924179,1.3888888888888888
2000-01-20,18.25,18.25,17.38,17.5,42200.0,5.005753739930961,-4.10958904109589
2000-01-21,17.44,17.5,17.25,17.38,16000.0,1.4492753623188406,-0.34403669724771946
2000-01-24,17.5,17.5,17.0,17.13,10700.0,2.941176470588235,-2.11428571428572
