Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,33.63,33.88,33.0,33.88,53600.0,2.6666666666666745,0.743383883437407
1990-01-03,33.88,33.88,32.88,32.88,29400.0,3.041362530413625,-2.9515938606847696
1990-01-04,33.0,33.25,33.0,33.25,31100.0,0.7575757575757576,0.7575757575757576
1990-01-05,33.25,33.75,33.25,33.5,25100.0,1.5037593984962405,0.7518796992481203
1990-01-08,33.38,34.13,33.38,34.0,87700.0,2.2468544038346314,1.8573996405032873
1990-01-09,34.13,34.5,34.0,34.0,46000.0,1.4705882352941175,-0.38089657193086013
1990-01-10,34.0,34.5,34.0,34.25,59100.0,1.4705882352941175,0.7352941176470588
1990-01-11,34.13,34.38,34.0,34.0,37900.0,1.117647058823537,-0.38089657193086013
1990-01-12,34.0,34.13,33.75,33.75,69200.0,1.1259259259259335,-0.7352941176470588
1990-01-15,33.63,33.63,33.38,33.5,34800.0,0.7489514679448771,-0.38655961938745925
1990-01-16,33.38,33.5,33.13,33.25,31800.0,1.1168125565952232,-0.38945476333134377
1990-01-17,33.13,33.13,33.0,33.13,23000.0,0.3939393939394017,0.0
1990-01-18,33.0,33.25,32.75,33.13,26600.0,1.5267175572519083,0.3939393939394017
1990-01-19,33.38,33.38,33.13,33.13,24000.0,0.7546030787805613,-0.7489514679448771
1990-01-22,33.0,33.13,32.5,32.5,32400.0,1.9384615384615462,-1.5151515151515151
1990-01-23,32.63,32.88,32.63,32.63,20400.0,0.766166104811523,0.0
1990-01-24,32.63,32.63,31.25,31.25,35200.0,4.416000000000008,-4.229236898559615
1990-01-25,31.13,31.25,30.38,30.63,19700.0,2.86372613561554,-1.6061676839061998
1990-01-26,30.5,31.0,30.25,30.63,23900.0,2.479338842975207,0.42622950819671807
1990-01-29,30.75,31.13,30.5,30.75,59000.0,2.0655737704918,0.0
1990-01-30,30.5,30.75,30.25,30.25,17400.0,1.6528925619834711,-0.819672131147541
1990-01-31,30.38,31.13,30.38,31.13,28100.0,2.468729427254773,2.468729427254773
1990-02-01,31.0,31.13,31.0,31.13,19100.0,0.41935483870967416,0.41935483870967416
1990-02-02,31.0,31.13,31.0,31.13,26300.0,0.41935483870967416,0.41935483870967416
1990-02-05,30.75,30.88,30.63,30.63,20800.0,0.8161932745674175,-0.3902439024390276
1990-02-06,30.63,30.75,30.5,30.5,10800.0,0.819672131147541,-0.4244205027750539
1990-02-07,30.25,30.25,30.0,30.13,28300.0,0.8333333333333334,-0.39669421487603634
1990-02-08,30.13,30.25,30.13,30.13,15000.0,0.39827414537006633,0.0
1990-02-09,30.25,30.38,30.13,30.38,21400.0,0.829737802854298,0.4297520661156992
1990-02-12,30.38,30.88,30.25,30.25,40300.0,2.0826446280991706,-0.4279131007241574
1990-02-13,30.13,30.13,29.63,29.88,19000.0,1.6874789065136686,-0.829737802854298
1990-02-14,29.75,30.0,29.63,29.75,10600.0,1.248734390820118,0.0
1990-02-15,29.25,29.63,29.25,29.5,16000.0,1.2991452991452956,0.8547008547008548
1990-02-16,29.5,29.5,29.13,29.13,12700.0,1.2701682114658461,-1.2542372881355965
1990-02-20,29.13,29.13,28.75,28.88,28900.0,1.3217391304347792,-0.8582217645039478
1990-02-21,28.75,29.25,28.63,29.25,17300.0,2.165560600768428,1.7391304347826086
1990-02-22,29.38,29.5,28.25,28.25,19100.0,4.424778761061947,-3.8461538461538427
1990-02-23,28.13,28.63,28.13,28.38,9100.0,1.7774617845716318,0.8887308922858159
1990-02-26,28.38,29.13,28.38,29.0,19200.0,2.6427061310782243,2.1846370683580023
1990-02-27,29.0,30.13,29.0,29.88,25800.0,3.8965517241379275,3.0344827586206864
1990-02-28,30.0,30.63,30.0,30.25,12800.0,2.0999999999999965,0.8333333333333334
1990-03-01,30.5,30.88,30.13,30.13,16000.0,2.489213408562894,-1.213114754098364
1990-03-02,30.38,30.75,30.25,30.63,12400.0,1.6528925619834711,0.8229098090849244
1990-03-05,30.38,30.63,30.13,30.13,11600.0,1.659475605708596,-0.8229098090849244
1990-03-06,30.38,30.38,29.88,30.0,16000.0,1.6733601070950468,-1.2508229098090817
1990-03-07,29.75,29.88,29.13,29.13,8200.0,2.5746652935118437,-2.0840336134453814
1990-03-08,29.25,29.88,29.25,29.75,22300.0,2.15384615384615,1.7094017094017095
1990-03-09,29.75,30.0,29.63,29.88,17100.0,1.248734390820118,0.43697478991596306
1990-03-12,29.75,30.13,29.63,30.13,5300.0,1.6874789065136686,1.2773109243697445
1990-03-13,30.13,30.13,29.0,29.13,28600.0,3.8965517241379275,-3.318951211417192
1990-03-14,29.13,29.63,29.13,29.5,8800.0,1.7164435290078957,1.2701682114658461
1990-03-15,29.75,29.75,29.5,29.63,14100.0,0.847457627118644,-0.4033613445378185
1990-03-16,29.88,30.0,29.63,29.88,15100.0,1.248734390820118,0.0
