Date,Open,High,Low,Close,Volume,HML,PCT
2014-09-24,21.5,23.22,21.35,23.08,60428679.0,8.75878220140514,7.348837209302318
2014-09-25,22.56,23.41,22.45,23.05,8430006.0,4.2761692650334115,2.171985815602846
2014-09-26,23.18,23.37,22.91,23.25,2504353.0,2.0078568310781355,0.3019844693701479
2014-09-29,23.14,23.45,22.91,23.23,4832586.0,2.3570493234395427,0.38893690579083773
2014-09-30,23.11,23.57,23.05,23.42,4103103.0,2.2559652928416467,1.3414106447425456
2014-10-01,23.22,23.61,23.11,23.44,3915508.0,2.163565556036348,0.9474590869939811
2014-10-02,23.34,23.59,23.303,23.34,3121384.0,1.2316010814058234,0.0
2014-10-03,23.38,23.47,23.01,23.23,1585901.0,1.9991308126901228,-0.641573994867402
2014-10-06,23.28,23.37,22.61,22.64,1208403.0,3.3613445378151328,-2.7491408934707926
2014-10-07,22.56,22.74,22.26,22.52,1508726.0,2.156334231805916,-0.17730496453900332
2014-10-08,22.11,23.15,22.11,22.75,1649208.0,4.703753957485297,2.894617819990957
2014-10-09,23.0,23.0,22.24,22.48,1229058.0,3.417266187050367,-2.2608695652173894
2014-10-10,22.39,22.56,22.135,22.28,924069.0,1.9200361418567748,-0.491290754801248
2014-10-13,22.13,22.66,22.12,22.45,1382774.0,2.441229656419526,1.4460009037505661
2014-10-14,22.5,22.79,22.3,22.45,1605776.0,2.1973094170403518,-0.22222222222222537
2014-10-15,22.13,22.2,21.5,21.85,3405401.0,3.2558139534883686,-1.2652507907817334
2014-10-16,21.51,21.95,21.47,21.8,3105758.0,2.2356776897997226,1.3482101348210094
2014-10-17,21.89,22.07,21.73,21.92,2750608.0,1.5646571560055216,0.13704888076747893
2014-10-20,21.82,22.38,21.82,22.38,1870599.0,2.566452795600361,2.566452795600361
2014-10-21,22.11,22.93,22.11,22.82,1165506.0,3.7087290818634115,3.211216644052469
2014-10-22,22.78,23.0,22.4025,22.6,884653.0,2.667113045419039,-0.7901668129938529
2014-10-23,22.97,23.08,22.59,23.03,1154177.0,2.1691013722886163,0.2612102742707979
2014-10-24,23.32,23.49,22.77,23.18,1357806.0,3.1620553359683745,-0.6003430531732442
2014-10-27,23.15,23.19,22.725,22.85,2898819.0,2.046204620462045,-1.2958963282937244
2014-10-28,23.16,23.59,22.93,23.28,1500595.0,2.878325337985173,0.518134715025911
2014-10-29,23.35,23.53,23.2,23.48,1302330.0,1.4224137931034564,0.5567451820128436
2014-10-30,23.62,23.96,23.58,23.82,1153487.0,1.6115351993214697,0.8467400508044001
2014-10-31,23.59,23.92,23.37,23.62,1238628.0,2.3534445870774525,0.12717253073336643
2014-11-03,23.49,24.0,23.16,24.0,1826936.0,3.6269430051813467,2.171136653895281
2014-11-04,23.74,23.91,23.43,23.6,1474474.0,2.0486555697823325,-0.5897219882055477
2014-11-05,23.8,23.95,23.55,23.9,1097594.0,1.6985138004246225,0.4201680672268818
2014-11-06,23.79,24.46,23.75,24.3,1010740.0,2.98947368421053,2.143757881462806
