Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,16.75,17.37,16.5,17.37,585200.0,5.272727272727279,3.701492537313439
1990-01-03,17.37,17.63,17.13,17.5,506400.0,2.918855808523059,0.7484168105929706
1990-01-04,17.5,17.63,16.75,17.13,818800.0,5.253731343283576,-2.11428571428572
1990-01-05,17.13,17.13,16.75,16.75,216933.0,2.2686567164179046,-2.2183304144775193
1990-01-08,16.75,17.0,16.62,16.88,525200.0,2.2864019253910888,0.7761194029850687
1990-01-09,16.88,17.0,16.12,16.12,382000.0,5.459057071960291,-4.502369668246434
1990-01-10,16.12,16.12,15.38,15.62,430000.0,4.811443433029909,-3.1017369727047255
1990-01-11,15.88,16.0,15.5,15.5,536000.0,3.225806451612903,-2.392947103274564
1990-01-12,15.12,15.38,14.5,14.62,692933.0,6.068965517241385,-3.3068783068783074
1990-01-15,14.62,14.62,13.87,14.13,1587333.0,5.407354001441962,-3.3515731874144903
1990-01-16,13.87,15.0,13.5,14.75,1491333.0,11.11111111111111,6.344628695025241
1990-01-17,14.88,15.12,14.62,14.75,436133.0,3.4199726402188784,-0.8736559139784997
1990-01-18,14.62,14.75,14.13,14.25,493200.0,4.387827317763618,-2.5307797537619647
1990-01-19,14.62,15.62,14.62,14.88,794933.0,6.839945280437757,1.7783857729138275
1990-01-22,15.0,15.0,14.37,14.37,254000.0,4.384133611691029,-4.2000000000000055
1990-01-23,14.62,14.88,14.37,14.62,213333.0,3.549060542797506,0.0
1990-01-24,14.13,14.5,13.87,14.25,527200.0,4.5421773612112535,0.8492569002123087
1990-01-25,14.75,14.75,14.13,14.25,519333.0,4.387827317763618,-3.389830508474576
1990-01-26,14.13,14.37,13.87,14.25,751200.0,3.6049026676279747,0.8492569002123087
1990-01-29,14.37,14.62,14.13,14.37,448933.0,3.4677990092002715,0.0
1990-01-30,14.25,14.5,13.87,14.0,468533.0,4.5421773612112535,-1.7543859649122806
1990-01-31,14.0,14.75,13.87,14.75,469733.0,6.344628695025241,5.357142857142857
1990-02-01,14.75,14.75,14.25,14.37,293600.0,3.508771929824561,-2.576271186440683
1990-02-02,14.25,14.37,13.87,14.0,837200.0,3.6049026676279747,-1.7543859649122806
1990-02-05,14.0,14.13,14.0,14.13,700400.0,0.9285714285714342,0.9285714285714342
1990-02-06,14.0,14.13,13.75,13.87,742000.0,2.763636363636369,-0.9285714285714342
1990-02-07,13.75,13.87,13.5,13.87,1046133.0,2.7407407407407347,0.872727272727267
1990-02-08,14.0,14.5,13.87,14.37,644933.0,4.5421773612112535,2.6428571428571375
1990-02-09,14.37,14.75,14.13,14.62,386800.0,4.387827317763618,1.7397355601948505
1990-02-12,14.62,15.0,14.62,14.75,538933.0,2.599179206566353,0.8891928864569137
1990-02-13,14.75,15.12,14.75,15.12,439733.0,2.508474576271181,2.508474576271181
