Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,36.0,37.63,35.5,37.63,406100.0,6.000000000000007,4.527777777777785
1990-01-03,38.0,38.12,37.5,37.63,584300.0,1.6533333333333264,-0.973684210526309
1990-01-04,37.37,37.37,36.88,37.25,296300.0,1.3286334056398994,-0.3211131924003143
1990-01-05,37.0,37.0,36.25,36.25,159100.0,2.0689655172413794,-2.027027027027027
1990-01-08,36.25,36.62,36.0,36.62,171000.0,1.7222222222222152,1.0206896551724067
1990-01-09,36.62,36.75,36.38,36.38,132900.0,1.017042330951065,-0.655379574003263
1990-01-10,36.0,36.25,35.25,35.87,161500.0,2.8368794326241136,-0.3611111111111182
1990-01-11,35.75,36.13,35.62,35.75,85900.0,1.431779898933198,0.0
1990-01-12,35.62,35.75,35.0,35.12,150900.0,2.142857142857143,-1.4037057832678272
1990-01-15,35.12,35.12,34.75,34.88,102900.0,1.0647482014388416,-0.6833712984054525
1990-01-16,34.5,35.12,34.5,35.12,183200.0,1.797101449275355,1.797101449275355
1990-01-17,35.12,35.25,34.25,34.5,131700.0,2.9197080291970803,-1.7653758542141156
1990-01-18,34.25,34.63,34.12,34.63,189100.0,1.4947245017585145,1.109489051094898
1990-01-19,34.63,35.0,34.37,34.37,175300.0,1.8329938900203742,-0.7507941091539275
1990-01-22,34.5,34.5,33.5,33.62,145900.0,2.9850746268656714,-2.5507246376811668
1990-01-23,33.88,34.25,33.62,34.12,126500.0,1.8738845925044694,0.7083825265643295
1990-01-24,33.5,33.5,33.13,33.5,147400.0,1.1168125565952232,0.0
1990-01-25,33.25,33.38,32.87,32.87,143800.0,1.5515667782172349,-1.1428571428571506
1990-01-26,32.75,32.87,32.5,32.5,257900.0,1.1384615384615306,-0.7633587786259541
1990-01-29,32.38,32.62,31.75,32.25,129900.0,2.740157480314952,-0.4014823965410826
1990-01-30,32.25,32.38,31.25,31.75,273100.0,3.616000000000008,-1.550387596899225
1990-01-31,31.5,33.38,31.5,33.38,215800.0,5.968253968253976,5.968253968253976
1990-02-01,33.38,33.38,33.0,33.0,170800.0,1.1515151515151594,-1.1384062312762209
1990-02-02,32.75,33.25,32.75,33.0,77400.0,1.5267175572519083,0.7633587786259541
1990-02-05,33.0,33.0,32.38,32.5,119800.0,1.9147621988881944,-1.5151515151515151
1990-02-06,32.5,32.5,32.0,32.38,174800.0,1.5625,-0.36923076923076137
1990-02-07,32.38,33.25,32.12,33.13,207600.0,3.518057285180581,2.316244595429277
1990-02-08,33.38,33.38,33.0,33.25,252000.0,1.1515151515151594,-0.38945476333134377
1990-02-09,33.5,33.88,33.25,33.75,133200.0,1.8947368421052708,0.7462686567164178
1990-02-12,33.88,34.0,33.62,33.75,138400.0,1.1302795954788893,-0.3837072018890276
1990-02-13,33.88,34.12,33.75,34.12,168000.0,1.0962962962962888,0.7083825265643295
1990-02-14,34.0,34.25,33.88,34.0,145600.0,1.0920897284533573,0.0
1990-02-15,34.0,34.75,34.0,34.5,122300.0,2.2058823529411766,1.4705882352941175
1990-02-16,34.37,34.5,34.12,34.37,105600.0,1.113716295427909,0.0
1990-02-20,33.75,33.75,33.38,33.5,88600.0,1.1084481725584105,-0.7407407407407408
1990-02-21,33.25,33.75,33.25,33.62,155500.0,1.5037593984962405,1.1127819548872102
1990-02-22,33.75,34.0,33.5,33.5,82600.0,1.4925373134328357,-0.7407407407407408
1990-02-23,33.5,34.25,33.5,33.88,229200.0,2.2388059701492535,1.134328358208963
1990-02-26,33.75,34.37,33.75,34.37,172400.0,1.8370370370370295,1.8370370370370295
1990-02-27,34.5,35.25,34.5,35.0,193000.0,2.1739130434782608,1.4492753623188406
1990-02-28,34.88,35.38,34.88,35.25,141100.0,1.43348623853211,1.060779816513754
1990-03-01,35.12,35.75,35.12,35.5,148400.0,1.7938496583143584,1.0820045558086635
1990-03-02,35.38,35.87,35.38,35.5,149300.0,1.384963256076865,0.3391746749575959
1990-03-05,35.38,35.62,35.12,35.12,247400.0,1.4236902050113898,-0.7348784624081546
1990-03-06,35.0,35.12,34.63,35.0,293400.0,1.4149581287900515,0.0
1990-03-07,34.75,34.75,34.0,34.37,229600.0,2.2058823529411766,-1.0935251798561225
1990-03-08,34.25,34.5,34.0,34.12,220600.0,1.4705882352941175,-0.3795620437956279
1990-03-09,34.0,34.25,33.88,34.12,126600.0,1.0920897284533573,0.3529411764705807
1990-03-12,34.0,34.0,33.62,33.75,158100.0,1.1302795954788893,-0.7352941176470588
1990-03-13,33.75,33.88,33.5,33.5,123600.0,1.134328358208963,-0.7407407407407408
1990-03-14,33.5,34.25,33.5,34.12,344900.0,2.2388059701492535,1.8507462686567087
1990-03-15,34.0,34.0,33.75,33.88,83600.0,0.7407407407407408,-0.3529411764705807
1990-03-16,34.0,34.75,33.88,34.63,256700.0,2.567886658795742,1.8529411764705956
1990-03-19,34.37,34.63,34.25,34.63,87400.0,1.109489051094898,0.7564736688973092
1990-03-20,34.63,35.12,34.5,34.75,108400.0,1.797101449275355,0.34652035807102927
1990-03-21,34.75,34.88,34.37,34.37,104600.0,1.483852196683169,-1.0935251798561225
1990-03-22,34.25,34.37,33.13,33.5,170800.0,3.742831270751569,-2.18978102189781
1990-03-23,34.12,34.63,33.75,34.63,110900.0,2.6074074074074147,1.4947245017585145
1990-03-26,34.63,34.63,33.88,33.88,80100.0,2.213695395513577,-2.165752237943979
1990-03-27,33.75,34.5,33.75,34.5,133600.0,2.2222222222222223,2.2222222222222223
1990-03-28,34.5,34.5,34.0,34.25,84000.0,1.4705882352941175,-0.7246376811594203
1990-03-29,34.0,34.0,33.38,33.5,92000.0,1.8573996405032873,-1.4705882352941175
1990-03-30,33.38,33.88,33.0,33.88,139800.0,2.6666666666666745,1.4979029358897542
1990-04-02,33.62,34.0,33.5,33.75,150000.0,1.4925373134328357,0.38667459845330926
1990-04-03,34.0,34.12,33.62,33.75,234300.0,1.48720999405116,-0.7352941176470588
1990-04-04,34.0,34.12,33.5,33.62,366500.0,1.8507462686567087,-1.117647058823537
1990-04-05,33.88,34.25,33.75,33.88,232700.0,1.4814814814814816,0.0
1990-04-06,34.0,34.12,33.62,33.75,326200.0,1.48720999405116,-0.7352941176470588
1990-04-09,33.62,33.88,33.62,33.88,81800.0,0.7733491969066185,0.7733491969066185
1990-04-10,33.62,33.75,32.87,32.87,95700.0,2.6772132643748177,-2.2308149910767403
1990-04-11,33.13,33.38,33.13,33.25,160600.0,0.7546030787805613,0.36220947781466173
1990-04-12,33.13,33.5,33.13,33.5,100000.0,1.1168125565952232,1.1168125565952232
1990-04-16,33.75,34.5,33.62,34.12,161500.0,2.617489589530049,1.0962962962962888
1990-04-17,34.0,34.0,33.38,33.5,95100.0,1.8573996405032873,-1.4705882352941175
1990-04-18,33.38,33.38,33.13,33.25,100900.0,0.7546030787805613,-0.38945476333134377
1990-04-19,33.0,33.13,32.5,32.5,195300.0,1.9384615384615462,-1.5151515151515151
1990-04-20,32.38,32.5,31.5,31.75,146400.0,3.1746031746031744,-1.9456454601606006
1990-04-23,31.75,31.75,31.37,31.63,90200.0,1.2113484220592892,-0.3779527559055149
1990-04-24,31.63,32.12,31.63,32.0,80100.0,1.5491621877963908,1.169775529560547
1990-04-25,32.12,32.12,32.0,32.0,56700.0,0.374999999999992,-0.3735990037359821
