Date,Open,High,Low,Close,Volume,HML,PCT
1992-06-05,11.0,11.25,11.0,11.0,3466571.0,2.272727272727273,0.0
1992-06-08,11.0,11.25,11.0,11.0,310857.0,2.272727272727273,0.0
1992-06-09,11.0,11.0,10.5,10.5,462024.0,4.761904761904762,-4.545454545454546
1992-06-10,10.5,10.87,10.5,10.5,158405.0,3.5238095238095166,0.0
1992-06-11,10.5,10.5,10.0,10.0,328881.0,5.0,-4.761904761904762
1992-06-12,10.0,10.37,10.0,10.0,119262.0,3.699999999999992,0.0
1992-06-15,10.0,10.37,10.0,10.37,49452.0,3.699999999999992,3.699999999999992
1992-06-16,10.13,10.5,10.0,10.13,80881.0,5.0,0.0
1992-06-17,10.13,10.5,10.13,10.13,124310.0,3.6525172754195383,0.0
1992-06-18,10.0,10.5,10.0,10.0,76595.0,5.0,0.0
1992-06-19,10.0,10.5,10.0,10.0,234595.0,5.0,0.0
1992-06-22,10.0,10.25,10.0,10.0,149619.0,2.5,0.0
1992-06-23,10.0,10.25,10.0,10.0,78595.0,2.5,0.0
1992-06-24,10.25,10.25,10.0,10.0,71548.0,2.5,-2.4390243902439024
1992-06-25,10.0,10.25,10.0,10.0,83262.0,2.5,0.0
1992-06-26,10.0,10.25,10.0,10.25,100571.0,2.5,2.5
1992-06-29,10.13,10.25,10.0,10.0,50976.0,2.5,-1.283316880552821
1992-06-30,10.25,10.25,10.0,10.25,45143.0,2.5,0.0
1992-07-01,10.0,10.5,10.0,10.25,68571.0,5.0,2.5
1992-07-02,10.5,10.5,10.0,10.0,123048.0,5.0,-4.761904761904762
1992-07-06,10.0,10.25,10.0,10.25,22571.0,2.5,2.5
1992-07-07,10.0,10.25,10.0,10.0,54286.0,2.5,0.0
1992-07-08,10.0,10.0,9.5,9.5,106762.0,5.263157894736842,-5.0
1992-07-09,9.5,9.88,9.25,9.25,22690.0,6.810810810810819,-2.631578947368421
1992-07-10,9.25,9.75,9.25,9.25,41714.0,5.405405405405405,0.0
1992-07-13,9.38,9.75,9.25,9.75,35548.0,5.405405405405405,3.9445628997867717
1992-07-14,9.5,10.0,9.25,9.75,90881.0,8.108108108108109,2.631578947368421
1992-07-15,10.25,10.25,9.75,10.25,22571.0,5.128205128205128,0.0
1992-07-16,9.75,10.0,9.75,10.0,3262.0,2.564102564102564,2.564102564102564
1992-07-17,9.75,10.25,9.75,10.25,40024.0,5.128205128205128,5.128205128205128
1992-07-20,10.13,10.25,9.75,10.25,51452.0,5.128205128205128,1.1846001974333584
1992-07-21,9.75,10.25,9.75,9.75,10571.0,5.128205128205128,0.0
1992-07-22,9.75,10.25,9.75,9.75,13548.0,5.128205128205128,0.0
1992-07-23,10.0,10.25,10.0,10.0,15143.0,2.5,0.0
1992-07-24,10.0,10.25,9.5,10.0,35619.0,7.894736842105263,0.0
1992-07-27,9.5,9.63,9.5,9.63,55452.0,1.3684210526315872,1.3684210526315872
1992-07-28,10.0,10.0,9.5,10.0,61333.0,5.263157894736842,0.0
1992-07-29,9.5,10.5,9.5,10.5,62286.0,10.526315789473683,10.526315789473683
1992-07-30,10.0,10.75,10.0,10.25,130000.0,7.5,2.5
1992-07-31,10.37,10.87,10.37,10.5,94024.0,4.821600771456123,1.2536162005785996
1992-08-03,10.75,10.75,10.5,10.5,20976.0,2.380952380952381,-2.3255813953488373
1992-08-04,10.5,10.75,10.37,10.37,27262.0,3.6644165863066616,-1.2380952380952457
1992-08-05,10.37,10.75,10.25,10.75,39048.0,4.878048780487805,3.6644165863066616
1992-08-06,10.62,10.62,10.37,10.37,63714.0,2.4108003857280615,-2.354048964218456
1992-08-07,10.25,10.62,10.25,10.25,74857.0,3.6097560975609677,0.0
1992-08-10,10.25,10.5,10.25,10.5,34286.0,2.4390243902439024,2.4390243902439024
1992-08-11,10.37,10.62,10.25,10.25,11262.0,3.6097560975609677,-1.1571841851494622
1992-08-12,10.25,10.62,10.25,10.25,391548.0,3.6097560975609677,0.0
1992-08-13,10.25,10.25,10.25,10.25,30310.0,0.0,0.0
1992-08-14,10.25,10.75,10.25,10.75,81714.0,4.878048780487805,4.878048780487805
1992-08-17,10.5,10.75,10.25,10.25,19548.0,4.878048780487805,-2.380952380952381
1992-08-18,10.25,10.25,10.25,10.25,15333.0,0.0,0.0
1992-08-19,10.25,10.75,9.75,10.0,108690.0,10.256410256410255,-2.4390243902439024
1992-08-20,10.0,10.25,9.5,10.0,79738.0,7.894736842105263,0.0
1992-08-21,10.0,10.0,9.5,9.75,60024.0,5.263157894736842,-2.5
1992-08-24,10.0,10.0,9.75,9.75,4119.0,2.564102564102564,-2.5
1992-08-25,10.0,10.0,10.0,10.0,119.0,0.0,0.0
1992-08-26,9.5,9.63,9.5,9.5,22190.0,1.3684210526315872,0.0
1992-08-27,10.0,10.0,9.5,10.0,44762.0,5.263157894736842,0.0
1992-08-28,9.88,10.25,9.75,10.25,59262.0,5.128205128205128,3.744939271255052
1992-08-31,9.75,10.25,9.75,10.25,68881.0,5.128205128205128,5.128205128205128
1992-09-01,10.25,10.25,9.75,9.75,11738.0,5.128205128205128,-4.878048780487805
1992-09-02,9.88,9.88,9.75,9.75,20976.0,1.3333333333333415,-1.3157894736842182
1992-09-03,9.5,10.0,9.5,9.5,124024.0,5.263157894736842,0.0
1992-09-04,9.25,9.5,8.5,9.0,203714.0,11.76470588235294,-2.7027027027027026
1992-09-08,9.25,9.25,8.5,8.5,27714.0,8.823529411764707,-8.108108108108109
1992-09-09,8.75,9.25,8.0,8.0,108000.0,15.625,-8.571428571428571
1992-09-10,8.0,8.75,7.75,8.0,194286.0,12.903225806451612,0.0
1992-09-11,7.75,8.0,7.75,8.0,213167.0,3.225806451612903,3.225806451612903
1992-09-14,7.75,8.25,7.75,8.25,160405.0,6.451612903225806,6.451612903225806
1992-09-15,8.25,8.5,8.0,8.25,235833.0,6.25,0.0
1992-09-16,8.0,8.5,8.0,8.13,6190.0,6.25,1.6250000000000098
1992-09-17,8.37,8.87,8.37,8.75,150286.0,5.973715651135007,4.540023894862615
1992-09-18,8.5,8.87,8.5,8.87,5452.0,4.352941176470579,4.352941176470579
1992-09-21,8.87,9.0,8.5,8.87,10976.0,5.88235294117647,0.0
1992-09-22,8.5,9.0,8.5,8.75,34000.0,5.88235294117647,2.941176470588235
1992-09-23,8.5,8.87,8.5,8.75,328571.0,4.352941176470579,2.941176470588235
1992-09-24,9.0,9.0,8.75,8.75,31167.0,2.857142857142857,-2.7777777777777777
1992-09-25,8.75,9.0,8.75,8.75,96595.0,2.857142857142857,0.0
1992-09-28,8.75,9.0,8.75,8.75,14476.0,2.857142857142857,0.0
1992-09-29,9.25,9.25,8.75,8.87,27048.0,5.714285714285714,-4.108108108108117
1992-09-30,8.75,9.13,8.75,8.75,88762.0,4.342857142857151,0.0
1992-10-01,8.75,8.75,8.75,8.75,5167.0,0.0,0.0
1992-10-02,8.75,9.25,8.75,9.0,2000.0,5.714285714285714,2.857142857142857
1992-10-05,8.37,8.37,8.25,8.25,4000.0,1.454545454545445,-1.4336917562723923
1992-10-06,8.5,8.5,8.25,8.25,48024.0,3.0303030303030303,-2.941176470588235
1992-10-07,8.25,8.25,8.25,8.25,0.0,0.0,0.0
1992-10-08,8.25,9.0,8.25,8.25,37167.0,9.090909090909092,0.0
1992-10-09,8.25,8.5,8.0,8.0,79905.0,6.25,-3.0303030303030303
1992-10-12,7.88,8.25,7.88,8.13,38024.0,4.69543147208122,3.172588832487321
1992-10-13,8.25,8.25,8.0,8.0,25333.0,3.125,-3.0303030303030303
1992-10-14,8.0,8.25,7.0,7.25,129905.0,17.857142857142858,-9.375
1992-10-15,7.0,7.75,7.0,7.75,64690.0,10.714285714285714,10.714285714285714
