Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,112.0,115.75,112.0,115.5,582133.0,3.3482142857142856,3.125
1990-01-03,115.5,116.5,115.12,115.75,673292.0,1.198749131341205,0.21645021645021645
1990-01-04,115.75,116.87,114.5,115.62,643683.0,2.0698689956331915,-0.11231101511878656
1990-01-05,115.62,116.75,115.5,116.0,330258.0,1.0822510822510822,0.3286628610966921
1990-01-08,116.0,117.75,115.88,116.87,554150.0,1.613738350017263,0.750000000000004
1990-01-09,116.87,117.5,116.37,116.75,422933.0,0.9710406462146561,-0.1026781894412634
1990-01-10,116.12,116.12,111.62,113.0,918175.0,4.03153556710267,-2.6868756458835725
1990-01-11,113.0,115.25,113.0,113.0,457208.0,1.991150442477876,0.0
1990-01-12,112.0,112.0,109.25,109.75,856825.0,2.517162471395881,-2.0089285714285716
1990-01-15,109.75,110.75,108.12,109.87,483975.0,2.432482426933033,0.10933940774487887
1990-01-16,109.87,111.88,108.0,111.88,761817.0,3.592592592592588,1.829434786565933
1990-01-17,111.88,113.87,110.0,110.13,729058.0,3.5181818181818225,-1.5641759027529498
1990-01-18,110.13,110.5,108.88,109.75,504258.0,1.4878765613519513,-0.34504676291654907
1990-01-19,109.75,111.12,109.25,109.5,620358.0,1.7116704805492033,-0.22779043280182232
1990-01-22,109.5,110.0,105.75,106.0,619042.0,4.0189125295508275,-3.1963470319634704
1990-01-23,106.0,107.5,102.13,104.88,1088725.0,5.258004504063453,-1.0566037735849099
1990-01-24,104.88,106.25,102.5,105.5,761608.0,3.6585365853658534,0.5911517925247946
1990-01-25,105.5,107.25,104.5,104.5,576758.0,2.631578947368421,-0.9478672985781991
1990-01-26,104.5,105.63,102.5,104.25,515717.0,3.0536585365853615,-0.23923444976076555
1990-01-29,104.5,106.5,104.5,105.87,472517.0,1.9138755980861244,1.3110047846889996
1990-01-30,105.87,105.87,103.13,105.0,495433.0,2.6568408804421693,-0.8217625389628832
1990-01-31,105.0,105.87,101.5,104.12,779258.0,4.305418719211827,-0.8380952380952338
1990-02-01,104.12,104.88,101.5,101.75,618333.0,3.3300492610837393,-2.276219746446412
1990-02-02,101.75,105.12,101.75,104.75,790208.0,3.3120393120393166,2.9484029484029484
1990-02-05,105.5,107.88,105.5,107.88,504058.0,2.2559241706161095,2.2559241706161095
1990-02-06,107.88,109.5,106.25,107.62,535183.0,3.058823529411765,-0.24100852799405903
1990-02-07,107.62,109.25,106.37,109.0,507908.0,2.707530318698877,1.282289537260728
1990-02-08,109.0,110.37,108.62,109.0,472925.0,1.6111213404529552,0.0
1990-02-09,109.0,110.25,108.5,108.5,325183.0,1.6129032258064515,-0.45871559633027525
1990-02-12,108.5,108.5,106.75,107.13,211317.0,1.639344262295082,-1.2626728110599121
1990-02-13,107.13,108.0,106.25,107.62,406817.0,1.647058823529412,0.4573882199197322
1990-02-14,107.62,109.25,107.25,109.13,296692.0,1.8648018648018647,1.403084928451952
1990-02-15,109.13,110.5,108.75,110.25,337958.0,1.6091954022988506,1.0262989095574129
1990-02-16,110.25,110.75,109.5,109.75,309975.0,1.141552511415525,-0.45351473922902497
1990-02-20,108.75,108.75,106.87,107.75,422733.0,1.7591466267427673,-0.9195402298850575
1990-02-21,107.5,107.5,106.37,106.87,430842.0,1.0623296042117096,-0.5860465116279028
1990-02-22,106.87,108.38,106.37,106.37,351242.0,1.8896305349252522,-0.46785814541031157
1990-02-23,106.37,106.5,104.75,104.75,419083.0,1.6706443914081146,-1.522985804268125
1990-02-26,104.75,107.38,104.5,107.38,396267.0,2.755980861244015,2.5107398568019046
1990-02-27,107.38,108.75,107.25,108.62,461167.0,1.3986013986013985,1.1547774259638752
1990-02-28,108.62,110.0,108.5,109.5,482458.0,1.3824884792626728,0.8101638740563389
1990-03-01,109.5,109.87,108.12,108.12,336950.0,1.6185719570847208,-1.2602739726027357
1990-03-02,108.12,109.75,108.0,109.13,370108.0,1.6203703703703702,0.9341472438031733
1990-03-05,109.13,110.75,109.13,110.63,397583.0,1.4844680656098275,1.3745074681572438
1990-03-06,110.75,112.38,110.75,112.12,529808.0,1.4717832957110568,1.237020316027092
1990-03-07,112.12,113.13,110.88,111.88,405492.0,2.029220779220779,-0.21405636817696136
1990-03-08,111.88,112.5,111.5,112.5,232808.0,0.8968609865470852,0.5541651769753347
1990-03-09,112.5,112.5,110.5,110.88,245692.0,1.809954751131222,-1.4400000000000042
1990-03-12,110.88,112.25,110.25,112.0,232708.0,1.8140589569160999,1.0101010101010142
1990-03-13,112.0,114.0,111.75,113.37,392517.0,2.013422818791946,1.2232142857142898
1990-03-14,113.75,115.62,113.75,115.38,483067.0,1.643956043956048,1.432967032967029
1990-03-15,115.38,116.37,114.5,115.0,315350.0,1.633187772925768,-0.3293465071936172
1990-03-16,115.38,116.5,115.38,116.0,530925.0,0.9707054948864662,0.5373548275264384
1990-03-19,115.62,115.62,114.75,115.62,420808.0,0.7581699346405268,0.0
1990-03-20,115.62,117.0,115.25,115.88,570067.0,1.5184381778741864,0.22487458917141578
1990-03-21,115.88,116.37,114.75,114.88,370508.0,1.411764705882357,-0.8629616845012082
1990-03-22,114.5,114.5,110.63,111.88,762217.0,3.4981469764078503,-2.2882096069869036
1990-03-23,112.5,114.5,112.5,114.25,423033.0,1.7777777777777777,1.5555555555555556
1990-03-26,114.25,115.25,112.75,112.87,304092.0,2.2172949002217295,-1.2078774617067793
1990-03-27,112.87,114.25,112.62,114.0,324883.0,1.4473450541644428,1.001151767520152
1990-03-28,113.63,113.63,112.0,113.37,799742.0,1.4553571428571388,-0.22881281351754898
1990-03-29,113.0,113.0,111.62,112.0,202183.0,1.2363375739114812,-0.8849557522123894
1990-03-30,112.0,112.25,110.37,111.12,324883.0,1.703361420675904,-0.7857142857142816
1990-04-02,111.12,111.25,109.25,111.12,430333.0,1.8306636155606408,0.0
1990-04-03,111.5,114.0,111.5,113.75,622292.0,2.242152466367713,2.0179372197309418
1990-04-04,113.75,114.62,111.5,112.0,577267.0,2.79820627802691,-1.5384615384615385
1990-04-05,112.62,114.37,112.62,114.25,507908.0,1.5538980642869828,1.4473450541644428
1990-04-06,114.25,114.25,113.0,113.87,350742.0,1.1061946902654867,-0.3326039387308494
1990-04-09,113.87,114.88,113.5,113.75,841417.0,1.2158590308370003,-0.10538333186967994
1990-04-10,113.75,114.0,113.13,114.0,231492.0,0.7690267833465965,0.21978021978021978
1990-04-11,114.0,115.88,114.0,115.0,410967.0,1.64912280701754,0.8771929824561403
1990-04-12,115.0,115.62,114.5,114.62,311500.0,0.9781659388646329,-0.3304347826086917
1990-04-16,114.62,115.62,114.25,114.25,337050.0,1.199124726477028,-0.32280579305531715
1990-04-17,114.25,114.75,113.37,114.25,418067.0,1.2172532415983024,0.0
1990-04-18,114.25,114.25,112.62,112.62,573417.0,1.4473450541644428,-1.4266958424507619
1990-04-19,112.62,113.25,111.5,111.75,384908.0,1.5695067264573992,-0.7725093233883897
1990-04-20,111.75,112.75,110.25,112.0,504967.0,2.2675736961451247,0.22371364653243847
1990-04-23,112.0,112.0,110.25,111.12,423342.0,1.5873015873015872,-0.7857142857142816
1990-04-24,111.12,111.75,110.13,110.25,536908.0,1.4709888313810993,-0.7829373650108032
1990-04-25,110.5,111.38,110.5,111.25,244775.0,0.7963800904977334,0.6787330316742082
1990-04-26,111.25,112.38,110.5,110.75,558917.0,1.7013574660633444,-0.44943820224719105
1990-04-27,110.75,110.88,109.5,109.63,384300.0,1.2602739726027357,-1.0112866817155797
1990-04-30,109.63,110.88,109.25,110.5,378925.0,1.491990846681918,0.7935784000729769
1990-05-01,110.5,111.38,110.0,110.63,410967.0,1.2545454545454504,0.1176470588235253
1990-05-02,110.63,111.38,110.5,111.25,240008.0,0.7963800904977334,0.5604266473831733
1990-05-03,111.38,112.12,111.38,111.88,409042.0,0.6643921709463182,0.44891362901777704
1990-05-04,111.88,112.75,111.5,112.75,253292.0,1.1210762331838564,0.7776188773686133
1990-05-07,112.87,113.75,112.87,113.25,263233.0,0.7796580136440112,0.3366705058917298
1990-05-08,113.13,113.13,111.25,112.38,359767.0,1.689887640449434,-0.6629541235746487
1990-05-09,112.25,112.25,110.75,111.0,316158.0,1.3544018058690745,-1.1135857461024499
1990-05-10,111.0,111.38,109.37,109.37,393425.0,1.837798299350819,-1.4684684684684643
1990-05-11,109.75,112.75,109.75,112.12,619042.0,2.733485193621868,2.1594533029612797
1990-05-14,112.12,113.75,112.0,112.62,501725.0,1.5625,0.4459507670353193
1990-05-15,112.62,113.37,111.75,112.87,366150.0,1.4496644295302055,0.22198543775528326
1990-05-16,112.87,113.37,111.75,112.62,327417.0,1.4496644295302055,-0.22149375387614068
1990-05-17,112.62,113.25,112.12,112.5,397683.0,1.0078487334998176,-0.10655301012253998
1990-05-18,112.5,115.12,112.38,115.0,698742.0,2.4381562555614957,2.2222222222222223
1990-05-21,115.0,116.87,114.75,116.25,932675.0,1.84749455337691,1.0869565217391304
1990-05-22,117.13,119.5,117.13,119.5,803792.0,2.0233928114061337,2.0233928114061337
1990-05-23,119.25,119.25,118.25,118.75,410258.0,0.8456659619450317,-0.41928721174004197
1990-05-24,118.75,119.25,118.0,119.0,289392.0,1.059322033898305,0.21052631578947367
1990-05-25,118.88,118.88,117.13,117.63,237883.0,1.4940664219243576,-1.0514804845222074
1990-05-29,117.87,120.0,117.87,119.75,427500.0,1.8070755917536228,1.594977517604136
1990-05-30,122.25,125.75,122.25,125.75,1326208.0,2.8629856850715747,2.8629856850715747
1990-05-31,125.75,129.88,125.0,129.0,975567.0,3.9039999999999964,2.584493041749503
1990-06-01,129.0,130.5,127.5,128.5,853783.0,2.3529411764705883,-0.3875968992248062
1990-06-04,128.5,129.25,126.38,128.25,538433.0,2.27092894445324,-0.19455252918287938
