Date,Open,High,Low,Close,Volume,HML,PCT
1995-03-09,16.62,17.0,16.5,16.87,138390.0,3.0303030303030303,1.5042117930204573
1995-03-10,17.25,18.0,16.87,17.62,186430.0,6.698280972139887,2.1449275362318896
1995-03-13,18.0,18.0,17.5,17.5,64645.0,2.857142857142857,-2.7777777777777777
1995-03-14,18.0,18.25,17.5,17.75,67753.0,4.285714285714286,-1.3888888888888888
1995-03-15,17.75,18.75,17.25,18.25,327835.0,8.695652173913043,2.8169014084507045
1995-03-16,18.75,19.0,17.75,17.75,59220.0,7.042253521126761,-5.333333333333334
1995-03-17,17.75,18.25,17.75,17.75,113975.0,2.8169014084507045,0.0
1995-03-20,17.75,18.31,17.75,17.75,113778.0,3.1549295774647814,0.0
1995-03-21,18.13,18.5,17.87,17.87,237985.0,3.525461667599323,-1.4340871483728517
1995-03-22,18.0,18.5,17.87,18.0,228793.0,3.525461667599323,0.0
1995-03-23,18.25,18.25,17.87,18.13,183638.0,2.126468942361494,-0.6575342465753479
1995-03-24,18.5,18.5,18.0,18.13,35213.0,2.7777777777777777,-2.0000000000000053
1995-03-27,18.5,19.5,18.13,19.25,50844.0,7.556536127964705,4.054054054054054
1995-03-28,19.25,20.25,18.75,20.25,82779.0,8.0,5.194805194805195
1995-03-29,20.25,21.0,18.75,19.5,107628.0,12.0,-3.7037037037037033
1995-03-30,19.5,20.5,19.0,20.0,71467.0,7.894736842105263,2.564102564102564
1995-03-31,20.5,21.0,19.75,20.5,36385.0,6.329113924050633,0.0
1995-04-03,21.0,22.75,20.75,22.0,209238.0,9.63855421686747,4.761904761904762
1995-04-04,22.0,22.5,21.0,21.0,114963.0,7.142857142857142,-4.545454545454546
1995-04-05,21.0,22.0,21.0,21.88,84161.0,4.761904761904762,4.190476190476185
1995-04-06,21.88,21.88,21.5,21.5,87467.0,1.7674418604651119,-1.7367458866544745
1995-04-07,21.88,21.88,20.88,21.5,49185.0,4.789272030651341,-1.7367458866544745
1995-04-10,20.88,21.63,20.88,21.63,14038.0,3.591954022988506,3.591954022988506
1995-04-11,21.63,21.75,21.0,21.75,5452.0,3.571428571428571,0.5547850208044429
1995-04-12,21.25,21.75,21.25,21.25,114660.0,2.3529411764705883,0.0
1995-04-13,21.25,21.75,21.25,21.75,1975.0,2.3529411764705883,2.3529411764705883
1995-04-17,21.75,21.88,21.25,21.25,13169.0,2.964705882352937,-2.2988505747126435
1995-04-18,21.25,21.75,21.0,21.0,65238.0,3.571428571428571,-1.1764705882352942
