Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,39.38,40.25,39.12,40.25,465700.0,2.88854805725972,2.209243270695778
1990-01-03,40.12,40.25,39.62,39.88,271600.0,1.5901060070671442,-0.5982053838484419
1990-01-04,39.88,39.88,39.0,39.25,140000.0,2.2564102564102626,-1.5797392176529652
1990-01-05,38.75,38.88,38.12,38.38,431100.0,1.9937040923399925,-0.9548387096774127
1990-01-08,38.25,38.75,38.0,38.62,196800.0,1.9736842105263157,0.9673202614379018
1990-01-09,38.62,38.62,37.88,37.88,230400.0,1.9535374868004087,-1.916105644743643
1990-01-10,37.88,38.25,37.5,38.0,296400.0,2.0,0.31678986272438603
1990-01-11,38.12,38.5,38.12,38.38,207200.0,0.9968520461699962,0.6820566631689536
1990-01-12,38.25,38.25,37.25,37.38,433100.0,2.684563758389262,-2.274509803921562
1990-01-15,37.38,37.62,37.25,37.5,196400.0,0.99328859060402,0.3210272873194153
1990-01-16,37.38,37.75,37.12,37.75,312400.0,1.697198275862076,0.9898341359015448
1990-01-17,37.75,38.0,37.25,37.5,158900.0,2.013422818791946,-0.6622516556291391
1990-01-18,37.38,37.62,37.12,37.62,206200.0,1.3469827586206897,0.6420545746388306
1990-01-19,37.5,37.62,37.38,37.38,255700.0,0.6420545746388306,-0.3199999999999932
1990-01-22,37.38,37.5,36.75,36.75,228300.0,2.0408163265306123,-1.685393258426973
1990-01-23,36.75,37.5,36.62,37.5,308200.0,2.4030584380120223,2.0408163265306123
1990-01-24,37.0,37.12,36.75,36.88,232200.0,1.0068027210884285,-0.3243243243243174
1990-01-25,37.12,37.38,36.75,36.75,266100.0,1.7142857142857213,-0.9967672413793035
1990-01-26,36.75,37.0,36.62,37.0,436600.0,1.0376843255051955,0.6802721088435374
1990-01-29,37.0,37.12,36.75,36.88,165500.0,1.0068027210884285,-0.3243243243243174
1990-01-30,36.88,37.0,36.62,37.0,208600.0,1.0376843255051955,0.3253796095444616
1990-01-31,37.12,37.75,37.12,37.75,230500.0,1.697198275862076,1.697198275862076
1990-02-01,37.88,37.88,37.5,37.5,350700.0,1.0133333333333403,-1.0031678986272508
1990-02-02,37.5,38.0,37.5,37.75,147200.0,1.3333333333333335,0.6666666666666667
1990-02-05,37.75,37.88,37.75,37.88,221900.0,0.3443708609271591,0.3443708609271591
1990-02-06,37.88,38.0,37.62,37.88,104400.0,1.010101010101017,0.0
1990-02-07,37.75,38.62,37.75,38.62,395000.0,2.304635761589397,2.304635761589397
1990-02-08,38.62,38.88,38.62,38.62,144500.0,0.6732263076126492,0.0
1990-02-09,38.88,39.12,38.62,39.12,184400.0,1.2946659761781463,0.6172839506172707
1990-02-12,38.88,38.88,38.5,38.62,93300.0,0.9870129870129937,-0.6687242798354041
1990-02-13,38.75,38.75,38.38,38.5,178900.0,0.9640437727983256,-0.6451612903225806
1990-02-14,38.75,38.88,38.62,38.88,132200.0,0.6732263076126492,0.3354838709677485
1990-02-15,38.88,39.0,38.5,38.62,152700.0,1.2987012987012987,-0.6687242798354041
1990-02-16,38.62,38.62,37.75,37.88,284300.0,2.304635761589397,-1.916105644743643
1990-02-20,37.62,37.62,37.12,37.25,339600.0,1.3469827586206897,-0.9835194045720295
1990-02-21,36.88,37.75,36.88,37.62,218100.0,2.3590021691973897,2.006507592190875
1990-02-22,37.5,37.75,37.0,37.0,144300.0,2.027027027027027,-1.3333333333333335
1990-02-23,37.0,37.5,36.75,37.25,124200.0,2.0408163265306123,0.6756756756756757
1990-02-26,37.25,37.62,37.12,37.62,309800.0,1.3469827586206897,0.99328859060402
1990-02-27,37.5,38.0,37.5,37.88,96000.0,1.3333333333333335,1.0133333333333403
1990-02-28,37.75,38.38,37.75,38.12,148600.0,1.6688741721854372,0.980132450331119
1990-03-01,38.12,38.62,38.12,38.38,248900.0,1.311647429171039,0.6820566631689536
1990-03-02,38.5,38.75,38.38,38.75,146800.0,0.9640437727983256,0.6493506493506493
1990-03-05,38.62,38.75,38.5,38.62,117900.0,0.6493506493506493,0.0
1990-03-06,38.5,39.25,38.5,39.12,439600.0,1.948051948051948,1.6103896103896038
