Date,Open,High,Low,Close,Volume,HML,PCT
1990-03-26,24.87,24.87,24.87,24.87,11000.0,0.0,0.0
1990-03-27,24.75,25.0,24.75,24.75,1500.0,1.0101010101010102,0.0
1990-03-28,25.0,25.0,24.75,24.75,27000.0,1.0101010101010102,-1.0
1990-03-29,24.75,25.0,24.5,25.0,18800.0,2.0408163265306123,1.0101010101010102
1990-03-30,24.5,24.75,24.5,24.5,13100.0,1.0204081632653061,0.0
1990-04-02,24.75,24.75,24.5,24.62,105100.0,1.0204081632653061,-0.5252525252525213
1990-04-03,25.0,25.0,24.62,24.75,41100.0,1.5434606011372827,-1.0
1990-04-04,24.5,24.5,24.5,24.5,200.0,0.0,0.0
1990-04-05,24.5,24.62,24.25,24.62,5800.0,1.5257731958762926,0.489795918367351
1990-04-06,24.0,24.5,24.0,24.5,303900.0,2.083333333333333,2.083333333333333
1990-04-09,24.25,24.75,24.25,24.75,3600.0,2.0618556701030926,2.0618556701030926
1990-04-10,24.0,24.25,24.0,24.0,3700.0,1.0416666666666665,0.0
1990-04-11,24.75,24.75,24.0,24.0,1800.0,3.125,-3.0303030303030303
1990-04-12,24.5,24.5,24.25,24.25,4400.0,1.0309278350515463,-1.0204081632653061
1990-04-16,24.0,24.5,24.0,24.5,1700.0,2.083333333333333,2.083333333333333
1990-04-17,24.5,24.5,23.5,24.0,242900.0,4.25531914893617,-2.0408163265306123
1990-04-18,24.0,24.5,24.0,24.25,8800.0,2.083333333333333,1.0416666666666665
1990-04-19,24.5,24.5,24.0,24.0,16800.0,2.083333333333333,-2.0408163265306123
1990-04-20,23.87,23.87,23.87,23.87,800.0,0.0,0.0
1990-04-23,24.25,24.25,24.25,24.25,100.0,0.0,0.0
1990-04-24,24.25,24.25,23.5,23.5,8500.0,3.1914893617021276,-3.0927835051546393
1990-04-25,24.25,24.25,23.5,23.5,6400.0,3.1914893617021276,-3.0927835051546393
1990-04-26,23.5,23.5,23.5,23.5,0.0,0.0,0.0
1990-04-27,23.5,24.0,23.5,23.5,2100.0,2.127659574468085,0.0
1990-04-30,23.75,23.75,23.5,23.5,7500.0,1.0638297872340425,-1.0526315789473684
1990-05-01,24.0,24.0,23.5,23.75,10400.0,2.127659574468085,-1.0416666666666665
1990-05-02,24.25,24.25,24.25,24.25,700.0,0.0,0.0
1990-05-03,24.25,24.25,24.25,24.25,2900.0,0.0,0.0
1990-05-04,24.25,24.25,24.25,24.25,700.0,0.0,0.0
1990-05-07,24.25,25.25,24.25,25.25,6400.0,4.123711340206185,4.123711340206185
1990-05-08,25.5,25.75,24.75,24.75,7400.0,4.040404040404041,-2.941176470588235
1990-05-09,25.25,25.25,24.25,24.25,5300.0,4.123711340206185,-3.9603960396039604
1990-05-10,24.25,24.75,24.25,24.62,7100.0,2.0618556701030926,1.5257731958762926
1990-05-11,24.75,24.75,24.75,24.75,8800.0,0.0,0.0
1990-05-14,24.25,24.75,24.25,24.5,29000.0,2.0618556701030926,1.0309278350515463
1990-05-15,24.25,24.5,24.0,24.5,182800.0,2.083333333333333,1.0309278350515463
1990-05-16,24.0,24.25,24.0,24.0,28200.0,1.0416666666666665,0.0
1990-05-17,24.5,24.5,24.0,24.0,5100.0,2.083333333333333,-2.0408163265306123
1990-05-18,24.0,24.5,24.0,24.0,1900.0,2.083333333333333,0.0
1990-05-21,24.5,24.75,24.13,24.25,73000.0,2.5694156651471243,-1.0204081632653061
1990-05-22,24.75,25.0,24.25,24.75,73800.0,3.0927835051546393,0.0
1990-05-23,24.75,25.0,24.75,24.87,22500.0,1.0101010101010102,0.48484848484848886
1990-05-24,24.5,25.0,24.5,24.75,16000.0,2.0408163265306123,1.0204081632653061
