Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,46.5,48.5,46.5,48.13,512600.0,4.301075268817205,3.505376344086027
1990-01-03,48.13,48.88,48.13,48.75,398700.0,1.5582796592561812,1.288177851651771
1990-01-04,48.0,48.38,47.25,48.38,186200.0,2.391534391534397,0.791666666666672
1990-01-05,47.75,48.25,47.13,47.13,146600.0,2.3764056863993153,-1.2984293193717225
1990-01-08,46.75,47.38,46.5,47.25,417100.0,1.8924731182795755,1.06951871657754
1990-01-09,47.13,47.25,46.88,47.13,93600.0,0.7892491467576738,0.0
1990-01-10,46.88,46.88,46.5,46.5,126800.0,0.8172043010752743,-0.8105802047781625
1990-01-11,46.75,47.25,46.75,47.13,112300.0,1.06951871657754,0.812834224598936
1990-01-12,46.88,46.88,46.13,46.38,151100.0,1.6258400173422936,-1.0665529010238908
1990-01-15,46.38,46.38,45.75,45.88,84400.0,1.3770491803278744,-1.0780508840017249
1990-01-16,45.5,46.75,45.25,46.75,225000.0,3.314917127071823,2.7472527472527473
1990-01-17,46.63,46.75,45.63,46.0,41200.0,2.4545255314486027,-1.3510615483594308
1990-01-18,45.63,46.75,45.63,46.75,98900.0,2.4545255314486027,2.4545255314486027
1990-01-19,46.75,47.0,46.0,46.75,204300.0,2.1739130434782608,0.0
1990-01-22,45.5,46.0,44.25,44.25,224200.0,3.954802259887006,-2.7472527472527473
1990-01-23,44.75,45.13,44.38,44.75,195500.0,1.6899504281207751,0.0
1990-01-24,44.0,44.75,43.88,44.5,129500.0,1.9826800364630752,1.1363636363636365
1990-01-25,44.75,45.0,44.5,44.5,113800.0,1.1235955056179776,-0.5586592178770949
1990-01-26,44.5,44.75,44.5,44.63,130700.0,0.5617977528089888,0.2921348314606799
1990-01-29,44.63,44.88,44.25,44.63,97200.0,1.4237288135593278,0.0
1990-01-30,44.5,44.75,44.13,44.25,211300.0,1.4049399501472861,-0.5617977528089888
1990-01-31,44.5,45.25,44.38,45.0,161300.0,1.9603424966200933,1.1235955056179776
1990-02-01,45.0,45.0,44.5,44.88,84300.0,1.1235955056179776,-0.266666666666661
1990-02-02,44.75,46.0,44.63,45.75,116400.0,3.0696840690118696,2.2346368715083798
1990-02-05,45.75,46.5,45.5,45.63,143500.0,2.197802197802198,-0.2622950819672075
1990-02-06,45.63,46.63,45.63,46.0,273300.0,2.1915406530791146,0.8108700416392667
