Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,64.12,66.0,63.62,66.0,238600.0,3.740961961647285,2.9320024953212656
1990-01-03,66.5,66.62,65.25,65.62,452500.0,2.099616858237555,-1.3233082706766848
1990-01-04,65.62,66.0,64.38,65.12,300200.0,2.516309412861144,-0.7619628162145686
1990-01-05,65.0,65.38,64.25,64.75,80600.0,1.7587548638132227,-0.38461538461538464
1990-01-08,64.38,65.0,64.38,64.75,87600.0,0.9630319975147633,0.574712643678168
1990-01-09,64.75,65.0,64.12,64.12,63800.0,1.3724266999376098,-0.972972972972966
1990-01-10,64.0,64.0,62.62,63.25,166600.0,2.2037687639731756,-1.171875
1990-01-11,63.5,63.88,63.25,63.25,67300.0,0.9960474308300435,-0.39370078740157477
1990-01-12,62.88,62.88,60.88,61.75,291600.0,3.28515111695138,-1.7970737913486043
1990-01-15,61.5,61.62,61.25,61.38,146100.0,0.6040816326530571,-0.19512195121950804
1990-01-16,61.0,61.88,60.88,61.88,169300.0,1.64257555847569,1.4426229508196764
1990-01-17,62.0,62.25,61.38,61.62,120000.0,1.4173998044965745,-0.6129032258064557
1990-01-18,61.5,61.88,60.62,61.12,230500.0,2.078521939953819,-0.6178861788617928
1990-01-19,61.25,61.38,60.88,61.12,93500.0,0.821287779237845,-0.21224489795918783
1990-01-22,60.88,61.25,60.0,60.12,167400.0,2.083333333333333,-1.2483574244415327
1990-01-23,60.12,60.5,59.62,60.12,121800.0,1.4760147601476057,0.0
1990-01-24,58.5,59.5,58.0,59.0,318700.0,2.586206896551724,0.8547008547008548
1990-01-25,59.12,59.88,59.12,59.5,190500.0,1.2855209742895892,0.6427604871447946
1990-01-26,58.88,59.5,58.12,58.5,133300.0,2.374397797660018,-0.6453804347826131
1990-01-29,58.62,58.75,57.5,57.62,99100.0,2.1739130434782608,-1.70590242238144
1990-01-30,57.88,58.12,56.5,56.88,249900.0,2.867256637168137,-1.7277125086385625
1990-01-31,57.0,57.75,56.88,57.75,140000.0,1.5295358649788984,1.3157894736842104
1990-02-01,57.62,58.12,57.25,57.25,113100.0,1.5196506550218296,-0.6421381464769134
1990-02-02,57.25,58.38,57.12,58.0,184700.0,2.2058823529411855,1.3100436681222707
1990-02-05,58.38,58.62,58.12,58.5,96600.0,0.8602890571231934,0.20554984583761124
1990-02-06,58.75,59.0,58.5,59.0,135400.0,0.8547008547008548,0.425531914893617
1990-02-07,59.0,60.38,58.75,60.38,189200.0,2.7744680851063874,2.338983050847462
1990-02-08,60.25,61.38,60.25,60.88,178100.0,1.8755186721991743,1.0456431535269752
1990-02-09,60.62,61.38,60.62,60.88,105800.0,1.2537116463213547,0.42890135268889
1990-02-12,60.75,60.88,60.12,60.12,79000.0,1.2641383898869014,-1.0370370370370412
1990-02-13,60.12,60.12,59.62,60.0,81300.0,0.8386447500838645,-0.19960079840318934
1990-02-14,59.88,60.38,59.88,60.12,89000.0,0.83500334001336,0.4008016032064043
1990-02-15,59.88,60.38,59.88,60.12,26100.0,0.83500334001336,0.4008016032064043
1990-02-16,60.0,60.12,59.75,60.0,157900.0,0.6192468619246819,0.0
1990-02-20,59.5,59.5,58.38,58.75,137800.0,1.9184652278177414,-1.2605042016806722
1990-02-21,58.25,58.62,57.88,58.25,69500.0,1.2785072563925275,0.0
1990-02-22,58.38,59.12,58.0,58.0,116300.0,1.9310344827586163,-0.6509078451524538
1990-02-23,58.0,58.38,57.5,58.0,77400.0,1.5304347826087001,0.0
1990-02-26,57.75,58.62,57.75,58.62,141300.0,1.506493506493502,1.506493506493502
1990-02-27,58.5,60.0,58.5,59.38,143700.0,2.564102564102564,1.5042735042735087
1990-02-28,59.12,59.88,59.0,59.62,153300.0,1.491525423728818,0.8457374830852503
1990-03-01,59.62,60.38,59.12,60.12,175800.0,2.1312584573748397,0.8386447500838645
1990-03-02,60.25,61.0,60.25,60.75,105800.0,1.2448132780082988,0.8298755186721992
1990-03-05,60.75,61.25,60.62,60.75,121000.0,1.0392609699769095,0.0
1990-03-06,60.88,62.0,60.75,61.75,303300.0,2.05761316872428,1.429040735873846
1990-03-07,62.0,62.25,61.0,61.12,199700.0,2.0491803278688523,-1.4193548387096815
1990-03-08,61.38,62.62,61.38,62.62,236900.0,2.020202020202012,2.020202020202012
1990-03-09,62.5,62.75,61.62,62.0,258400.0,1.8338201882505722,-0.8
1990-03-12,61.75,61.88,61.5,61.88,70800.0,0.6178861788617928,0.21052631578947784
1990-03-13,61.5,61.88,60.75,61.38,165500.0,1.8600823045267532,-0.19512195121950804
1990-03-14,61.75,62.0,61.38,61.75,156800.0,1.010101010101006,0.0
1990-03-15,62.12,62.38,61.88,62.25,171700.0,0.8080155138978667,0.20927237604636603
1990-03-16,62.75,63.62,62.0,63.62,265000.0,2.6129032258064475,1.3864541832669282
1990-03-19,63.38,63.88,62.88,63.88,130300.0,1.5903307888040712,0.7888923950773113
1990-03-20,63.5,64.25,62.75,63.25,258800.0,2.3904382470119523,-0.39370078740157477
1990-03-21,62.88,63.75,62.75,63.62,143500.0,1.593625498007968,1.1768447837150044
1990-03-22,64.0,64.0,62.38,63.0,172000.0,2.5969862135299735,-1.5625
1990-03-23,63.25,63.5,62.75,63.0,76200.0,1.1952191235059761,-0.3952569169960474
1990-03-26,63.38,63.62,63.0,63.25,124300.0,0.98412698412698,-0.205112022720105
1990-03-27,63.25,64.12,63.12,64.0,150100.0,1.5842839036755498,1.185770750988142
1990-03-28,64.0,64.5,63.75,64.38,144300.0,1.1764705882352942,0.5937499999999929
1990-03-29,63.88,64.12,63.5,63.62,129500.0,0.9763779527559127,-0.4070131496556123
1990-03-30,63.62,63.62,62.5,63.12,123700.0,1.791999999999996,-0.785916378497328
1990-04-02,62.25,62.75,62.0,62.75,118200.0,1.2096774193548387,0.8032128514056224
1990-04-03,63.0,63.88,62.88,63.5,207600.0,1.5903307888040712,0.7936507936507936
1990-04-04,63.25,63.75,61.0,61.5,3361000.0,4.508196721311475,-2.766798418972332
1990-04-05,61.75,62.38,61.0,61.75,225700.0,2.2622950819672174,0.0
1990-04-06,61.62,61.88,61.0,61.0,134200.0,1.4426229508196764,-1.006166828951635
1990-04-09,60.88,61.5,60.88,61.12,95900.0,1.0183968462549235,0.3942181340341571
1990-04-10,61.12,61.75,61.12,61.5,80500.0,1.0307591623036692,0.6217277486911037
1990-04-11,61.38,62.75,61.38,62.25,308600.0,2.2319973932877115,1.4173998044965745
1990-04-12,62.25,62.75,62.12,62.5,382000.0,1.014166130070835,0.4016064257028112
1990-04-16,62.75,63.0,62.25,62.5,299100.0,1.2048192771084338,-0.398406374501992
1990-04-17,62.38,62.62,61.75,62.62,391800.0,1.4089068825910889,0.3847386983007292
1990-04-18,62.75,62.75,61.62,61.75,308600.0,1.8338201882505722,-1.593625498007968
1990-04-19,61.75,62.12,61.38,61.38,241200.0,1.2056044314108747,-0.5991902834008056
1990-04-20,61.5,61.62,59.75,60.62,273600.0,3.129707112970707,-1.4308943089430937
1990-04-23,60.5,60.5,59.88,60.38,209000.0,1.035404141616562,-0.1983471074380123
1990-04-24,60.38,60.75,60.38,60.75,130100.0,0.6127856906260308,0.6127856906260308
1990-04-25,60.5,61.12,60.5,60.62,131300.0,1.0247933884297478,0.1983471074380123
1990-04-26,60.62,60.88,60.12,60.75,118400.0,1.2641383898869014,0.214450676344445
1990-04-27,60.38,60.38,59.75,59.88,101600.0,1.0543933054393348,-0.8280887711162637
1990-04-30,59.75,60.25,59.62,60.25,105600.0,1.0566923851056735,0.8368200836820083
1990-05-01,60.25,60.5,59.75,60.25,133200.0,1.2552301255230125,0.0
1990-05-02,60.12,60.62,60.12,60.5,84500.0,0.8316699933466402,0.6320691949434507
1990-05-03,60.5,61.5,60.5,60.75,384700.0,1.6528925619834711,0.4132231404958678
1990-05-04,61.12,61.12,60.25,61.12,166900.0,1.4439834024896223,0.0
1990-05-07,61.25,62.0,60.88,61.62,174500.0,1.8396846254927683,0.6040816326530571
