Date,Open,High,Low,Close,Volume,HML,PCT
1993-06-22,13.0,13.0,11.25,11.5,2795400.0,15.555555555555555,-11.538461538461538
1993-06-23,11.75,12.0,11.5,11.75,396100.0,4.3478260869565215,0.0
1993-06-24,11.75,12.0,11.75,11.75,87900.0,2.127659574468085,0.0
1993-06-25,11.75,12.25,11.75,12.0,206800.0,4.25531914893617,2.127659574468085
1993-06-28,12.0,12.25,12.0,12.0,174800.0,2.083333333333333,0.0
1993-06-29,12.25,12.25,11.75,12.25,94600.0,4.25531914893617,0.0
1993-06-30,11.75,11.75,11.25,11.25,128400.0,4.444444444444445,-4.25531914893617
1993-07-01,11.75,11.75,11.25,11.75,78400.0,4.444444444444445,0.0
1993-07-02,11.75,11.75,11.25,11.25,26700.0,4.444444444444445,-4.25531914893617
1993-07-06,11.25,11.75,11.25,11.25,17700.0,4.444444444444445,0.0
1993-07-07,10.75,11.0,10.0,10.62,138900.0,10.0,-1.2093023255814026
1993-07-08,10.25,11.0,10.25,10.5,81100.0,7.317073170731707,2.4390243902439024
1993-07-09,10.25,10.75,10.25,10.75,31900.0,4.878048780487805,4.878048780487805
1993-07-12,10.25,10.75,10.25,10.5,103500.0,4.878048780487805,2.4390243902439024
1993-07-13,10.25,11.0,10.25,10.88,22800.0,7.317073170731707,6.146341463414641
1993-07-14,10.75,12.0,10.75,11.75,72900.0,11.627906976744185,9.30232558139535
1993-07-15,11.75,12.0,11.5,12.0,28800.0,4.3478260869565215,2.127659574468085
1993-07-16,12.0,12.0,11.5,11.5,16100.0,4.3478260869565215,-4.166666666666666
1993-07-19,12.0,12.0,11.5,11.75,86500.0,4.3478260869565215,-2.083333333333333
1993-07-20,11.5,12.0,11.5,11.75,8600.0,4.3478260869565215,2.1739130434782608
1993-07-21,11.5,12.0,11.5,11.5,4400.0,4.3478260869565215,0.0
1993-07-22,11.75,12.0,11.75,11.75,56100.0,2.127659574468085,0.0
1993-07-23,11.75,12.0,10.75,11.12,41600.0,11.627906976744185,-5.361702127659581
1993-07-26,10.75,10.75,10.25,10.75,35800.0,4.878048780487805,0.0
1993-07-27,10.25,10.75,10.25,10.25,51400.0,4.878048780487805,0.0
1993-07-28,10.5,10.75,10.25,10.25,8800.0,4.878048780487805,-2.380952380952381
1993-07-29,10.75,11.0,10.25,11.0,18100.0,7.317073170731707,2.3255813953488373
1993-07-30,10.5,11.0,10.38,10.75,123100.0,5.973025048169549,2.380952380952381
1993-08-02,10.5,10.75,10.5,10.5,8000.0,2.380952380952381,0.0
1993-08-03,10.5,10.75,10.5,10.5,8000.0,2.380952380952381,0.0
1993-08-04,10.75,10.75,10.5,10.5,8200.0,2.380952380952381,-2.3255813953488373
1993-08-05,10.5,10.75,10.5,10.5,4900.0,2.380952380952381,0.0
1993-08-06,10.5,10.75,10.5,10.5,2900.0,2.380952380952381,0.0
1993-08-09,10.5,10.75,10.5,10.5,6400.0,2.380952380952381,0.0
1993-08-10,10.25,10.5,9.75,10.0,71100.0,7.6923076923076925,-2.4390243902439024
1993-08-11,9.75,9.75,8.5,9.5,126900.0,14.705882352941178,-2.564102564102564
1993-08-12,9.5,9.5,9.0,9.12,200700.0,5.555555555555555,-4.000000000000008
1993-08-13,9.0,9.5,9.0,9.0,39900.0,5.555555555555555,0.0
1993-08-16,9.0,10.0,9.0,9.5,25000.0,11.11111111111111,5.555555555555555
1993-08-17,9.5,10.0,9.5,9.5,57400.0,5.263157894736842,0.0
1993-08-18,9.5,10.0,9.5,9.75,6300.0,5.263157894736842,2.631578947368421
1993-08-19,9.5,9.75,9.0,9.62,68500.0,8.333333333333332,1.2631578947368338
1993-08-20,9.0,9.75,9.0,9.5,1000.0,8.333333333333332,5.555555555555555
1993-08-23,9.75,9.75,9.38,9.38,6200.0,3.9445628997867717,-3.7948717948717867
1993-08-24,9.25,9.75,9.25,9.25,1200.0,5.405405405405405,0.0
1993-08-25,9.5,9.75,9.25,9.25,6000.0,5.405405405405405,-2.631578947368421
1993-08-26,9.25,9.75,9.12,9.25,22100.0,6.907894736842114,0.0
1993-08-27,9.25,9.75,9.25,9.25,8000.0,5.405405405405405,0.0
1993-08-30,9.75,9.75,9.25,9.25,11200.0,5.405405405405405,-5.128205128205128
1993-08-31,9.25,9.75,9.25,9.75,2900.0,5.405405405405405,5.405405405405405
1993-09-01,9.12,9.5,9.12,9.25,17300.0,4.166666666666676,1.4254385964912368
1993-09-02,9.75,9.75,9.25,9.5,59900.0,5.405405405405405,-2.564102564102564
1993-09-03,9.5,9.75,9.25,9.75,49400.0,5.405405405405405,2.631578947368421
1993-09-07,9.75,9.75,9.0,9.5,35100.0,8.333333333333332,-2.564102564102564
1993-09-08,9.0,9.5,8.5,8.5,89400.0,11.76470588235294,-5.555555555555555
1993-09-09,9.0,9.25,8.5,9.25,12200.0,8.823529411764707,2.7777777777777777
1993-09-10,9.25,9.25,8.75,9.25,24300.0,5.714285714285714,0.0
1993-09-13,9.0,9.25,8.75,9.25,6500.0,5.714285714285714,2.7777777777777777
1993-09-14,9.25,9.75,8.75,9.75,72800.0,11.428571428571429,5.405405405405405
1993-09-15,9.5,10.75,9.5,10.75,44800.0,13.157894736842104,13.157894736842104
1993-09-16,10.25,10.75,10.0,10.5,9500.0,7.5,2.4390243902439024
1993-09-17,10.0,10.75,10.0,10.0,18200.0,7.5,0.0
1993-09-20,10.0,10.0,10.0,10.0,4800.0,0.0,0.0
1993-09-21,10.0,10.0,9.0,9.12,33500.0,11.11111111111111,-8.800000000000008
