Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,22.25,22.5,22.13,22.25,13442.0,1.671938544961595,0.0
1990-01-03,22.5,23.0,22.5,23.0,21450.0,2.2222222222222223,2.2222222222222223
1990-01-04,23.0,23.38,23.0,23.12,23600.0,1.652173913043474,0.5217391304347869
1990-01-05,23.25,23.25,23.12,23.12,11263.0,0.5622837370242172,-0.5591397849462323
1990-01-08,22.87,23.0,22.75,23.0,10046.0,1.098901098901099,0.568430257979882
1990-01-09,22.87,22.87,22.62,22.75,5150.0,1.1052166224580016,-0.5247048535198994
1990-01-10,22.62,22.75,22.25,22.25,17942.0,2.247191011235955,-1.635720601237847
1990-01-11,22.38,22.62,22.38,22.62,7979.0,1.0723860589812422,1.0723860589812422
1990-01-12,22.38,22.38,21.75,21.75,21421.0,2.896551724137926,-2.815013404825733
1990-01-15,21.75,22.0,21.5,21.5,20346.0,2.3255813953488373,-1.1494252873563218
1990-01-16,20.75,21.0,20.5,20.88,93133.0,2.4390243902439024,0.6265060240963807
1990-01-17,20.5,20.62,20.0,20.37,97688.0,3.100000000000005,-0.6341463414634099
1990-01-18,20.0,20.37,20.0,20.37,24308.0,1.8500000000000052,1.8500000000000052
1990-01-19,20.62,20.88,20.62,20.88,34863.0,1.2609117361784579,1.2609117361784579
1990-01-22,20.62,20.62,19.88,19.88,22667.0,3.7223340040241553,-3.5887487875848785
1990-01-23,20.25,20.25,19.88,20.0,66446.0,1.8611670020120776,-1.2345679012345678
1990-01-24,19.37,20.0,19.12,19.5,29004.0,4.6025104602510405,0.6711409395973102
1990-01-25,19.63,19.75,19.5,19.5,23488.0,1.282051282051282,-0.662251655629134
1990-01-26,19.5,19.63,19.5,19.5,37525.0,0.6666666666666616,0.0
1990-01-29,19.63,19.63,19.25,19.25,34242.0,1.974025974025969,-1.935812531839017
1990-01-30,19.0,19.12,18.0,18.38,81617.0,6.222222222222228,-3.263157894736848
1990-01-31,18.38,18.87,18.38,18.87,30421.0,2.665941240478792,2.665941240478792
1990-02-01,18.63,18.87,18.63,18.75,36450.0,1.288244766505647,0.6441223832528234
1990-02-02,18.38,18.38,18.0,18.0,29996.0,2.111111111111106,-2.067464635473335
1990-02-05,18.12,18.25,17.87,18.12,30054.0,2.126468942361494,0.0
1990-02-06,18.0,18.0,17.87,18.0,41258.0,0.7274762171236654,0.0
