Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,72.12,73.12,72.0,73.0,175300.0,1.555555555555562,1.220188574597886
1990-01-03,73.75,73.88,73.0,73.12,253800.0,1.2054794520547882,-0.854237288135587
1990-01-04,72.62,73.12,72.12,72.62,186200.0,1.386577925679423,0.0
1990-01-05,72.75,72.75,71.5,71.62,102400.0,1.7482517482517483,-1.5532646048109904
1990-01-08,71.5,71.88,71.25,71.5,101500.0,0.8842105263157831,0.0
1990-01-09,71.38,71.62,71.12,71.12,123200.0,0.7030371203599549,-0.36424768842811844
1990-01-10,71.25,71.38,70.38,70.75,126300.0,1.4208581983518047,-0.7017543859649122
1990-01-11,70.88,71.0,70.0,70.0,96900.0,1.4285714285714286,-1.241534988713312
1990-01-12,69.5,69.5,68.5,68.62,178000.0,1.4598540145985401,-1.2661870503597057
1990-01-15,68.75,68.75,67.62,67.62,218200.0,1.671103223898248,-1.6436363636363571
1990-01-16,66.88,68.62,66.75,68.62,223000.0,2.801498127340831,2.6016746411483394
1990-01-17,68.88,69.5,67.25,68.0,401300.0,3.3457249070631967,-1.2775842044134662
1990-01-18,66.75,68.38,66.62,68.12,296500.0,2.6418492945061405,2.0524344569288457
1990-01-19,69.25,70.0,68.88,69.5,255000.0,1.6260162601626085,0.36101083032490977
1990-01-22,69.62,69.62,67.38,67.5,216300.0,3.324428613832011,-3.0451019821890326
1990-01-23,67.75,67.88,66.25,66.62,363700.0,2.4603773584905593,-1.667896678966783
1990-01-24,65.75,67.25,65.62,67.12,309700.0,2.483998780859487,2.083650190114075
1990-01-25,67.38,67.62,66.12,66.25,197200.0,2.2686025408348454,-1.677055506084885
1990-01-26,66.25,67.25,65.75,66.25,264900.0,2.2813688212927756,0.0
1990-01-29,66.12,67.38,66.12,67.25,131400.0,1.9056261343012564,1.709013914095577
1990-01-30,67.5,67.5,65.88,66.5,263100.0,2.45901639344263,-1.4814814814814816
1990-01-31,66.62,68.5,66.62,68.5,125600.0,2.8219753827679304,2.8219753827679304
1990-02-01,68.88,68.88,68.0,68.25,80400.0,1.2941176470588167,-0.9146341463414569
1990-02-02,68.0,68.5,67.62,67.75,167000.0,1.301390121265891,-0.3676470588235294
1990-02-05,67.88,68.0,67.5,67.75,76500.0,0.7407407407407408,-0.19151443724218542
1990-02-06,67.75,67.75,66.88,67.0,74600.0,1.3008373205741697,-1.107011070110701
1990-02-07,66.75,68.25,66.5,68.12,134300.0,2.631578947368421,2.0524344569288457
1990-02-08,68.0,68.38,67.75,67.88,98300.0,0.9298892988929823,-0.1764705882353008
1990-02-09,68.12,68.5,67.5,67.75,103900.0,1.4814814814814816,-0.5431591309453971
1990-02-12,67.75,67.75,66.62,66.62,83500.0,1.6961873311317852,-1.667896678966783
1990-02-13,66.88,67.38,66.62,67.0,231700.0,1.1407985589912801,0.17942583732058098
1990-02-14,67.0,67.0,66.62,67.0,102400.0,0.5703992794956401,0.0
1990-02-15,66.75,67.0,66.38,66.62,102300.0,0.9340162699608384,-0.19475655430710928
1990-02-16,66.5,66.88,66.0,66.25,354900.0,1.3333333333333264,-0.37593984962406013
1990-02-20,66.0,66.0,65.0,65.12,255200.0,1.5384615384615385,-1.3333333333333264
1990-02-21,64.5,64.62,64.12,64.38,445400.0,0.7797878976918278,-0.18604651162791402
1990-02-22,63.75,64.25,63.5,63.88,370600.0,1.1811023622047243,0.20392156862745497
1990-02-23,63.75,63.75,63.0,63.25,356400.0,1.1904761904761905,-0.7843137254901961
1990-02-26,63.0,63.5,62.75,63.25,167100.0,1.1952191235059761,0.3968253968253968
1990-02-27,63.0,63.88,63.0,63.5,244300.0,1.3968253968254007,0.7936507936507936
1990-02-28,63.5,64.75,63.5,64.25,191400.0,1.968503937007874,1.1811023622047243
1990-03-01,64.12,65.38,64.12,64.88,200000.0,1.965065502183392,1.185277604491564
1990-03-02,65.0,65.25,64.88,65.25,127300.0,0.5702836004932252,0.38461538461538464
1990-03-05,65.25,65.75,65.12,65.5,206300.0,0.9674447174447104,0.38314176245210724
1990-03-06,65.88,67.0,65.88,67.0,221100.0,1.7000607164541663,1.7000607164541663
1990-03-07,67.25,68.62,67.25,67.88,288900.0,2.037174721189598,0.9368029739776884
1990-03-08,68.0,68.25,67.75,68.0,235300.0,0.7380073800738007,0.0
1990-03-09,68.0,68.12,67.25,67.38,125000.0,1.2936802973977761,-0.9117647058823597
1990-03-12,67.5,68.12,67.12,68.12,115200.0,1.4898688915375446,0.9185185185185253
1990-03-13,67.88,68.0,67.12,67.12,115800.0,1.3110846245530323,-1.1196228638774175
1990-03-14,67.38,68.12,67.25,68.0,110000.0,1.2936802973977761,0.9201543484713633
1990-03-15,68.75,69.88,68.75,69.75,190400.0,1.6436363636363571,1.4545454545454546
1990-03-16,70.75,71.62,70.5,71.0,344700.0,1.5886524822695098,0.35335689045936397
1990-03-19,70.88,70.88,69.62,70.75,180900.0,1.809824762999125,-0.18340857787809745
1990-03-20,70.5,72.0,70.25,71.0,159100.0,2.491103202846975,0.7092198581560284
1990-03-21,71.38,71.5,71.0,71.12,67900.0,0.7042253521126761,-0.36424768842811844
1990-03-22,70.62,70.88,69.62,70.38,180600.0,1.809824762999125,-0.33984706881904425
1990-03-23,70.38,71.0,70.0,70.62,130000.0,1.4285714285714286,0.34100596760444607
1990-03-26,71.0,72.25,70.88,71.38,83600.0,1.9328442437923317,0.5352112676056274
1990-03-27,71.62,72.75,71.25,72.75,99700.0,2.1052631578947367,1.5777715721865335
1990-03-28,72.62,73.38,72.62,73.38,145000.0,1.04654365188652,1.04654365188652
1990-03-29,73.12,73.5,72.62,73.12,58600.0,1.2117873863949262,0.0
1990-03-30,73.12,73.75,72.75,73.62,127100.0,1.3745704467353952,0.6838074398249453
1990-04-02,73.5,73.5,73.0,73.5,88600.0,0.684931506849315,0.0
1990-04-03,74.0,75.0,74.0,74.88,215000.0,1.3513513513513513,1.189189189189183
1990-04-04,74.0,74.88,73.62,74.75,146500.0,1.7114914425427747,1.0135135135135136
