Date,Open,High,Low,Close,Volume,HML,PCT
2001-01-16,15.0,15.0,15.0,15.0,800.0,0.0,0.0
2001-01-17,15.0,15.0,15.0,15.0,30700.0,0.0,0.0
2001-01-18,15.32,16.32,15.32,16.32,41800.0,6.5274151436031325,6.5274151436031325
2001-01-19,16.48,17.08,16.48,17.08,14900.0,3.6407766990291135,3.6407766990291135
2001-01-22,17.0,18.32,17.0,18.16,36700.0,7.764705882352943,6.8235294117647065
2001-01-23,18.0,19.08,18.0,18.48,19000.0,5.999999999999991,2.6666666666666687
2001-01-24,18.32,18.32,18.16,18.16,140000.0,0.8810572687224677,-0.873362445414848
2001-01-25,18.4,18.48,18.32,18.48,35800.0,0.873362445414848,0.43478260869566226
2001-01-26,18.32,18.36,18.32,18.32,20500.0,0.21834061135370714,0.0
2001-01-29,18.52,18.75,18.4,18.7,65500.0,1.902173913043486,0.9719222462203008
2001-01-30,18.7,18.7,18.35,18.6,84800.0,1.907356948228871,-0.5347593582887586
2001-01-31,18.7,19.05,18.7,18.75,81500.0,1.8716577540107031,0.2673796791443888
2001-02-01,19.0,21.2,18.76,20.9,639200.0,13.006396588486128,9.999999999999993
2001-02-02,20.75,21.0,20.6,20.83,198900.0,1.941747572815527,0.3855421686746906
2001-02-05,20.85,21.45,19.92,19.97,161200.0,7.680722891566252,-4.220623501199053
2001-02-06,19.9,20.02,19.75,19.75,334700.0,1.3670886075949347,-0.7537688442210985
2001-02-07,19.7,20.0,19.65,20.0,337600.0,1.781170483460567,1.5228426395939123
2001-02-08,20.0,20.16,19.5,19.5,144700.0,3.384615384615385,-2.5
2001-02-09,19.5,19.75,19.5,19.75,110400.0,1.282051282051282,1.282051282051282
2001-02-12,19.75,19.75,19.3,19.3,81800.0,2.3316062176165766,-2.2784810126582244
2001-02-13,19.3,19.54,19.25,19.25,162200.0,1.506493506493502,-0.259067357512957
2001-02-14,19.25,19.25,19.07,19.08,33900.0,0.9438909281594111,-0.8831168831168921
2001-02-15,19.1,19.15,18.3,18.3,113600.0,4.644808743169388,-4.188481675392674
2001-02-16,18.1,18.1,17.4,18.07,106800.0,4.022988505747143,-0.16574585635359743
2001-02-20,18.07,18.15,17.81,18.09,250100.0,1.9090398652442442,0.11068068622025219
2001-02-21,18.09,18.09,17.9,18.08,110900.0,1.0614525139664877,-0.055279159756780334
2001-02-22,18.08,18.14,17.9,18.03,155900.0,1.3407821229050392,-0.27654867256635596
2001-02-23,18.1,18.7,18.0,18.45,305700.0,3.888888888888885,1.9337016574585517
2001-02-26,18.5,19.12,18.5,19.0,295600.0,3.3513513513513566,2.7027027027027026
2001-02-27,19.0,19.0,18.9,18.9,172500.0,0.5291005291005366,-0.5263157894736916
2001-02-28,18.9,19.0,18.85,19.0,81500.0,0.7957559681697537,0.5291005291005366
2001-03-01,18.9,18.9,18.7,18.7,38800.0,1.0695187165775364,-1.0582010582010546
2001-03-02,18.75,18.81,18.7,18.76,209200.0,0.588235294117644,0.05333333333334167
