Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,42.75,43.0,42.5,42.88,238400.0,1.1764705882352942,0.30409356725146797
1990-01-03,43.0,43.0,42.25,42.63,552300.0,1.7751479289940828,-0.8604651162790639
1990-01-04,42.5,42.63,40.88,41.75,429500.0,4.280821917808219,-1.7647058823529411
1990-01-05,42.0,42.25,41.5,41.63,501200.0,1.8072289156626504,-0.8809523809523748
1990-01-08,41.38,42.0,41.25,41.88,226100.0,1.8181818181818181,1.208313194780087
1990-01-09,42.0,42.25,41.5,41.5,188900.0,1.8072289156626504,-1.1904761904761905
1990-01-10,41.25,41.5,40.88,41.25,168400.0,1.51663405088062,0.0
1990-01-11,41.5,41.75,41.38,41.75,207300.0,0.8941517641372582,0.6024096385542169
1990-01-12,41.25,41.5,40.5,41.25,474000.0,2.4691358024691357,0.0
1990-01-15,41.13,41.38,40.75,40.88,307700.0,1.5460122699386565,-0.6078288353999514
1990-01-16,40.38,40.75,40.0,40.75,847800.0,1.875,0.9162951956414003
1990-01-17,40.5,40.75,39.88,40.25,332600.0,2.181544633901699,-0.6172839506172839
1990-01-18,40.0,40.63,39.88,40.63,468000.0,1.8806419257773317,1.5750000000000062
1990-01-19,40.63,41.38,40.5,41.13,461500.0,2.1728395061728456,1.2306177701206005
1990-01-22,41.25,41.38,39.63,39.63,284800.0,4.415846580873076,-3.927272727272721
1990-01-23,40.0,40.25,39.25,39.88,144000.0,2.547770700636943,-0.2999999999999936
1990-01-24,39.25,40.0,38.75,39.5,306200.0,3.225806451612903,0.6369426751592357
1990-01-25,39.63,40.13,39.5,40.0,404400.0,1.5949367088607658,0.9336361342417295
1990-01-26,40.0,40.38,39.88,40.25,475400.0,1.2537612838515546,0.625
1990-01-29,40.5,40.63,40.13,40.5,479100.0,1.24595066035385,0.0
1990-01-30,40.63,41.0,40.5,41.0,626100.0,1.2345679012345678,0.9106571498892382
1990-01-31,41.13,42.38,41.13,42.0,909700.0,3.039144176999757,2.1152443471918243
1990-02-01,42.0,42.38,41.88,42.0,508900.0,1.1938872970391594,0.0
1990-02-02,41.88,42.5,41.88,42.13,384300.0,1.4804202483285516,0.5969436485195797
1990-02-05,42.13,42.63,41.88,42.63,408400.0,1.7908309455587392,1.1868027533823877
1990-02-06,42.75,42.75,42.13,42.38,379600.0,1.4716354141941548,-0.8654970760233858
1990-02-07,42.5,45.63,42.25,45.38,2356300.0,8.000000000000005,6.7764705882353
1990-02-08,45.0,46.13,44.88,45.63,1567200.0,2.785204991087344,1.4000000000000057
1990-02-09,45.75,46.25,45.63,46.13,664500.0,1.3587552049090452,0.8306010928961804
1990-02-12,46.13,46.25,45.63,45.75,435000.0,1.3587552049090452,-0.8237589421201008
1990-02-13,45.63,46.0,45.25,45.5,665500.0,1.6574585635359116,-0.2849002849002905
1990-02-14,45.5,46.13,45.38,46.0,453900.0,1.652710445130013,1.098901098901099
1990-02-15,45.75,46.88,45.75,46.88,854100.0,2.4699453551912622,2.4699453551912622
1990-02-16,46.75,46.88,45.88,46.5,736700.0,2.1795989537925022,-0.53475935828877
1990-02-20,46.13,47.0,45.13,47.0,480700.0,4.143585198315971,1.8859744201170547
1990-02-21,46.75,47.5,46.63,47.38,1395700.0,1.865751662020153,1.3475935828877061
1990-02-22,47.5,47.88,44.75,45.13,1058900.0,6.994413407821234,-4.9894736842105205
1990-02-23,44.5,44.88,43.0,43.75,1081100.0,4.37209302325582,-1.6853932584269662
