Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,36.75,37.75,36.38,37.75,306415.0,3.765805387575584,2.7210884353741496
1990-01-03,38.0,38.25,37.5,37.87,276015.0,2.0,-0.34210526315790146
1990-01-04,37.75,38.25,37.62,38.13,157170.0,1.6746411483253658,1.006622516556298
1990-01-05,38.13,38.13,37.5,37.62,137348.0,1.6800000000000068,-1.3375295043273145
1990-01-08,37.38,37.5,37.12,37.25,71837.0,1.023706896551731,-0.34777956126271414
1990-01-09,37.25,37.25,36.25,36.25,91570.0,2.7586206896551726,-2.684563758389262
1990-01-10,36.25,36.5,35.75,36.5,93348.0,2.097902097902098,0.6896551724137931
1990-01-11,37.0,37.12,36.62,36.75,54237.0,1.365374112506827,-0.6756756756756757
1990-01-12,36.38,36.62,34.87,35.37,117348.0,5.0186406653283635,-2.776250687190778
1990-01-15,35.25,35.37,34.5,35.0,146578.0,2.521739130434775,-0.7092198581560284
1990-01-16,34.75,35.63,34.75,35.5,226237.0,2.532374100719432,2.158273381294964
1990-01-17,35.75,37.0,35.63,36.5,426770.0,3.845074375526235,2.097902097902098
1990-01-18,36.0,37.75,35.87,37.75,294948.0,5.241148592138285,4.861111111111112
1990-01-19,38.0,38.75,38.0,38.37,347378.0,1.9736842105263157,0.973684210526309
1990-01-22,38.5,38.5,37.0,37.5,276015.0,4.054054054054054,-2.5974025974025974
1990-01-23,37.5,38.63,37.5,38.13,253348.0,3.01333333333334,1.6800000000000068
1990-01-24,36.5,38.13,36.12,38.13,285970.0,5.564784053156161,4.465753424657541
1990-01-25,38.0,38.13,36.88,37.0,169778.0,3.38937093275488,-2.631578947368421
1990-01-26,37.0,37.5,35.87,36.62,250237.0,4.544187343183726,-1.0270270270270339
1990-01-29,36.5,36.62,35.25,36.0,328978.0,3.886524822695028,-1.36986301369863
1990-01-30,35.75,35.87,34.5,35.0,534770.0,3.9710144927536155,-2.097902097902098
1990-01-31,34.75,35.13,34.5,35.13,424978.0,1.8260869565217466,1.0935251798561225
1990-02-01,35.37,35.5,34.87,35.25,171644.0,1.8067106395182178,-0.3392705682781947
1990-02-02,34.87,36.88,34.87,36.38,356637.0,5.764267278462877,4.330369945511917
1990-02-05,36.38,37.25,36.38,36.88,195037.0,2.391423859263324,1.3743815283122593
1990-02-06,37.0,37.12,36.38,37.0,230237.0,2.03408466190213,0.0
1990-02-07,36.88,38.25,36.75,38.0,305970.0,4.081632653061225,3.036876355748366
1990-02-08,38.13,38.13,37.0,37.12,221778.0,3.054054054054061,-2.648832939942316
1990-02-09,37.0,37.87,36.75,37.62,241170.0,3.047619047619041,1.6756756756756686
1990-02-12,37.62,37.62,36.75,36.88,101437.0,2.367346938775503,-1.967038809144059
1990-02-13,37.12,37.12,36.75,36.88,129615.0,1.0068027210884285,-0.6465517241379173
1990-02-14,37.0,37.75,36.88,37.0,166844.0,2.3590021691973897,0.0
1990-02-15,37.0,37.25,36.75,37.0,161437.0,1.3605442176870748,0.0
1990-02-16,37.0,37.5,36.25,36.38,135378.0,3.4482758620689653,-1.6756756756756686
1990-02-20,36.12,36.12,35.13,35.75,212815.0,2.818104184457714,-1.0243632336655522
1990-02-21,35.75,36.88,35.25,36.88,176370.0,4.624113475177312,3.1608391608391675
1990-02-22,37.75,38.25,37.25,37.75,306237.0,2.684563758389262,0.0
1990-02-23,37.0,37.12,36.12,36.62,136444.0,2.7685492801771874,-1.0270270270270339
1990-02-26,36.88,38.13,36.75,38.0,180548.0,3.7551020408163334,3.036876355748366
1990-02-27,38.0,39.37,37.75,39.25,484370.0,4.291390728476814,3.289473684210526
1990-02-28,39.13,40.38,39.13,39.75,444015.0,3.1944799386659852,1.584462049578322
1990-03-01,39.88,39.88,39.62,39.88,324444.0,0.6562342251388317,0.0
1990-03-02,39.75,40.0,39.62,39.88,157244.0,0.9591115598182801,0.3270440251572391
1990-03-05,39.62,40.5,39.62,40.12,181244.0,2.2211004543160087,1.2619888944977284
1990-03-06,40.25,41.75,40.25,41.63,510578.0,3.7267080745341614,3.428571428571435
1990-03-07,41.63,43.88,41.5,43.88,686770.0,5.73493975903615,5.40475618544319
1990-03-08,43.5,44.25,42.63,43.88,522844.0,3.8001407459535472,0.8735632183908104
1990-03-09,43.25,43.62,42.87,43.38,296444.0,1.7494751574527643,0.3005780346820868
1990-03-12,43.25,43.75,42.75,43.75,130844.0,2.3391812865497075,1.1560693641618496
1990-03-13,43.5,43.75,42.63,43.0,209600.0,2.6272577996715865,-1.1494252873563218
1990-03-14,43.0,43.38,42.87,43.25,234844.0,1.1896431070678917,0.5813953488372093
1990-03-15,43.25,44.12,43.25,44.0,436370.0,2.011560693641613,1.7341040462427744
1990-03-16,44.5,44.88,44.0,44.62,587200.0,2.0000000000000058,0.2696629213483089
1990-03-19,44.62,46.87,44.5,46.63,588015.0,5.325842696629208,4.504706409681769
1990-03-20,46.0,46.75,45.5,45.87,521970.0,2.7472527472527473,-0.2826086956521795
1990-03-21,46.5,46.63,45.25,45.37,408015.0,3.049723756906083,-2.430107526881726
1990-03-22,45.37,45.37,43.75,44.38,272000.0,3.702857142857137,-2.182058629050022
1990-03-23,45.13,46.0,45.13,45.63,321170.0,1.927764236649673,1.1079104808331486
1990-03-26,46.37,47.25,46.37,46.75,311644.0,1.8977787362518928,0.8194953633815023
1990-03-27,46.75,47.12,46.25,46.87,230844.0,1.8810810810810756,0.25668449197860416
1990-03-28,46.63,46.63,45.63,46.25,217170.0,2.1915406530791146,-0.8149260132961668
1990-03-29,46.25,46.25,45.63,45.87,189600.0,1.3587552049090452,-0.8216216216216271
1990-03-30,45.87,45.87,45.25,45.75,66578.0,1.3701657458563479,-0.26160889470241433
1990-04-02,45.25,45.75,45.13,45.75,241867.0,1.3738089962330986,1.1049723756906076
1990-04-03,46.0,47.0,46.0,46.87,265600.0,2.1739130434782608,1.8913043478260814
1990-04-04,46.87,47.12,46.25,46.37,160178.0,1.8810810810810756,-1.0667804565820356
1990-04-05,46.75,47.12,46.63,46.87,292815.0,1.0508256487239864,0.25668449197860416
1990-04-06,47.62,47.75,47.0,47.12,276178.0,1.5957446808510638,-1.0499790004199916
1990-04-09,46.75,47.5,46.5,47.25,307570.0,2.1505376344086025,1.06951871657754
1990-04-10,46.87,47.38,46.87,47.25,160548.0,1.0881160657136872,0.8107531470023525
1990-04-11,47.25,47.5,46.75,46.87,184267.0,1.6042780748663104,-0.8042328042328097
1990-04-12,46.87,47.12,46.75,47.0,126148.0,0.7914438502673742,0.27736291871133467
1990-04-16,47.25,48.38,46.75,46.87,238578.0,3.4866310160427862,-0.8042328042328097
1990-04-17,46.63,46.63,46.0,46.37,224370.0,1.3695652173913098,-0.5575809564658055
1990-04-18,46.63,46.63,45.37,45.63,174415.0,2.7771655278818717,-2.1445421402530562
1990-04-19,45.25,46.75,45.0,46.5,324015.0,3.888888888888889,2.7624309392265194
1990-04-20,47.0,47.0,45.5,46.0,311748.0,3.296703296703297,-2.127659574468085
1990-04-23,45.5,45.63,44.5,45.13,351215.0,2.539325842696635,-0.8131868131868076
1990-04-24,45.25,45.5,45.0,45.37,145600.0,1.1111111111111112,0.2651933701657402
1990-04-25,45.5,46.0,45.5,45.75,123200.0,1.098901098901099,0.5494505494505495
1990-04-26,46.0,46.25,45.5,45.87,120637.0,1.6483516483516485,-0.2826086956521795
1990-04-27,46.0,46.0,45.5,45.5,277244.0,1.098901098901099,-1.0869565217391304
1990-04-30,45.25,46.75,45.25,46.75,293867.0,3.314917127071823,3.314917127071823
1990-05-01,47.75,47.88,47.0,47.88,185615.0,1.8723404255319203,0.2722513089005289
1990-05-02,48.12,48.75,48.12,48.75,346044.0,1.3092269326683346,1.3092269326683346
1990-05-03,49.0,49.25,48.5,49.25,261970.0,1.5463917525773196,0.5102040816326531
1990-05-04,49.5,50.37,49.5,50.13,400978.0,1.7575757575757522,1.272727272727278
1990-05-07,50.13,51.5,50.0,51.5,696015.0,3.0,2.7328944743666415
1990-05-08,51.5,51.88,50.88,51.25,255215.0,1.9654088050314464,-0.48543689320388345
1990-05-09,50.25,50.75,49.87,49.87,301244.0,1.7645879286144024,-0.7562189054726419
1990-05-10,49.63,50.25,49.0,49.87,531644.0,2.5510204081632653,0.4835784807575959
1990-05-11,50.5,50.88,50.25,50.88,376178.0,1.2537313432835873,0.7524752475247576
1990-05-14,50.75,53.13,50.75,52.12,906415.0,4.689655172413798,2.6995073891625565
1990-05-15,52.25,52.75,52.0,52.63,449778.0,1.4423076923076923,0.7272727272727322
1990-05-16,52.87,53.87,52.75,53.13,351037.0,2.1232227488151607,0.4917722716096182
1990-05-17,53.75,55.25,53.75,55.25,392015.0,2.7906976744186047,2.7906976744186047
1990-05-18,55.12,57.63,55.12,56.5,535644.0,4.553701015965177,2.503628447024678
1990-05-21,56.87,58.88,56.37,58.75,624978.0,4.452723079652307,3.305785123966947
1990-05-22,60.63,60.63,58.0,58.5,454044.0,4.534482758620694,-3.513112320633354
1990-05-23,58.5,59.5,58.0,58.62,256548.0,2.586206896551724,0.20512820512820074
1990-05-24,59.12,59.25,58.38,58.75,174415.0,1.4902363823227087,-0.625845737483081
1990-05-25,58.5,58.5,57.75,57.87,114044.0,1.2987012987012987,-1.0769230769230813
1990-05-29,57.63,59.87,57.63,59.5,518844.0,3.8868644803053876,3.2448377581120895
1990-05-30,60.0,60.5,59.62,59.87,408444.0,1.4760147601476057,-0.21666666666667095
1990-05-31,60.75,61.63,60.5,60.63,552000.0,1.8677685950413265,-0.19753086419752666
1990-06-01,61.25,61.75,60.5,61.25,443200.0,2.066115702479339,0.0
1990-06-04,61.13,61.5,60.75,61.13,382844.0,1.2345679012345678,0.0
1990-06-05,61.25,61.25,59.87,60.0,209615.0,2.3049941540003385,-2.0408163265306123
1990-06-06,59.5,59.62,57.5,58.5,489437.0,3.6869565217391256,-1.680672268907563
1990-06-07,58.25,58.5,57.37,57.37,355644.0,1.9696705595258892,-1.51072961373391
1990-06-08,57.5,57.63,54.75,56.75,692815.0,5.260273972602744,-1.3043478260869565
1990-06-11,56.0,58.88,56.0,58.75,341600.0,5.142857142857148,4.910714285714286
1990-06-12,59.75,61.0,59.62,61.0,471037.0,2.31465951023147,2.092050209205021
1990-06-13,61.0,62.38,60.87,61.5,530415.0,2.4806965664531053,0.819672131147541
1990-06-14,63.0,63.0,61.37,62.25,295037.0,2.6560208570963053,-1.1904761904761905
1990-06-15,62.38,62.38,60.87,61.25,288815.0,2.4806965664531053,-1.8114780378326427
1990-06-18,60.5,61.13,59.87,60.13,316548.0,2.104559879739444,-0.6115702479338802
1990-06-19,59.75,60.37,59.0,60.13,349437.0,2.3220338983050803,0.6359832635983306
1990-06-20,61.0,61.0,59.87,60.0,587378.0,1.8874227492901332,-1.639344262295082
1990-06-21,60.0,61.0,59.12,61.0,263570.0,3.179972936400546,1.6666666666666667
1990-06-22,60.87,61.37,59.5,59.75,221615.0,3.1428571428571384,-1.83998685723673
1990-06-25,59.25,59.38,56.5,57.63,435378.0,5.097345132743367,-2.7341772151898693
1990-06-26,57.75,58.12,57.13,57.63,332015.0,1.7328899002275422,-0.20779220779220337
1990-06-27,57.75,58.5,57.37,58.25,280444.0,1.9696705595258892,0.8658008658008658
1990-06-28,58.62,58.75,57.87,58.5,368978.0,1.5206497321582904,-0.2047082906857684
