Date,Open,High,Low,Close,Volume,HML,PCT
1990-03-26,18.75,18.75,18.25,18.25,2300.0,2.73972602739726,-2.666666666666667
1990-03-27,18.38,18.38,17.75,18.25,17700.0,3.5492957746478817,-0.7072905331882426
1990-03-28,17.5,18.0,17.5,17.75,17100.0,2.857142857142857,1.4285714285714286
1990-03-29,18.0,18.25,17.75,17.75,20500.0,2.8169014084507045,-1.3888888888888888
1990-03-30,17.75,18.75,17.75,18.75,56700.0,5.633802816901409,5.633802816901409
1990-04-02,18.25,18.5,18.0,18.5,14200.0,2.7777777777777777,1.36986301369863
1990-04-03,18.5,18.5,18.25,18.25,6100.0,1.36986301369863,-1.3513513513513513
1990-04-04,18.5,18.5,17.5,17.5,41700.0,5.714285714285714,-5.405405405405405
1990-04-05,18.0,18.0,17.75,18.0,1900.0,1.4084507042253522,0.0
1990-04-06,17.5,18.0,17.25,17.5,13900.0,4.3478260869565215,0.0
1990-04-09,17.25,17.5,17.0,17.0,11100.0,2.941176470588235,-1.4492753623188406
1990-04-10,17.5,17.5,16.5,17.0,44600.0,6.0606060606060606,-2.857142857142857
1990-04-11,17.25,17.5,17.0,17.38,30000.0,2.941176470588235,0.7536231884057913
1990-04-12,17.5,17.75,17.0,17.25,15100.0,4.411764705882353,-1.4285714285714286
1990-04-16,17.75,17.75,17.0,17.0,10600.0,4.411764705882353,-4.225352112676056
1990-04-17,17.0,17.25,16.75,16.75,12900.0,2.9850746268656714,-1.4705882352941175
1990-04-18,16.75,17.0,16.75,17.0,900.0,1.4925373134328357,1.4925373134328357
1990-04-19,17.0,17.12,17.0,17.12,2000.0,0.7058823529411823,0.7058823529411823
1990-04-20,17.5,17.5,17.0,17.0,3800.0,2.941176470588235,-2.857142857142857
1990-04-23,17.5,18.0,17.5,17.5,33500.0,2.857142857142857,0.0
1990-04-24,18.25,18.25,17.75,18.0,15700.0,2.8169014084507045,-1.36986301369863
1990-04-25,18.0,18.75,18.0,18.5,11700.0,4.166666666666666,2.7777777777777777
1990-04-26,19.5,20.25,19.0,20.25,46400.0,6.578947368421052,3.8461538461538463
1990-04-27,20.5,21.25,20.0,20.62,29000.0,6.25,0.5853658536585414
1990-04-30,20.25,21.25,20.25,21.25,5300.0,4.938271604938271,4.938271604938271
1990-05-01,21.25,21.25,20.75,21.25,2900.0,2.4096385542168677,0.0
1990-05-02,21.0,21.0,20.0,20.25,28800.0,5.0,-3.571428571428571
1990-05-03,20.75,21.75,20.25,21.5,74500.0,7.4074074074074066,3.614457831325301
1990-05-04,21.75,22.75,21.5,22.5,31600.0,5.813953488372093,3.4482758620689653
1990-05-07,23.25,23.25,22.75,22.75,3900.0,2.197802197802198,-2.1505376344086025
1990-05-08,22.5,23.12,21.75,22.62,79400.0,6.298850574712649,0.5333333333333378
1990-05-09,23.25,23.5,22.5,22.75,14200.0,4.444444444444445,-2.1505376344086025
1990-05-10,23.0,23.0,22.25,22.75,10100.0,3.3707865168539324,-1.0869565217391304
1990-05-11,22.75,23.25,22.75,23.25,23400.0,2.197802197802198,2.197802197802198
1990-05-14,23.75,24.25,23.25,23.75,10700.0,4.301075268817205,0.0
1990-05-15,24.0,24.25,23.5,23.5,6800.0,3.1914893617021276,-2.083333333333333
1990-05-16,24.25,24.25,23.5,24.25,15400.0,3.1914893617021276,0.0
1990-05-17,24.25,25.0,24.0,24.75,24000.0,4.166666666666666,2.0618556701030926
1990-05-18,25.0,25.0,23.25,23.75,29300.0,7.526881720430108,-5.0
1990-05-21,24.0,24.75,24.0,24.75,12900.0,3.125,3.125
1990-05-22,24.25,25.0,24.25,24.75,31300.0,3.0927835051546393,2.0618556701030926
