Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,36.0,37.0,35.75,36.88,224400.0,3.4965034965034967,2.4444444444444513
1990-01-03,37.0,37.0,36.12,36.5,57700.0,2.436323366555932,-1.3513513513513513
1990-01-04,36.25,36.38,35.62,36.38,92400.0,2.1336327905671117,0.35862068965517946
1990-01-05,36.25,36.38,36.0,36.12,66400.0,1.0555555555555627,-0.35862068965517946
1990-01-08,35.75,36.5,35.62,36.5,65900.0,2.470522178551383,2.097902097902098
1990-01-09,36.5,36.75,36.12,36.25,109100.0,1.7441860465116352,-0.684931506849315
1990-01-10,36.25,36.5,35.75,36.25,168500.0,2.097902097902098,0.0
1990-01-11,36.25,36.62,36.0,36.25,176800.0,1.7222222222222152,0.0
1990-01-12,35.5,35.5,34.0,34.25,102900.0,4.411764705882353,-3.5211267605633805
1990-01-15,34.0,34.12,33.25,33.5,41100.0,2.616541353383451,-1.4705882352941175
1990-01-16,33.25,34.62,33.25,34.62,41600.0,4.120300751879691,4.120300751879691
1990-01-17,34.75,34.75,34.0,34.25,81900.0,2.2058823529411766,-1.4388489208633095
1990-01-18,34.25,34.25,33.75,34.12,107000.0,1.4814814814814816,-0.3795620437956279
1990-01-19,34.5,34.5,33.75,33.75,100600.0,2.2222222222222223,-2.1739130434782608
1990-01-22,33.88,34.0,32.5,32.62,61400.0,4.615384615384616,-3.7190082644628246
1990-01-23,32.75,34.38,32.38,34.12,87400.0,6.176652254478072,4.183206106870221
1990-01-24,34.0,34.0,33.0,33.88,123600.0,3.0303030303030303,-0.3529411764705807
1990-01-25,34.0,34.25,33.12,33.38,59400.0,3.411835748792279,-1.8235294117646985
1990-01-26,33.12,33.5,32.62,32.88,55200.0,2.6977314530962677,-0.7246376811594049
1990-01-29,33.0,33.12,32.38,32.88,29700.0,2.285361334156871,-0.3636363636363559
1990-01-30,33.0,33.0,32.0,32.62,59300.0,3.125,-1.1515151515151594
1990-01-31,32.5,34.12,32.5,34.0,68900.0,4.984615384615377,4.615384615384616
1990-02-01,34.25,35.38,34.0,35.38,42300.0,4.0588235294117725,3.2992700729927082
1990-02-02,35.5,35.62,35.0,35.25,47500.0,1.771428571428564,-0.7042253521126761
1990-02-05,35.0,35.12,34.38,34.38,79000.0,2.152414194298996,-1.771428571428564
1990-02-06,34.38,34.5,33.5,33.62,133000.0,2.9850746268656714,-2.2105875509017014
1990-02-07,33.38,33.5,32.88,33.5,69100.0,1.88564476885644,0.35949670461353334
1990-02-08,33.62,33.75,33.12,33.5,62900.0,1.902173913043486,-0.3569303985722708
1990-02-09,33.38,33.5,33.0,33.25,39000.0,1.5151515151515151,-0.38945476333134377
1990-02-12,33.0,33.25,32.62,32.88,40300.0,1.9313304721030125,-0.3636363636363559
1990-02-13,32.75,33.38,32.5,33.0,37200.0,2.7076923076923154,0.7633587786259541
1990-02-14,33.25,33.5,32.88,33.0,40000.0,1.88564476885644,-0.7518796992481203
1990-02-15,33.0,33.0,32.62,32.88,55700.0,1.1649294911097565,-0.3636363636363559
1990-02-16,32.88,32.88,32.62,32.75,36900.0,0.7970570202330017,-0.395377128953779
1990-02-20,32.75,32.75,31.5,31.88,71300.0,3.968253968253968,-2.6564885496183237
1990-02-21,31.38,31.5,31.0,31.12,91700.0,1.6129032258064515,-0.8285532186105736
1990-02-22,31.25,31.5,31.0,31.0,96100.0,1.6129032258064515,-0.8
1990-02-23,30.25,31.75,30.0,31.5,157000.0,5.833333333333333,4.132231404958678
1990-02-26,31.62,32.75,31.62,32.75,120700.0,3.5736875395319383,3.5736875395319383
1990-02-27,32.75,33.25,32.5,32.5,155800.0,2.307692307692308,-0.7633587786259541
1990-02-28,32.38,33.62,32.38,32.88,127300.0,3.829524397776389,1.544163063619518
1990-03-01,32.62,34.88,32.62,34.88,199100.0,6.928264868179047,6.928264868179047
1990-03-02,34.62,35.38,34.62,34.88,190300.0,2.195262853841725,0.751010976314284
1990-03-05,34.88,35.12,34.5,34.5,88000.0,1.797101449275355,-1.0894495412844107
1990-03-06,34.38,35.0,34.38,35.0,93000.0,1.8033740546829478,1.8033740546829478
1990-03-07,35.12,35.25,34.25,34.5,128500.0,2.9197080291970803,-1.7653758542141156
1990-03-08,34.25,35.38,34.12,35.12,102100.0,3.6928487690504253,2.5401459854014523
1990-03-09,35.12,35.25,34.62,35.0,102100.0,1.819757365684583,-0.34168564920272626
1990-03-12,35.0,35.0,34.75,35.0,35300.0,0.7194244604316548,0.0
1990-03-13,35.0,35.5,34.88,35.0,46200.0,1.777522935779809,0.0
1990-03-14,35.25,35.5,35.0,35.5,38400.0,1.4285714285714286,0.7092198581560284
1990-03-15,35.38,35.75,35.12,35.38,102900.0,1.7938496583143584,0.0
1990-03-16,35.88,36.0,35.25,35.62,95500.0,2.127659574468085,-0.7246376811594345
1990-03-19,35.5,35.75,35.5,35.62,29100.0,0.7042253521126761,0.3380281690140773
1990-03-20,35.75,36.0,35.25,35.25,49600.0,2.127659574468085,-1.3986013986013985
1990-03-21,35.38,36.38,35.38,36.38,62900.0,2.826455624646693,2.826455624646693
1990-03-22,36.25,36.25,35.5,35.75,65500.0,2.112676056338028,-1.3793103448275863
1990-03-23,35.62,36.12,35.62,35.88,59000.0,1.4037057832678272,0.7299270072992845
1990-03-26,35.88,36.25,35.88,36.0,73300.0,1.031215161649937,0.3344481605351099
1990-03-27,35.88,36.5,35.62,36.0,326800.0,2.470522178551383,0.3344481605351099
