Date,Open,High,Low,Close,Volume,HML,PCT
2000-07-28,29.88,42.25,29.5,39.17,9307600.0,43.22033898305085,31.09103078982598
2000-07-31,38.25,38.69,31.5,35.0,1240900.0,22.82539682539682,-8.49673202614379
2000-08-01,34.81,40.13,33.0,35.5,608100.0,21.606060606060616,1.9821890261419066
2000-08-02,33.63,39.0,33.56,38.13,428200.0,16.20977353992848,13.380909901873325
2000-08-03,38.13,47.75,37.0,44.25,684000.0,29.054054054054053,16.05035405192761
2000-08-04,45.48,45.5,39.75,40.94,642100.0,14.465408805031446,-9.982409850483728
2000-08-07,42.94,48.25,39.0,42.25,282800.0,23.717948717948715,-1.6068933395435439
2000-08-08,42.19,44.5,40.56,40.98,164800.0,9.71400394477317,-2.867978193884809
2000-08-09,41.69,42.81,40.0,42.81,163400.0,7.025000000000007,2.6864955624850193
2000-08-10,42.63,47.25,41.5,45.0,328900.0,13.855421686746988,5.559465165376489
2000-08-11,44.94,45.0,41.88,41.88,197400.0,7.449856733524348,-6.809078771695584
2000-08-14,42.63,42.75,39.63,40.0,236700.0,7.872823618470848,-6.169364297443121
2000-08-15,40.44,41.0,39.0,40.0,153500.0,5.128205128205128,-1.0880316518298658
2000-08-16,42.06,43.75,41.75,42.75,277100.0,4.790419161676647,1.6405135520684682
2000-08-17,42.38,43.88,41.88,41.88,243600.0,4.775549188156638,-1.1798017932987257
2000-08-18,41.88,47.0,41.88,44.0,82400.0,12.225405921680986,5.06208213944603
2000-08-21,44.0,47.75,44.0,45.19,157200.0,8.522727272727272,2.7045454545454493
2000-08-22,45.25,45.25,42.13,42.13,181300.0,7.405649181106094,-6.895027624309387
2000-08-23,42.5,44.0,40.75,41.13,166200.0,7.975460122699387,-3.2235294117647
2000-08-24,41.25,41.88,39.88,40.02,107000.0,5.015045135406218,-2.9818181818181744
2000-08-25,40.06,42.38,40.06,41.75,279200.0,5.791313030454319,4.218671992011976
2000-08-28,43.63,43.75,40.75,41.63,159600.0,7.361963190184049,-4.584001833600733
2000-08-29,41.63,42.5,41.38,42.5,86200.0,2.7066215563073883,2.0898390583713606
2000-08-30,41.75,42.0,39.44,40.0,421400.0,6.490872210953352,-4.191616766467066
2000-08-31,39.88,47.25,39.88,44.75,445300.0,18.48044132397191,12.211634904714135
2000-09-01,46.0,47.0,43.5,46.63,188100.0,8.045977011494253,1.3695652173913098
2000-09-05,47.13,47.44,43.0,45.75,96000.0,10.325581395348832,-2.928071292170597
2000-09-06,46.81,46.81,41.75,42.0,221500.0,12.119760479041922,-10.27558214056826
2000-09-07,43.75,45.0,41.13,45.0,162400.0,9.40919037199124,2.857142857142857
2000-09-08,45.0,45.0,42.38,42.94,176500.0,6.182161396885317,-4.577777777777783
2000-09-11,43.0,44.0,40.38,41.13,300800.0,8.964834076275377,-4.34883720930232
2000-09-12,41.25,41.63,39.0,40.75,123900.0,6.743589743589751,-1.2121212121212122
2000-09-13,39.91,41.0,35.13,36.5,308700.0,16.709365214916016,-8.54422450513655
2000-09-14,36.91,37.63,35.88,37.0,137900.0,4.87736900780379,0.24383635871038584
2000-09-15,37.0,38.0,36.5,37.75,116100.0,4.10958904109589,2.027027027027027
2000-09-18,35.5,37.0,32.19,34.0,171000.0,14.942528735632191,-4.225352112676056
2000-09-19,34.0,35.19,33.0,33.31,283600.0,6.63636363636363,-2.0294117647058756
2000-09-20,33.88,35.19,32.63,34.0,241600.0,7.845540913269981,0.35419126328216477
2000-09-21,35.44,35.63,34.88,35.38,36200.0,2.1502293577981653,-0.1693002257336207
2000-09-22,34.06,39.88,34.06,39.25,87200.0,17.087492660011744,15.237815619495002
2000-09-25,40.53,40.88,39.5,39.88,267400.0,3.4936708860759556,-1.6037503084135172
2000-09-26,40.0,40.0,39.0,39.81,299600.0,2.564102564102564,-0.47499999999999437
2000-09-27,39.38,42.75,39.38,41.63,74100.0,8.557643473844584,5.713560182833925
2000-09-28,40.75,43.88,40.75,43.75,54900.0,7.680981595092031,7.361963190184049
2000-09-29,43.75,51.63,43.0,45.38,235000.0,20.06976744186047,3.7257142857142913
2000-10-02,47.25,48.75,44.0,45.75,45800.0,10.795454545454545,-3.1746031746031744
2000-10-03,45.56,46.31,37.38,40.0,80900.0,23.889780631353663,-12.20368744512731
2000-10-04,39.63,39.63,35.25,36.13,194000.0,12.425531914893623,-8.831693161746152
2000-10-05,36.5,37.38,35.5,35.63,143100.0,5.295774647887331,-2.3835616438356095
