Date,Open,High,Low,Close,Volume,HML,PCT
2006-12-13,25.0,26.06,21.61,25.6,10771500.0,20.592318371124477,2.4000000000000057
2006-12-14,25.66,26.0,24.51,25.15,998900.0,6.079151366789059,-1.9875292283710113
2006-12-15,25.24,26.0,24.11,24.6,1012600.0,7.839070924927419,-2.5356576862123497
2006-12-18,24.4,25.0,23.6,23.79,734400.0,5.932203389830502,-2.499999999999998
2006-12-19,23.58,23.99,22.5,23.1,1297900.0,6.622222222222216,-2.0356234096691983
2006-12-20,23.2,25.47,23.05,25.0,495800.0,10.49891540130151,7.758620689655175
2006-12-21,25.16,25.65,24.0,24.6,277000.0,6.874999999999994,-2.2257551669316324
2006-12-22,24.59,25.0,23.71,24.02,222300.0,5.440742302825808,-2.3180154534363577
2006-12-26,23.92,24.38,23.9,24.21,109500.0,2.008368200836822,1.2123745819397957
2006-12-27,24.25,24.25,23.91,24.08,91100.0,1.4219991635299032,-0.7010309278350586
2006-12-28,23.9,24.12,23.51,23.9999,62100.0,2.5946405784772413,0.4179916317991701
2006-12-29,24.35,24.35,23.86,24.0,68900.0,2.0536462699078037,-1.437371663244359
2007-01-03,23.83,24.29,23.7,24.09,193400.0,2.4894514767932483,1.0910616869492302
2007-01-04,23.85,24.22,23.85,24.09,253400.0,1.5513626834381444,1.006289308176094
2007-01-05,23.91,25.24,23.82,24.82,192200.0,5.9613769941225785,3.805938937682978
2007-01-08,24.883,25.0,24.09,24.66,82300.0,3.7775010377750107,-0.8961941888035967
2007-01-09,24.49,25.75,24.19,25.7,119200.0,6.448945845390652,4.940792160065337
2007-01-10,25.5,27.96,25.43,27.24,257400.0,9.948879276445147,6.823529411764699
2007-01-11,27.5,27.5,26.54,26.8,188800.0,3.617181612660139,-2.5454545454545427
2007-01-12,26.83,26.83,26.33,26.33,129100.0,1.89897455374098,-1.8635855385762206
2007-01-16,26.27,26.3951,23.57,25.12,600300.0,11.985999151463721,-4.3776170536733865
2007-01-17,25.15,26.16,24.58,26.02,118800.0,6.427990235964207,3.459244532803185
2007-01-18,25.95,25.95,24.81,25.13,63800.0,4.59492140266022,-3.159922928709057
2007-01-19,24.95,25.37,24.95,25.09,81300.0,1.6833667334669407,0.5611222444889803
2007-01-22,26.0,26.38,25.18,25.79,182800.0,4.765687053216836,-0.807692307692311
2007-01-23,26.06,26.1,25.35,25.37,88600.0,2.9585798816568047,-2.647735993860314
2007-01-24,26.0,26.0,24.9,25.6,134900.0,4.41767068273093,-1.538461538461533
2007-01-25,25.9,25.9,25.17,25.44,31600.0,2.900278108859741,-1.7760617760617659
2007-01-26,25.59,26.5,25.0,26.42,88800.0,6.0,3.2434544744040714
2007-01-29,26.55,27.2,26.5,27.04,95500.0,2.6415094339622613,1.8455743879472635
2007-01-30,27.75,28.0,27.04,27.47,103900.0,3.550295857988169,-1.0090090090090131
2007-01-31,27.325,27.37,26.32,26.41,154800.0,3.9893617021276624,-3.3485818847209483
2007-02-01,27.0,27.0,25.49,26.04,62200.0,5.923891722244024,-3.555555555555559
2007-02-02,25.85,26.98,25.78,26.41,37000.0,4.6547711404189265,2.1663442940038635
2007-02-05,26.4,26.5,25.42,26.09,80700.0,4.2486231313925975,-1.1742424242424194
2007-02-06,26.09,26.1,25.75,25.88,47900.0,1.3592233009708794,-0.8049060942890028
2007-02-07,26.16,26.55,25.88,26.3,61100.0,2.5888717156105168,0.5351681957186566
2007-02-08,26.46,26.46,26.01,26.3,39800.0,1.7301038062283707,-0.6046863189720338
2007-02-09,26.14,26.69,25.91,26.19,72600.0,3.0104206869934433,0.1912777352716171
2007-02-12,26.29,26.29,25.34,25.6,110400.0,3.7490134175217023,-2.624572080639018
2007-02-13,25.44,25.82,25.0,25.06,106900.0,3.280000000000001,-1.4937106918239094
2007-02-14,25.0,25.5,25.0,25.04,35500.0,2.0,0.1599999999999966
2007-02-15,25.01,25.25,24.13,24.18,166700.0,4.641525072523834,-3.318672530987612
2007-02-16,24.23,25.0,24.1,24.75,29400.0,3.73443983402489,2.1460998761865437
2007-02-20,25.06,25.68,24.5801,25.37,137800.0,4.474758035972181,1.2370311252992907
2007-02-21,25.12,25.85,25.0,25.21,62500.0,3.4000000000000057,0.3582802547770695
2007-02-22,25.02,25.2801,24.84,25.0,73200.0,1.771739130434787,-0.07993605115907104
2007-02-23,25.0,25.0,24.45,24.52,71200.0,2.24948875255624,-1.9200000000000015
2007-02-26,24.75,24.75,22.62,24.0,275300.0,9.41644562334217,-3.0303030303030303
2007-02-27,23.25,23.56,22.89,23.05,323200.0,2.927042376583653,-0.8602150537634378
2007-02-28,22.87,23.48,22.87,23.19,141600.0,2.667249672059464,1.3992129427197213
2007-03-01,23.05,23.25,22.0101,22.46,193500.0,5.633322883585256,-2.5596529284164853
2007-03-02,22.4,24.25,22.11,23.82,159200.0,9.678878335594757,6.339285714285722
2007-03-05,23.24,23.99,22.82,23.23,152700.0,5.1270815074495975,-0.04302925989672122
