Date,Open,High,Low,Close,Volume,HML,PCT
1995-08-25,33.62,34.12,33.62,34.0,708200.0,1.48720999405116,1.1302795954788893
1995-08-28,33.88,33.88,33.25,33.5,283700.0,1.8947368421052708,-1.12160566706022
1995-08-29,33.75,33.88,33.12,33.5,175800.0,2.2946859903381798,-0.7407407407407408
1995-08-30,33.5,33.62,33.38,33.62,87300.0,0.7189934092270667,0.35820895522387297
1995-08-31,33.62,33.62,33.25,33.5,121300.0,1.1127819548872102,-0.3569303985722708
1995-09-01,33.5,33.62,33.38,33.62,43400.0,0.7189934092270667,0.35820895522387297
1995-09-05,33.5,33.62,33.38,33.5,77100.0,0.7189934092270667,0.0
1995-09-06,33.38,33.5,33.25,33.38,49400.0,0.7518796992481203,0.0
1995-09-07,33.38,33.38,33.0,33.12,147600.0,1.1515151515151594,-0.7789095266626875
1995-09-08,32.87,33.0,31.38,31.38,189200.0,5.162523900573617,-4.533008822634617
1995-09-11,31.5,32.63,31.5,32.13,86800.0,3.5873015873015954,2.000000000000008
1995-09-12,32.75,33.38,32.75,33.25,163500.0,1.9236641221374122,1.5267175572519083
1995-09-13,33.75,33.88,33.25,33.38,108500.0,1.8947368421052708,-1.0962962962962888
1995-09-14,33.38,33.5,33.25,33.5,30900.0,0.7518796992481203,0.35949670461353334
1995-09-15,33.38,33.5,33.38,33.5,43700.0,0.35949670461353334,0.35949670461353334
1995-09-18,33.38,33.62,33.25,33.62,84500.0,1.1127819548872102,0.7189934092270667
1995-09-19,33.5,33.5,33.25,33.38,23300.0,0.7518796992481203,-0.35820895522387297
1995-09-20,33.25,33.25,32.63,32.75,24900.0,1.9000919399325695,-1.5037593984962405
1995-09-21,33.0,33.12,32.75,33.0,31400.0,1.1297709923664043,0.0
1995-09-22,32.75,32.75,32.25,32.25,18900.0,1.550387596899225,-1.5267175572519083
1995-09-25,32.5,32.5,32.13,32.13,10600.0,1.151571739807026,-1.1384615384615306
1995-09-26,32.75,33.0,32.63,32.63,53300.0,1.1339258351210464,-0.3664122137404502
1995-09-27,32.5,32.63,32.5,32.5,19000.0,0.4000000000000079,0.0
1995-09-28,32.75,33.12,32.75,33.0,41000.0,1.1297709923664043,0.7633587786259541
1995-09-29,34.0,34.63,34.0,34.5,260600.0,1.8529411764705956,1.4705882352941175
1995-10-02,35.0,35.62,35.0,35.13,114000.0,1.771428571428564,0.37142857142857877
1995-10-03,35.25,35.37,35.0,35.25,33000.0,1.0571428571428498,0.0
1995-10-04,35.13,35.13,34.87,34.87,21700.0,0.7456266131345143,-0.7401081696555795
1995-10-05,35.0,35.13,34.87,35.13,14100.0,0.7456266131345143,0.37142857142857877
1995-10-06,35.13,35.13,34.75,34.87,55400.0,1.0935251798561225,-0.7401081696555795
1995-10-09,34.75,35.0,34.63,34.63,15400.0,1.0684377707190222,-0.3453237410071869
1995-10-10,34.63,34.63,34.0,34.12,16000.0,1.8529411764705956,-1.4727115218019207
1995-10-11,34.12,34.5,34.12,34.12,16100.0,1.113716295427909,0.0
1995-10-12,34.38,35.25,34.38,35.13,34000.0,2.530541012216397,2.181500872600349
1995-10-13,35.75,36.38,35.75,36.25,40200.0,1.7622377622377692,1.3986013986013985
1995-10-16,36.5,37.13,36.5,36.88,26000.0,1.726027397260281,1.0410958904109657
1995-10-17,36.75,36.75,36.38,36.38,30900.0,1.017042330951065,-1.0068027210884285
1995-10-18,36.38,37.37,36.38,36.88,33800.0,2.7212754260582597,1.3743815283122593
1995-10-19,37.13,37.63,37.13,37.63,26100.0,1.3466199838405601,1.3466199838405601
1995-10-20,37.87,38.5,37.87,38.25,42500.0,1.6635859519408571,1.0034327964087737
1995-10-23,38.38,38.38,38.25,38.38,13200.0,0.3398692810457583,0.0
1995-10-24,38.12,38.12,37.75,37.75,14300.0,0.980132450331119,-0.9706190975865621
1995-10-25,37.75,37.75,37.63,37.63,56900.0,0.31889449906988426,-0.31788079470198
1995-10-26,37.63,37.75,37.13,37.25,19200.0,1.6698087799622876,-1.009832580387995
1995-10-27,37.13,37.25,37.0,37.25,5000.0,0.6756756756756757,0.3231887961217275
1995-10-30,37.13,37.37,37.13,37.13,3700.0,0.646377592243455,0.0
1995-10-31,37.75,38.25,37.75,38.25,41600.0,1.3245033112582782,1.3245033112582782
1995-11-01,38.12,38.12,37.37,37.5,21400.0,2.0069574525020073,-1.6264428121720815
1995-11-02,37.63,38.25,37.63,38.0,58200.0,1.6476215785277633,0.9832580387988239
1995-11-03,39.5,39.63,39.5,39.63,50500.0,0.3291139240506394,0.3291139240506394
1995-11-06,39.63,40.0,39.25,40.0,47000.0,1.910828025477707,0.9336361342417295
1995-11-07,40.0,40.0,39.63,39.63,38400.0,0.9336361342417295,-0.9249999999999935
1995-11-08,39.63,39.75,39.5,39.75,2900.0,0.6329113924050633,0.3028009084027187
