Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,50.63,51.13,50.13,51.13,263700.0,1.994813484939158,0.9875567845151095
1990-01-03,51.13,51.88,50.88,51.88,200950.0,1.9654088050314464,1.4668492079014277
1990-01-04,51.88,52.13,51.63,51.63,225100.0,0.9684292078249079,-0.48188126445643786
1990-01-05,51.38,51.88,51.13,51.88,282200.0,1.4668492079014277,0.9731413001167768
1990-01-08,51.88,53.0,51.75,52.88,116450.0,2.4154589371980677,1.9275250578257515
1990-01-09,52.63,52.75,51.5,52.38,470100.0,2.4271844660194173,-0.47501425042751283
1990-01-10,52.0,52.13,51.63,51.88,331700.0,0.9684292078249079,-0.23076923076922584
1990-01-11,52.13,52.25,51.25,51.88,212400.0,1.951219512195122,-0.479570305006714
1990-01-12,51.88,51.88,50.63,50.63,135750.0,2.468891961287774,-2.4094063222821895
1990-01-15,50.13,50.13,48.75,49.0,118650.0,2.830769230769236,-2.2541392379812537
1990-01-16,48.25,48.75,47.38,48.75,225900.0,2.8915154073448655,1.0362694300518136
1990-01-17,48.88,49.63,47.63,48.0,281600.0,4.19903422212891,-1.800327332242231
1990-01-18,47.5,47.88,47.25,47.75,203750.0,1.3333333333333388,0.5263157894736842
1990-01-19,47.88,48.0,47.0,47.0,96150.0,2.127659574468085,-1.8379281537176324
1990-01-22,47.0,47.38,45.63,45.75,244600.0,3.8351961428884502,-2.6595744680851063
1990-01-23,46.25,47.13,44.75,44.88,318000.0,5.31843575418995,-2.9621621621621568
1990-01-24,43.25,44.5,43.13,44.25,515550.0,3.1764433109204666,2.312138728323699
1990-01-25,45.25,45.25,44.5,44.75,158500.0,1.6853932584269662,-1.1049723756906076
1990-01-26,45.0,45.5,42.75,43.38,276400.0,6.432748538011696,-3.5999999999999943
1990-01-29,43.25,43.88,43.0,43.38,384400.0,2.046511627906983,0.3005780346820868
1990-01-30,43.13,43.38,41.0,42.0,222050.0,5.804878048780495,-2.6199860885694473
1990-01-31,42.5,44.0,41.88,44.0,214200.0,5.06208213944603,3.5294117647058822
1990-02-01,44.5,45.5,44.25,45.5,135950.0,2.824858757062147,2.247191011235955
1990-02-02,45.0,46.38,44.88,45.13,171150.0,3.3422459893048124,0.2888888888888946
1990-02-05,45.25,45.25,45.0,45.25,163300.0,0.5555555555555556,0.0
1990-02-06,45.38,45.38,45.0,45.13,41400.0,0.8444444444444501,-0.5509034817100044
1990-02-07,45.13,46.88,44.75,46.38,205550.0,4.759776536312855,2.7697762020828716
1990-02-08,46.25,47.38,46.13,46.88,195700.0,2.7097333622371558,1.3621621621621676
1990-02-09,47.13,48.0,47.0,47.75,165550.0,2.127659574468085,1.3155102906853329
1990-02-12,47.38,47.88,47.0,47.0,232500.0,1.8723404255319203,-0.8020261713803345
1990-02-13,47.13,47.13,46.25,46.88,137150.0,1.9027027027027084,-0.5304476978569912
1990-02-14,46.88,47.38,46.75,47.0,151650.0,1.3475935828877061,0.2559726962457283
1990-02-15,47.0,47.75,46.75,47.75,92100.0,2.13903743315508,1.5957446808510638
1990-02-16,47.63,48.13,47.5,47.75,101550.0,1.3263157894736897,0.25194205332772923
1990-02-20,46.75,46.88,45.5,45.88,247400.0,3.0329670329670386,-1.8609625668449143
1990-02-21,45.5,46.13,45.13,46.13,133950.0,2.215820961666297,1.3846153846153901
1990-02-22,46.13,46.63,46.13,46.13,169550.0,1.0838933448948622,0.0
1990-02-23,45.75,46.25,45.5,45.63,127300.0,1.6483516483516485,-0.2622950819672075
1990-02-26,45.38,46.38,45.38,46.38,132750.0,2.2036139268400174,2.2036139268400174
1990-02-27,46.25,47.63,45.88,47.38,301300.0,3.8142981691368787,2.4432432432432485
1990-02-28,47.38,47.88,47.25,47.75,114450.0,1.3333333333333388,0.780920219501894
1990-03-01,47.75,48.38,47.5,47.88,217250.0,1.8526315789473737,0.2722513089005289
1990-03-02,47.75,48.25,47.75,47.88,64350.0,1.0471204188481675,0.2722513089005289
1990-03-05,47.75,48.88,47.75,48.75,135950.0,2.366492146596864,2.094240837696335
1990-03-06,49.25,50.0,49.0,50.0,131750.0,2.0408163265306123,1.5228426395939088
1990-03-07,50.0,50.38,49.25,49.25,105800.0,2.2944162436548274,-1.5
1990-03-08,49.25,49.5,48.75,49.0,99950.0,1.5384615384615385,-0.5076142131979695
1990-03-09,49.25,49.25,48.0,48.25,238750.0,2.604166666666667,-2.030456852791878
1990-03-12,48.25,48.25,47.38,47.75,88500.0,1.8362178134233798,-1.0362694300518136
1990-03-13,47.75,47.88,47.38,47.5,51900.0,1.0552975939214857,-0.5235602094240838
1990-03-14,47.63,48.0,47.5,48.0,31550.0,1.0526315789473684,0.776821331093843
1990-03-15,48.13,48.88,47.88,48.63,69800.0,2.0885547201336676,1.0388531061707875
1990-03-16,49.25,49.38,48.63,49.25,304350.0,1.542257865515114,0.0
1990-03-19,48.88,49.13,48.13,49.0,58100.0,2.077706212341575,0.2454991816693892
1990-03-20,49.38,49.88,48.5,48.5,129350.0,2.8453608247422735,-1.7820980153908514
1990-03-21,48.38,48.5,47.88,48.25,72200.0,1.2949039264828683,-0.2687060768912826
1990-03-22,47.75,48.25,47.38,47.75,114450.0,1.8362178134233798,0.0
1990-03-23,47.5,48.13,47.5,47.88,87100.0,1.3263157894736897,0.8000000000000054
1990-03-26,47.88,48.25,47.75,47.75,25100.0,1.0471204188481675,-0.2715121136173821
1990-03-27,48.0,48.38,47.5,48.38,72000.0,1.8526315789473737,0.791666666666672
1990-03-28,48.38,48.38,48.0,48.13,28950.0,0.791666666666672,-0.5167424555601488
1990-03-29,48.25,48.25,47.5,47.63,109400.0,1.5789473684210527,-1.2849740932642435
1990-03-30,47.88,48.0,47.5,47.5,45050.0,1.0526315789473684,-0.7936507936507989
1990-04-02,47.13,47.13,46.25,46.5,119250.0,1.9027027027027084,-1.3367281985996233
1990-04-03,46.75,47.75,46.63,47.75,142400.0,2.401887197083417,2.13903743315508
1990-04-04,47.5,47.75,47.25,47.5,91100.0,1.0582010582010581,0.0
1990-04-05,47.75,47.88,47.5,47.5,163100.0,0.8000000000000054,-0.5235602094240838
1990-04-06,47.75,47.75,46.75,47.0,68550.0,2.13903743315508,-1.5706806282722512
1990-04-09,47.5,47.63,47.0,47.5,237350.0,1.340425531914899,0.0
1990-04-10,47.5,48.88,47.5,48.5,101350.0,2.9052631578947423,2.1052631578947367
1990-04-11,49.0,49.63,48.88,49.13,138400.0,1.534369885433715,0.2653061224489848
1990-04-12,49.0,50.25,49.0,49.5,276800.0,2.5510204081632653,1.0204081632653061
1990-04-16,49.75,49.88,49.25,49.38,107000.0,1.2791878172588884,-0.743718592964819
1990-04-17,49.0,49.25,48.5,48.63,110200.0,1.5463917525773196,-0.7551020408163213
1990-04-18,48.5,48.63,47.88,48.0,145000.0,1.5664160401002505,-1.0309278350515463
1990-04-19,48.25,48.63,48.0,48.25,135350.0,1.3125000000000053,0.0
1990-04-20,48.0,48.0,46.88,47.0,132750.0,2.3890784982935096,-2.083333333333333
1990-04-23,47.0,47.0,46.0,46.0,179200.0,2.1739130434782608,-2.127659574468085
1990-04-24,46.0,46.13,45.0,45.13,248800.0,2.511111111111117,-1.8913043478260814
1990-04-25,45.38,45.38,45.0,45.0,76200.0,0.8444444444444501,-0.8373732921992123
1990-04-26,45.38,45.5,44.88,45.25,304750.0,1.381461675579317,-0.2864698104892079
1990-04-27,45.38,45.5,45.0,45.25,203950.0,1.1111111111111112,-0.2864698104892079
1990-04-30,45.25,45.38,45.0,45.38,94300.0,0.8444444444444501,0.28729281767956366
1990-05-01,45.5,45.5,45.13,45.25,116250.0,0.8198537558165244,-0.5494505494505495
1990-05-02,45.0,45.0,44.13,44.25,154650.0,1.9714479945615169,-1.6666666666666667
1990-05-03,44.25,44.5,43.5,43.88,185250.0,2.2988505747126435,-0.8361581920903897
1990-05-04,44.25,45.63,44.25,45.63,339950.0,3.1186440677966156,3.1186440677966156
1990-05-07,45.63,45.75,45.5,45.5,65150.0,0.5494505494505495,-0.2849002849002905
1990-05-08,45.38,45.5,45.0,45.5,95550.0,1.1111111111111112,0.2644336712207965
1990-05-09,45.25,45.5,45.0,45.38,352600.0,1.1111111111111112,0.28729281767956366
1990-05-10,45.25,46.0,45.25,45.75,311600.0,1.6574585635359116,1.1049723756906076
1990-05-11,46.0,46.75,46.0,46.63,279200.0,1.6304347826086956,1.3695652173913098
1990-05-14,46.63,49.0,46.63,48.38,485800.0,5.082564872399737,3.7529487454428474
1990-05-15,48.13,48.38,48.0,48.25,198550.0,0.791666666666672,0.24932474548098366
1990-05-16,48.75,48.88,48.0,48.0,157100.0,1.8333333333333386,-1.5384615384615385
1990-05-17,48.13,48.75,48.13,48.38,249600.0,1.288177851651771,0.5194265530853938
1990-05-18,48.63,48.63,47.88,48.13,115450.0,1.5664160401002505,-1.0281719103434093
1990-05-21,48.25,48.38,47.75,48.13,276800.0,1.3193717277486965,-0.24870466321242993
1990-05-22,48.25,49.5,48.25,48.75,403100.0,2.5906735751295336,1.0362694300518136
1990-05-23,49.25,49.25,48.0,48.0,252850.0,2.604166666666667,-2.5380710659898478
1990-05-24,48.0,48.75,48.0,48.63,131750.0,1.5625,1.3125000000000053
1990-05-25,48.38,48.88,48.25,48.25,190900.0,1.3056994818652903,-0.2687060768912826
1990-05-29,48.75,52.0,48.75,50.75,510150.0,6.666666666666667,4.102564102564102
1990-05-30,51.38,53.88,51.38,53.75,475950.0,4.865706500583884,4.612689762553517
1990-05-31,53.25,54.25,53.25,53.25,332300.0,1.8779342723004695,0.0
1990-06-01,53.13,53.63,53.13,53.63,581150.0,0.9410878976096366,0.9410878976096366
1990-06-04,53.75,55.5,53.38,55.0,505100.0,3.971524915698758,2.3255813953488373
1990-06-05,55.0,55.0,53.13,53.63,230100.0,3.519668737060037,-2.4909090909090863
1990-06-06,53.38,53.5,53.13,53.38,190900.0,0.6964050442311264,0.0
1990-06-07,53.25,54.0,53.25,54.0,140200.0,1.4084507042253522,1.4084507042253522
1990-06-08,53.88,54.5,53.0,53.38,279200.0,2.8301886792452833,-0.9279881217520415
1990-06-11,53.38,54.0,53.13,54.0,134150.0,1.637492941840763,1.1614837017609543
1990-06-12,54.13,56.88,53.88,56.5,370300.0,5.567928730512249,4.378348420469235
1990-06-13,55.88,56.88,55.75,55.75,295500.0,2.026905829596417,-0.23264137437366242
1990-06-14,56.0,56.25,55.5,56.0,165350.0,1.3513513513513513,0.0
1990-06-15,57.5,57.5,56.25,57.13,336100.0,2.2222222222222223,-0.6434782608695608
1990-06-18,56.88,56.88,54.75,54.88,207000.0,3.890410958904114,-3.5161744022503516
1990-06-19,54.0,55.38,54.0,55.25,199950.0,2.5555555555555602,2.314814814814815
1990-06-20,55.13,55.5,54.75,55.0,44650.0,1.36986301369863,-0.23580627607473706
1990-06-21,55.0,55.0,54.25,55.0,178000.0,1.3824884792626728,0.0
1990-06-22,55.0,55.25,54.63,54.75,162300.0,1.1349075599487413,-0.45454545454545453
1990-06-25,54.75,56.0,54.63,55.5,178600.0,2.5077796082738373,1.36986301369863
1990-06-26,56.0,56.5,56.0,56.25,104000.0,0.8928571428571428,0.4464285714285714
1990-06-27,56.38,56.5,54.5,55.63,165150.0,3.669724770642202,-1.3302589570769776
1990-06-28,55.75,56.5,55.25,56.5,110200.0,2.262443438914027,1.345291479820628
