Date,Open,High,Low,Close,Volume,HML,PCT
1999-06-25,105.0,106.0,94.0,98.88,7472300.0,12.76595744680851,-5.828571428571433
1999-06-28,97.88,99.5,90.13,99.13,1527700.0,10.396094530123161,1.2770739681242338
1999-06-29,97.88,134.8,95.81,115.5,2455000.0,40.69512576975264,18.001634654679204
1999-06-30,121.6,159.1,119.0,149.0,2808800.0,33.69747899159663,22.53289473684211
1999-07-01,157.9,162.0,142.0,146.0,1583500.0,14.084507042253522,-7.536415452818243
1999-07-02,147.4,150.9,135.0,142.8,652100.0,11.777777777777782,-3.1207598371777436
1999-07-06,144.0,154.3,137.0,139.5,605400.0,12.62773722627738,-3.125
1999-07-07,138.6,143.0,128.0,135.1,705800.0,11.71875,-2.525252525252525
1999-07-08,137.5,138.0,128.0,128.0,395000.0,7.8125,-6.909090909090909
1999-07-09,132.0,133.0,122.0,132.8,489200.0,9.01639344262295,0.6060606060606146
1999-07-12,134.0,135.0,127.6,128.0,236000.0,5.799373040752355,-4.477611940298507
1999-07-13,125.8,132.9,122.0,125.0,307300.0,8.934426229508201,-0.6359300476947514
1999-07-14,127.4,137.0,125.5,132.1,581000.0,9.163346613545817,3.6891679748822517
1999-07-15,132.8,150.0,132.0,149.5,854700.0,13.636363636363635,12.575301204819267
1999-07-16,154.6,158.0,141.1,142.9,834800.0,11.977321048901493,-7.567917205692101
1999-07-19,148.3,149.0,134.8,135.0,340800.0,10.53412462908011,-8.968307484828058
1999-07-20,132.6,143.8,127.4,138.0,640300.0,12.87284144427002,4.072398190045253
1999-07-21,144.5,157.4,142.0,143.8,2015200.0,10.845070422535215,-0.4844290657439368
1999-07-22,148.8,153.6,135.8,148.5,1302800.0,13.107511045655363,-0.20161290322581407
1999-07-23,152.0,153.0,143.0,145.9,604900.0,6.993006993006993,-4.013157894736839
1999-07-26,144.9,148.0,139.0,144.3,734000.0,6.474820143884892,-0.4140786749482362
1999-07-27,148.5,149.8,145.0,146.1,375900.0,3.3103448275862144,-1.61616161616162
1999-07-28,145.1,145.3,141.5,143.8,382900.0,2.685512367491174,-0.8959338387318972
1999-07-29,138.0,147.5,137.0,145.0,273000.0,7.664233576642336,5.072463768115942
1999-07-30,146.9,165.0,146.0,162.4,1512300.0,13.013698630136986,10.551395507147719
1999-08-02,160.0,172.5,156.0,161.3,1145700.0,10.576923076923077,0.8125000000000071
1999-08-03,164.4,168.5,153.1,155.4,1083300.0,10.058785107772701,-5.474452554744525
1999-08-04,153.8,156.0,148.0,155.9,751400.0,5.405405405405405,1.3654096228868622
1999-08-05,153.7,161.0,146.0,157.7,850000.0,10.273972602739725,2.602472348731295
1999-08-06,156.5,163.8,153.4,160.0,566500.0,6.779661016949157,2.2364217252396164
1999-08-09,155.0,169.7,149.5,162.4,472100.0,13.511705685618722,4.7741935483871005
1999-08-10,162.8,171.1,161.0,170.9,515300.0,6.273291925465835,4.975429975429972
1999-08-11,173.0,185.4,172.8,185.4,758700.0,7.2916666666666625,7.167630057803471
1999-08-12,185.3,199.0,185.0,197.0,765100.0,7.567567567567568,6.31408526713437
1999-08-13,203.5,214.9,199.0,213.8,1060400.0,7.989949748743721,5.061425061425067
1999-08-16,212.4,213.0,200.0,204.0,696000.0,6.5,-3.954802259887008
1999-08-17,207.9,219.5,202.1,218.6,829300.0,8.60959920831272,5.146705146705141
1999-08-18,216.0,223.9,206.8,206.8,616600.0,8.26885880077369,-4.259259259259254
1999-08-19,203.0,210.0,201.0,205.6,462300.0,4.477611940298507,1.2807881773398988
1999-08-20,209.4,209.5,201.0,204.6,238000.0,4.228855721393035,-2.292263610315192
1999-08-23,204.0,227.9,203.5,227.0,816300.0,11.990171990171993,11.27450980392157
1999-08-24,223.1,234.4,216.9,226.1,1279800.0,8.068234209313047,1.3446884805020172
1999-08-25,225.0,227.0,214.5,216.5,519200.0,5.827505827505827,-3.7777777777777777
1999-08-26,216.9,225.2,214.6,215.3,558000.0,4.939422180801489,-0.7376671277086189
1999-08-27,218.3,223.0,212.0,218.0,366200.0,5.188679245283019,-0.1374255611543799
1999-08-30,218.0,218.0,208.6,210.1,334600.0,4.50623202301055,-3.623853211009177
1999-08-31,210.5,213.5,202.6,205.0,457600.0,5.380059230009874,-2.6128266033254155
1999-09-01,206.4,208.5,179.1,180.3,2090200.0,16.415410385259634,-12.6453488372093
1999-09-02,173.8,201.8,170.2,198.6,2214800.0,18.566392479435972,14.269275028768687
1999-09-03,204.5,205.1,189.1,193.3,1175400.0,8.461131676361713,-5.4767726161369135
1999-09-07,191.6,196.6,186.1,193.5,321600.0,5.6421278882321335,0.9916492693110677
1999-09-08,192.4,204.0,188.6,193.5,649600.0,8.165429480381764,0.5717255717255687
1999-09-09,196.3,196.3,186.0,192.2,206800.0,5.537634408602156,-2.0886398369842194
1999-09-10,194.5,200.0,190.1,191.5,283400.0,5.207785376117836,-1.5424164524421593
1999-09-13,192.0,192.8,179.9,180.0,277200.0,7.170650361311842,-6.25
1999-09-14,181.5,189.9,179.9,183.1,394800.0,5.558643690939411,0.8815426997245147
1999-09-15,187.6,194.8,182.1,184.5,766300.0,6.974190005491497,-1.6524520255863508
1999-09-16,185.9,186.0,178.4,183.4,402900.0,4.2600896860986515,-1.3448090371167294
1999-09-17,185.3,188.2,181.8,182.5,231000.0,3.5203520352035076,-1.5110631408526773
1999-09-20,183.3,185.8,179.0,183.0,236400.0,3.798882681564252,-0.16366612111293583
1999-09-21,182.8,193.9,181.3,187.0,517800.0,6.949806949806946,2.29759299781181
1999-09-22,186.9,191.4,182.0,189.8,296300.0,5.164835164835168,1.5516318887105434
1999-09-23,189.0,195.5,182.0,182.9,513000.0,7.417582417582418,-3.227513227513225
1999-09-24,183.4,199.0,181.0,198.9,566800.0,9.94475138121547,8.451472191930206
1999-09-27,199.9,217.9,199.9,206.9,1223000.0,9.004502251125562,3.5017508754377187
1999-09-28,206.6,207.0,194.3,197.3,705700.0,6.536284096757584,-4.501452081316545
1999-09-29,198.0,204.3,189.8,191.4,654000.0,7.639620653319283,-3.3333333333333304
1999-09-30,190.0,198.0,181.5,182.1,4229000.0,9.090909090909092,-4.157894736842108
1999-10-01,182.8,188.0,180.0,185.0,1480300.0,4.444444444444445,1.2035010940918973
