Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,26.63,26.75,26.0,26.0,23550.0,2.8846153846153846,-2.3657529102515924
1990-01-03,26.25,26.38,25.88,26.0,58550.0,1.9319938176197835,-0.9523809523809524
1990-01-04,26.25,26.75,26.0,26.25,76300.0,2.8846153846153846,0.0
1990-01-05,26.0,26.25,25.88,26.25,13600.0,1.4296754250386436,0.9615384615384616
1990-01-08,26.12,26.5,26.12,26.5,15200.0,1.4548238897396593,1.4548238897396593
1990-01-09,26.75,27.37,26.75,27.25,92950.0,2.317757009345798,1.8691588785046727
1990-01-10,27.37,27.5,27.25,27.5,101750.0,0.9174311926605505,0.47497259773474243
1990-01-11,27.25,27.62,26.75,26.75,62200.0,3.2523364485981343,-1.834862385321101
1990-01-12,26.5,26.5,25.5,25.5,25100.0,3.9215686274509802,-3.7735849056603774
1990-01-15,25.5,25.63,24.75,25.0,26600.0,3.5555555555555514,-1.9607843137254901
1990-01-16,25.0,25.88,24.62,25.75,61600.0,5.1177904142973105,3.0
1990-01-17,26.0,26.0,25.63,25.75,55300.0,1.4436207569254818,-0.9615384615384616
1990-01-18,25.5,25.88,25.5,25.75,6350.0,1.4901960784313686,0.9803921568627451
1990-01-19,25.75,25.88,25.37,25.37,4350.0,2.010248324793055,-1.4757281553398018
1990-01-22,25.5,25.88,25.25,25.88,52250.0,2.495049504950491,1.4901960784313686
1990-01-23,25.63,25.63,24.87,25.25,17350.0,3.055890631282662,-1.4826375341396762
1990-01-24,25.0,25.5,24.87,25.13,13050.0,2.533172496984314,0.519999999999996
1990-01-25,25.13,25.25,24.87,25.13,12350.0,1.527945315641331,0.0
1990-01-26,25.0,25.0,24.87,25.0,19200.0,0.5227181342983475,0.0
1990-01-29,25.0,25.63,23.5,23.75,21350.0,9.063829787234038,-5.0
1990-01-30,23.88,24.0,23.37,23.88,12850.0,2.6957637997432564,0.0
1990-01-31,23.75,25.88,23.75,25.88,36200.0,8.968421052631575,8.968421052631575
1990-02-01,25.75,26.0,25.63,25.63,19150.0,1.4436207569254818,-0.466019417475732
1990-02-02,25.75,26.12,25.75,25.88,24600.0,1.436893203883499,0.504854368932035
1990-02-05,25.75,26.25,25.75,26.12,8900.0,1.9417475728155338,1.436893203883499
1990-02-06,26.0,26.12,25.63,25.75,8900.0,1.911822083495911,-0.9615384615384616
1990-02-07,25.5,25.63,25.13,25.63,10000.0,1.9896538002387585,0.5098039215686235
1990-02-08,25.63,25.75,25.63,25.75,26900.0,0.4682013265704292,0.4682013265704292
1990-02-09,25.75,26.0,25.75,25.88,20400.0,0.9708737864077669,0.504854368932035
1990-02-12,25.75,25.88,25.63,25.75,20450.0,0.9754194303550527,0.0
1990-02-13,25.75,25.88,25.5,25.5,6700.0,1.4901960784313686,-0.9708737864077669
1990-02-14,25.63,26.12,25.5,25.75,48600.0,2.4313725490196116,0.4682013265704292
1990-02-15,25.63,25.88,25.5,25.75,21750.0,1.4901960784313686,0.4682013265704292
1990-02-16,26.0,26.0,25.63,25.88,12500.0,1.4436207569254818,-0.4615384615384654
1990-02-20,25.75,25.75,25.63,25.75,63050.0,0.4682013265704292,0.0
1990-02-21,25.5,26.12,25.25,26.0,32950.0,3.4455445544554495,1.9607843137254901
1990-02-22,25.63,26.0,25.5,25.63,26350.0,1.9607843137254901,0.0
1990-02-23,25.75,25.88,25.25,25.25,11600.0,2.495049504950491,-1.9417475728155338
1990-02-26,25.37,25.37,25.0,25.0,9350.0,1.480000000000004,-1.458415451320461
1990-02-27,25.0,25.25,25.0,25.13,36550.0,1.0,0.519999999999996
1990-02-28,25.13,25.75,25.13,25.63,11950.0,2.4671707122960647,1.9896538002387585
1990-03-01,25.63,25.88,25.37,25.63,21550.0,2.010248324793055,0.0
1990-03-02,25.75,25.88,25.63,25.88,16500.0,0.9754194303550527,0.504854368932035
1990-03-05,25.88,25.88,25.5,25.63,4500.0,1.4901960784313686,-0.9659969088098918
1990-03-06,25.88,25.88,25.5,25.5,15150.0,1.4901960784313686,-1.4683153013910317
1990-03-07,25.5,25.88,25.37,25.75,15950.0,2.010248324793055,0.9803921568627451
1990-03-08,25.63,25.88,25.5,25.88,29850.0,1.4901960784313686,0.9754194303550527
1990-03-09,25.75,25.88,25.75,25.75,8900.0,0.504854368932035,0.0
1990-03-12,25.88,25.88,25.37,25.37,26950.0,2.010248324793055,-1.9706336939721718
1990-03-13,25.5,25.5,25.25,25.25,15700.0,0.9900990099009901,-0.9803921568627451
1990-03-14,25.25,25.75,25.25,25.63,38650.0,1.9801980198019802,1.5049504950495012
1990-03-15,25.5,25.88,24.87,24.87,50600.0,4.061117812625645,-2.4705882352941138
1990-03-16,24.87,25.63,24.87,25.63,43250.0,3.055890631282662,3.055890631282662
1990-03-19,25.5,25.5,25.25,25.25,3950.0,0.9900990099009901,-0.9803921568627451
1990-03-20,25.37,25.75,25.37,25.63,32150.0,1.4978320851399252,1.0248324793062595
1990-03-21,25.63,25.75,25.5,25.63,7000.0,0.9803921568627451,0.0
1990-03-22,25.5,25.75,25.5,25.5,7650.0,0.9803921568627451,0.0
1990-03-23,25.63,25.63,25.25,25.25,39600.0,1.5049504950495012,-1.4826375341396762
1990-03-26,25.0,25.0,24.62,24.87,35950.0,1.5434606011372827,-0.519999999999996
1990-03-27,25.0,25.13,24.87,25.0,21100.0,1.045436268596695,0.0
1990-03-28,24.75,25.0,24.62,24.62,6500.0,1.5434606011372827,-0.5252525252525213
1990-03-29,24.62,24.75,24.5,24.5,10900.0,1.0204081632653061,-0.487408610885463
1990-03-30,24.25,24.25,23.88,24.0,21100.0,1.5494137353433877,-1.0309278350515463
1990-04-02,23.88,24.38,23.25,24.38,29850.0,4.8602150537634365,2.0938023450586267
1990-04-03,24.25,24.5,24.12,24.25,13900.0,1.5754560530679893,0.0
1990-04-04,24.62,24.75,24.12,24.5,21750.0,2.6119402985074585,-0.487408610885463
1990-04-05,24.25,24.62,24.25,24.38,60900.0,1.5257731958762926,0.5360824742268
1990-04-06,24.0,24.12,23.5,23.63,79500.0,2.63829787234043,-1.541666666666671
1990-04-09,23.75,23.88,23.5,23.75,68200.0,1.6170212765957406,0.0
1990-04-10,23.75,23.75,23.5,23.5,27100.0,1.0638297872340425,-1.0526315789473684
1990-04-11,23.5,23.63,23.25,23.63,72900.0,1.6344086021505333,0.5531914893616979
1990-04-12,23.63,24.12,23.63,24.12,41050.0,2.073635209479484,2.073635209479484
1990-04-16,24.25,24.62,24.0,24.5,59150.0,2.5833333333333375,1.0309278350515463
1990-04-17,24.75,24.87,24.5,24.87,62200.0,1.5102040816326572,0.48484848484848886
1990-04-18,25.0,25.25,24.75,25.13,61650.0,2.0202020202020203,0.519999999999996
1990-04-19,25.0,25.25,24.87,25.25,99450.0,1.527945315641331,1.0
1990-04-20,25.0,25.13,24.87,25.0,61850.0,1.045436268596695,0.0
1990-04-23,25.0,25.0,24.75,25.0,43400.0,1.0101010101010102,0.0
1990-04-24,25.0,25.0,24.62,24.87,37950.0,1.5434606011372827,-0.519999999999996
1990-04-25,25.0,25.75,24.87,25.5,38550.0,3.5383996783272975,2.0
1990-04-26,25.25,25.63,25.13,25.37,47200.0,1.9896538002387585,0.4752475247524792
1990-04-27,25.5,26.12,25.5,26.0,55150.0,2.4313725490196116,1.9607843137254901
1990-04-30,26.12,26.25,25.75,26.0,88900.0,1.9417475728155338,-0.45941807044410793
1990-05-01,26.0,26.0,25.0,25.37,58800.0,4.0,-2.423076923076919
1990-05-02,25.25,25.25,24.62,24.87,53300.0,2.5588952071486553,-1.5049504950495012
1990-05-03,24.75,25.25,24.75,25.0,65400.0,2.0202020202020203,1.0101010101010102
1990-05-04,25.0,25.37,25.0,25.37,39400.0,1.480000000000004,1.480000000000004
1990-05-07,25.5,26.0,25.25,26.0,70100.0,2.9702970297029703,1.9607843137254901
1990-05-08,25.75,25.88,25.63,25.88,4850.0,0.9754194303550527,0.504854368932035
1990-05-09,26.0,26.0,25.88,25.88,17200.0,0.46367851622875195,-0.4615384615384654
1990-05-10,25.75,26.0,25.63,25.88,82800.0,1.4436207569254818,0.504854368932035
1990-05-11,26.0,26.0,25.88,26.0,40350.0,0.46367851622875195,0.0
1990-05-14,26.0,26.0,25.75,25.88,53200.0,0.9708737864077669,-0.4615384615384654
1990-05-15,25.75,25.75,25.63,25.63,41000.0,0.4682013265704292,-0.466019417475732
1990-05-16,25.75,25.88,25.5,25.63,62350.0,1.4901960784313686,-0.466019417475732
1990-05-17,25.63,25.88,25.5,25.75,61450.0,1.4901960784313686,0.4682013265704292
1990-05-18,25.63,25.88,25.63,25.75,19850.0,0.9754194303550527,0.4682013265704292
1990-05-21,25.75,26.12,25.75,26.0,59600.0,1.436893203883499,0.9708737864077669
1990-05-22,26.0,26.12,26.0,26.0,6000.0,0.4615384615384654,0.0
1990-05-23,26.12,26.12,25.63,25.88,15150.0,1.911822083495911,-0.9188361408882159
1990-05-24,26.0,26.12,25.63,26.0,51350.0,1.911822083495911,0.0
1990-05-25,26.0,26.12,26.0,26.12,37950.0,0.4615384615384654,0.4615384615384654
1990-05-29,26.12,26.25,25.88,26.25,21900.0,1.4296754250386436,0.49770290964777564
1990-05-30,26.0,26.38,26.0,26.38,19500.0,1.4615384615384577,1.4615384615384577
1990-05-31,26.12,26.5,26.12,26.25,24100.0,1.4548238897396593,0.49770290964777564
1990-06-01,26.38,26.63,26.38,26.5,7800.0,0.9476876421531463,0.454890068233514
1990-06-04,26.38,27.25,26.38,27.0,27150.0,3.297952994692953,2.3502653525398065
