Date,Open,High,Low,Close,Volume,HML,PCT
2011-02-11,31.7,32.14,30.75,31.05,50610600.0,4.5203252032520345,-2.0504731861198695
2011-02-14,31.05,31.3,30.7,30.7,6275900.0,1.9543973941368125,-1.1272141706924361
2011-02-15,30.9,31.15,30.73,30.94,4337800.0,1.366742596810928,0.129449838187711
2011-02-16,31.05,31.44,30.66,30.72,4627100.0,2.5440313111546025,-1.0628019323671558
2011-02-17,30.68,31.09,30.51,30.55,3290700.0,1.90101606030809,-0.4237288135593188
2011-02-18,30.65,31.39,30.4,31.37,2583800.0,3.256578947368428,2.3491027732463374
2011-02-22,31.14,31.43,30.71,30.72,2454300.0,2.3445131878866783,-1.3487475915221636
2011-02-23,30.76,30.9,30.25,30.42,2671200.0,2.1487603305785075,-1.1053315994798434
2011-02-24,30.55,30.65,30.3,30.46,1698000.0,1.155115511551148,-0.2945990180032729
2011-02-25,30.53,30.75,30.3,30.5,2225900.0,1.485148514851483,-0.09826400262037713
2011-02-28,30.57,30.79,30.42,30.5,2380400.0,1.2163050624589002,-0.2289826627412505
2011-03-01,30.65,30.78,30.23,30.45,1908000.0,1.8193847171683781,-0.6525285481239781
2011-03-02,30.57,30.69,30.26,30.57,2197000.0,1.4210178453403823,0.0
2011-03-03,30.68,30.77,30.53,30.77,1901800.0,0.7861120209629822,0.29335071707953014
2011-03-04,30.8,30.9392,30.66,30.85,892300.0,0.9106327462491829,0.16233766233766464
2011-03-07,30.94,31.04,30.7,30.9,1049600.0,1.1074918566775238,-0.1292824822236674
2011-03-08,30.8,31.04,30.8,30.97,827400.0,0.7792207792207742,0.551948051948046
2011-03-09,30.9,30.98,30.74,30.75,294100.0,0.780741704619395,-0.48543689320387895
2011-03-10,30.71,30.71,29.75,30.1,2715200.0,3.2268907563025238,-1.9863236730706593
2011-03-11,30.1,30.48,29.97,30.1,1896900.0,1.701701701701707,0.0
2011-03-14,30.0,30.22,29.8,29.99,1967700.0,1.4093959731543562,-0.033333333333338544
2011-03-15,29.81,30.2,29.6,29.88,1968400.0,2.0270270270270196,0.234820530023483
2011-03-16,29.89,30.16,29.76,30.05,2062200.0,1.3440860215053716,0.5352960856473742
2011-03-17,30.2,30.41,30.06,30.15,1511400.0,1.1643379906853009,-0.16556291390728714
2011-03-18,30.21,30.5,30.08,30.5,1906600.0,1.3962765957446868,0.95994703740483
2011-03-21,30.53,31.0,30.4,30.82,1253000.0,1.9736842105263206,0.9498853586636068
2011-03-22,30.9,30.98,30.57,30.7,1014700.0,1.3411841674844625,-0.647249190938509
2011-03-23,30.53,30.67,29.95,30.02,2570500.0,2.4040066777963354,-1.6704880445463528
2011-03-24,30.1,30.25,29.9,30.05,1411600.0,1.1705685618729145,-0.16611295681063357
2011-03-25,30.01,30.0899,29.5,29.52,2687100.0,1.9996610169491529,-1.632789070309903
2011-03-28,29.74,29.93,29.56,29.62,1552900.0,1.251691474966174,-0.40349697377268817
2011-03-29,29.75,29.8846,29.54,29.79,1313800.0,1.1665538253215972,0.13445378151260218
2011-03-30,29.87,29.89,29.58,29.69,769700.0,1.0480054090601836,-0.6026113157013717
2011-03-31,29.8,29.87,29.51,29.64,884400.0,1.2199254490003368,-0.5369127516778528
2011-04-01,29.79,29.85,29.49,29.5,1869200.0,1.2207527975585046,-0.9734810339039918
2011-04-04,29.44,29.7,29.25,29.44,1177900.0,1.538461538461536,0.0
2011-04-05,29.49,29.64,29.0,29.44,1021200.0,2.2068965517241397,-0.16954899966089237
2011-04-06,29.46,29.49,29.21,29.46,725100.0,0.9585758301951304,0.0
2011-04-07,29.52,29.56,29.13,29.22,1226100.0,1.4761414349467892,-1.0162601626016283
2011-04-08,29.22,29.42,29.12,29.33,934800.0,1.0302197802197826,0.376454483230662
2011-04-11,29.3,29.41,29.07,29.25,1160900.0,1.1695906432748533,-0.17064846416382495
2011-04-12,29.1,29.24,28.27,28.73,1278100.0,3.4311991510435047,-1.2714776632302438
2011-04-13,28.74,29.02,28.66,28.83,2766900.0,1.256106071179342,0.3131524008350726
