Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,77.25,78.0,76.75,78.0,758000.0,1.6286644951140066,0.9708737864077669
1990-01-03,77.88,77.88,76.62,76.88,811000.0,1.644479248238046,-1.2840267077555214
1990-01-04,76.88,77.0,75.5,76.5,490100.0,1.9867549668874174,-0.494276795005197
1990-01-05,76.5,77.25,75.75,75.88,519100.0,1.9801980198019802,-0.8104575163398752
1990-01-08,75.88,77.5,75.62,77.5,629000.0,2.4861147844485525,2.1349499209277867
1990-01-09,77.5,77.75,76.5,76.88,463700.0,1.6339869281045754,-0.8000000000000059
1990-01-10,76.88,77.0,75.62,76.38,554100.0,1.824914043903723,-0.6503642039542145
1990-01-11,76.38,77.12,76.12,76.38,380200.0,1.3137151865475565,0.0
1990-01-12,75.5,75.5,73.5,73.62,745700.0,2.7210884353741496,-2.490066225165557
1990-01-15,73.62,73.75,72.38,72.38,483800.0,1.8927880630008351,-1.6843249117087873
1990-01-16,72.38,73.0,71.25,73.0,958300.0,2.456140350877193,0.8565902182923522
1990-01-17,73.0,73.12,72.12,72.5,567300.0,1.386577925679423,-0.684931506849315
1990-01-18,72.5,72.62,71.5,72.12,848500.0,1.5664335664335727,-0.5241379310344765
1990-01-19,72.25,72.88,72.25,72.62,670500.0,0.8719723183390939,0.5121107266436049
1990-01-22,72.62,72.88,70.5,70.5,577300.0,3.3758865248226884,-2.919305976315071
1990-01-23,70.5,71.5,69.62,71.0,639000.0,2.700373455903469,0.7092198581560284
1990-01-24,70.88,70.88,68.62,70.62,960100.0,3.29350043719031,-0.3668171557561949
1990-01-25,70.62,70.88,68.12,68.75,704800.0,4.051673517322358,-2.6479750778816262
1990-01-26,68.75,69.12,66.25,67.5,641700.0,4.33207547169812,-1.8181818181818181
1990-01-29,67.5,68.5,66.75,68.25,429900.0,2.6217228464419478,1.1111111111111112
1990-01-30,68.0,68.0,65.25,66.25,1075300.0,4.21455938697318,-2.5735294117647056
1990-01-31,66.75,68.88,66.75,68.88,773900.0,3.191011235955049,3.191011235955049
1990-02-01,68.88,69.5,68.62,68.75,534300.0,1.2824249489944555,-0.18873403019743826
1990-02-02,68.75,70.38,68.62,69.38,565900.0,2.564849897988911,0.9163636363636297
1990-02-05,69.38,69.62,68.75,69.12,364900.0,1.265454545454552,-0.37474776592676695
1990-02-06,69.12,69.25,68.5,68.75,425400.0,1.094890510948905,-0.5353009259259325
1990-02-07,68.75,70.0,67.88,69.5,681700.0,3.123158515026524,1.090909090909091
1990-02-08,69.5,70.25,68.88,69.38,515200.0,1.9889663182346178,-0.17266187050360365
1990-02-09,69.38,69.88,69.0,69.0,398400.0,1.2753623188405732,-0.5477082732775951
1990-02-12,69.0,69.12,68.0,68.5,486100.0,1.6470588235294186,-0.7246376811594203
1990-02-13,68.5,68.62,66.88,67.0,671700.0,2.6016746411483394,-2.18978102189781
1990-02-14,67.0,67.75,67.0,67.12,427000.0,1.1194029850746268,0.1791044776119471
1990-02-15,67.12,69.5,66.88,69.5,762000.0,3.9174641148325433,3.5458879618593495
1990-02-16,69.5,70.0,68.5,68.5,1125200.0,2.18978102189781,-1.4388489208633095
1990-02-20,68.5,68.75,67.62,68.5,776700.0,1.671103223898248,0.0
1990-02-21,68.5,69.0,67.62,68.5,574100.0,2.0408163265306056,0.0
1990-02-22,68.5,69.62,67.75,67.75,561600.0,2.7601476014760213,-1.094890510948905
1990-02-23,67.75,68.75,67.5,68.0,481000.0,1.8518518518518516,0.36900369003690037
1990-02-26,68.12,69.38,68.12,69.25,732100.0,1.8496770405167218,1.65883734586024
1990-02-27,69.25,70.0,69.25,69.88,531600.0,1.083032490974729,0.909747292418766
