Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,34.75,36.38,34.5,36.25,620800.0,5.449275362318848,4.316546762589928
1990-01-03,36.25,37.62,36.25,37.12,626600.0,3.779310344827579,2.3999999999999932
1990-01-04,37.38,37.38,36.25,37.25,709300.0,3.117241379310352,-0.34777956126271414
1990-01-05,37.0,37.12,36.12,36.38,483200.0,2.7685492801771874,-1.6756756756756686
1990-01-08,36.12,36.75,36.12,36.38,221400.0,1.7441860465116352,0.7198228128460828
1990-01-09,36.5,36.75,35.88,35.88,218900.0,2.4247491638795915,-1.6986301369862944
1990-01-10,35.62,35.75,34.75,35.38,310000.0,2.877697841726619,-0.6737787759685426
1990-01-11,35.75,36.12,35.5,35.75,95300.0,1.7464788732394294,0.0
1990-01-12,35.12,35.12,34.25,34.25,210400.0,2.5401459854014523,-2.477220956719811
1990-01-15,34.25,34.62,33.88,34.62,325200.0,2.1841794569067146,1.0802919708029122
1990-01-16,34.38,34.62,34.12,34.5,331000.0,1.4654161781946073,0.3490401396160484
1990-01-17,34.38,34.75,34.12,34.62,380100.0,1.8464243845252126,0.6980802792320968
1990-01-18,34.25,34.62,33.88,34.5,302600.0,2.1841794569067146,0.7299270072992701
1990-01-19,34.62,35.5,34.62,35.25,438200.0,2.5418833044483033,1.819757365684583
1990-01-22,35.12,35.5,34.38,34.5,148600.0,3.257707969749847,-1.7653758542141156
1990-01-23,34.62,34.62,33.75,34.25,247700.0,2.57777777777777,-1.0687463893702989
1990-01-24,34.12,34.12,32.75,33.75,346900.0,4.183206106870221,-1.084407971864002
1990-01-25,34.0,34.0,33.0,33.0,215400.0,3.0303030303030303,-2.941176470588235
1990-01-26,32.88,33.25,32.0,33.0,369600.0,3.90625,0.3649635036496272
1990-01-29,33.0,33.0,31.75,32.5,190400.0,3.937007874015748,-1.5151515151515151
1990-01-30,32.62,32.75,31.12,31.12,370800.0,5.23778920308483,-4.598405885959524
1990-01-31,31.75,33.12,31.75,32.88,391500.0,4.314960629921251,3.5590551181102446
1990-02-01,33.12,34.62,32.5,34.38,516600.0,6.523076923076915,3.804347826086972
1990-02-02,34.0,34.5,34.0,34.38,274000.0,1.4705882352941175,1.117647058823537
1990-02-05,34.0,34.25,34.0,34.0,161000.0,0.7352941176470588,0.0
1990-02-06,33.75,33.88,33.5,33.5,276000.0,1.134328358208963,-0.7407407407407408
1990-02-07,33.25,34.5,33.0,34.38,236400.0,4.545454545454546,3.398496240601512
1990-02-08,34.5,35.88,34.5,35.62,366500.0,4.000000000000008,3.2463768115941956
1990-02-09,35.62,35.75,35.12,35.38,196500.0,1.7938496583143584,-0.6737787759685426
1990-02-12,35.0,35.5,34.38,35.5,215000.0,3.257707969749847,1.4285714285714286
1990-02-13,35.5,35.62,35.0,35.0,548800.0,1.771428571428564,-1.4084507042253522
1990-02-14,35.25,35.38,35.0,35.12,241000.0,1.085714285714293,-0.368794326241142
1990-02-15,34.75,35.88,34.62,35.88,616000.0,3.639514731369166,3.251798561151086
1990-02-16,35.88,35.88,35.12,35.25,427300.0,2.164009111617327,-1.7558528428093716
1990-02-20,35.0,35.12,34.0,34.38,397600.0,3.2941176470588163,-1.771428571428564
1990-02-21,33.5,34.75,33.5,34.5,489100.0,3.731343283582089,2.9850746268656714
1990-02-22,34.5,35.62,34.5,35.0,277300.0,3.2463768115941956,1.4492753623188406
1990-02-23,34.75,35.38,34.75,35.25,152200.0,1.8129496402877772,1.4388489208633095
1990-02-26,34.75,35.62,34.75,35.62,211000.0,2.5035971223021507,2.5035971223021507
1990-02-27,35.25,36.88,35.25,36.5,323900.0,4.624113475177312,3.546099290780142
1990-02-28,36.5,37.12,36.5,37.0,636700.0,1.6986301369862944,1.36986301369863
1990-03-01,36.88,37.25,36.62,36.62,385500.0,1.7203713817586088,-0.7049891540130291
1990-03-02,36.5,37.0,36.5,36.62,417700.0,1.36986301369863,0.3287671232876642
1990-03-05,36.62,37.12,36.62,37.0,379500.0,1.365374112506827,1.0376843255051955
1990-03-06,37.12,37.62,36.75,37.62,244300.0,2.367346938775503,1.3469827586206897
1990-03-07,37.88,38.5,37.75,38.0,384600.0,1.9867549668874174,0.31678986272438603
1990-03-08,38.38,39.88,38.38,39.75,938000.0,3.9082855653986446,3.5695674830640893
1990-03-09,39.25,40.38,38.88,39.38,820800.0,3.8580246913580245,0.331210191082809
1990-03-12,39.38,40.0,39.12,39.62,230300.0,2.249488752556244,0.6094464195022724
1990-03-13,39.38,39.75,38.75,39.25,331400.0,2.5806451612903225,-0.3301168105637444
1990-03-14,39.0,40.0,39.0,39.75,410600.0,2.564102564102564,1.9230769230769231
1990-03-15,39.75,40.0,39.62,39.88,213500.0,0.9591115598182801,0.3270440251572391
1990-03-16,40.0,40.75,39.88,40.75,577200.0,2.181544633901699,1.875
1990-03-19,40.25,41.62,40.0,41.38,363700.0,4.049999999999994,2.8074534161490745
1990-03-20,41.38,41.75,40.75,40.75,515900.0,2.4539877300613497,-1.5224746254229158
