Date,Open,High,Low,Close,Volume,HML,PCT
2010-04-28,22.25,22.25,21.7,22.0,5244400.0,2.5345622119815703,-1.1235955056179776
2010-04-29,22.0,23.25,21.9,23.0,8773600.0,6.1643835616438425,4.545454545454546
2010-04-30,22.95,23.0,22.25,22.3,1644400.0,3.3707865168539324,-2.832244008714591
2010-05-03,22.75,22.95,22.65,22.8,3302700.0,1.3245033112582814,0.2197802197802229
2010-05-04,22.8,22.8,21.5,21.5,2276500.0,6.04651162790698,-5.701754385964915
2010-05-05,22.0,22.0,20.0,20.59,6999200.0,10.0,-6.40909090909091
2010-05-06,20.5,20.55,18.45,19.45,8029400.0,11.38211382113822,-5.121951219512198
2010-05-07,19.5,19.55,17.9,18.6,3881500.0,9.21787709497208,-4.615384615384608
2010-05-10,19.75,19.85,18.7,19.01,3861100.0,6.149732620320867,-3.7468354430379667
2010-05-11,18.75,19.28,18.75,18.9,2626900.0,2.826666666666673,0.7999999999999924
2010-05-12,19.2,20.04,19.2,19.8,5714300.0,4.375,3.1250000000000075
2010-05-13,19.85,20.1,19.6,19.65,2475900.0,2.551020408163265,-1.0075566750629865
2010-05-14,19.3,19.4,18.75,18.75,3133400.0,3.466666666666659,-2.8497409326424905
2010-05-17,19.0,19.2,18.7,18.85,10117000.0,2.6737967914438503,-0.7894736842105189
2010-05-18,19.05,19.32,18.25,18.79,6219800.0,5.863013698630139,-1.3648293963254674
2010-05-19,18.9,18.93,17.55,17.7,6227700.0,7.8632478632478575,-6.349206349206346
2010-05-20,17.14,17.14,16.2,16.9,10248400.0,5.802469135802477,-1.4002333722287164
2010-05-21,16.35,17.12,16.25,16.55,4560800.0,5.35384615384616,1.2232415902140628
2010-05-24,16.7,17.15,16.68,16.9,1761300.0,2.8177458033573073,1.1976047904191574
2010-05-25,16.79,16.79,16.2,16.57,4649600.0,3.6419753086419746,-1.3103037522334655
2010-05-26,16.99,17.4,16.8,17.15,2079300.0,3.5714285714285587,0.9417304296645095
2010-05-27,17.65,18.0,17.65,17.9,3156100.0,1.9830028328611982,1.41643059490085
2010-05-28,17.9,17.9,16.25,17.77,222200.0,10.153846153846144,-0.7262569832402179
2010-06-01,17.65,17.8,17.2,17.5,900800.0,3.4883720930232642,-0.8498583569405018
2010-06-02,17.61,17.66,17.22,17.33,829900.0,2.555168408826953,-1.5900056785917156
2010-06-03,17.45,17.5,17.15,17.33,2173600.0,2.0408163265306207,-0.6876790830945616
2010-06-04,17.05,17.1,16.75,17.05,3147200.0,2.0895522388059784,0.0
2010-06-07,17.15,17.2,16.74,16.89,2826800.0,2.747909199522108,-1.516034985422729
2010-06-08,17.03,17.03,16.5,16.75,2037700.0,3.212121212121219,-1.6441573693482154
2010-06-09,16.79,17.1,16.7,16.79,1410200.0,2.3952095808383365,0.0
2010-06-10,16.97,17.07,16.85,16.97,1401000.0,1.3056379821958388,0.0
2010-06-11,16.94,17.19,16.94,17.14,452500.0,1.4757969303423848,1.1806375442739037
2010-06-14,17.19,17.58,17.19,17.49,1008500.0,2.2687609075043453,1.7452006980802626
2010-06-15,17.48,18.0,17.35,17.97,1974300.0,3.7463976945244872,2.803203661327222
2010-06-16,17.93,17.97,17.63,17.64,1041500.0,1.9285309132161081,-1.6174010039040665
2010-06-17,17.68,17.75,17.14,17.3,1090600.0,3.5589264877479545,-2.1493212669683204
2010-06-18,17.3299,17.35,17.15,17.21,1373700.0,1.1661807580175094,-0.6918678122781879
2010-06-21,17.45,17.53,17.09,17.1,514100.0,2.5746050321825704,-2.005730659025776
2010-06-22,17.09,17.1,16.8,16.84,1502900.0,1.7857142857142898,-1.462843768285547
2010-06-23,16.9,16.95,16.6,16.65,1125700.0,2.108433734939746,-1.4792899408284024
2010-06-24,16.69,16.92,16.35,16.8,2151600.0,3.4862385321100935,0.6590772917914884
