Date,Open,High,Low,Close,Volume,HML,PCT
1993-10-13,11.77,11.82,11.6,11.71,273805.0,1.8965517241379366,-0.5097706032285363
1993-10-14,11.63,11.63,11.25,11.41,401607.0,3.3777777777777844,-1.8916595012897732
1993-10-15,11.41,11.47,11.3,11.36,304321.0,1.5044247787610612,-0.4382120946538187
1993-10-18,11.36,11.63,11.36,11.58,509032.0,2.376760563380294,1.9366197183098648
1993-10-19,11.41,12.02,11.41,11.91,419907.0,5.346187554776507,4.382120946538125
1993-10-20,11.91,11.91,11.74,11.8,335579.0,1.448040885860306,-0.9235936188077198
1993-10-21,11.8,11.85,11.74,11.8,280828.0,0.9369676320272524,0.0
1993-10-22,11.8,11.8,11.41,11.41,398887.0,3.4180543382997417,-3.305084745762717
1993-10-25,11.3,11.36,11.25,11.25,585347.0,0.9777777777777727,-0.44247787610620093
1993-10-26,11.3,11.41,11.25,11.3,455962.0,1.4222222222222236,0.0
1993-10-27,11.3,11.58,11.3,11.58,244575.0,2.4778761061946843,2.4778761061946843
1993-10-28,11.58,11.8,11.47,11.69,698014.0,2.8770706190061035,0.9499136442141575
1993-10-29,11.69,11.69,11.47,11.52,520654.0,1.918047079337392,-1.4542343883661244
1993-11-01,11.41,11.69,11.41,11.69,224148.0,2.4539877300613444,2.4539877300613444
1993-11-02,11.63,11.63,11.47,11.52,195264.0,1.3949433304272025,-0.9458297506448943
1993-11-03,11.52,11.63,11.3,11.36,414664.0,2.920353982300885,-1.3888888888888902
1993-11-04,11.3,11.3,10.86,10.92,241063.0,4.05156537753224,-3.3628318584070866
1993-11-05,10.81,10.92,10.7,10.92,342899.0,2.0560747663551466,1.0175763182238615
1993-11-08,10.92,10.92,10.75,10.75,154757.0,1.5813953488372088,-1.5567765567765561
1993-11-09,10.86,10.97,10.75,10.81,219252.0,2.046511627906983,-0.46040515653774344
1993-11-10,10.86,11.3,10.86,11.19,437366.0,4.05156537753224,3.038674033149172
1993-11-11,11.08,11.14,10.97,11.08,318120.0,1.5496809480401088,0.0
1993-11-12,11.08,11.19,11.03,11.14,305459.0,1.4505893019038998,0.5415162454873691
1993-11-15,11.03,11.08,10.81,10.92,262874.0,2.4976873265494874,-0.9972801450589251
1993-11-16,10.86,10.92,10.75,10.86,150157.0,1.5813953488372088,0.0
1993-11-17,10.81,10.81,10.48,10.59,388550.0,3.1488549618320616,-2.0351526364477395
1993-11-18,10.59,10.59,10.32,10.37,513384.0,2.6162790697674376,-2.077431539187919
1993-11-19,10.37,10.37,10.21,10.32,322720.0,1.5670910871694255,-0.4821600771456021
1993-11-22,10.21,10.26,9.99,10.1,270095.0,2.702702702702698,-1.077375122429003
1993-11-23,10.1,10.64,10.04,10.43,523869.0,5.976095617529896,3.267326732673268
1993-11-24,10.48,10.59,10.43,10.43,427177.0,1.5340364333652938,-0.47709923664122816
1993-11-26,10.48,10.53,10.43,10.53,103814.0,0.9587727708533044,0.4770992366412112
1993-11-29,10.53,10.59,10.1,10.1,265990.0,4.851485148514854,-4.083570750237414
1993-11-30,10.15,10.64,10.1,10.64,238541.0,5.346534653465356,4.827586206896553
1993-12-01,10.92,11.14,10.7,10.97,340426.0,4.112149532710293,0.4578754578754644
1993-12-02,11.08,11.36,11.03,11.36,713396.0,2.9918404351767913,2.5270758122743624
1993-12-03,11.36,11.36,11.19,11.3,580104.0,1.5192135835567464,-0.5281690140844958
1993-12-06,11.19,11.19,10.86,10.92,299474.0,3.038674033149172,-2.412868632707771
1993-12-07,10.86,10.97,10.75,10.97,501910.0,2.046511627906983,1.0128913443830683
1993-12-08,11.47,11.85,11.47,11.8,1328863.0,3.3129904097645944,2.8770706190061035
1993-12-09,11.74,12.4,11.74,12.18,497211.0,5.621805792163545,3.7478705281090248
1993-12-10,12.07,12.18,11.85,12.18,746138.0,2.784810126582279,0.9113504556752231
1993-12-13,12.13,12.35,12.07,12.35,539696.0,2.3198011599005746,1.81368507831821
1993-12-14,12.35,12.56,12.29,12.56,486577.0,2.1969080553295472,1.700404858299602
1993-12-15,12.51,12.51,12.13,12.13,369706.0,3.132728771640552,-3.037569944044756
1993-12-16,12.18,12.35,12.18,12.24,259610.0,1.395730706075533,0.4926108374384277
1993-12-17,12.29,12.35,12.18,12.18,305557.0,1.395730706075533,-0.8950366151342509
1993-12-20,12.16,12.21,11.72,11.77,238788.0,4.180887372013654,-3.2072368421052677
1993-12-21,11.88,12.27,11.66,12.21,214207.0,5.231560891938245,2.777777777777778
1993-12-22,12.16,12.32,12.1,12.32,293935.0,1.8181818181818237,1.3157894736842117
1993-12-23,12.27,12.49,12.21,12.38,367381.0,2.2932022932022877,0.8964955175224223
1993-12-27,12.38,12.49,12.32,12.49,123252.0,1.3798701298701292,0.8885298869143734
1993-12-28,12.43,12.76,12.43,12.65,385681.0,2.6548672566371687,1.769911504424784
