Date,Open,High,Low,Close,Volume,HML,PCT
1992-04-01,15.0,15.75,15.0,15.38,1873644.0,5.0,2.5333333333333385
1992-04-02,15.38,15.75,15.25,15.25,195467.0,3.278688524590164,-0.8452535760728269
1992-04-03,15.25,15.5,15.25,15.25,553300.0,1.639344262295082,0.0
1992-04-06,15.25,15.5,15.25,15.25,389200.0,1.639344262295082,0.0
1992-04-07,15.25,15.75,15.25,15.25,220978.0,3.278688524590164,0.0
1992-04-08,15.25,15.25,14.5,14.5,221000.0,5.172413793103448,-4.918032786885246
1992-04-09,14.5,15.25,14.5,15.25,284800.0,5.172413793103448,5.172413793103448
1992-04-10,15.0,15.25,14.75,15.25,50800.0,3.389830508474576,1.6666666666666667
1992-04-13,15.0,15.25,15.0,15.12,17067.0,1.6666666666666667,0.7999999999999948
1992-04-14,15.0,15.5,15.0,15.5,116978.0,3.3333333333333335,3.3333333333333335
1992-04-15,15.25,15.75,15.25,15.75,220800.0,3.278688524590164,3.278688524590164
1992-04-16,15.25,16.25,15.25,15.75,116578.0,6.557377049180328,3.278688524590164
1992-04-20,15.75,16.25,15.75,15.75,15067.0,3.1746031746031744,0.0
1992-04-21,15.75,16.5,15.75,16.25,10044.0,4.761904761904762,3.1746031746031744
1992-04-22,15.75,16.75,15.75,16.75,142900.0,6.349206349206349,6.349206349206349
1992-04-23,16.0,16.75,16.0,16.25,32400.0,4.6875,1.5625
1992-04-24,16.25,16.25,16.0,16.13,37378.0,1.5625,-0.7384615384615446
1992-04-27,16.0,16.0,16.0,16.0,267.0,0.0,0.0
1992-04-28,16.0,16.25,16.0,16.0,23067.0,1.5625,0.0
1992-04-29,16.0,16.0,16.0,16.0,2444.0,0.0,0.0
1992-04-30,16.25,16.25,16.0,16.0,23600.0,1.5625,-1.5384615384615385
1992-05-01,16.13,16.75,16.0,16.0,17467.0,4.6875,-0.8059516429014199
1992-05-04,16.0,16.62,16.0,16.62,18400.0,3.875000000000006,3.875000000000006
1992-05-05,16.75,16.75,16.0,16.0,18444.0,4.6875,-4.477611940298507
1992-05-06,16.0,16.13,16.0,16.0,20267.0,0.8124999999999938,0.0
1992-05-07,16.0,16.75,16.0,16.13,110667.0,4.6875,0.8124999999999938
1992-05-08,16.0,16.0,16.0,16.0,400.0,0.0,0.0
1992-05-11,16.0,16.75,16.0,16.62,49600.0,4.6875,3.875000000000006
1992-05-12,16.75,16.75,16.38,16.5,10178.0,2.258852258852265,-1.4925373134328357
1992-05-13,16.38,16.5,16.38,16.5,15467.0,0.7326007326007388,0.7326007326007388
1992-05-14,16.75,17.0,16.25,16.25,4000.0,4.615384615384616,-2.9850746268656714
1992-05-15,17.0,17.0,16.25,16.25,21867.0,4.615384615384616,-4.411764705882353
1992-05-18,16.25,16.25,16.25,16.25,2000.0,0.0,0.0
1992-05-19,16.5,16.5,16.25,16.5,25244.0,1.5384615384615385,0.0
1992-05-20,16.25,16.25,16.25,16.25,267.0,0.0,0.0
1992-05-21,16.25,16.75,16.25,16.5,5600.0,3.076923076923077,1.5384615384615385
1992-05-22,16.25,16.5,16.13,16.5,4978.0,2.293862368257911,1.5384615384615385
1992-05-26,16.0,16.0,16.0,16.0,44.0,0.0,0.0
1992-05-27,16.5,16.5,16.13,16.13,33067.0,2.293862368257911,-2.2424242424242484
1992-05-28,16.0,16.25,16.0,16.0,13600.0,1.5625,0.0
1992-05-29,16.25,16.25,16.0,16.0,27600.0,1.5625,-1.5384615384615385
1992-06-01,16.0,16.0,15.5,15.5,19200.0,3.225806451612903,-3.125
1992-06-02,15.5,16.0,15.0,15.25,19467.0,6.666666666666667,-1.6129032258064515
1992-06-03,15.75,15.75,15.38,15.62,64000.0,2.4057217165149494,-0.8253968253968303
1992-06-04,15.5,15.62,15.5,15.62,50000.0,0.7741935483870918,0.7741935483870918
1992-06-05,15.62,15.62,15.62,15.62,0.0,0.0,0.0
1992-06-08,15.62,15.62,15.62,15.62,0.0,0.0,0.0
1992-06-09,15.0,15.0,14.75,14.75,13300.0,1.694915254237288,-1.6666666666666667
