Date,Open,High,Low,Close,Volume,HML,PCT
1994-02-17,25.5,25.88,24.5,24.63,4478600.0,5.632653061224486,-3.4117647058823564
1994-02-18,24.75,25.0,24.25,24.63,777900.0,3.0927835051546393,-0.48484848484848886
1994-02-22,24.25,24.5,24.0,24.38,361900.0,2.083333333333333,0.5360824742268
1994-02-23,24.38,24.5,23.25,23.25,284500.0,5.376344086021505,-4.6349466776045904
1994-02-24,23.13,23.25,22.75,23.0,494600.0,2.197802197802198,-0.5620406398616473
1994-02-25,23.0,23.88,23.0,23.75,102000.0,3.826086956521735,3.260869565217391
1994-02-28,23.88,24.0,23.75,23.88,115200.0,1.0526315789473684,0.0
1994-03-01,23.75,24.0,23.13,23.25,246600.0,3.761348897535673,-2.1052631578947367
1994-03-02,22.75,22.88,22.63,22.75,355900.0,1.104728236853734,0.0
1994-03-03,22.75,23.0,22.75,22.88,51500.0,1.098901098901099,0.5714285714285671
1994-03-04,23.0,23.38,22.75,23.13,145500.0,2.7692307692307647,0.5652173913043435
1994-03-07,23.13,23.25,23.0,23.0,102200.0,1.0869565217391304,-0.5620406398616473
1994-03-08,23.0,23.13,22.88,23.0,34700.0,1.0926573426573427,0.0
1994-03-09,23.13,23.13,22.88,22.88,101100.0,1.0926573426573427,-1.0808473843493298
1994-03-10,22.88,23.0,22.13,22.25,220400.0,3.931314957071853,-2.7534965034964993
1994-03-11,22.13,22.38,22.0,22.38,42100.0,1.7272727272727229,1.129688206055129
1994-03-14,22.25,22.5,22.13,22.25,11900.0,1.671938544961595,0.0
1994-03-15,22.75,23.0,22.5,22.75,128500.0,2.2222222222222223,0.0
1994-03-16,22.75,22.88,22.5,22.75,93800.0,1.6888888888888847,0.0
1994-03-17,22.88,22.88,22.5,22.63,43700.0,1.6888888888888847,-1.0926573426573427
1994-03-18,22.5,22.88,22.5,22.88,125000.0,1.6888888888888847,1.6888888888888847
1994-03-21,22.75,23.13,22.75,23.13,81100.0,1.670329670329666,1.670329670329666
1994-03-22,23.0,23.63,23.0,23.5,91800.0,2.7391304347826044,2.1739130434782608
1994-03-23,24.25,24.88,24.25,24.25,332700.0,2.597938144329893,0.0
1994-03-24,24.38,24.38,24.0,24.0,113300.0,1.5833333333333293,-1.5586546349466737
1994-03-25,24.0,24.25,24.0,24.0,54700.0,1.0416666666666665,0.0
1994-03-28,24.25,24.25,23.75,24.0,67900.0,2.1052631578947367,-1.0309278350515463
1994-03-29,23.88,24.0,22.5,22.5,174400.0,6.666666666666667,-5.778894472361805
1994-03-30,22.25,22.25,22.0,22.13,198000.0,1.1363636363636365,-0.5393258426966338
1994-03-31,22.25,22.38,21.5,22.0,201000.0,4.093023255813949,-1.1235955056179776
1994-04-04,21.63,21.63,21.0,21.5,206600.0,2.9999999999999956,-0.6010171058714703
1994-04-05,21.5,22.75,21.5,22.75,40500.0,5.813953488372093,5.813953488372093
1994-04-06,22.75,22.88,22.5,22.88,31700.0,1.6888888888888847,0.5714285714285671
1994-04-07,22.88,22.88,22.63,22.88,14500.0,1.104728236853734,0.0
1994-04-08,22.88,22.88,22.13,22.5,29900.0,3.3890646181653863,-1.6608391608391566
1994-04-11,22.75,22.75,22.25,22.63,28900.0,2.247191011235955,-0.5274725274725318
1994-04-12,22.5,22.5,22.0,22.13,56200.0,2.272727272727273,-1.6444444444444488
1994-04-13,22.25,22.38,21.25,21.75,48100.0,5.317647058823525,-2.247191011235955
1994-04-14,21.5,21.5,21.25,21.38,81800.0,1.1764705882352942,-0.5581395348837256
1994-04-15,21.38,21.38,21.25,21.38,23400.0,0.6117647058823483,0.0
1994-04-18,21.38,21.38,20.5,20.5,119100.0,4.292682926829264,-4.115996258185215
1994-04-19,20.5,20.5,20.0,20.13,23100.0,2.5,-1.8048780487804925
1994-04-20,20.13,20.13,19.5,19.75,72900.0,3.230769230769226,-1.8877297565822109
1994-04-21,19.63,19.88,19.5,19.75,67100.0,1.9487179487179436,0.6113092205807489
1994-04-22,19.5,19.75,19.5,19.75,8000.0,1.282051282051282,1.282051282051282
1994-04-25,19.5,19.63,18.25,19.63,130900.0,7.561643835616433,0.6666666666666616
1994-04-26,19.63,21.0,19.63,20.75,172800.0,6.979113601630163,5.70555272542028
1994-04-28,21.0,21.13,20.75,20.88,73900.0,1.8313253012048145,-0.5714285714285762
1994-04-29,21.0,23.0,21.0,23.0,166100.0,9.523809523809524,9.523809523809524
1994-05-02,22.75,23.75,22.63,23.75,87800.0,4.949182501104732,4.395604395604396
1994-05-03,23.5,23.75,23.25,23.38,55000.0,2.1505376344086025,-0.5106382978723446
1994-05-04,23.5,24.0,23.38,23.5,81500.0,2.651839178785291,0.0
1994-05-05,23.25,23.5,23.25,23.38,14200.0,1.0752688172043012,0.5591397849462323
1994-05-06,23.13,23.25,22.38,22.5,67900.0,3.8873994638069753,-2.723735408560307
1994-05-09,22.25,22.5,21.75,22.0,65200.0,3.4482758620689653,-1.1235955056179776
1994-05-10,22.0,22.0,21.75,21.88,18000.0,1.1494252873563218,-0.54545454545455
1994-05-11,21.88,21.88,21.38,21.38,24200.0,2.338634237605239,-2.2851919561243146
1994-05-12,21.5,21.5,21.25,21.25,18400.0,1.1764705882352942,-1.1627906976744187
1994-05-13,21.25,21.25,20.88,20.88,68700.0,1.7720306513410011,-1.74117647058824
1994-05-16,20.75,20.75,20.0,20.13,13800.0,3.75,-2.9879518072289204
1994-05-17,20.13,20.13,19.88,19.88,18300.0,1.2575452716297788,-1.2419274714356683
1994-05-18,19.88,19.88,19.5,19.75,40900.0,1.9487179487179436,-0.6539235412474799
1994-05-19,19.5,19.63,18.0,19.0,772400.0,9.05555555555555,-2.564102564102564
1994-05-20,18.88,20.0,18.88,19.88,58400.0,5.932203389830514,5.296610169491526
1994-05-23,20.0,20.25,20.0,20.13,12600.0,1.25,0.649999999999995
1994-05-24,20.25,20.25,19.88,20.0,92000.0,1.8611670020120776,-1.2345679012345678
1994-05-25,19.75,20.0,19.75,20.0,36600.0,1.2658227848101267,1.2658227848101267
1994-05-26,20.13,20.25,20.13,20.25,3700.0,0.5961251862891257,0.5961251862891257
1994-05-27,20.25,20.25,19.63,19.75,15800.0,3.1584309730005145,-2.4691358024691357
1994-05-31,19.5,19.5,19.38,19.38,3000.0,0.6191950464396336,-0.6153846153846205
1994-06-01,19.25,19.38,19.25,19.38,17900.0,0.6753246753246701,0.6753246753246701
1994-06-02,19.63,20.0,19.63,20.0,25300.0,1.8848700967906318,1.8848700967906318
1994-06-03,20.25,21.0,20.25,20.88,60300.0,3.7037037037037033,3.1111111111111063
1994-06-06,20.75,20.88,20.63,20.75,55400.0,1.211827435773146,0.0
1994-06-07,20.88,21.0,20.88,21.0,34300.0,0.5747126436781657,0.5747126436781657
1994-06-08,21.0,21.0,20.88,21.0,3600.0,0.5747126436781657,0.0
1994-06-09,21.0,21.0,20.88,20.88,3600.0,0.5747126436781657,-0.5714285714285762
1994-06-10,20.75,21.13,20.75,21.0,10600.0,1.8313253012048145,1.2048192771084338
1994-06-13,21.0,21.13,20.88,21.0,9200.0,1.1973180076628354,0.0
1994-06-14,21.0,21.0,20.25,20.5,51500.0,3.7037037037037033,-2.380952380952381
1994-06-15,21.25,21.63,21.25,21.63,63100.0,1.7882352941176423,1.7882352941176423
1994-06-16,21.75,21.75,21.63,21.75,11600.0,0.5547850208044429,0.0
1994-06-17,22.0,22.25,21.88,22.25,25400.0,1.6910420475319974,1.1363636363636365
