Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,79.38,80.62,79.12,80.5,374000.0,1.8958543983822043,1.4109347442680835
1990-01-03,80.62,81.88,80.5,81.38,657900.0,1.7142857142857084,0.9426941205656051
1990-01-04,80.88,83.0,80.88,82.0,634600.0,2.621167161226514,1.3847675568743876
1990-01-05,81.62,82.0,80.62,80.62,456400.0,1.7117340610270346,-1.2251899044351873
1990-01-08,80.5,82.88,80.5,82.75,541100.0,2.9565217391304293,2.7950310559006213
1990-01-09,82.62,84.0,82.5,82.75,576400.0,1.8181818181818181,0.15734688937302765
1990-01-10,83.25,83.25,81.5,82.25,543000.0,2.147239263803681,-1.2012012012012012
1990-01-11,82.88,83.75,82.62,83.0,337200.0,1.3677075768578981,0.1447876447876503
1990-01-12,81.5,82.25,80.25,80.25,433300.0,2.4922118380062304,-1.5337423312883436
1990-01-15,80.38,81.38,80.0,80.0,337700.0,1.7249999999999943,-0.4727544165215172
1990-01-16,79.5,81.25,79.25,81.0,608300.0,2.5236593059936907,1.8867924528301887
1990-01-17,81.12,82.0,80.5,81.12,414900.0,1.8633540372670807,0.0
1990-01-18,80.38,81.25,80.0,80.88,715000.0,1.5625,0.6220452848967406
1990-01-19,80.88,81.12,80.12,80.88,642700.0,1.2481278082875686,0.0
1990-01-22,80.88,80.88,78.0,78.12,314200.0,3.6923076923076863,-3.4124629080118583
1990-01-23,78.62,78.75,77.25,77.75,563500.0,1.9417475728155338,-1.106588654286447
1990-01-24,75.5,78.12,75.5,78.0,723800.0,3.470198675496695,3.3112582781456954
1990-01-25,78.25,78.38,75.38,76.12,386400.0,3.979835500132661,-2.722044728434499
1990-01-26,76.5,77.12,75.12,76.0,602300.0,2.662406815761448,-0.6535947712418301
1990-01-29,76.38,77.0,75.75,76.25,365400.0,1.65016501650165,-0.17020162346163323
1990-01-30,76.75,77.62,76.12,76.62,611900.0,1.9705727798213346,-0.16938110749185076
1990-01-31,77.0,78.12,77.0,78.12,430900.0,1.4545454545454604,1.4545454545454604
1990-02-01,78.12,78.12,77.62,77.88,328800.0,0.6441638752898737,-0.30721966205838336
1990-02-02,77.62,79.0,77.62,78.12,501800.0,1.7778922958000456,0.6441638752898737
1990-02-05,77.88,79.88,77.88,79.75,377700.0,2.568053415511043,2.401129943502831
1990-02-06,79.75,79.75,79.12,79.25,350100.0,0.79625884732052,-0.6269592476489028
1990-02-07,79.25,81.0,78.5,80.88,461500.0,3.1847133757961785,2.0567823343848524
1990-02-08,81.12,82.12,81.12,81.62,485100.0,1.2327416173570018,0.6163708086785009
1990-02-09,81.5,81.88,81.12,81.12,370400.0,0.9368836291913102,-0.46625766871165086
1990-02-12,81.0,81.12,80.0,80.5,314900.0,1.4000000000000057,-0.6172839506172839
1990-02-13,80.25,81.5,79.25,81.0,483900.0,2.8391167192429023,0.9345794392523363
1990-02-14,80.75,81.0,80.0,80.12,393500.0,1.25,-0.7801857585139262
1990-02-15,79.88,81.0,79.88,81.0,657600.0,1.402103154732104,1.402103154732104
1990-02-16,80.25,80.38,79.75,79.88,478100.0,0.7899686520376118,-0.4610591900311583
1990-02-20,79.12,79.25,78.12,78.25,338700.0,1.4464925755248277,-1.0995955510616842
1990-02-21,77.25,78.5,77.25,77.38,533200.0,1.6181229773462782,0.16828478964400706
1990-02-22,77.62,78.75,77.5,77.5,457900.0,1.6129032258064515,-0.15459933006957555
1990-02-23,76.88,78.5,76.88,77.75,304100.0,2.1071800208116604,1.1316337148803388
1990-02-26,78.25,78.62,78.0,78.62,316700.0,0.7948717948718006,0.47284345047923904
1990-02-27,78.62,80.38,78.5,79.88,666200.0,2.3949044585987203,1.6026456372424205
1990-02-28,79.75,80.75,79.75,80.12,484200.0,1.2539184952978055,0.46394984326019373
1990-03-01,80.25,81.38,79.88,80.5,334200.0,1.8778167250876314,0.3115264797507788
1990-03-02,80.62,81.5,80.25,81.38,415000.0,1.557632398753894,0.9426941205656051
1990-03-05,81.12,81.75,80.38,80.5,298700.0,1.7044040806170748,-0.7642998027613468
1990-03-06,80.5,82.12,80.5,81.88,354100.0,2.012422360248453,1.7142857142857084
1990-03-07,81.88,82.25,81.25,81.25,493200.0,1.2307692307692308,-0.7694186614557835
1990-03-08,81.75,82.75,81.62,82.62,295700.0,1.3844645920117562,1.0642201834862441
1990-03-09,81.88,82.5,81.0,81.38,365600.0,1.8518518518518516,-0.6106497313141183
1990-03-12,81.12,82.12,81.12,81.88,277900.0,1.2327416173570018,0.9368836291913102
1990-03-13,81.75,82.12,81.38,81.88,267700.0,0.9093143278446906,0.15902140672782317
1990-03-14,81.88,82.0,81.12,81.62,272200.0,1.084812623274156,-0.31753786028333036
1990-03-15,81.88,81.88,81.12,81.5,237600.0,0.9368836291913102,-0.4640937957987243
1990-03-16,81.88,83.38,81.38,83.25,1208900.0,2.457606291472106,1.6731802638006894
1990-03-19,82.25,83.38,82.25,83.12,651500.0,1.3738601823708152,1.057750759878425
1990-03-20,84.0,84.88,83.75,84.62,983200.0,1.3492537313432782,0.7380952380952435
1990-03-21,84.5,84.88,84.25,84.25,426100.0,0.7477744807121608,-0.2958579881656805
1990-03-22,84.0,84.0,82.12,83.0,502800.0,2.289332683877247,-1.1904761904761905
1990-03-23,83.38,83.62,83.12,83.25,249200.0,0.6015399422521656,-0.15591268889421378
1990-03-26,83.88,84.12,83.62,83.75,222900.0,0.597943075819182,-0.15498330948974184
1990-03-27,83.38,85.25,83.25,84.62,423200.0,2.4024024024024024,1.4871671863756406
1990-03-28,85.0,85.0,83.0,83.62,454900.0,2.4096385542168677,-1.6235294117647003
1990-03-29,82.25,83.0,81.75,82.38,701800.0,1.529051987767584,0.15805471124619508
1990-03-30,82.12,82.38,80.88,81.38,522600.0,1.85459940652819,-0.9011203117389297
1990-04-02,81.12,81.88,80.75,81.5,256300.0,1.3993808049535548,0.4684418145956551
1990-04-03,81.75,82.5,81.62,82.25,262700.0,1.0781671159029593,0.6116207951070336
1990-04-04,82.62,82.88,81.0,81.5,455800.0,2.320987654320982,-1.3556039699830604
1990-04-05,81.38,82.5,81.38,81.75,285400.0,1.3762595232243853,0.4546571639223453
1990-04-06,82.0,82.38,81.38,82.12,238100.0,1.228803145736053,0.1463414634146397
1990-04-09,82.0,82.38,81.75,81.88,226800.0,0.7706422018348569,-0.1463414634146397
1990-04-10,82.0,82.38,81.75,82.38,216100.0,0.7706422018348569,0.4634146341463359
1990-04-11,82.38,82.62,82.0,82.25,206500.0,0.7560975609756153,-0.15780529254672912
1990-04-12,82.38,83.25,82.38,83.12,202200.0,1.0560815731973836,0.8982762806506543
1990-04-16,84.0,84.38,83.0,83.25,334800.0,1.6626506024096332,-0.8928571428571428
1990-04-17,83.25,83.5,83.12,83.25,239200.0,0.4571703561116403,0.0
1990-04-18,83.5,83.62,82.38,82.5,317000.0,1.5052197135227108,-1.1976047904191618
1990-04-19,82.12,82.75,81.88,82.12,406900.0,1.0625305324865715,0.0
1990-04-20,82.5,82.5,81.5,81.88,620100.0,1.2269938650306749,-0.751515151515157
1990-04-23,81.38,81.5,80.25,80.5,510600.0,1.557632398753894,-1.0813467682477211
1990-04-24,80.88,81.0,79.38,79.38,504500.0,2.040816326530618,-1.85459940652819
1990-04-25,79.62,80.25,79.38,79.75,342600.0,1.0959939531368161,0.16327555890479206
1990-04-26,80.0,80.0,79.25,79.5,425900.0,0.9463722397476341,-0.625
1990-04-27,79.62,79.75,78.38,78.5,480200.0,1.7478948711406028,-1.4066817382567252
1990-04-30,78.25,79.62,78.25,79.38,416400.0,1.7507987220447343,1.4440894568690037
1990-05-01,79.75,79.75,78.88,79.25,382200.0,1.102941176470594,-0.6269592476489028
1990-05-02,79.12,79.38,78.62,79.0,505800.0,0.9666751462732014,-0.15166835187058206
1990-05-03,79.25,79.62,78.75,79.0,501400.0,1.1047619047619104,-0.31545741324921134
1990-05-04,79.12,79.38,78.5,78.88,326500.0,1.121019108280249,-0.3033367037411641
1990-05-07,79.0,80.38,78.88,80.0,398800.0,1.9016227180527385,1.2658227848101267
1990-05-08,80.0,81.0,79.75,81.0,359100.0,1.5673981191222568,1.25
1990-05-09,81.0,82.25,80.88,81.88,434100.0,1.6938674579624193,1.0864197530864141
1990-05-10,81.88,81.88,80.88,81.25,557500.0,1.2363996043521266,-0.7694186614557835
1990-05-11,81.75,83.38,81.5,83.0,818100.0,2.3067484662576634,1.529051987767584
1990-05-14,83.25,84.38,83.12,83.75,546000.0,1.515880654475446,0.6006006006006006
1990-05-15,83.25,83.88,83.25,83.38,330700.0,0.7567567567567512,0.1561561561561507
1990-05-16,83.62,84.0,83.12,83.62,293200.0,1.0587102983638057,0.0
1990-05-17,83.62,84.38,82.38,82.88,594100.0,2.4277737314882253,-0.8849557522124001
1990-05-18,82.88,83.0,82.25,82.5,749800.0,0.911854103343465,-0.4584942084942031
1990-05-21,81.62,82.25,81.0,82.0,578000.0,1.5432098765432098,0.46557216368536564
1990-05-22,82.5,83.0,82.12,82.88,596700.0,1.0716025328787084,0.46060606060605513
1990-05-23,82.88,82.88,82.0,82.75,261100.0,1.0731707317073116,-0.15685328185327638
1990-05-24,82.5,82.75,81.5,82.25,1408500.0,1.5337423312883436,-0.30303030303030304
1990-05-25,82.0,83.0,82.0,82.38,311800.0,1.2195121951219512,0.4634146341463359
1990-05-29,82.38,83.0,82.38,83.0,399100.0,0.7526098567613554,0.7526098567613554
1990-05-30,83.38,83.62,81.88,82.62,749400.0,2.125061064973143,-0.911489565843117
1990-05-31,82.75,82.75,82.12,82.62,499600.0,0.7671699951290738,-0.15709969788519088
1990-06-01,82.75,83.5,82.62,83.25,490000.0,1.0651174049866805,0.6042296072507553
1990-06-04,83.12,85.38,82.5,85.0,548600.0,3.4909090909090854,2.261790182868137
1990-06-05,85.12,85.5,84.5,84.75,485700.0,1.183431952662722,-0.4346804511278249
1990-06-06,84.5,84.75,83.75,84.0,398600.0,1.1940298507462688,-0.591715976331361
1990-06-07,84.5,84.62,83.75,84.0,479600.0,1.0388059701492591,-0.591715976331361
1990-06-08,84.38,84.75,82.88,82.88,246500.0,2.256274131274137,-1.7776724342261199
1990-06-11,82.62,83.62,82.62,83.12,290200.0,1.2103606874848705,0.6051803437424352
1990-06-12,83.5,85.5,83.12,85.12,519600.0,2.8633301251203025,1.9401197604790472
1990-06-13,85.0,86.25,84.75,85.75,733900.0,1.7699115044247788,0.8823529411764706
1990-06-14,85.88,87.5,85.88,87.12,632800.0,1.8863530507685196,1.4438751746623302
1990-06-15,87.0,87.62,86.12,87.62,1382000.0,1.741755689735253,0.7126436781609248
1990-06-18,87.5,87.5,86.38,86.38,261800.0,1.2965964343598109,-1.2800000000000054
1990-06-19,86.12,86.75,86.0,86.25,585400.0,0.872093023255814,0.15095215977704998
1990-06-20,86.38,86.5,84.88,85.5,285400.0,1.9085768143261128,-1.0187543412826991
1990-06-21,85.75,86.0,85.25,85.88,362300.0,0.8797653958944283,0.15160349854226876
1990-06-22,86.25,86.38,84.5,85.0,430700.0,2.2248520710059116,-1.4492753623188406
1990-06-25,85.0,85.12,84.25,84.5,253800.0,1.0326409495549016,-0.5882352941176471
1990-06-26,85.62,85.62,84.5,84.62,368700.0,1.325443786982254,-1.1679514132212099
1990-06-27,84.62,86.0,84.62,85.25,330600.0,1.6308201370834263,0.744504845190257
1990-06-28,85.75,86.25,85.62,85.88,438000.0,0.735809390329357,0.15160349854226876
1990-06-29,86.12,86.88,86.0,86.62,362100.0,1.023255813953483,0.5805852299117511
1990-07-02,87.0,87.5,86.62,87.25,362200.0,1.015931655506806,0.28735632183908044
1990-07-03,87.62,88.12,87.25,87.62,434300.0,0.9971346704871111,0.0
1990-07-05,87.38,87.5,86.75,86.75,245300.0,0.8645533141210375,-0.7209887846189008
1990-07-06,86.25,88.0,86.25,87.5,293900.0,2.0289855072463765,1.4492753623188406
1990-07-09,87.75,88.75,87.75,88.38,432000.0,1.1396011396011396,0.7179487179487127
1990-07-10,88.62,89.25,88.25,88.75,402000.0,1.13314447592068,0.14669374858947806
1990-07-11,89.0,89.5,88.75,89.5,321000.0,0.8450704225352111,0.5617977528089888
1990-07-12,89.5,90.25,89.25,90.0,553900.0,1.1204481792717087,0.5586592178770949
1990-07-13,90.12,90.75,89.62,90.25,569400.0,1.260879268020526,0.14425210830003932
1990-07-16,90.25,90.25,89.62,89.88,303400.0,0.702968087480468,-0.4099722991689801
1990-07-17,90.0,90.25,89.5,90.25,381200.0,0.8379888268156425,0.2777777777777778
1990-07-18,89.75,90.0,89.38,89.75,438300.0,0.693667487133592,0.0
1990-07-19,89.75,90.0,89.5,90.0,447700.0,0.5586592178770949,0.2785515320334262
1990-07-20,90.0,90.75,89.62,89.75,849700.0,1.260879268020526,-0.2777777777777778
1990-07-23,89.62,89.62,87.5,89.0,646300.0,2.422857142857148,-0.691809863869677
1990-07-24,89.12,90.25,88.5,90.25,557400.0,1.977401129943503,1.2679533213644474
1990-07-25,90.25,91.38,89.88,90.88,362100.0,1.668891855807744,0.6980609418282498
1990-07-26,90.75,90.88,90.0,90.75,454700.0,0.9777777777777727,0.0
1990-07-27,90.5,90.62,89.62,89.75,310100.0,1.115822361080116,-0.8287292817679558
1990-07-30,88.5,90.38,88.38,90.12,447300.0,2.2629554197782302,1.8305084745762763
1990-07-31,90.5,91.12,90.0,90.38,403600.0,1.2444444444444496,-0.13259668508287795
1990-08-01,90.5,91.25,90.0,91.0,308400.0,1.3888888888888888,0.5524861878453038
1990-08-02,90.0,90.0,88.5,89.0,694400.0,1.694915254237288,-1.1111111111111112
1990-08-03,88.75,88.75,83.5,86.12,1114900.0,6.287425149700598,-2.9633802816901356
1990-08-06,82.0,83.12,81.75,81.88,883100.0,1.6758409785932775,-0.1463414634146397
1990-08-07,83.12,83.5,82.12,83.0,739100.0,1.680467608377978,-0.1443695861405252
1990-08-08,83.25,84.5,83.12,84.0,346700.0,1.6602502406159716,0.9009009009009009
1990-08-09,83.88,84.38,83.5,83.88,334100.0,1.0538922155688568,0.0
1990-08-10,83.88,84.12,82.62,83.25,304800.0,1.8155410312273055,-0.7510729613733852
1990-08-13,82.75,84.0,82.25,83.75,321700.0,2.127659574468085,1.2084592145015105
1990-08-14,83.5,84.62,83.38,83.88,277200.0,1.4871671863756406,0.45508982035927603
1990-08-15,84.5,85.12,84.12,84.88,537000.0,1.1887779362815025,0.44970414201182896
1990-08-16,84.25,84.62,83.0,83.0,390100.0,1.9518072289156683,-1.483679525222552
1990-08-17,82.5,82.5,81.0,82.38,1389400.0,1.8518518518518516,-0.14545454545455097
1990-08-20,81.5,82.12,81.0,81.75,370300.0,1.3827160493827217,0.3067484662576687
1990-08-21,81.0,82.12,79.25,81.25,736500.0,3.621451104100952,0.30864197530864196
1990-08-22,80.88,81.25,79.12,79.12,483300.0,2.6921132457027244,-2.1760633036597317
1990-08-23,77.5,78.5,77.25,77.5,678100.0,1.6181229773462782,0.0
1990-08-24,78.0,78.62,77.38,78.12,539900.0,1.6024812613078434,0.15384615384615968
1990-08-27,80.0,81.0,78.88,79.25,460800.0,2.687626774847876,-0.9375
1990-08-28,79.38,79.62,78.75,79.25,301600.0,1.1047619047619104,-0.1637692113882533
1990-08-29,79.25,80.75,79.0,79.88,328200.0,2.2151898734177213,0.7949526813880069
1990-08-30,79.62,79.75,78.12,78.5,250200.0,2.0865335381464356,-1.4066817382567252
1990-08-31,78.5,79.25,78.0,78.75,179300.0,1.6025641025641024,0.3184713375796179
1990-09-04,78.25,78.25,77.38,78.0,361900.0,1.1243215301111458,-0.3194888178913738
1990-09-05,77.62,78.88,76.75,78.75,382800.0,2.7752442996742612,1.4558103581551087
1990-09-06,78.75,78.75,77.25,78.0,289600.0,1.9417475728155338,-0.9523809523809524
1990-09-07,77.5,78.75,77.5,78.0,260100.0,1.6129032258064515,0.6451612903225806
1990-09-10,79.5,79.5,77.75,78.25,262600.0,2.2508038585209005,-1.5723270440251573
1990-09-11,78.5,78.75,77.62,78.25,200900.0,1.4558103581551087,-0.3184713375796179
1990-09-12,78.12,78.62,77.75,78.62,295000.0,1.1189710610932535,0.6400409626216077
1990-09-13,78.38,78.62,77.25,77.5,276400.0,1.7734627831715268,-1.1227353916815457
1990-09-14,77.38,77.5,77.0,77.12,242300.0,0.6493506493506493,-0.3360041354355013
1990-09-17,76.88,78.5,76.75,78.12,364300.0,2.2801302931596092,1.6129032258064637
1990-09-18,77.38,79.0,77.12,79.0,401400.0,2.437759336099579,2.0935642284828178
1990-09-19,79.38,80.25,78.62,79.5,381200.0,2.073263800559648,0.15117157974301404
1990-09-20,79.12,79.12,77.62,77.88,306000.0,1.9324916258696212,-1.5672396359959668
