Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,77.25,78.63,76.62,78.63,1185400.0,2.6233359436178425,1.7864077669902854
1990-01-03,79.0,80.0,79.0,79.88,1265700.0,1.2658227848101267,1.1139240506329058
1990-01-04,79.88,80.0,77.88,78.63,756800.0,2.7221366204417112,-1.5648472709063597
1990-01-05,78.38,79.62,77.0,77.0,1071800.0,3.4025974025974084,-1.7606532278642455
1990-01-08,77.0,78.38,76.88,78.0,700600.0,1.9510926118626433,1.2987012987012987
1990-01-09,78.0,78.5,77.37,77.37,587500.0,1.4605144112705124,-0.8076923076923018
1990-01-10,77.0,77.88,76.0,76.38,997900.0,2.4736842105263097,-0.805194805194811
1990-01-11,77.0,77.62,76.75,77.0,582200.0,1.1335504885993544,0.0
1990-01-12,75.5,76.12,74.88,75.12,1215300.0,1.655982905982918,-0.5033112582781397
1990-01-15,74.75,75.12,73.25,73.25,1404300.0,2.552901023890791,-2.0066889632107023
1990-01-16,72.0,73.25,70.88,73.12,1853700.0,3.343679458239284,1.555555555555562
1990-01-17,73.25,73.75,72.0,72.0,1333400.0,2.430555555555556,-1.7064846416382253
1990-01-18,72.0,73.0,71.62,73.0,1089400.0,1.9268360793074497,1.3888888888888888
1990-01-19,74.0,74.0,73.5,73.5,869200.0,0.6802721088435374,-0.6756756756756757
1990-01-22,73.5,73.62,70.5,70.88,801300.0,4.425531914893623,-3.5646258503401427
1990-01-23,71.25,72.63,70.88,71.88,1280600.0,2.468961625282167,0.8842105263157831
1990-01-24,70.0,73.38,69.75,72.63,1494900.0,5.204301075268811,3.7571428571428505
1990-01-25,73.12,73.5,71.0,71.25,742500.0,3.5211267605633805,-2.5574398249453014
1990-01-26,71.37,72.38,70.0,72.0,716600.0,3.3999999999999932,0.8827238335434991
1990-01-29,72.0,72.87,71.0,72.12,466000.0,2.633802816901415,0.16666666666667299
1990-01-30,72.12,72.38,70.5,71.62,767400.0,2.6666666666666603,-0.6932889628397115
1990-01-31,72.12,72.25,71.5,72.25,919600.0,1.048951048951049,0.1802551303383187
1990-02-01,72.75,72.75,72.0,72.0,617300.0,1.0416666666666665,-1.0309278350515463
1990-02-02,71.88,73.38,71.75,72.5,447900.0,2.271777003484314,0.8625486922648923
1990-02-05,72.63,72.75,71.88,72.0,562000.0,1.2103505843071851,-0.8674101610904523
1990-02-06,72.0,72.12,70.62,70.62,686000.0,2.1240441801189465,-1.9166666666666603
1990-02-07,71.0,72.87,70.62,72.75,675600.0,3.18606627017842,2.464788732394366
1990-02-08,72.75,73.12,72.38,72.75,678900.0,1.022381873445716,0.0
1990-02-09,72.75,73.12,72.38,72.87,627400.0,1.022381873445716,0.16494845360825366
1990-02-12,72.63,72.87,72.12,72.12,332400.0,1.0399334442595674,-0.7021891780255968
1990-02-13,72.12,72.25,71.0,71.25,640100.0,1.7605633802816902,-1.2063227953411044
1990-02-14,71.25,71.62,71.0,71.25,463100.0,0.8732394366197247,0.0
1990-02-15,71.25,72.75,71.13,72.75,379400.0,2.277520033741044,2.1052631578947367
