Date,Open,High,Low,Close,Volume,HML,PCT
1997-11-14,14.06,15.25,14.06,14.88,2233500.0,8.463726884779513,5.832147937411097
1997-11-17,15.75,15.75,15.0,15.25,515000.0,5.0,-3.1746031746031744
1997-11-18,15.44,15.5,15.0,15.0,257300.0,3.3333333333333335,-2.849740932642484
1997-11-19,15.0,15.62,14.75,15.62,270100.0,5.898305084745757,4.133333333333328
1997-11-20,15.5,16.38,15.5,16.38,185500.0,5.677419354838703,5.677419354838703
1997-11-21,16.62,17.5,16.25,17.12,133100.0,7.6923076923076925,3.0084235860409145
1997-11-24,16.62,17.12,16.38,17.0,160200.0,4.51770451770453,2.2864019253910888
1997-11-25,17.25,18.06,17.19,17.75,384800.0,5.061082024432794,2.898550724637681
1997-11-26,17.5,17.94,17.5,17.94,72500.0,2.514285714285722,2.514285714285722
1997-11-28,17.81,18.0,17.81,17.88,24800.0,1.0668163952835559,0.3930376193149932
1997-12-01,17.75,18.0,17.75,17.81,90200.0,1.4084507042253522,0.3380281690140773
1997-12-02,18.0,18.0,17.75,17.81,194200.0,1.4084507042253522,-1.0555555555555627
1997-12-03,17.69,17.88,17.69,17.88,77600.0,1.0740531373657305,1.0740531373657305
1997-12-04,17.75,17.94,17.69,17.69,79500.0,1.4132278123233466,-0.3380281690140773
1997-12-05,17.94,18.12,17.69,18.12,120300.0,2.430751837196154,1.0033444816053494
1997-12-08,18.38,18.38,17.88,18.12,56700.0,2.796420581655481,-1.4145810663764853
1997-12-09,18.06,18.75,17.88,18.5,170000.0,4.865771812080543,2.436323366555932
1997-12-10,18.5,18.5,17.81,18.06,28000.0,3.87422796181921,-2.378378378378385
1997-12-11,18.12,18.25,17.75,18.06,19500.0,2.8169014084507045,-0.33112582781458205
1997-12-12,17.75,18.0,17.62,17.75,89600.0,2.1566401816117993,0.0
1997-12-15,17.94,18.62,17.75,18.12,186100.0,4.901408450704231,1.0033444816053494
1997-12-16,18.12,18.12,17.31,18.06,89700.0,4.679376083188921,-0.33112582781458205
1997-12-17,18.06,18.38,18.0,18.25,84900.0,2.111111111111106,1.0520487264673382
1997-12-18,18.0,18.44,17.88,18.44,20000.0,3.1319910514541514,2.4444444444444513
1997-12-19,18.31,18.44,17.88,18.25,49600.0,3.1319910514541514,-0.3276897870016315
1997-12-22,18.5,18.5,18.12,18.12,7400.0,2.0971302428256013,-2.0540540540540486
1997-12-23,18.38,18.38,17.62,17.62,169900.0,4.3132803632235985,-4.13492927094667
1997-12-24,17.5,17.62,17.5,17.56,32600.0,0.6857142857142914,0.34285714285713553
1997-12-26,17.56,17.69,17.56,17.56,600.0,0.7403189066059371,0.0
1997-12-29,17.62,17.62,17.38,17.5,49200.0,1.3808975834292405,-0.6810442678774177
1997-12-30,17.5,17.5,17.25,17.25,46700.0,1.4492753623188406,-1.4285714285714286
1997-12-31,17.38,17.38,17.0,17.25,87500.0,2.235294117647053,-0.74798619102416
1998-01-02,17.38,17.38,16.88,17.0,131200.0,2.962085308056872,-2.18642117376294
1998-01-05,17.12,17.12,16.62,16.75,67800.0,3.0084235860409145,-2.161214953271034
