Date,Open,High,Low,Close,Volume,HML,PCT
2013-01-18,25.1,25.49,24.16,24.79,17761800.0,5.504966887417211,-1.2350597609561844
2013-01-22,25.0,27.355,24.85,26.95,2072000.0,10.080482897384302,7.799999999999997
2013-01-23,28.0,28.86,26.491,27.49,1572200.0,8.942659771243063,-1.821428571428577
2013-01-24,27.17,27.9,26.64,27.345,508700.0,4.729729729729723,0.6440927493558967
2013-01-25,27.5,27.9,26.275,27.35,870700.0,6.1845861084681255,-0.5454545454545403
2013-01-28,27.88,27.88,26.941,27.76,172200.0,3.4853940091310647,-0.4304160688665619
2013-01-29,27.9,27.964,27.0,27.11,437400.0,3.5703703703703655,-2.83154121863799
2013-01-30,26.69,27.225,26.17,26.29,816400.0,4.03133358807795,-1.4986886474335037
2013-01-31,26.02,26.92,25.75,26.37,970400.0,4.543689320388356,1.3451191391237565
2013-02-01,26.47,27.8,26.18,27.65,1099300.0,6.187929717341486,4.457876841707593
2013-02-04,27.71,29.08,27.6036,28.41,952100.0,5.348577721746432,2.526163839769034
2013-02-05,28.96,28.96,27.9701,28.54,447200.0,3.5391364349787886,-1.4502762430939284
2013-02-06,28.1,28.7404,27.8,27.98,377200.0,3.3827338129496414,-0.42704626334519924
2013-02-07,27.93,28.0899,27.43,27.55,276300.0,2.405760116660592,-1.3605442176870712
2013-02-08,27.6,28.31,27.32,27.91,380200.0,3.623718887262074,1.1231884057970967
2013-02-11,27.78,27.84,27.425,27.68,576900.0,1.5132178669097507,-0.3599712023038208
2013-02-12,28.91,29.5,28.24,28.32,1876800.0,4.461756373937683,-2.040816326530612
2013-02-13,28.81,29.54,28.29,28.92,772500.0,4.418522446094026,0.3818118708781777
2013-02-14,28.82,29.4,28.6,29.25,431900.0,2.7972027972027873,1.4920194309507278
2013-02-15,29.48,30.41,29.48,30.27,1418700.0,3.1546811397557653,2.6797829036634977
2013-02-19,30.47,31.33,30.445,31.188,497800.0,2.906881261290846,2.3564161470298655
2013-02-20,31.19,31.905,30.56,30.8,612700.0,4.401178010471212,-1.2504007694773984
2013-02-21,30.54,31.0,29.76,30.47,481400.0,4.166666666666661,-0.2292075965946309
2013-02-22,30.95,31.31,29.464,29.99,571200.0,6.265272875373337,-3.101777059773832
2013-02-25,31.34,31.41,30.18,30.78,471700.0,4.07554671968191,-1.7868538608806595
2013-02-26,30.81,31.08,29.79,30.21,418300.0,4.330312185297077,-1.9474196689386496
2013-02-27,30.56,30.6999,29.83,30.26,294400.0,2.9161917532685258,-0.9816753926701479
2013-02-28,30.55,31.08,30.03,30.98,234900.0,3.496503496503487,1.4075286415711938
2013-03-01,30.5,31.68,30.26,30.99,688200.0,4.6926635822868406,1.6065573770491755
2013-03-04,30.55,31.25,30.26,30.45,274400.0,3.271645736946459,-0.3273322422258639
2013-03-05,30.12,30.74,29.85,30.03,366000.0,2.981574539363474,-0.29880478087649354
2013-03-06,30.19,30.395,29.85,30.02,153100.0,1.8257956448911161,-0.563100364359065
2013-03-07,29.85,30.42,29.85,30.29,306800.0,1.9095477386934683,1.4740368509212654
2013-03-08,30.98,30.98,29.12,30.3,679300.0,6.387362637362635,-2.1949644932214323
2013-03-11,30.5,30.69,29.99,30.66,316000.0,2.3341113704568284,0.5245901639344267
2013-03-12,30.33,31.0,30.33,30.85,770700.0,2.2090339597758053,1.7144741180349594
2013-03-13,30.93,31.0,30.48,30.78,321600.0,1.7060367454068228,-0.4849660523763291
2013-03-14,30.73,30.9599,29.885,29.995,785500.0,3.5967876861301638,-2.3917995444191322
2013-03-15,29.6,30.09,29.55,29.82,798700.0,1.8274111675126874,0.7432432432432394
2013-03-18,29.8,30.62,29.62,30.29,389600.0,3.3760972316002698,1.6442953020134174
2013-03-19,30.29,30.69,29.78,30.26,133500.0,3.055742108797851,-0.0990425883129666
2013-03-20,30.354,30.99,30.25,30.502,162900.0,2.4462809917355317,0.4875798906239695
2013-03-21,30.39,30.75,29.93,30.03,96900.0,2.739726027397261,-1.1846001974333644
2013-03-22,30.03,30.26,29.91,30.18,112800.0,1.1701771982614557,0.49950049950049474
2013-03-25,30.14,30.16,29.31,29.48,563200.0,2.9000341180484526,-2.1897810218978107
2013-03-26,29.93,30.0,29.02,29.54,410900.0,3.376981392143351,-1.3030404276645524
2013-03-27,29.41,30.33,29.26,30.15,215400.0,3.6568694463431193,2.5161509690581383
2013-03-28,30.01,30.44,29.43,29.65,2345700.0,3.431872239211694,-1.1996001332889135
2013-04-01,29.79,29.95,29.34,29.93,640100.0,2.0790729379686415,0.4699563611950338
2013-04-02,29.98,30.54,29.18,29.92,639000.0,4.660726525017133,-0.20013342228151673
2013-04-03,29.82,30.39,28.57,29.19,1083700.0,6.370318515925797,-2.1126760563380245
2013-04-04,29.1,29.36,28.5101,29.27,442000.0,2.9810488212949027,0.5841924398625365
2013-04-05,29.02,29.39,28.59,29.3,334700.0,2.798181182231552,0.9648518263266752
2013-04-08,29.41,30.16,29.12,29.99,246200.0,3.5714285714285685,1.97211832709962
2013-04-09,30.15,30.37,29.45,30.34,250200.0,3.1239388794567122,0.6301824212272016
2013-04-10,30.46,30.947,29.8,30.53,265800.0,3.8489932885905986,0.2298095863427455
2013-04-11,30.33,30.87,30.06,30.64,112700.0,2.6946107784431215,1.0220903395977654
2013-04-12,30.51,30.85,29.76,30.5,115100.0,3.66263440860215,-0.03277613897083436
2013-04-15,30.41,30.52,29.94,30.07,144300.0,1.9372077488309893,-1.1180532719500158
2013-04-16,30.18,30.4799,29.0,30.0,452000.0,5.103103448275864,-0.5964214711729613
2013-04-17,29.95,29.95,29.21,29.55,224300.0,2.5333789798014323,-1.3355592654423993
2013-04-18,29.65,29.85,29.33,29.34,175900.0,1.7729287419024995,-1.0455311973018508
2013-04-19,29.52,29.52,28.86,29.43,118400.0,2.2869022869022873,-0.30487804878048735
2013-04-22,29.42,29.71,29.01,29.38,210800.0,2.41296104791451,-0.13596193065942452
2013-04-23,29.51,29.79,29.15,29.34,137100.0,2.1955403087478578,-0.5760759064723879
2013-04-24,29.4,29.4,28.75,28.9,197100.0,2.2608695652173867,-1.7006802721088436
2013-04-25,29.59,30.37,29.1,30.06,1192700.0,4.364261168384878,1.5883744508279785
2013-04-26,30.45,30.45,29.58,30.39,209200.0,2.9411764705882386,-0.19704433497536528
2013-04-29,30.5,30.52,30.1601,30.36,381700.0,1.19329843070812,-0.4590163934426248
2013-04-30,30.33,31.07,29.51,31.01,429700.0,5.286343612334797,2.2420046158918674
2013-05-01,31.36,31.37,30.46,31.09,408700.0,2.98752462245568,-0.8609693877551008
2013-05-02,31.15,31.8,30.596,31.36,214900.0,3.935154922212056,0.6741573033707893
2013-05-03,31.39,32.0,31.3,31.53,150700.0,2.2364217252396146,0.4460019114367651
2013-05-06,31.66,32.315,30.48,31.82,866000.0,6.020341207349072,0.5053695514845236
