Date,Open,High,Low,Close,Volume,HML,PCT
1993-11-12,18.0,18.5,18.0,18.12,763800.0,2.7777777777777777,0.6666666666666722
1993-11-15,18.12,18.38,18.12,18.12,249600.0,1.434878587196457,0.0
1993-11-16,18.12,18.25,17.5,17.5,180700.0,4.285714285714286,-3.4216335540838902
1993-11-17,17.62,17.88,17.62,17.62,81400.0,1.4755959137343815,0.0
1993-11-18,17.62,17.62,17.5,17.62,56900.0,0.6857142857142914,0.0
1993-11-19,17.5,17.5,16.5,16.5,146100.0,6.0606060606060606,-5.714285714285714
1993-11-22,16.75,17.25,16.75,17.12,36500.0,2.9850746268656714,2.208955223880603
1993-11-23,17.12,17.25,16.88,17.0,31100.0,2.1919431279620913,-0.7009345794392582
1993-11-24,17.25,17.62,17.0,17.5,34300.0,3.647058823529418,1.4492753623188406
1993-11-26,17.25,17.25,17.25,17.25,50700.0,0.0,0.0
1993-11-29,17.25,17.38,16.38,16.5,65900.0,6.1050061050061055,-4.3478260869565215
1993-11-30,16.5,16.75,16.38,16.38,16000.0,2.258852258852265,-0.7272727272727333
1993-12-01,16.5,16.5,16.38,16.5,13800.0,0.7326007326007388,0.0
1993-12-02,16.62,16.62,16.5,16.62,6200.0,0.7272727272727333,0.0
1993-12-03,17.0,17.0,16.25,16.38,27600.0,4.615384615384616,-3.647058823529418
1993-12-06,16.25,16.25,15.75,16.0,54200.0,3.1746031746031744,-1.5384615384615385
1993-12-07,16.12,16.25,16.0,16.25,20500.0,1.5625,0.8064516129032195
1993-12-08,16.38,16.5,16.38,16.38,9600.0,0.7326007326007388,0.0
1993-12-09,16.5,17.0,16.5,16.88,16400.0,3.0303030303030303,2.303030303030297
1993-12-10,16.88,17.0,16.88,16.88,24700.0,0.7109004739336553,0.0
1993-12-13,16.75,17.0,16.62,16.62,8500.0,2.2864019253910888,-0.7761194029850687
1993-12-14,16.62,16.75,16.38,16.38,25500.0,2.258852258852265,-1.4440433212996509
1993-12-15,16.5,16.75,16.5,16.62,28200.0,1.5151515151515151,0.7272727272727333
1993-12-16,16.75,16.88,16.75,16.75,17700.0,0.7761194029850687,0.0
1993-12-17,16.62,16.88,16.5,16.62,9000.0,2.303030303030297,0.0
1993-12-20,16.5,16.75,16.5,16.62,23900.0,1.5151515151515151,0.7272727272727333
1993-12-21,16.75,17.12,16.75,17.0,91300.0,2.208955223880603,1.4925373134328357
1993-12-22,17.0,17.12,17.0,17.0,1700.0,0.7058823529411823,0.0
1993-12-23,17.0,17.12,17.0,17.12,5900.0,0.7058823529411823,0.7058823529411823
1993-12-27,17.0,17.25,17.0,17.12,11800.0,1.4705882352941175,0.7058823529411823
1993-12-28,17.12,17.12,17.0,17.0,6100.0,0.7058823529411823,-0.7009345794392582
1993-12-29,17.25,17.62,17.12,17.5,16400.0,2.9205607476635516,1.4492753623188406
1993-12-30,17.62,17.75,17.38,17.5,28300.0,2.1288837744534006,-0.6810442678774177
1993-12-31,17.5,17.62,17.38,17.62,12400.0,1.3808975834292405,0.6857142857142914
1994-01-03,17.38,17.5,17.38,17.5,24800.0,0.6904487917146203,0.6904487917146203
1994-01-04,17.5,17.5,17.38,17.38,18800.0,0.6904487917146203,-0.6857142857142914
1994-01-05,17.62,18.5,17.62,18.12,174800.0,4.994324631101016,2.837684449489217
1994-01-06,18.12,19.25,18.12,19.0,53400.0,6.236203090507721,4.856512141280348
1994-01-07,19.0,19.12,18.88,18.88,49700.0,1.2711864406779767,-0.6315789473684263
1994-01-10,19.12,19.38,19.0,19.38,14800.0,1.999999999999995,1.359832635983253
1994-01-11,19.25,19.62,19.12,19.12,49700.0,2.615062761506276,-0.6753246753246701
1994-01-12,19.0,19.0,18.62,18.88,39800.0,2.040816326530607,-0.6315789473684263
1994-01-13,18.88,19.0,18.75,19.0,20700.0,1.3333333333333335,0.6355932203389884
1994-01-14,19.12,19.12,19.0,19.0,33100.0,0.6315789473684263,-0.6276150627615115
1994-01-17,19.0,19.25,19.0,19.25,26200.0,1.3157894736842104,1.3157894736842104
1994-01-18,19.25,19.5,19.25,19.38,14000.0,1.2987012987012987,0.6753246753246701
1994-01-19,19.5,19.62,19.5,19.62,62800.0,0.6153846153846205,0.6153846153846205
1994-01-20,19.75,19.88,19.75,19.88,23900.0,0.6582278481012608,0.6582278481012608
1994-01-21,19.88,20.12,19.88,20.12,17100.0,1.2072434607645974,1.2072434607645974
1994-01-24,20.0,20.0,19.88,19.88,73700.0,0.6036217303822987,-0.600000000000005
1994-01-25,19.75,20.25,19.75,20.0,25200.0,2.5316455696202533,1.2658227848101267
1994-01-26,20.25,20.25,20.0,20.0,2700.0,1.25,-1.2345679012345678
1994-01-27,20.25,20.25,19.75,19.75,12900.0,2.5316455696202533,-2.4691358024691357
1994-01-28,19.88,20.0,19.62,20.0,34700.0,1.9367991845056012,0.6036217303822987
1994-01-31,20.12,21.0,20.0,21.0,32200.0,5.0,4.373757455268384
1994-02-01,20.88,20.88,20.62,20.62,2700.0,1.2609117361784579,-1.2452107279693392
1994-02-02,20.62,21.5,20.62,21.5,37300.0,4.267701260911731,4.267701260911731
1994-02-03,21.38,22.25,21.38,22.25,28800.0,4.06922357343312,4.06922357343312
1994-02-04,22.0,22.12,21.25,21.25,92100.0,4.094117647058828,-3.4090909090909087
1994-02-07,21.25,22.25,21.25,22.25,19500.0,4.705882352941177,4.705882352941177
1994-02-08,22.62,23.0,22.5,23.0,34500.0,2.2222222222222223,1.679929266136158
1994-02-09,23.25,23.25,22.75,23.12,18500.0,2.197802197802198,-0.5591397849462323
1994-02-10,23.0,23.0,23.0,23.0,13600.0,0.0,0.0
1994-02-11,22.75,23.0,22.75,22.88,38500.0,1.098901098901099,0.5714285714285671
1994-02-14,23.0,23.0,22.88,22.88,25600.0,0.5244755244755288,-0.5217391304347869
1994-02-15,22.75,23.0,22.75,23.0,12200.0,1.098901098901099,1.098901098901099
1994-02-16,23.12,23.12,22.62,22.75,65400.0,2.210433244916003,-1.60034602076125
1994-02-17,22.75,22.75,22.12,22.12,29700.0,2.84810126582278,-2.7692307692307647
1994-02-18,22.12,22.12,21.88,21.88,2800.0,1.0968921389396802,-1.084990958408689
1994-02-22,21.88,21.88,21.25,21.38,10400.0,2.964705882352937,-2.2851919561243146
1994-02-23,21.25,21.5,21.25,21.5,3100.0,1.1764705882352942,1.1764705882352942
1994-02-24,21.5,21.5,21.25,21.25,4100.0,1.1764705882352942,-1.1627906976744187
1994-02-25,21.25,21.25,20.88,21.0,9300.0,1.7720306513410011,-1.1764705882352942
1994-02-28,21.25,21.88,21.25,21.88,57100.0,2.964705882352937,2.964705882352937
1994-03-01,22.0,22.25,21.75,22.25,22400.0,2.2988505747126435,1.1363636363636365
1994-03-02,22.0,22.0,21.88,22.0,23100.0,0.5484460694698401,0.0
1994-03-03,21.88,22.25,21.75,22.25,8800.0,2.2988505747126435,1.6910420475319974
1994-03-04,22.38,22.5,22.38,22.5,2000.0,0.5361930294906211,0.5361930294906211
1994-03-07,22.25,22.88,22.25,22.88,46100.0,2.8314606741572987,2.8314606741572987
1994-03-08,23.0,23.88,23.0,23.88,25200.0,3.826086956521735,3.826086956521735
1994-03-09,23.75,23.75,23.5,23.5,3900.0,1.0638297872340425,-1.0526315789473684
1994-03-10,23.38,23.38,23.25,23.25,800.0,0.5591397849462323,-0.5560307955517494
1994-03-11,23.0,23.0,22.5,22.5,6900.0,2.2222222222222223,-2.1739130434782608
1994-03-14,22.5,22.62,22.25,22.5,17000.0,1.6629213483146115,0.0
1994-03-15,22.5,23.0,22.5,23.0,17200.0,2.2222222222222223,2.2222222222222223
1994-03-16,22.88,22.88,22.62,22.75,102700.0,1.1494252873563129,-0.5681818181818139
1994-03-17,23.0,23.12,22.88,23.12,14300.0,1.0489510489510576,0.5217391304347869
1994-03-18,23.5,24.0,23.5,24.0,9700.0,2.127659574468085,2.127659574468085
1994-03-21,24.12,24.62,23.75,24.62,24700.0,3.663157894736847,2.0729684908789388
1994-03-22,24.75,24.75,24.5,24.75,10300.0,1.0204081632653061,0.0
1994-03-23,24.62,24.62,24.38,24.5,1600.0,0.9844134536505413,-0.487408610885463
1994-03-24,24.38,24.38,24.25,24.25,2200.0,0.5360824742268,-0.5332239540607014
1994-03-25,24.25,24.62,24.25,24.62,7800.0,1.5257731958762926,1.5257731958762926
1994-03-28,24.75,24.75,24.12,24.12,6900.0,2.6119402985074585,-2.5454545454545414
1994-03-29,24.0,24.0,23.75,23.88,7600.0,1.0526315789473684,-0.5000000000000042
