Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,60.0,61.25,59.88,61.25,20400.0,2.287909151636602,2.083333333333333
1990-01-03,61.0,62.25,61.0,62.25,26400.0,2.0491803278688523,2.0491803278688523
1990-01-04,62.38,62.5,62.0,62.12,39400.0,0.8064516129032258,-0.4168002564924737
1990-01-05,62.25,62.25,61.25,61.62,18600.0,1.6326530612244898,-1.0120481927710885
1990-01-08,61.5,63.0,61.38,62.88,8600.0,2.63929618768328,2.2439024390243945
1990-01-09,62.88,63.12,60.75,60.75,22400.0,3.90123456790123,-3.387404580152676
1990-01-10,60.5,60.75,60.0,60.62,11800.0,1.25,0.1983471074380123
1990-01-11,60.62,60.75,60.0,60.5,16400.0,1.25,-0.19795447047178727
1990-01-12,60.25,60.25,59.0,59.25,34300.0,2.11864406779661,-1.6597510373443984
1990-01-15,58.75,58.75,57.75,57.75,32300.0,1.7316017316017316,-1.702127659574468
1990-01-16,57.25,57.38,56.75,57.38,33300.0,1.110132158590313,0.2270742358078647
1990-01-17,57.5,57.5,56.75,56.88,69200.0,1.3215859030837005,-1.078260869565213
1990-01-18,56.75,56.75,55.38,55.88,23500.0,2.473817262549652,-1.533039647577088
1990-01-19,55.88,56.12,54.75,54.75,53900.0,2.5022831050228267,-2.022190408017184
1990-01-22,54.88,54.88,52.0,52.0,32500.0,5.538461538461544,-5.247813411078721
1990-01-23,51.88,53.0,50.38,52.12,71500.0,5.200476379515676,0.4626060138781705
1990-01-24,51.5,51.5,50.5,51.25,27500.0,1.9801980198019802,-0.48543689320388345
1990-01-25,51.38,52.75,50.0,50.25,49300.0,5.5,-2.1992993382639208
1990-01-26,50.25,50.88,48.62,50.12,33700.0,4.648292883587012,-0.25870646766169664
1990-01-29,50.25,50.25,49.0,49.62,16000.0,2.5510204081632653,-1.2537313432835873
1990-01-30,49.5,49.5,48.25,48.62,33400.0,2.5906735751295336,-1.777777777777783
1990-01-31,48.75,51.25,48.62,51.0,32900.0,5.409296585767179,4.615384615384616
1990-02-01,51.0,51.25,50.62,51.0,14100.0,1.244567364677998,0.0
1990-02-02,50.62,52.5,50.38,52.0,37600.0,4.208019055180622,2.726195179770847
1990-02-05,52.0,52.0,51.25,51.75,12700.0,1.4634146341463417,-0.4807692307692308
1990-02-06,51.5,51.5,50.5,50.75,13000.0,1.9801980198019802,-1.4563106796116505
1990-02-07,50.5,51.88,50.25,51.5,31000.0,3.2437810945273684,1.9801980198019802
1990-02-08,51.5,51.88,50.75,50.75,169300.0,2.22660098522168,-1.4563106796116505
1990-02-09,50.88,52.0,50.75,51.75,71200.0,2.4630541871921183,1.7099056603773533
1990-02-12,51.5,51.75,50.75,51.0,24700.0,1.9704433497536946,-0.9708737864077669
1990-02-13,50.75,50.88,50.5,50.62,13200.0,0.7524752475247576,-0.25615763546798537
1990-02-14,50.5,50.88,50.5,50.75,23200.0,0.7524752475247576,0.49504950495049505
1990-02-15,50.5,50.88,50.5,50.88,13000.0,0.7524752475247576,0.7524752475247576
1990-02-16,50.88,50.88,50.38,50.38,20300.0,0.9924573243350535,-0.9827044025157232
1990-02-20,50.25,50.25,48.25,48.75,17600.0,4.145077720207254,-2.9850746268656714
1990-02-21,48.88,50.12,48.5,50.12,26300.0,3.340206185567005,2.5368248772503987
1990-02-22,50.0,50.12,49.25,49.25,9300.0,1.7664974619289286,-1.5
1990-02-23,49.38,49.38,48.75,48.75,16400.0,1.2923076923076977,-1.275820170109361
1990-02-26,49.0,50.5,48.75,50.5,15300.0,3.5897435897435894,3.061224489795918
1990-02-27,50.5,53.38,50.5,53.38,92700.0,5.702970297029708,5.702970297029708
1990-02-28,53.62,55.25,53.62,55.0,171300.0,3.0399104811637496,2.5736665423349545
1990-03-01,54.88,57.0,54.5,57.0,80000.0,4.587155963302752,3.8629737609329395
1990-03-02,56.75,59.0,56.75,58.88,40300.0,3.9647577092511015,3.7533039647577136
