Date,Open,High,Low,Close,Volume,HML,PCT
2013-06-19,15.21,16.03,14.96,15.53,7717000.0,7.1524064171123,2.10387902695594
2013-06-20,16.25,16.3,15.36,15.44,1874600.0,6.119791666666676,-4.984615384615387
2013-06-21,15.98,15.98,15.46,15.8,635300.0,3.3635187580853785,-1.1264080100125138
2013-06-24,15.79,15.79,15.19,15.52,758300.0,3.949967083607634,-1.709943001899934
2013-06-25,15.5,15.67,15.35,15.66,564400.0,2.08469055374593,1.03225806451613
2013-06-26,15.54,15.55,15.31,15.47,901000.0,1.5676028739386036,-0.4504504504504409
2013-06-27,14.78,15.74,14.659,15.37,3258000.0,7.374309298042155,3.9918809201623806
2013-06-28,15.29,15.68,15.25,15.38,1793700.0,2.8196721311475392,0.5886200130804555
2013-07-01,15.48,15.5,14.84,14.87,4343500.0,4.447439353099732,-3.9405684754522037
2013-07-02,14.68,15.19,14.67,14.99,8682500.0,3.5446489434219464,2.1117166212534095
2013-07-03,14.84,15.12,14.84,14.97,2265100.0,1.8867924528301845,0.8760107816711642
2013-07-05,14.96,15.94,14.96,15.61,3470900.0,6.550802139037423,4.344919786096247
2013-07-08,15.83,16.08,15.55,16.02,4010700.0,3.408360128617348,1.200252684775739
2013-07-09,15.81,16.02,15.665,15.73,3656200.0,2.2661985317587003,-0.5060088551549656
2013-07-10,15.5,15.6,15.22,15.45,3010500.0,2.496714848883042,-0.3225806451612949
2013-07-11,15.8,15.8,15.06,15.21,3630300.0,4.913678618857903,-3.7341772151898724
2013-07-12,15.0,15.18,14.97,14.99,3042300.0,1.4028056112224387,-0.06666666666666525
2013-07-15,15.0,15.08,14.52,14.8,5331400.0,3.8567493112947693,-1.3333333333333286
2013-07-16,14.71,15.47,14.7,15.39,2711100.0,5.238095238095247,4.6227056424201205
2013-07-17,15.28,16.12,15.28,16.02,3737700.0,5.497382198952891,4.842931937172777
2013-07-18,16.04,16.25,15.46,15.6,2827900.0,5.10996119016817,-2.743142144638401
2013-07-19,15.37,16.26,15.37,16.12,3735400.0,5.790500975927147,4.87963565387119
2013-07-22,16.15,16.26,15.751,15.9,2159200.0,3.231540854548931,-1.5479876160990602
2013-07-23,15.85,16.05,15.71,15.85,2104900.0,2.1642266072565235,0.0
2013-07-24,15.79,16.05,15.62,15.92,2205100.0,2.752880921895016,0.8233058898036781
2013-07-25,15.91,16.045,15.64,15.76,2097300.0,2.5895140664961707,-0.9428032683846659
2013-07-26,15.76,16.16,15.5,16.09,937600.0,4.258064516129033,2.093908629441625
2013-07-29,15.98,16.069,15.61,15.71,3495600.0,2.9404228058936557,-1.6896120150187706
2013-07-30,15.73,16.18,15.67,16.14,3438100.0,3.2546266751754933,2.6064844246662435
2013-07-31,16.09,16.37,16.04,16.09,2392800.0,2.057356608478815,0.0
2013-08-01,16.11,16.42,16.09,16.39,1951600.0,2.0509633312616646,1.7380509000620805
2013-08-02,16.29,16.64,16.25,16.5,2042800.0,2.4000000000000035,1.2891344383057144
2013-08-05,16.41,16.48,16.08,16.21,1127500.0,2.48756218905474,-1.2187690432662968
2013-08-06,16.13,16.45,16.03,16.39,1335300.0,2.62008733624453,1.6119032858028615
2013-08-07,16.24,16.3,16.04,16.16,1239800.0,1.6209476309227029,-0.49261083743841316
2013-08-08,16.32,16.51,16.15,16.38,2109500.0,2.229102167182681,0.36764705882352156
2013-08-09,16.41,16.41,16.22,16.24,1370900.0,1.1713933415536455,-1.0359536867763661
2013-08-12,16.1,16.3,15.975,16.11,1917600.0,2.034428794992182,0.062111801242223666
2013-08-13,16.23,16.23,16.0,16.05,1643600.0,1.4375000000000027,-1.1090573012938985
2013-08-14,16.0,16.21,15.87,16.18,2029000.0,2.1424070573409053,1.1249999999999982
2013-08-15,16.06,16.3901,15.935,16.32,1351600.0,2.855977408220896,1.6189290161893002
2013-08-16,16.26,16.45,16.16,16.19,2144700.0,1.7945544554455393,-0.43050430504305215
2013-08-19,16.21,16.22,15.875,15.89,610700.0,2.173228346456686,-1.9740900678593478
2013-08-20,15.91,15.98,15.716,15.88,993300.0,1.679816747263942,-0.18856065367692873
2013-08-21,15.83,16.0,15.7,15.94,1948100.0,1.9108280254777117,0.6948831332912156
2013-08-22,15.99,16.03,15.82,15.88,1611600.0,1.3274336283185895,-0.6879299562226356
2013-08-23,15.84,16.02,15.77,15.92,1676500.0,1.5852885225110973,0.5050505050505055
2013-08-26,15.94,16.13,15.94,16.06,1095300.0,1.1919698870765338,0.7528230865746501
2013-08-27,15.98,16.2,15.93,15.94,3848700.0,1.6949152542372854,-0.25031289111389815
2013-08-28,15.97,16.02,15.89,15.97,7235800.0,0.8181246066708558,0.0
2013-08-29,15.98,16.085,15.83,15.96,797500.0,1.610865445356922,-0.12515644555694352
2013-08-30,15.91,15.97,15.7601,15.84,1583300.0,1.3318443410892131,-0.43997485857951146
2013-09-03,16.02,16.2,15.88,16.0,584400.0,2.0151133501259353,-0.1248439450686615
2013-09-04,15.9,16.28,15.9,16.21,2037400.0,2.389937106918244,1.949685534591198
2013-09-05,16.2,16.44,16.07,16.39,1912100.0,2.3024268823895517,1.1728395061728474
2013-09-06,16.43,16.49,16.23,16.34,1655900.0,1.6019716574245102,-0.5477784540474733
2013-09-09,16.33,16.5,16.3,16.49,772900.0,1.2269938650306704,0.9797917942437242
2013-09-10,16.53,16.72,16.41,16.72,846300.0,1.8890920170627588,1.149425287356308
