Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,42.25,43.0,42.0,43.0,51388.0,2.380952380952381,1.7751479289940828
1990-01-03,43.25,44.25,42.5,43.25,85689.0,4.117647058823529,0.0
1990-01-04,43.0,43.25,42.5,42.5,43881.0,1.7647058823529411,-1.1627906976744187
1990-01-05,42.5,43.0,40.75,41.25,39477.0,5.521472392638037,-2.941176470588235
1990-01-08,40.75,41.5,40.75,41.5,14281.0,1.8404907975460123,1.8404907975460123
1990-01-09,41.5,42.0,41.25,41.25,34400.0,1.8181818181818181,-0.6024096385542169
1990-01-10,41.5,41.75,40.75,40.75,57600.0,2.4539877300613497,-1.8072289156626504
1990-01-11,41.25,41.5,40.75,41.0,133600.0,1.8404907975460123,-0.6060606060606061
1990-01-12,40.5,40.75,39.75,40.5,85195.0,2.515723270440252,0.0
1990-01-15,40.0,40.0,39.0,39.5,95388.0,2.564102564102564,-1.25
1990-01-16,39.5,41.5,39.25,41.25,30400.0,5.7324840764331215,4.430379746835443
1990-01-17,41.5,41.75,41.0,41.5,30489.0,1.8292682926829267,0.0
1990-01-18,40.75,41.5,40.75,41.25,62084.0,1.8404907975460123,1.2269938650306749
1990-01-19,42.0,42.0,41.25,41.25,38588.0,1.8181818181818181,-1.7857142857142856
1990-01-22,41.25,41.5,39.25,39.5,99477.0,5.7324840764331215,-4.242424242424243
1990-01-23,39.75,39.75,38.25,38.75,42084.0,3.9215686274509802,-2.515723270440252
1990-01-24,37.75,38.75,37.0,38.25,98489.0,4.72972972972973,1.3245033112582782
1990-01-25,39.0,39.5,38.75,39.25,46489.0,1.935483870967742,0.641025641025641
1990-01-26,39.25,39.5,38.75,38.75,29995.0,1.935483870967742,-1.2738853503184715
1990-01-29,39.5,40.0,38.0,38.5,183595.0,5.263157894736842,-2.5316455696202533
1990-01-30,38.0,38.75,38.0,38.0,24089.0,1.9736842105263157,0.0
1990-01-31,38.0,38.25,38.0,38.25,40000.0,0.6578947368421052,0.6578947368421052
1990-02-01,38.5,38.5,37.75,37.87,47595.0,1.9867549668874174,-1.6363636363636431
1990-02-02,38.0,38.75,38.0,38.5,40484.0,1.9736842105263157,1.3157894736842104
1990-02-05,38.75,40.25,38.75,40.12,36988.0,3.870967741935484,3.535483870967735
1990-02-06,39.5,40.25,39.25,39.75,39793.0,2.547770700636943,0.6329113924050633
1990-02-07,39.25,40.5,39.25,40.25,92889.0,3.1847133757961785,2.547770700636943
1990-02-08,40.25,40.25,38.75,39.0,56889.0,3.870967741935484,-3.1055900621118013
1990-02-09,39.25,39.25,38.5,39.25,82400.0,1.948051948051948,0.0
1990-02-12,39.25,39.25,38.75,38.75,13195.0,1.2903225806451613,-1.2738853503184715
1990-02-13,39.25,39.25,38.75,39.0,28681.0,1.2903225806451613,-0.6369426751592357
1990-02-14,38.75,39.5,38.75,39.5,39289.0,1.935483870967742,1.935483870967742
1990-02-15,39.0,39.5,39.0,39.0,17284.0,1.282051282051282,0.0
1990-02-16,39.0,40.25,39.0,40.0,40277.0,3.205128205128205,2.564102564102564
1990-02-20,39.5,40.0,39.25,39.25,74489.0,1.910828025477707,-0.6329113924050633
1990-02-21,39.25,40.0,39.25,40.0,89877.0,1.910828025477707,1.910828025477707
1990-02-22,39.5,40.0,39.25,39.25,16395.0,1.910828025477707,-0.6329113924050633
1990-02-23,38.75,39.25,38.75,38.75,60277.0,1.2903225806451613,0.0
1990-02-26,39.25,40.25,38.75,40.12,23081.0,3.870967741935484,2.216560509554134
1990-02-27,40.5,41.25,40.25,41.13,81195.0,2.484472049689441,1.555555555555562
1990-02-28,41.25,42.75,40.75,42.75,142400.0,4.9079754601226995,3.6363636363636362
1990-03-01,42.0,43.0,42.0,43.0,49995.0,2.380952380952381,2.380952380952381
1990-03-02,42.5,43.75,42.5,43.5,151289.0,2.941176470588235,2.3529411764705883
1990-03-05,43.25,43.87,43.25,43.25,54588.0,1.4335260115606878,0.0
1990-03-06,43.75,43.75,43.25,43.75,64395.0,1.1560693641618496,0.0
1990-03-07,43.25,43.75,43.0,43.25,46677.0,1.744186046511628,0.0
1990-03-08,43.0,43.75,43.0,43.75,16484.0,1.744186046511628,1.744186046511628
1990-03-09,43.25,43.75,43.25,43.75,26993.0,1.1560693641618496,1.1560693641618496
