Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,10.88,11.0,10.88,11.0,10400.0,1.102941176470581,1.102941176470581
1990-01-03,11.0,11.12,11.0,11.12,14900.0,1.090909090909084,1.090909090909084
1990-01-04,11.0,11.12,10.75,11.12,23600.0,3.441860465116272,1.090909090909084
1990-01-05,11.0,11.12,10.88,11.0,4900.0,2.205882352941162,0.0
1990-01-08,11.0,11.38,11.0,11.38,15000.0,3.4545454545454617,3.4545454545454617
1990-01-09,11.38,11.38,11.25,11.38,8100.0,1.1555555555555626,0.0
1990-01-10,11.38,11.38,11.12,11.12,11400.0,2.338129496402892,-2.284710017574706
1990-01-11,11.25,11.25,11.12,11.25,4300.0,1.169064748201446,0.0
1990-01-12,11.12,11.12,11.0,11.0,19400.0,1.090909090909084,-1.079136690647475
1990-01-15,11.0,11.12,10.88,11.0,6000.0,2.205882352941162,0.0
1990-01-16,11.0,11.0,10.88,11.0,13200.0,1.102941176470581,0.0
1990-01-17,11.0,11.12,10.88,11.12,14300.0,2.205882352941162,1.090909090909084
1990-01-18,11.0,11.12,10.88,11.0,8200.0,2.205882352941162,0.0
1990-01-19,11.0,11.0,10.88,10.88,22100.0,1.102941176470581,-1.090909090909084
1990-01-22,10.88,11.0,10.75,11.0,10400.0,2.3255813953488373,1.102941176470581
1990-01-23,10.88,10.88,10.75,10.75,5400.0,1.2093023255814026,-1.1948529411764777
1990-01-24,10.75,10.88,10.75,10.75,12100.0,1.2093023255814026,0.0
1990-01-25,10.75,10.88,10.62,10.62,11900.0,2.448210922787209,-1.2093023255814026
1990-01-26,10.62,10.75,10.62,10.75,13300.0,1.2241054613936044,1.2241054613936044
1990-01-29,10.62,10.62,10.5,10.5,8600.0,1.1428571428571355,-1.1299435028248515
1990-01-30,10.5,10.62,10.5,10.62,8900.0,1.1428571428571355,1.1428571428571355
1990-01-31,10.75,10.88,10.5,10.75,8200.0,3.6190476190476266,0.0
1990-02-01,10.75,11.0,10.75,10.88,6100.0,2.3255813953488373,1.2093023255814026
1990-02-02,11.0,11.0,10.75,10.88,9400.0,2.3255813953488373,-1.090909090909084
1990-02-05,10.75,10.88,10.75,10.88,10300.0,1.2093023255814026,1.2093023255814026
1990-02-06,11.0,11.0,10.75,10.75,7100.0,2.3255813953488373,-2.272727272727273
1990-02-07,10.88,11.0,10.75,10.88,6300.0,2.3255813953488373,0.0
1990-02-08,10.88,10.88,10.62,10.88,6500.0,2.448210922787209,0.0
1990-02-09,10.88,11.0,10.75,10.88,3700.0,2.3255813953488373,0.0
1990-02-12,10.88,10.88,10.62,10.62,13200.0,2.448210922787209,-2.3897058823529553
1990-02-13,10.62,10.88,10.62,10.75,19700.0,2.448210922787209,1.2241054613936044
1990-02-14,10.75,10.75,10.62,10.62,4800.0,1.2241054613936044,-1.2093023255814026
1990-02-15,10.62,10.75,10.5,10.5,15600.0,2.380952380952381,-1.1299435028248515
1990-02-16,10.62,10.62,10.0,10.0,37400.0,6.199999999999992,-5.838041431261763
1990-02-20,10.12,10.12,9.5,9.75,40000.0,6.526315789473676,-3.6561264822134314
1990-02-21,9.88,10.12,9.62,10.12,35900.0,5.197505197505198,2.429149797570834
1990-02-22,10.0,10.0,9.88,9.88,49700.0,1.214574898785417,-1.1999999999999922
1990-02-23,9.88,10.0,9.75,9.75,28300.0,2.564102564102564,-1.3157894736842182
1990-02-26,9.75,9.75,9.5,9.5,39700.0,2.631578947368421,-2.564102564102564
1990-02-27,9.38,9.62,9.25,9.62,29600.0,3.9999999999999916,2.5586353944562727
1990-02-28,8.75,8.75,7.5,7.88,182100.0,16.666666666666664,-9.942857142857143
1990-03-01,7.75,7.88,7.0,7.62,203400.0,12.57142857142857,-1.6774193548387082
1990-03-02,7.62,7.88,7.62,7.75,84100.0,3.4120734908136456,1.7060367454068228
1990-03-05,7.88,8.12,7.88,8.0,64300.0,3.0456852791878086,1.52284263959391
1990-03-06,8.0,8.12,7.88,8.0,15500.0,3.0456852791878086,0.0
1990-03-07,8.0,8.12,7.88,8.0,54000.0,3.0456852791878086,0.0
1990-03-08,8.0,8.12,8.0,8.0,24000.0,1.4999999999999902,0.0
1990-03-09,8.0,8.25,8.0,8.12,22000.0,3.125,1.4999999999999902
1990-03-12,8.12,8.25,8.0,8.0,15700.0,3.125,-1.4778325123152616
1990-03-13,8.0,8.12,8.0,8.0,19700.0,1.4999999999999902,0.0
1990-03-14,8.0,8.12,8.0,8.12,11400.0,1.4999999999999902,1.4999999999999902
1990-03-15,8.0,8.12,8.0,8.0,30600.0,1.4999999999999902,0.0
1990-03-16,8.12,8.12,7.88,7.88,25200.0,3.0456852791878086,-2.955665024630534
1990-03-19,8.0,8.0,7.75,7.75,24000.0,3.225806451612903,-3.125
1990-03-20,7.75,7.88,7.75,7.88,13000.0,1.6774193548387082,1.6774193548387082
1990-03-21,7.75,7.88,7.75,7.75,28900.0,1.6774193548387082,0.0
1990-03-22,7.75,7.88,7.62,7.62,31000.0,3.4120734908136456,-1.6774193548387082
1990-03-23,7.62,7.75,7.62,7.62,20200.0,1.7060367454068228,0.0
1990-03-26,7.75,7.75,7.62,7.62,18900.0,1.7060367454068228,-1.6774193548387082
1990-03-27,7.5,7.75,7.5,7.62,24300.0,3.3333333333333335,1.6000000000000014
1990-03-28,7.62,7.75,7.62,7.62,14200.0,1.7060367454068228,0.0
1990-03-29,7.75,7.75,7.5,7.5,20100.0,3.3333333333333335,-3.225806451612903
1990-03-30,7.5,7.62,7.5,7.62,34100.0,1.6000000000000014,1.6000000000000014
1990-04-02,7.62,7.88,7.62,7.62,12700.0,3.4120734908136456,0.0
1990-04-03,7.62,7.75,7.62,7.75,11000.0,1.7060367454068228,1.7060367454068228
1990-04-04,7.75,7.88,7.62,7.62,18900.0,3.4120734908136456,-1.6774193548387082
1990-04-05,7.62,7.75,7.62,7.62,14500.0,1.7060367454068228,0.0
1990-04-06,7.62,7.88,7.5,7.88,13800.0,5.0666666666666655,3.4120734908136456
1990-04-09,8.0,8.12,8.0,8.0,104500.0,1.4999999999999902,0.0
1990-04-10,8.12,8.12,8.0,8.0,29100.0,1.4999999999999902,-1.4778325123152616
1990-04-11,8.0,8.12,7.88,7.88,25700.0,3.0456852791878086,-1.5000000000000013
1990-04-12,8.0,8.0,7.75,7.75,9000.0,3.225806451612903,-3.125
1990-04-16,7.88,7.88,7.62,7.75,9700.0,3.4120734908136456,-1.6497461928933996
1990-04-17,7.88,7.88,7.62,7.88,15000.0,3.4120734908136456,0.0
1990-04-18,7.75,7.88,7.62,7.62,49800.0,3.4120734908136456,-1.6774193548387082
1990-04-19,7.75,7.88,7.62,7.75,19800.0,3.4120734908136456,0.0
1990-04-20,7.75,8.62,7.75,8.5,71800.0,11.225806451612893,9.67741935483871
1990-04-23,8.62,8.62,8.25,8.38,18600.0,4.4848484848484755,-2.784222737819008
1990-04-24,8.38,8.5,8.25,8.25,14700.0,3.0303030303030303,-1.551312649164687
1990-04-25,8.25,8.5,8.25,8.5,25800.0,3.0303030303030303,3.0303030303030303
1990-04-26,8.5,8.5,8.38,8.5,4200.0,1.4319809069212315,0.0
1990-04-27,8.5,8.5,8.25,8.25,12800.0,3.0303030303030303,-2.941176470588235
1990-04-30,8.25,8.38,8.12,8.25,10100.0,3.2019704433497735,0.0
1990-05-01,8.12,8.25,8.0,8.12,16000.0,3.125,0.0
1990-05-02,8.12,8.12,8.0,8.12,11300.0,1.4999999999999902,0.0
1990-05-03,8.0,8.12,8.0,8.0,7900.0,1.4999999999999902,0.0
1990-05-04,8.0,8.25,8.0,8.25,9500.0,3.125,3.125
1990-05-07,8.25,8.25,8.12,8.25,8200.0,1.6009852216748868,0.0
1990-05-08,8.12,8.12,8.0,8.12,6900.0,1.4999999999999902,0.0
1990-05-09,8.12,8.12,8.0,8.0,16800.0,1.4999999999999902,-1.4778325123152616
1990-05-10,8.0,8.0,8.0,8.0,10200.0,0.0,0.0
1990-05-11,8.0,8.0,7.88,7.88,15300.0,1.52284263959391,-1.5000000000000013
1990-05-14,8.0,8.12,8.0,8.12,21900.0,1.4999999999999902,1.4999999999999902
1990-05-15,7.88,8.0,7.88,7.88,10100.0,1.52284263959391,0.0
1990-05-16,7.88,8.25,7.88,8.0,19300.0,4.69543147208122,1.52284263959391
1990-05-17,8.12,8.25,8.0,8.0,12000.0,3.125,-1.4778325123152616
1990-05-18,8.0,8.12,8.0,8.12,15100.0,1.4999999999999902,1.4999999999999902
1990-05-21,8.0,8.12,8.0,8.0,11000.0,1.4999999999999902,0.0
1990-05-22,8.12,8.25,8.12,8.12,15700.0,1.6009852216748868,0.0
1990-05-23,8.25,8.25,8.12,8.12,20000.0,1.6009852216748868,-1.5757575757575852
1990-05-24,8.0,8.25,8.0,8.25,8200.0,3.125,3.125
1990-05-25,8.12,8.25,8.12,8.25,8200.0,1.6009852216748868,1.6009852216748868
1990-05-29,8.12,8.25,8.12,8.12,5400.0,1.6009852216748868,0.0
1990-05-30,8.12,8.25,8.0,8.12,7300.0,3.125,0.0
1990-05-31,8.12,8.12,8.0,8.12,13900.0,1.4999999999999902,0.0
1990-06-01,8.0,8.12,8.0,8.0,8700.0,1.4999999999999902,0.0
1990-06-04,8.0,8.12,7.88,8.0,10800.0,3.0456852791878086,0.0
1990-06-05,8.0,8.12,7.88,7.88,16100.0,3.0456852791878086,-1.5000000000000013
1990-06-06,8.12,8.12,7.88,8.0,7600.0,3.0456852791878086,-1.4778325123152616
1990-06-07,8.0,8.0,7.88,7.88,6600.0,1.52284263959391,-1.5000000000000013
1990-06-08,7.88,8.12,7.88,8.12,10300.0,3.0456852791878086,3.0456852791878086
1990-06-11,8.0,8.12,8.0,8.0,15500.0,1.4999999999999902,0.0
1990-06-12,8.0,8.0,7.88,7.88,6800.0,1.52284263959391,-1.5000000000000013
1990-06-13,7.88,8.25,7.88,8.25,24300.0,4.69543147208122,4.69543147208122
1990-06-14,8.12,8.25,8.0,8.12,19500.0,3.125,0.0
1990-06-15,8.25,8.25,8.0,8.12,18300.0,3.125,-1.5757575757575852
1990-06-18,8.25,8.25,8.0,8.12,11200.0,3.125,-1.5757575757575852
1990-06-19,8.25,8.25,8.0,8.25,6100.0,3.125,0.0
1990-06-20,8.12,8.12,8.0,8.0,11100.0,1.4999999999999902,-1.4778325123152616
1990-06-21,8.12,8.12,8.0,8.12,3600.0,1.4999999999999902,0.0
1990-06-22,8.12,8.12,8.0,8.0,9700.0,1.4999999999999902,-1.4778325123152616
1990-06-25,8.12,8.25,8.0,8.0,37300.0,3.125,-1.4778325123152616
1990-06-26,8.0,8.12,7.88,8.0,37300.0,3.0456852791878086,0.0
1990-06-27,8.12,8.25,8.12,8.12,1700.0,1.6009852216748868,0.0
1990-06-28,8.12,8.25,8.12,8.12,2900.0,1.6009852216748868,0.0
1990-06-29,8.12,8.25,8.12,8.25,4900.0,1.6009852216748868,1.6009852216748868
1990-07-02,8.25,8.25,8.12,8.12,13800.0,1.6009852216748868,-1.5757575757575852
1990-07-03,8.12,8.25,8.12,8.12,5700.0,1.6009852216748868,0.0
1990-07-05,8.12,8.25,8.12,8.12,52700.0,1.6009852216748868,0.0
1990-07-06,8.12,8.25,8.12,8.12,4300.0,1.6009852216748868,0.0
1990-07-09,8.12,8.25,8.12,8.12,7900.0,1.6009852216748868,0.0
1990-07-10,8.12,8.25,8.12,8.25,23000.0,1.6009852216748868,1.6009852216748868
1990-07-11,8.25,8.25,8.12,8.12,21600.0,1.6009852216748868,-1.5757575757575852
1990-07-12,8.12,8.25,8.12,8.12,5900.0,1.6009852216748868,0.0
1990-07-13,8.12,8.38,8.12,8.25,27000.0,3.2019704433497735,1.6009852216748868
1990-07-16,8.12,8.25,8.12,8.12,4500.0,1.6009852216748868,0.0
1990-07-17,8.12,8.25,8.12,8.12,15200.0,1.6009852216748868,0.0
1990-07-18,8.25,8.25,8.12,8.12,15200.0,1.6009852216748868,-1.5757575757575852
1990-07-19,8.12,8.25,8.12,8.12,7800.0,1.6009852216748868,0.0
1990-07-20,8.12,8.25,8.12,8.12,5700.0,1.6009852216748868,0.0
1990-07-23,8.12,8.25,8.12,8.12,11100.0,1.6009852216748868,0.0
1990-07-24,8.12,8.25,8.12,8.25,11100.0,1.6009852216748868,1.6009852216748868
1990-07-25,8.12,8.25,8.12,8.12,11400.0,1.6009852216748868,0.0
1990-07-26,8.12,8.25,8.12,8.25,6600.0,1.6009852216748868,1.6009852216748868
1990-07-27,8.12,8.12,8.0,8.0,10000.0,1.4999999999999902,-1.4778325123152616
1990-07-30,8.0,8.12,8.0,8.0,15100.0,1.4999999999999902,0.0
1990-07-31,8.0,8.12,7.88,8.0,7200.0,3.0456852791878086,0.0
1990-08-01,8.12,8.12,7.88,8.0,23100.0,3.0456852791878086,-1.4778325123152616
1990-08-02,7.88,8.0,7.88,8.0,7000.0,1.52284263959391,1.52284263959391
1990-08-03,8.0,8.0,7.88,7.88,14600.0,1.52284263959391,-1.5000000000000013
1990-08-06,7.88,8.12,7.88,7.88,11900.0,3.0456852791878086,0.0
1990-08-07,7.88,8.12,7.88,7.88,13500.0,3.0456852791878086,0.0
1990-08-08,8.0,8.0,7.88,7.88,4300.0,1.52284263959391,-1.5000000000000013
1990-08-09,7.88,8.0,7.88,7.88,11200.0,1.52284263959391,0.0
1990-08-10,7.88,8.0,7.88,7.88,6200.0,1.52284263959391,0.0
1990-08-13,7.88,8.0,7.88,7.88,23600.0,1.52284263959391,0.0
1990-08-14,7.88,7.88,7.62,7.75,15700.0,3.4120734908136456,-1.6497461928933996
1990-08-15,7.75,7.88,7.75,7.75,2000.0,1.6774193548387082,0.0
1990-08-16,7.75,7.75,7.62,7.62,12600.0,1.7060367454068228,-1.6774193548387082
1990-08-17,7.62,7.75,7.25,7.25,36700.0,6.896551724137931,-4.855643044619424
1990-08-20,7.25,7.5,7.25,7.25,27800.0,3.4482758620689653,0.0
1990-08-21,7.12,7.38,7.12,7.25,10600.0,3.651685393258424,1.825842696629212
1990-08-22,7.25,7.38,7.12,7.25,40300.0,3.651685393258424,0.0
1990-08-23,7.12,7.12,7.0,7.0,13600.0,1.7142857142857157,-1.6853932584269677
1990-08-24,7.0,7.12,7.0,7.0,22700.0,1.7142857142857157,0.0
1990-08-27,7.0,7.12,7.0,7.12,18200.0,1.7142857142857157,1.7142857142857157
1990-08-28,7.0,7.12,7.0,7.0,10700.0,1.7142857142857157,0.0
1990-08-29,7.12,7.12,7.0,7.12,7400.0,1.7142857142857157,0.0
1990-08-30,7.12,7.12,7.0,7.0,9800.0,1.7142857142857157,-1.6853932584269677
1990-08-31,7.0,7.12,6.88,6.88,45700.0,3.4883720930232593,-1.7142857142857157
1990-09-04,7.0,7.0,6.88,7.0,8800.0,1.7441860465116297,0.0
1990-09-05,6.88,7.0,6.88,6.88,5700.0,1.7441860465116297,0.0
1990-09-06,6.88,7.12,6.88,6.88,40400.0,3.4883720930232593,0.0
1990-09-07,7.0,7.12,6.88,7.12,71800.0,3.4883720930232593,1.7142857142857157
1990-09-10,6.75,7.0,6.75,6.75,6100.0,3.7037037037037033,0.0
1990-09-11,6.75,6.88,6.62,6.75,37200.0,3.927492447129906,0.0
1990-09-12,6.75,6.75,6.62,6.75,6900.0,1.963746223564953,0.0
1990-09-13,6.62,6.88,6.62,6.88,8000.0,3.927492447129906,3.927492447129906
1990-09-14,7.0,7.12,6.62,6.75,15100.0,7.552870090634441,-3.571428571428571
1990-09-17,6.62,6.75,6.62,6.62,21300.0,1.963746223564953,0.0
1990-09-18,6.75,6.75,6.62,6.75,16600.0,1.963746223564953,0.0
