Date,Open,High,Low,Close,Volume,HML,PCT
1993-10-29,19.25,19.38,19.25,19.25,1381000.0,0.6753246753246701,0.0
1993-11-01,19.25,19.38,19.25,19.38,136800.0,0.6753246753246701,0.6753246753246701
1993-11-02,19.25,19.38,18.63,18.75,182600.0,4.025764895330113,-2.5974025974025974
1993-11-03,18.5,19.0,18.38,18.88,146300.0,3.373231773667035,2.0540540540540486
1993-11-04,18.75,18.88,18.75,18.75,48300.0,0.693333333333328,0.0
1993-11-05,18.75,18.88,18.75,18.75,13900.0,0.693333333333328,0.0
1993-11-08,18.75,18.88,18.75,18.88,22800.0,0.693333333333328,0.693333333333328
1993-11-09,18.88,19.0,18.75,18.75,10600.0,1.3333333333333335,-0.6885593220338931
1993-11-10,18.88,19.0,18.88,18.88,143900.0,0.6355932203389884,0.0
1993-11-11,18.88,18.88,18.88,18.88,29800.0,0.0,0.0
1993-11-12,18.88,19.0,18.88,19.0,10500.0,0.6355932203389884,0.6355932203389884
1993-11-15,18.75,18.75,18.38,18.5,181600.0,2.0130576713819424,-1.3333333333333335
1993-11-16,18.38,18.5,18.38,18.38,33400.0,0.6528835690968499,0.0
1993-11-17,18.5,18.5,18.25,18.25,73900.0,1.36986301369863,-1.3513513513513513
1993-11-18,18.25,18.25,17.63,17.63,75900.0,3.516732841747028,-3.3972602739726083
1993-11-19,17.0,17.13,16.38,16.88,126700.0,4.578754578754579,-0.7058823529411823
1993-11-22,16.63,16.88,16.5,16.88,32100.0,2.303030303030297,1.503307276007216
1993-11-23,16.75,17.13,16.75,17.13,20300.0,2.2686567164179046,2.2686567164179046
1993-11-24,16.88,17.13,16.88,16.88,9800.0,1.481042654028436,0.0
1993-11-26,17.0,17.0,17.0,17.0,2500.0,0.0,0.0
1993-11-29,17.13,17.13,16.88,17.13,48100.0,1.481042654028436,0.0
1993-11-30,17.13,17.25,16.88,17.13,38500.0,2.1919431279620913,0.0
1993-12-01,17.13,17.13,17.0,17.0,12700.0,0.7647058823529354,-0.7589025102159895
1993-12-02,17.0,17.13,16.88,17.13,14800.0,1.481042654028436,0.7647058823529354
1993-12-03,17.13,17.63,17.13,17.5,19600.0,2.918855808523059,2.1599532983070695
1993-12-06,17.5,17.5,17.25,17.5,6000.0,1.4492753623188406,0.0
1993-12-07,17.5,17.5,17.0,17.25,25100.0,2.941176470588235,-1.4285714285714286
1993-12-08,17.25,17.25,16.88,17.13,8500.0,2.1919431279620913,-0.6956521739130492
1993-12-09,17.25,17.25,16.63,16.88,10600.0,3.728202044497902,-2.1449275362318896
1993-12-10,16.88,16.88,16.75,16.88,9500.0,0.7761194029850687,0.0
1993-12-13,16.63,16.63,16.38,16.5,69000.0,1.5262515262515264,-0.7817197835237464
1993-12-14,16.63,17.0,16.5,16.75,18000.0,3.0303030303030303,0.7215874924834697
1993-12-15,16.63,16.88,16.5,16.63,36100.0,2.303030303030297,0.0
1993-12-16,16.63,16.63,16.5,16.5,7900.0,0.7878787878787818,-0.7817197835237464
1993-12-17,16.5,16.63,16.38,16.5,9600.0,1.5262515262515264,0.0
1993-12-20,16.5,16.5,15.75,16.0,58500.0,4.761904761904762,-3.0303030303030303
1993-12-21,15.75,16.25,15.75,16.13,54400.0,3.1746031746031744,2.4126984126984063
1993-12-22,16.25,16.5,16.25,16.5,21800.0,1.5384615384615385,1.5384615384615385
1993-12-23,16.75,16.75,16.5,16.63,12200.0,1.5151515151515151,-0.7164179104477671
1993-12-27,16.75,16.88,16.75,16.75,35500.0,0.7761194029850687,0.0
1993-12-28,16.88,16.88,16.75,16.75,49500.0,0.7761194029850687,-0.7701421800947809
1993-12-29,16.75,16.88,16.63,16.63,23600.0,1.503307276007216,-0.7164179104477671
1993-12-30,16.63,16.88,16.5,16.75,66700.0,2.303030303030297,0.7215874924834697
1993-12-31,16.88,16.88,16.5,16.63,41100.0,2.303030303030297,-1.481042654028436
1994-01-03,16.75,16.88,16.75,16.88,1900.0,0.7761194029850687,0.7761194029850687
1994-01-04,17.0,17.0,16.88,16.88,10100.0,0.7109004739336553,-0.7058823529411823
1994-01-05,16.88,17.0,16.75,16.88,18500.0,1.4925373134328357,0.0
1994-01-06,16.75,16.75,16.63,16.75,15100.0,0.7215874924834697,0.0
1994-01-07,16.63,17.0,16.63,16.88,18000.0,2.2248947684906857,1.503307276007216
1994-01-10,17.0,17.63,17.0,17.63,18600.0,3.705882352941171,3.705882352941171
1994-01-11,17.63,17.75,17.5,17.75,6300.0,1.4285714285714286,0.680657969370397
1994-01-12,17.75,18.0,17.75,17.88,17700.0,1.4084507042253522,0.7323943661971775
1994-01-13,17.88,17.88,17.63,17.75,6000.0,1.4180374361883155,-0.7270693512304196
1994-01-14,17.75,17.75,17.5,17.5,5600.0,1.4285714285714286,-1.4084507042253522
1994-01-17,17.38,17.5,17.38,17.5,12600.0,0.6904487917146203,0.6904487917146203
1994-01-18,17.25,17.38,17.25,17.38,6300.0,0.7536231884057913,0.7536231884057913
1994-01-19,17.5,18.0,17.5,17.88,9900.0,2.857142857142857,2.171428571428566
1994-01-20,18.0,18.0,17.5,17.5,13000.0,2.857142857142857,-2.7777777777777777
1994-01-21,17.75,17.88,17.5,17.88,7200.0,2.171428571428566,0.7323943661971775
1994-01-24,17.88,17.88,17.5,17.63,4900.0,2.171428571428566,-1.3982102908277405
1994-01-25,17.63,17.88,17.63,17.75,18900.0,1.4180374361883155,0.680657969370397
1994-01-26,17.75,17.75,17.5,17.63,1300.0,1.4285714285714286,-0.6760563380281746
1994-01-27,17.75,17.75,17.63,17.75,2800.0,0.680657969370397,0.0
1994-01-28,17.63,17.75,17.63,17.75,13000.0,0.680657969370397,0.680657969370397
1994-01-31,17.75,17.88,17.75,17.88,26300.0,0.7323943661971775,0.7323943661971775
1994-02-01,17.88,17.88,17.75,17.88,20400.0,0.7323943661971775,0.0
1994-02-02,17.88,17.88,17.63,17.88,18400.0,1.4180374361883155,0.0
1994-02-03,17.88,18.0,17.88,18.0,11000.0,0.671140939597321,0.671140939597321
1994-02-04,18.0,18.0,17.75,17.75,8500.0,1.4084507042253522,-1.3888888888888888
1994-02-07,17.5,17.88,17.5,17.88,6800.0,2.171428571428566,2.171428571428566
1994-02-08,17.75,17.88,17.63,17.75,6400.0,1.4180374361883155,0.0
1994-02-09,17.75,18.38,17.75,18.13,11700.0,3.5492957746478817,2.1408450704225297
1994-02-10,18.0,18.13,18.0,18.0,8200.0,0.7222222222222168,0.0
1994-02-11,18.13,18.13,17.88,18.0,41900.0,1.3982102908277405,-0.7170435741864258
1994-02-14,18.0,18.13,18.0,18.13,23300.0,0.7222222222222168,0.7222222222222168
1994-02-15,18.0,18.25,18.0,18.25,117300.0,1.3888888888888888,1.3888888888888888
1994-02-16,18.13,18.88,18.13,18.63,48000.0,4.136789851075565,2.7578599007170435
1994-02-17,18.88,18.88,18.63,18.63,56500.0,1.3419216317767042,-1.3241525423728815
1994-02-18,18.63,18.75,18.63,18.63,4500.0,0.6441223832528234,0.0
1994-02-22,18.5,18.5,18.5,18.5,2000.0,0.0,0.0
1994-02-23,18.63,18.63,18.5,18.5,6000.0,0.7027027027026973,-0.6977992485238809
1994-02-24,18.38,18.38,18.38,18.38,1500.0,0.0,0.0
1994-02-25,18.38,18.63,18.38,18.5,10200.0,1.3601741022850924,0.6528835690968499
1994-02-28,18.5,18.75,18.5,18.75,3900.0,1.3513513513513513,1.3513513513513513
1994-03-01,18.75,18.75,18.38,18.63,10500.0,2.0130576713819424,-0.6400000000000053
1994-03-02,18.38,18.5,18.38,18.5,5100.0,0.6528835690968499,0.6528835690968499
1994-03-03,18.38,18.5,18.38,18.38,9100.0,0.6528835690968499,0.0
1994-03-04,18.38,18.38,18.38,18.38,3700.0,0.0,0.0
1994-03-07,18.63,18.63,18.38,18.5,1200.0,1.3601741022850924,-0.6977992485238809
1994-03-08,18.38,18.5,18.38,18.38,6600.0,0.6528835690968499,0.0
1994-03-09,18.25,18.38,18.13,18.38,3400.0,1.3789299503585217,0.7123287671232822
1994-03-10,18.5,18.63,18.25,18.5,2800.0,2.0821917808219124,0.0
1994-03-11,18.5,18.5,18.5,18.5,1200.0,0.0,0.0
1994-03-14,18.63,18.75,18.5,18.5,6200.0,1.3513513513513513,-0.6977992485238809
1994-03-15,18.5,18.5,18.38,18.5,3500.0,0.6528835690968499,0.0
1994-03-16,18.38,18.38,18.0,18.0,3700.0,2.111111111111106,-2.067464635473335
1994-03-17,17.88,18.25,17.88,18.0,17100.0,2.0693512304250614,0.671140939597321
1994-03-18,18.25,18.25,18.0,18.0,2000.0,1.3888888888888888,-1.36986301369863
1994-03-21,18.25,18.38,18.13,18.38,1400.0,1.3789299503585217,0.7123287671232822
1994-03-22,18.38,18.5,18.13,18.13,3800.0,2.040816326530618,-1.3601741022850924
1994-03-23,18.38,18.38,18.13,18.38,900.0,1.3789299503585217,0.0
1994-03-24,18.5,18.5,18.38,18.38,52000.0,0.6528835690968499,-0.648648648648654
1994-03-25,18.5,18.75,18.5,18.5,4400.0,1.3513513513513513,0.0
1994-03-28,18.25,18.25,18.13,18.13,2400.0,0.661886376172096,-0.6575342465753479
1994-03-29,18.25,18.25,18.13,18.13,1300.0,0.661886376172096,-0.6575342465753479
1994-03-30,18.13,18.13,18.0,18.0,101300.0,0.7222222222222168,-0.7170435741864258
1994-03-31,18.0,18.0,17.88,17.88,16300.0,0.671140939597321,-0.6666666666666722
1994-04-04,17.75,17.75,17.38,17.5,6300.0,2.1288837744534006,-1.4084507042253522
1994-04-05,17.75,17.75,17.75,17.75,700.0,0.0,0.0
1994-04-06,17.75,17.75,17.63,17.63,11900.0,0.680657969370397,-0.6760563380281746
1994-04-07,17.75,17.88,17.63,17.88,3300.0,1.4180374361883155,0.7323943661971775
1994-04-08,18.0,18.0,17.75,17.88,7400.0,1.4084507042253522,-0.6666666666666722
1994-04-11,17.75,18.0,17.75,18.0,5100.0,1.4084507042253522,1.4084507042253522
1994-04-12,17.75,17.75,17.63,17.63,5300.0,0.680657969370397,-0.6760563380281746
1994-04-13,17.75,17.88,17.63,17.63,3300.0,1.4180374361883155,-0.6760563380281746
1994-04-14,17.63,17.75,17.63,17.63,2100.0,0.680657969370397,0.0
1994-04-15,17.63,17.75,17.5,17.75,7800.0,1.4285714285714286,0.680657969370397
1994-04-18,17.75,17.88,17.75,17.88,5900.0,0.7323943661971775,0.7323943661971775
1994-04-19,17.75,17.75,17.75,17.75,1300.0,0.0,0.0
1994-04-20,18.0,18.0,17.88,18.0,6100.0,0.671140939597321,0.0
1994-04-21,17.88,17.88,17.88,17.88,4500.0,0.0,0.0
1994-04-22,18.0,18.0,18.0,18.0,1600.0,0.0,0.0
1994-04-25,18.0,18.0,17.88,17.88,2300.0,0.671140939597321,-0.6666666666666722
1994-04-26,18.13,18.13,17.88,18.0,1400.0,1.3982102908277405,-0.7170435741864258
1994-04-28,18.0,18.0,17.75,17.75,3900.0,1.4084507042253522,-1.3888888888888888
1994-04-29,17.75,17.75,17.75,17.75,0.0,0.0,0.0
