Date,Open,High,Low,Close,Volume,HML,PCT
1998-07-01,25.25,25.69,24.94,25.5,13879067.0,3.007217321571772,0.9900990099009901
1998-07-02,25.56,25.75,25.5,25.69,2024800.0,0.9803921568627451,0.5086071987480538
1998-07-06,25.69,26.0,25.5,25.88,1158467.0,1.9607843137254901,0.7395873880887416
1998-07-07,26.0,26.0,25.5,25.5,718000.0,1.9607843137254901,-1.9230769230769231
1998-07-08,25.63,25.75,25.5,25.69,787000.0,0.9803921568627451,0.23410066328522153
1998-07-09,25.63,25.94,25.5,25.88,962600.0,1.7254901960784366,0.9754194303550527
1998-07-10,26.0,26.44,25.81,25.81,744867.0,2.4409143742735475,-0.7307692307692357
1998-07-13,25.75,25.81,25.5,25.75,527200.0,1.215686274509799,0.0
1998-07-14,25.75,25.88,25.56,25.56,850867.0,1.2519561815336475,-0.7378640776699079
1998-07-15,25.5,26.0,25.5,26.0,575600.0,1.9607843137254901,1.9607843137254901
1998-07-16,25.75,25.94,25.5,25.69,723000.0,1.7254901960784366,-0.23300970873785912
1998-07-17,25.5,26.13,25.38,26.0,801067.0,2.955082742316785,1.9607843137254901
1998-07-20,26.0,27.38,26.0,27.38,663667.0,5.307692307692304,5.307692307692304
1998-07-21,27.38,27.44,26.25,26.56,523067.0,4.5333333333333385,-2.9948867786705637
1998-07-22,26.25,26.5,25.44,25.63,998600.0,4.166666666666662,-2.361904761904766
1998-07-23,25.75,25.81,24.75,25.5,832200.0,4.2828282828282775,-0.9708737864077669
1998-07-24,25.75,26.06,25.63,26.0,673200.0,1.6777214202106896,0.9708737864077669
1998-07-27,26.0,26.31,25.75,25.88,562400.0,2.174757281553393,-0.4615384615384654
1998-07-28,25.94,26.06,25.0,25.0,1387867.0,4.239999999999995,-3.6237471087124185
1998-07-29,25.0,25.25,24.5,24.63,887600.0,3.061224489795918,-1.480000000000004
1998-07-30,24.81,25.0,24.5,25.0,1321600.0,2.0408163265306123,0.7658202337767082
1998-07-31,25.0,25.63,24.88,25.0,729067.0,3.014469453376206,0.0
1998-08-03,25.0,25.0,24.31,24.38,672667.0,2.838338132455785,-2.480000000000004
1998-08-04,24.31,24.31,22.88,23.0,830600.0,6.249999999999999,-5.388728918140678
1998-08-05,22.75,23.13,21.94,21.94,436067.0,5.423883318140372,-3.5604395604395553
1998-08-06,22.06,22.19,21.88,21.88,392800.0,1.4168190127970854,-0.8159564823209416
1998-08-07,22.0,22.63,21.88,22.13,733467.0,3.427787934186472,0.5909090909090864
