Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,69.12,69.75,68.88,69.75,199900.0,1.263066202090599,0.9114583333333266
1990-01-03,69.75,70.38,69.38,70.0,193400.0,1.4413375612568464,0.35842293906810035
1990-01-04,70.12,71.0,69.88,71.0,208000.0,1.6027475672581635,1.2549914432401532
1990-01-05,70.62,70.62,69.75,70.0,273400.0,1.2473118279569957,-0.8779382611158376
1990-01-08,69.75,69.88,69.5,69.88,96500.0,0.5467625899280509,0.18637992831540565
1990-01-09,69.62,69.88,67.25,68.0,118400.0,3.9107806691449745,-2.3269175524274694
1990-01-10,68.0,68.25,66.88,67.25,182800.0,2.0484449760765617,-1.1029411764705883
1990-01-11,67.5,68.25,67.25,67.25,136700.0,1.486988847583643,-0.3703703703703704
1990-01-12,66.0,67.25,66.0,66.62,181200.0,1.893939393939394,0.9393939393939463
1990-01-15,66.62,67.0,66.38,66.62,100100.0,0.9340162699608384,0.0
1990-01-16,66.38,66.88,66.12,66.75,170200.0,1.149425287356308,0.5573968062669548
1990-01-17,66.75,68.75,66.25,67.5,205400.0,3.7735849056603774,1.1235955056179776
1990-01-18,67.25,68.0,67.0,68.0,166500.0,1.4925373134328357,1.1152416356877324
1990-01-19,67.5,68.38,67.38,68.25,214400.0,1.4841199168892847,1.1111111111111112
1990-01-22,68.12,68.25,67.0,67.12,128400.0,1.8656716417910446,-1.467997651203758
1990-01-23,67.5,67.5,66.38,66.62,199700.0,1.6872551973486059,-1.303703703703697
1990-01-24,66.0,66.0,65.0,65.38,107000.0,1.5384615384615385,-0.9393939393939463
1990-01-25,65.75,66.0,65.0,65.0,195500.0,1.5384615384615385,-1.1406844106463878
1990-01-26,65.25,65.88,65.12,65.25,149700.0,1.167076167076153,0.0
1990-01-29,65.5,65.75,65.0,65.12,114900.0,1.153846153846154,-0.5801526717557183
1990-01-30,65.38,65.5,64.5,65.38,145200.0,1.550387596899225,0.0
1990-01-31,65.25,66.25,65.25,66.0,139400.0,1.532567049808429,1.1494252873563218
1990-02-01,65.88,66.38,65.25,65.75,115700.0,1.731800766283518,-0.19732847601699371
1990-02-02,65.88,66.0,63.75,64.12,197700.0,3.5294117647058822,-2.671523982999379
1990-02-05,64.25,64.75,63.62,64.12,171600.0,1.7761710154039652,-0.20233463035018748
1990-02-06,64.0,64.0,61.75,62.62,377000.0,3.643724696356275,-2.156250000000004
1990-02-07,61.5,62.25,60.75,61.75,485400.0,2.4691358024691357,0.40650406504065045
1990-02-08,61.62,61.75,60.75,60.75,374700.0,1.646090534979424,-1.4118792599805217
1990-02-09,60.88,61.5,60.75,61.0,318000.0,1.2345679012345678,0.19710906701707856
1990-02-12,60.75,60.88,60.0,60.12,290100.0,1.466666666666671,-1.0370370370370412
1990-02-13,60.12,60.75,60.12,60.62,146700.0,1.0479041916167708,0.8316699933466402
1990-02-14,60.5,61.25,60.38,61.0,73400.0,1.4408744617422946,0.8264462809917356
1990-02-15,61.25,62.88,61.0,62.88,128900.0,3.081967213114758,2.6612244897959223
1990-02-16,62.88,63.0,62.0,62.12,192700.0,1.6129032258064515,-1.2086513994911021
1990-02-20,62.25,62.25,61.62,62.25,179700.0,1.0223953261927987,0.0
1990-02-21,62.25,62.25,61.0,61.38,136200.0,2.0491803278688523,-1.397590361445779
1990-02-22,61.62,61.62,60.12,60.75,244700.0,2.4950099800399204,-1.4118792599805217
1990-02-23,60.5,61.25,60.38,61.12,107200.0,1.4408744617422946,1.0247933884297478
1990-02-26,61.12,61.38,60.75,61.25,165000.0,1.0370370370370412,0.21269633507853825
1990-02-27,61.12,61.88,61.12,61.5,94700.0,1.2434554973822074,0.6217277486911037
1990-02-28,61.75,61.75,61.0,61.25,105200.0,1.2295081967213115,-0.8097165991902834
1990-03-01,61.25,61.25,60.25,60.5,440100.0,1.6597510373443984,-1.2244897959183674
1990-03-02,60.38,61.0,60.38,61.0,367400.0,1.0268300761841627,1.0268300761841627
1990-03-05,60.88,61.75,60.88,61.62,92000.0,1.429040735873846,1.215505913272002
1990-03-06,62.25,62.38,61.75,62.0,151500.0,1.0202429149797612,-0.4016064257028112
1990-03-07,61.75,61.88,60.75,61.12,131800.0,1.8600823045267532,-1.0202429149797612
1990-03-08,61.0,61.88,61.0,61.88,85100.0,1.4426229508196764,1.4426229508196764
1990-03-09,61.88,62.25,61.75,62.0,115200.0,0.8097165991902834,0.1939237233354839
1990-03-12,61.88,62.0,61.5,61.75,66600.0,0.8130081300813009,-0.2100840336134495
1990-03-13,61.5,61.88,61.25,61.75,148300.0,1.0285714285714327,0.40650406504065045
1990-03-14,61.5,62.25,61.5,61.62,90600.0,1.2195121951219512,0.19512195121950804
1990-03-15,61.62,62.12,61.5,61.88,130100.0,1.008130081300809,0.4219409282700505
1990-03-16,63.25,63.25,62.25,62.62,173700.0,1.6064257028112447,-0.9960474308300435
1990-03-19,62.38,63.88,62.38,63.88,104200.0,2.404616864379609,2.404616864379609
1990-03-20,63.88,64.38,63.5,63.5,130900.0,1.3858267716535362,-0.5948653725735794
1990-03-21,63.5,64.25,63.5,63.88,77900.0,1.1811023622047243,0.5984251968503977
1990-03-22,63.62,64.0,62.0,62.62,86800.0,3.225806451612903,-1.571832756994656
1990-03-23,62.75,63.25,62.62,63.25,60500.0,1.006068348770365,0.796812749003984
1990-03-26,63.88,63.88,63.38,63.5,51400.0,0.7888923950773113,-0.5948653725735794
1990-03-27,63.62,64.12,63.25,64.12,90200.0,1.3754940711462522,0.7859163784973391
1990-03-28,64.25,64.38,63.38,63.62,126000.0,1.5777847901546116,-0.980544747081716
1990-03-29,63.5,64.12,63.5,64.0,118300.0,0.9763779527559127,0.7874015748031495
1990-03-30,65.0,65.0,63.88,64.38,140300.0,1.7532874139010606,-0.9538461538461609
1990-04-02,63.5,63.62,63.0,63.38,74100.0,0.98412698412698,-0.18897637795275188
1990-04-03,63.62,64.5,63.5,64.5,63600.0,1.574803149606299,1.3832128261553012
1990-04-04,64.75,65.12,64.62,65.12,122300.0,0.773754255648406,0.5714285714285785
1990-04-05,65.12,65.62,65.12,65.38,206900.0,0.7678132678132678,0.39926289926288533
