Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,37.75,38.25,37.25,38.0,503600.0,2.684563758389262,0.6622516556291391
1990-01-03,38.12,38.38,37.62,38.25,536700.0,2.020202020202034,0.3410283315844768
1990-01-04,38.5,38.5,35.25,35.88,1178300.0,9.219858156028367,-6.805194805194799
1990-01-05,36.0,36.38,34.75,35.38,982900.0,4.690647482014396,-1.7222222222222152
1990-01-08,35.25,36.25,35.25,35.75,679900.0,2.8368794326241136,1.4184397163120568
1990-01-09,36.0,36.25,35.25,35.38,470700.0,2.8368794326241136,-1.7222222222222152
1990-01-10,34.75,34.88,33.5,34.25,2049000.0,4.119402985074635,-1.4388489208633095
1990-01-11,35.0,35.5,34.75,35.0,2097000.0,2.158273381294964,0.0
1990-01-12,34.0,35.0,34.0,34.25,869800.0,2.941176470588235,0.7352941176470588
1990-01-15,34.0,34.12,33.75,33.75,644600.0,1.0962962962962888,-0.7352941176470588
1990-01-16,33.5,34.38,33.25,34.25,1148600.0,3.398496240601512,2.2388059701492535
1990-01-17,34.5,34.75,33.88,34.0,1024100.0,2.567886658795742,-1.4492753623188406
1990-01-18,33.5,34.38,33.38,33.88,886400.0,2.9958058717795084,1.134328358208963
1990-01-19,34.38,35.25,34.25,34.88,777200.0,2.9197080291970803,1.4543339150668992
1990-01-22,34.88,35.25,34.12,34.25,763400.0,3.31184056271982,-1.806192660550466
1990-01-23,34.25,34.5,33.5,34.0,908800.0,2.9850746268656714,-0.7299270072992701
1990-01-24,33.0,34.75,33.0,34.5,477300.0,5.303030303030303,4.545454545454546
1990-01-25,34.75,35.0,33.62,34.0,698300.0,4.104699583581209,-2.158273381294964
1990-01-26,33.75,34.38,31.75,33.0,1418900.0,8.28346456692914,-2.2222222222222223
1990-01-29,33.0,33.88,32.38,33.0,1038800.0,4.632489190858554,0.0
1990-01-30,31.5,31.75,30.5,31.12,2527300.0,4.098360655737705,-1.2063492063492032
1990-01-31,31.5,32.88,31.5,32.75,1548100.0,4.3809523809523885,3.968253968253968
1990-02-01,33.0,33.75,32.38,33.75,710800.0,4.231006794317472,2.272727272727273
1990-02-02,33.62,34.62,33.62,34.38,529900.0,2.97441998810232,2.2605591909577787
1990-02-05,34.25,35.25,34.0,35.12,447200.0,3.6764705882352944,2.5401459854014523
1990-02-06,35.62,35.88,33.75,34.5,658000.0,6.311111111111119,-3.1443009545199256
1990-02-07,34.25,34.62,33.75,34.62,426100.0,2.57777777777777,1.0802919708029122
1990-02-08,34.62,35.88,34.62,34.88,467300.0,3.639514731369166,0.751010976314284
1990-02-09,34.88,35.25,34.38,34.62,231700.0,2.530541012216397,-0.7454128440367118
1990-02-12,34.62,34.62,33.5,33.75,444000.0,3.343283582089544,-2.5129982668977395
1990-02-13,33.75,33.75,32.5,33.38,699600.0,3.8461538461538463,-1.0962962962962888
1990-02-14,33.62,34.0,33.12,33.5,390300.0,2.657004830917882,-0.3569303985722708
1990-02-15,33.38,34.0,33.38,33.88,360600.0,1.8573996405032873,1.4979029358897542
1990-02-16,34.0,34.5,33.0,33.25,1492400.0,4.545454545454546,-2.2058823529411766
1990-02-20,31.5,32.25,31.38,31.88,1385300.0,2.7724665391969436,1.2063492063492032
1990-02-21,31.25,32.38,31.12,32.12,1044300.0,4.048843187660673,2.783999999999992
1990-02-22,32.38,33.25,32.38,33.0,454400.0,2.686843730697954,1.9147621988881944
1990-02-23,32.75,32.88,32.0,32.5,336400.0,2.750000000000008,-0.7633587786259541
1990-02-26,32.25,34.25,32.25,34.25,262500.0,6.2015503875969,6.2015503875969
1990-02-27,34.25,35.5,34.12,35.25,754100.0,4.044548651817124,2.9197080291970803
1990-02-28,35.12,36.5,35.0,36.5,1169800.0,4.285714285714286,3.929384965831443
1990-03-01,36.5,37.75,36.38,37.38,1250400.0,3.765805387575584,2.410958904109596
1990-03-02,37.12,37.5,36.38,36.62,422400.0,3.078614623419454,-1.3469827586206897
1990-03-05,36.38,37.0,36.38,36.75,984200.0,1.7042330951071945,1.017042330951065
1990-03-06,36.62,36.88,36.5,36.88,1272200.0,1.0410958904109657,0.709994538503564
1990-03-07,37.0,37.25,36.12,36.38,958700.0,3.128460686600229,-1.6756756756756686
1990-03-08,36.38,36.38,35.88,36.12,453100.0,1.3935340022296543,-0.7146783947223889
1990-03-09,36.0,36.75,36.0,36.5,656900.0,2.083333333333333,1.3888888888888888
1990-03-12,36.38,37.38,36.38,37.38,433400.0,2.7487630566245187,2.7487630566245187
1990-03-13,37.25,37.88,36.88,37.62,782500.0,2.7114967462039044,0.99328859060402
1990-03-14,37.5,37.62,37.12,37.12,406700.0,1.3469827586206897,-1.0133333333333403
1990-03-15,37.38,37.5,37.25,37.5,393200.0,0.6711409395973155,0.3210272873194153
1990-03-16,38.0,38.62,37.75,38.25,974900.0,2.304635761589397,0.6578947368421052
1990-03-19,38.0,38.62,37.5,38.38,489300.0,2.9866666666666597,1.0000000000000069
1990-03-20,38.25,38.5,38.12,38.25,288100.0,0.9968520461699962,0.0
1990-03-21,38.12,38.38,38.0,38.0,267500.0,1.0000000000000069,-0.31479538300104265
1990-03-22,37.75,37.88,37.25,37.5,500800.0,1.6912751677852418,-0.6622516556291391
1990-03-23,38.0,38.38,37.75,38.38,341900.0,1.6688741721854372,1.0000000000000069
1990-03-26,38.5,38.62,37.88,38.25,260000.0,1.9535374868004087,-0.6493506493506493
1990-03-27,38.25,39.5,38.25,39.25,667000.0,3.2679738562091507,2.6143790849673203
1990-03-28,39.25,40.12,39.12,39.75,784600.0,2.556237218813906,1.2738853503184715
1990-03-29,39.75,40.12,39.62,40.0,530700.0,1.2619888944977284,0.628930817610063
1990-03-30,39.75,40.38,39.62,40.0,484200.0,1.9182231196365602,0.628930817610063
1990-04-02,39.38,39.75,39.0,39.25,346700.0,1.9230769230769231,-0.3301168105637444
1990-04-03,39.5,40.5,39.5,39.88,588000.0,2.5316455696202533,0.9620253164557027
1990-04-04,40.0,40.0,39.25,39.5,525300.0,1.910828025477707,-1.25
1990-04-05,39.5,40.0,39.5,39.88,446700.0,1.2658227848101267,0.9620253164557027
1990-04-06,40.0,40.25,39.62,39.75,325900.0,1.5901060070671442,-0.625
1990-04-09,40.0,41.25,40.0,41.12,660000.0,3.125,2.7999999999999936
1990-04-10,41.38,43.0,41.25,42.12,1063400.0,4.242424242424243,1.7883035282745163
1990-04-11,42.25,42.25,40.12,40.25,2032200.0,5.309072781655042,-4.733727810650888
1990-04-12,40.38,40.38,39.62,39.62,1461800.0,1.9182231196365602,-1.8821198613174963
1990-04-16,40.0,40.5,40.0,40.12,1135800.0,1.25,0.2999999999999936
1990-04-17,39.88,40.62,39.62,39.88,1627000.0,2.523977788995457,0.0
1990-04-18,39.62,39.75,39.12,39.25,1240900.0,1.6104294478527674,-0.9338717819283125
1990-04-19,38.75,38.88,38.38,38.62,821200.0,1.3027618551328815,-0.3354838709677485
1990-04-20,38.5,38.88,37.62,38.0,601100.0,3.3492822966507316,-1.2987012987012987
1990-04-23,37.88,37.88,37.38,37.62,362400.0,1.3376136971642587,-0.6863780359028646
1990-04-24,37.62,38.38,37.62,37.75,298400.0,2.020202020202034,0.3455608718766682
1990-04-25,37.88,38.62,37.88,38.5,397800.0,1.9535374868004087,1.6367476240760226
1990-04-26,38.5,39.0,38.25,38.88,335200.0,1.9607843137254901,0.9870129870129937
1990-04-27,38.75,38.75,37.62,37.62,399600.0,3.003721424774063,-2.916129032258071
1990-04-30,37.62,38.5,37.62,38.38,632600.0,2.3391812865497146,2.020202020202034
1990-05-01,38.38,39.38,38.38,39.0,162100.0,2.605523710265763,1.6154247003647666
1990-05-02,39.0,39.12,38.12,38.38,268000.0,2.623294858342078,-1.5897435897435832
1990-05-03,38.62,39.5,38.62,39.0,204800.0,2.2786121180735437,0.9839461418953976
