Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,35.5,35.75,35.5,35.62,16500.0,0.7042253521126761,0.3380281690140773
1990-01-03,35.75,35.75,35.5,35.62,104000.0,0.7042253521126761,-0.3636363636363708
1990-01-04,35.62,35.75,35.12,35.25,89900.0,1.7938496583143584,-1.038742279618185
1990-01-05,35.12,35.25,34.62,34.88,106900.0,1.819757365684583,-0.6833712984054525
1990-01-08,34.88,34.88,34.0,34.62,73200.0,2.5882352941176547,-0.7454128440367118
1990-01-09,34.62,34.62,34.12,34.38,57200.0,1.4654161781946073,-0.6932409012131568
1990-01-10,34.25,34.5,33.88,34.25,66700.0,1.8299881936245495,0.0
1990-01-11,34.25,34.38,34.0,34.38,21200.0,1.117647058823537,0.3795620437956279
1990-01-12,34.38,34.38,33.75,33.88,44600.0,1.866666666666674,-1.4543339150668992
1990-01-15,34.0,34.12,33.75,34.12,48000.0,1.0962962962962888,0.3529411764705807
1990-01-16,34.0,34.0,33.62,33.88,58600.0,1.1302795954788893,-0.3529411764705807
1990-01-17,33.75,34.12,33.62,33.75,15700.0,1.48720999405116,0.0
1990-01-18,33.38,33.62,33.38,33.62,18600.0,0.7189934092270667,0.7189934092270667
1990-01-19,33.5,33.75,33.38,33.62,11000.0,1.1084481725584105,0.35820895522387297
1990-01-22,33.88,33.88,33.5,33.5,11900.0,1.134328358208963,-1.12160566706022
1990-01-23,33.5,33.88,33.5,33.75,15500.0,1.134328358208963,0.7462686567164178
1990-01-24,33.5,33.62,32.5,33.25,101000.0,3.4461538461538384,-0.7462686567164178
1990-01-25,33.75,33.75,33.38,33.38,73300.0,1.1084481725584105,-1.0962962962962888
1990-01-26,33.25,33.5,33.12,33.38,22800.0,1.1473429951690899,0.39097744360903025
1990-01-29,33.25,33.38,33.12,33.25,10700.0,0.7850241545893875,0.0
1990-01-30,33.0,33.0,32.75,32.75,20900.0,0.7633587786259541,-0.7575757575757576
1990-01-31,32.88,33.5,32.75,33.5,43500.0,2.2900763358778624,1.88564476885644
1990-02-01,33.62,33.62,33.38,33.62,49000.0,0.7189934092270667,0.0
1990-02-02,33.5,34.0,33.38,33.62,11500.0,1.8573996405032873,0.35820895522387297
1990-02-05,33.5,33.62,33.5,33.5,7900.0,0.35820895522387297,0.0
1990-02-06,33.5,33.75,33.5,33.75,2900.0,0.7462686567164178,0.7462686567164178
1990-02-07,33.62,34.0,33.5,33.62,14400.0,1.4925373134328357,0.0
1990-02-08,33.75,33.88,33.5,33.75,10900.0,1.134328358208963,0.0
1990-02-09,33.88,33.88,33.38,33.62,15400.0,1.4979029358897542,-0.7674144037780553
1990-02-12,33.5,33.62,33.38,33.62,19300.0,0.7189934092270667,0.35820895522387297
1990-02-13,33.62,33.62,33.38,33.5,20600.0,0.7189934092270667,-0.3569303985722708
1990-02-14,33.62,34.0,33.62,33.75,47400.0,1.1302795954788893,0.38667459845330926
1990-02-15,33.5,33.88,33.5,33.62,140500.0,1.134328358208963,0.35820895522387297
1990-02-16,33.38,33.5,33.25,33.5,15000.0,0.7518796992481203,0.35949670461353334
1990-02-20,33.25,33.25,32.88,33.12,25900.0,1.1253041362530336,-0.39097744360903025
1990-02-21,32.88,33.12,32.88,33.12,10400.0,0.7299270072992544,0.7299270072992544
1990-02-22,33.25,33.25,32.88,32.88,202900.0,1.1253041362530336,-1.1127819548872102
1990-02-23,32.62,32.88,32.5,32.88,55400.0,1.169230769230777,0.7970570202330017
