Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,20.38,20.75,20.38,20.62,25800.0,1.8155053974484838,1.1776251226692935
1990-01-03,20.75,21.25,20.62,20.75,27700.0,3.055286129970897,0.0
1990-01-04,20.75,21.12,20.75,21.0,39500.0,1.7831325301204868,1.2048192771084338
1990-01-05,20.88,20.88,20.75,20.75,7100.0,0.6265060240963807,-0.6226053639846696
1990-01-08,20.5,20.75,20.5,20.75,5300.0,1.2195121951219512,1.2195121951219512
1990-01-09,20.75,21.38,20.75,21.0,7500.0,3.036144578313248,1.2048192771084338
1990-01-10,20.88,21.62,20.88,21.5,17700.0,3.5440613026820023,2.9693486590038365
1990-01-11,21.5,21.62,21.5,21.5,14600.0,0.5581395348837256,0.0
1990-01-12,21.25,21.25,21.12,21.12,10000.0,0.6155303030302983,-0.6117647058823483
1990-01-15,21.12,21.25,20.12,20.38,27500.0,5.616302186878722,-3.503787878787888
1990-01-16,19.88,20.62,19.88,20.5,23600.0,3.7223340040241553,3.118712273641856
1990-01-17,20.62,20.75,20.38,20.62,8500.0,1.8155053974484838,0.0
1990-01-18,20.38,20.38,20.12,20.12,1500.0,1.2922465208747416,-1.2757605495583808
1990-01-19,20.0,20.0,19.75,20.0,12300.0,1.2658227848101267,0.0
1990-01-22,19.88,20.0,19.62,19.75,8100.0,1.9367991845056012,-0.6539235412474799
1990-01-23,19.5,19.62,19.25,19.62,4400.0,1.9220779220779274,0.6153846153846205
1990-01-24,19.38,19.5,19.0,19.25,13400.0,2.631578947368421,-0.6707946336429258
1990-01-25,19.25,20.75,19.25,20.0,99900.0,7.792207792207792,3.896103896103896
1990-01-26,19.75,20.0,19.75,20.0,16500.0,1.2658227848101267,1.2658227848101267
1990-01-29,19.88,19.88,19.38,19.5,5800.0,2.579979360165119,-1.9114688128772588
1990-01-30,19.25,19.25,19.12,19.25,54800.0,0.6799163179916266,0.0
1990-01-31,19.25,20.5,19.25,19.62,17400.0,6.493506493506493,1.9220779220779274
1990-02-01,19.75,20.0,19.75,19.75,6000.0,1.2658227848101267,0.0
1990-02-02,19.5,20.12,19.5,20.0,15000.0,3.1794871794871846,2.564102564102564
1990-02-05,20.0,20.0,19.62,19.62,20100.0,1.9367991845056012,-1.899999999999995
1990-02-06,19.5,19.75,19.5,19.75,2600.0,1.282051282051282,1.282051282051282
1990-02-07,19.75,19.75,19.38,19.5,33600.0,1.909184726522193,-1.2658227848101267
1990-02-08,19.5,19.62,19.38,19.38,61300.0,1.2383900928792673,-0.6153846153846205
1990-02-09,19.25,19.25,19.25,19.25,3300.0,0.0,0.0
1990-02-12,19.25,19.75,19.25,19.75,24300.0,2.5974025974025974,2.5974025974025974
1990-02-13,19.5,19.75,19.5,19.75,19100.0,1.282051282051282,1.282051282051282
1990-02-14,19.62,20.12,19.62,20.12,19900.0,2.54841997961264,2.54841997961264
1990-02-15,20.12,20.5,20.0,20.0,30400.0,2.5,-0.5964214711729672
1990-02-16,20.0,20.5,20.0,20.25,36300.0,2.5,1.25
1990-02-20,20.0,20.25,19.62,20.0,27200.0,3.211009174311921,0.0
1990-02-21,19.62,19.75,19.5,19.75,18500.0,1.282051282051282,0.6625891946992813
1990-02-22,19.88,20.75,19.88,20.62,24200.0,4.376257545271635,3.7223340040241553
1990-02-23,20.62,20.88,20.5,20.62,9300.0,1.8536585365853608,0.0
1990-02-26,20.38,20.38,20.12,20.12,1400.0,1.2922465208747416,-1.2757605495583808
1990-02-27,20.0,20.75,20.0,20.5,13300.0,3.75,2.5
1990-02-28,20.5,20.5,20.12,20.12,14000.0,1.8886679920477087,-1.8536585365853608
1990-03-01,20.12,20.5,20.12,20.5,16000.0,1.8886679920477087,1.8886679920477087
1990-03-02,20.75,21.0,20.5,21.0,17300.0,2.4390243902439024,1.2048192771084338
