Date,Open,High,Low,Close,Volume,HML,PCT
1990-01-02,34.12,34.75,34.0,34.5,130900.0,2.2058823529411766,1.113716295427909
1990-01-03,34.62,35.25,34.62,34.75,152700.0,1.819757365684583,0.375505488157142
1990-01-04,34.88,34.88,34.12,34.25,66200.0,2.227432590855818,-1.806192660550466
1990-01-05,34.38,34.88,34.38,34.5,80600.0,1.4543339150668992,0.3490401396160484
1990-01-08,34.38,34.75,34.38,34.5,345400.0,1.076207097149498,0.3490401396160484
1990-01-09,34.5,34.5,34.12,34.12,37700.0,1.113716295427909,-1.1014492753623262
1990-01-10,34.12,34.25,33.75,34.0,154700.0,1.4814814814814816,-0.3516998827666983
1990-01-11,34.0,34.25,33.88,34.0,129600.0,1.0920897284533573,0.0
1990-01-12,34.0,34.0,33.75,33.75,332800.0,0.7407407407407408,-0.7352941176470588
1990-01-15,33.75,33.75,33.38,33.62,48000.0,1.1084481725584105,-0.3851851851851928
1990-01-16,33.5,33.75,33.25,33.75,56900.0,1.5037593984962405,0.7462686567164178
1990-01-17,33.62,33.75,33.5,33.62,56900.0,0.7462686567164178,0.0
1990-01-18,33.5,33.75,33.38,33.5,141000.0,1.1084481725584105,0.0
1990-01-19,33.5,33.88,33.25,33.25,58400.0,1.8947368421052708,-0.7462686567164178
1990-01-22,33.5,33.75,32.75,32.75,55200.0,3.0534351145038165,-2.2388059701492535
1990-01-23,32.75,33.12,32.62,32.75,61100.0,1.5328019619865114,0.0
1990-01-24,32.75,32.75,31.88,32.5,98600.0,2.7289836888331274,-0.7633587786259541
1990-01-25,32.5,32.62,32.38,32.5,96100.0,0.7411982705373529,0.0
1990-01-26,32.38,32.5,32.0,32.12,135700.0,1.5625,-0.8029647930821652
1990-01-29,32.25,32.38,32.0,32.0,67300.0,1.187500000000008,-0.7751937984496124
1990-01-30,32.0,32.25,30.62,31.25,108900.0,5.323318092749833,-2.34375
1990-01-31,31.12,32.5,31.12,32.5,46200.0,4.434447300771205,4.434447300771205
1990-02-01,32.5,32.62,32.38,32.62,132600.0,0.7411982705373529,0.36923076923076137
1990-02-02,32.62,32.88,32.38,32.62,78400.0,1.544163063619518,0.0
1990-02-05,32.5,32.5,31.5,32.12,80300.0,3.1746031746031744,-1.169230769230777
1990-02-06,32.0,32.38,31.75,32.12,50800.0,1.9842519685039453,0.374999999999992
1990-02-07,32.0,32.5,31.75,32.5,78600.0,2.3622047244094486,1.5625
1990-02-08,32.75,33.62,32.75,33.0,205600.0,2.656488549618313,0.7633587786259541
1990-02-09,33.0,33.25,33.0,33.25,76000.0,0.7575757575757576,0.7575757575757576
1990-02-12,33.0,33.25,32.25,32.38,85400.0,3.10077519379845,-1.8787878787878711
1990-02-13,32.12,32.38,32.12,32.25,80000.0,0.8094645080946612,0.4047322540473306
1990-02-14,32.25,32.62,32.12,32.5,172900.0,1.5566625155666254,0.7751937984496124
