Date,Open,High,Low,Close,Volume,HML,PCT
1992-02-26,28.5,33.0,27.5,31.5,2901500.0,20.0,10.526315789473683
1992-02-27,32.25,32.25,30.75,31.12,479600.0,4.878048780487805,-3.503875968992245
1992-02-28,31.25,31.75,30.25,30.75,346800.0,4.958677685950414,-1.6
1992-03-02,30.5,32.25,30.25,31.75,301500.0,6.6115702479338845,4.098360655737705
1992-03-03,31.75,32.25,31.5,32.0,55700.0,2.380952380952381,0.7874015748031495
1992-03-04,32.0,32.0,30.75,31.0,149000.0,4.0650406504065035,-3.125
1992-03-05,30.75,31.0,30.25,30.75,439800.0,2.479338842975207,0.0
1992-03-06,30.5,31.75,30.5,31.0,74300.0,4.098360655737705,1.639344262295082
1992-03-09,31.25,32.75,31.25,32.0,164900.0,4.8,2.4
1992-03-10,32.0,33.0,31.75,32.75,174600.0,3.937007874015748,2.34375
1992-03-11,33.25,33.25,32.25,32.25,68600.0,3.10077519379845,-3.007518796992481
1992-03-12,32.25,33.25,32.25,32.75,129900.0,3.10077519379845,1.550387596899225
1992-03-13,32.5,34.0,32.5,33.75,58300.0,4.615384615384616,3.8461538461538463
1992-03-16,33.5,33.75,32.5,32.5,93200.0,3.8461538461538463,-2.9850746268656714
1992-03-17,32.75,33.12,32.75,32.75,43000.0,1.1297709923664043,0.0
1992-03-18,32.75,33.75,32.75,33.25,36900.0,3.0534351145038165,1.5267175572519083
1992-03-19,34.0,34.75,33.5,34.25,153400.0,3.731343283582089,0.7352941176470588
1992-03-20,34.75,35.25,34.5,35.0,45300.0,2.1739130434782608,0.7194244604316548
1992-03-23,35.25,35.25,34.25,35.0,12900.0,2.9197080291970803,-0.7092198581560284
1992-03-24,34.5,34.75,34.25,34.5,22000.0,1.4598540145985401,0.0
1992-03-25,34.25,34.75,34.25,34.62,57500.0,1.4598540145985401,1.0802919708029122
1992-03-26,34.75,34.75,33.25,33.25,139100.0,4.511278195488721,-4.316546762589928
1992-03-27,33.0,33.75,31.5,31.5,62900.0,7.142857142857142,-4.545454545454546
1992-03-30,31.5,32.25,31.5,32.0,47100.0,2.380952380952381,1.5873015873015872
1992-03-31,31.75,32.25,31.75,32.0,52500.0,1.574803149606299,0.7874015748031495
1992-04-01,31.75,31.75,30.0,30.38,68100.0,5.833333333333333,-4.314960629921263
1992-04-02,30.0,30.5,29.25,30.0,104000.0,4.273504273504273,0.0
1992-04-03,29.25,30.0,29.0,30.0,143600.0,3.4482758620689653,2.564102564102564
1992-04-06,29.75,30.75,29.75,30.25,147200.0,3.361344537815126,1.680672268907563
1992-04-07,30.75,31.0,29.75,30.25,227400.0,4.201680672268908,-1.6260162601626018
1992-04-08,29.75,30.0,28.75,29.5,136100.0,4.3478260869565215,-0.8403361344537815
1992-04-09,29.5,30.12,29.0,29.88,88800.0,3.862068965517245,1.2881355932203358
1992-04-10,30.25,30.75,30.0,30.0,23300.0,2.5,-0.8264462809917356
1992-04-13,30.25,30.75,30.25,30.75,9300.0,1.6528925619834711,1.6528925619834711
1992-04-14,30.75,31.75,30.25,31.75,48400.0,4.958677685950414,3.2520325203252036
1992-04-15,31.75,31.75,31.25,31.25,21300.0,1.6,-1.574803149606299
1992-04-16,31.25,31.25,30.5,30.5,22800.0,2.459016393442623,-2.4
1992-04-20,30.62,30.62,29.25,29.38,64100.0,4.683760683760687,-4.049640757674728
1992-04-21,28.5,28.75,26.75,27.25,135700.0,7.476635514018691,-4.385964912280701
1992-04-22,27.0,27.0,25.5,26.5,165900.0,5.88235294117647,-1.8518518518518516
1992-04-23,26.5,27.0,26.38,26.75,57300.0,2.3502653525398065,0.9433962264150944
1992-04-24,26.5,27.0,26.5,26.5,23100.0,1.8867924528301887,0.0
1992-04-27,27.0,27.0,25.0,25.25,128500.0,8.0,-6.481481481481481
1992-04-28,25.75,26.75,25.75,26.5,87700.0,3.8834951456310676,2.912621359223301
1992-04-29,26.62,26.75,25.25,26.0,97500.0,5.9405940594059405,-2.3290758827948945
1992-04-30,25.75,29.0,25.5,29.0,84200.0,13.725490196078432,12.62135922330097
1992-05-01,29.5,30.75,29.25,30.75,100200.0,5.128205128205128,4.23728813559322
1992-05-04,30.5,32.5,30.5,32.5,110000.0,6.557377049180328,6.557377049180328
1992-05-05,32.75,34.25,32.0,33.5,61700.0,7.03125,2.2900763358778624
1992-05-06,34.0,34.0,32.88,33.0,101400.0,3.406326034063252,-2.941176470588235
1992-05-07,32.75,34.25,32.75,33.5,155900.0,4.580152671755725,2.2900763358778624
1992-05-08,34.0,34.0,33.25,33.38,83800.0,2.2556390977443606,-1.8235294117646985
1992-05-11,33.25,33.25,31.5,31.5,67500.0,5.555555555555555,-5.263157894736842
1992-05-12,31.5,31.5,29.75,30.12,58400.0,5.88235294117647,-4.380952380952378
1992-05-13,30.0,30.25,28.25,29.0,61100.0,7.079646017699115,-3.3333333333333335
1992-05-14,28.5,29.0,27.0,28.5,112900.0,7.4074074074074066,0.0
1992-05-15,28.0,30.25,27.62,29.5,76400.0,9.522085445329468,5.357142857142857
1992-05-18,29.25,30.0,28.75,28.75,72200.0,4.3478260869565215,-1.7094017094017095
1992-05-19,28.5,28.75,28.0,28.75,21300.0,2.6785714285714284,0.8771929824561403
1992-05-20,28.25,28.25,27.25,27.38,38600.0,3.669724770642202,-3.0796460176991185
1992-05-21,27.0,27.5,27.0,27.0,27400.0,1.8518518518518516,0.0
1992-05-22,27.12,28.0,27.0,27.5,38900.0,3.7037037037037033,1.4011799410029462
1992-05-26,27.5,27.75,26.75,26.75,44800.0,3.7383177570093453,-2.727272727272727
1992-05-27,27.5,28.0,26.5,27.0,326400.0,5.660377358490567,-1.8181818181818181
1992-05-28,28.0,28.0,27.25,27.5,43300.0,2.7522935779816518,-1.7857142857142856
1992-05-29,27.75,27.75,26.38,27.38,200000.0,5.193328278999246,-1.3333333333333368
1992-06-01,27.25,28.75,27.25,28.75,34400.0,5.5045871559633035,5.5045871559633035
1992-06-02,28.75,31.75,28.75,31.25,183400.0,10.434782608695652,8.695652173913043
1992-06-03,31.25,33.5,31.25,33.38,289200.0,7.199999999999999,6.816000000000008
1992-06-04,33.25,33.5,30.5,31.38,207100.0,9.836065573770492,-5.624060150375943
1992-06-05,31.25,32.25,30.25,30.38,29700.0,6.6115702479338845,-2.7840000000000034
1992-06-08,30.75,31.25,29.75,29.75,77000.0,5.042016806722689,-3.2520325203252036
1992-06-09,29.75,29.75,27.5,27.75,78200.0,8.181818181818182,-6.722689075630252
1992-06-10,28.25,29.25,27.75,28.0,84200.0,5.405405405405405,-0.8849557522123894
